"Latest: Time (s)","Latest: Oxygen Gas (ppm)","Latest: Current (A)","Latest: Temperature (°C)"
0,4520.50713706,-0.00137329101563,21.4678302648
1,4556.58872437,-0.00152587890625,21.4605206693
2,4561.74323685,-0.00146865844727,21.4649064527
3,4561.74323685,-0.00143051147461,21.4619826058
4,4561.74323685,-0.00139236450195,21.4649064527
5,4572.05226179,-0.00143051147461,21.4663683631
6,4572.05226179,-0.00141143798828,21.4663683631
7,4587.51579921,-0.00144958496094,21.4634445336
8,4608.13384911,-0.00146865844727,21.4619826058
9,4602.97933663,-0.00148773193359,21.4649064527
10,4623.59738653,-0.00146865844727,21.4678302648
11,4623.59738653,-0.00139236450195,21.4678302648
12,4639.06092395,-0.00146865844727,21.4678302648
13,4644.21543642,-0.00143051147461,21.4649064527
14,4654.52446137,-0.00139236450195,21.4678302648
15,4695.76056115,-0.00144958496094,21.4678302648
16,4685.45153621,-0.00146865844727,21.4663683631
17,4695.76056115,-0.00144958496094,21.4678302648
18,4716.37861105,-0.00144958496094,21.4649064527
19,4716.37861105,-0.00146865844727,21.4663683631
20,4721.53312352,-0.00144958496094,21.4678302648
21,4721.53312352,-0.00143051147461,21.4692921578
22,4726.68763599,-0.00141143798828,21.4722159178
23,4731.84214847,-0.00143051147461,21.4692921578
24,4731.84214847,-0.00141143798828,21.4707540422
25,4742.15117341,-0.00141143798828,21.475139643
26,4742.15117341,-0.00141143798828,21.4736777848
27,4752.46019836,-0.00143051147461,21.475139643
28,4773.07824825,-0.00146865844727,21.4736777848
29,4778.23276073,-0.00146865844727,21.4707540422
30,4798.85081062,-0.00150680541992,21.4707540422
31,4793.69629815,-0.00143051147461,21.4736777848
32,4798.85081062,-0.00148773193359,21.475139643
33,4804.00532309,-0.00143051147461,21.475139643
34,4804.00532309,-0.00139236450195,21.4780633335
35,4809.15983557,-0.00144958496094,21.4795251658
36,4804.00532309,-0.00144958496094,21.4780633335
37,4809.15983557,-0.00144958496094,21.4795251658
38,4809.15983557,-0.00144958496094,21.4780633335
39,4809.15983557,-0.00143051147461,21.4795251658
40,4809.15983557,-0.00141143798828,21.4780633335
41,4809.15983557,-0.00146865844727,21.4780633335
42,4809.15983557,-0.00144958496094,21.4795251658
43,4814.31434804,-0.00144958496094,21.4809869894
44,4814.31434804,-0.00141143798828,21.4809869894
45,4819.46886051,-0.00146865844727,21.4795251658
46,4824.62337299,-0.00139236450195,21.4809869894
47,4829.77788546,-0.00141143798828,21.4824488043
48,4850.39593535,-0.00144958496094,21.4839106105
49,4850.39593535,-0.00146865844727,21.4795251658
50,4865.85947277,-0.00146865844727,21.4809869894
51,4871.01398525,-0.00144958496094,21.486834197
52,4886.47752267,-0.00143051147461,21.4824488043
53,4891.63203514,-0.00146865844727,21.4780633335
54,4891.63203514,-0.00146865844727,21.4795251658
55,4907.09557256,-0.00143051147461,21.4839106105
56,4917.40459751,-0.00148773193359,21.4839106105
57,4901.94106009,-0.00143051147461,21.486834197
58,4912.25008504,-0.00141143798828,21.4897577489
59,4917.40459751,-0.00144958496094,21.4897577489
60,4922.55910998,-0.00143051147461,21.4882959773
61,4943.17715988,-0.00146865844727,21.4853724081
62,4938.0226474,-0.00141143798828,21.4912195119
63,4958.6406973,-0.00144958496094,21.4882959773
64,4948.33167235,-0.00143051147461,21.4912195119
65,4958.6406973,-0.00148773193359,21.4897577489
66,4968.94972224,-0.00141143798828,21.4912195119
67,4974.10423472,-0.00146865844727,21.4897577489
68,4974.10423472,-0.00146865844727,21.4912195119
69,4974.10423472,-0.00143051147461,21.4926812663
70,4974.10423472,-0.00141143798828,21.4926812663
71,4974.10423472,-0.00146865844727,21.4926812663
72,4974.10423472,-0.00144958496094,21.4926812663
73,4979.25874719,-0.00144958496094,21.4897577489
74,4974.10423472,-0.00144958496094,21.4941430119
75,4984.41325966,-0.00143051147461,21.4941430119
76,4984.41325966,-0.00139236450195,21.4941430119
77,4984.41325966,-0.00141143798828,21.4970664774
78,4994.72228461,-0.00144958496094,21.4926812663
79,5005.03130956,-0.00146865844727,21.4941430119
80,4999.87679708,-0.00141143798828,21.495604749
81,5015.3403345,-0.00146865844727,21.4941430119
82,5025.64935945,-0.00146865844727,21.4970664774
83,5015.3403345,-0.00144958496094,21.4999899084
84,5030.80387192,-0.00141143798828,21.4941430119
85,5030.80387192,-0.00141143798828,21.4970664774
86,5046.26740934,-0.00144958496094,21.4970664774
87,5041.11289687,-0.00144958496094,21.4970664774
88,5051.42192182,-0.00143051147461,21.4970664774
89,5046.26740934,-0.00143051147461,21.4999899084
90,5051.42192182,-0.00148773193359,21.4999899084
91,5056.57643429,-0.00144958496094,21.4970664774
92,5056.57643429,-0.00146865844727,21.4970664774
93,5056.57643429,-0.00148773193359,21.4970664774
94,5061.73094676,-0.00146865844727,21.4985281972
95,5056.57643429,-0.00144958496094,21.5029133048
96,5056.57643429,-0.00143051147461,21.5014516109
97,5061.73094676,-0.00141143798828,21.5029133048
98,5066.88545924,-0.00139236450195,21.5014516109
