"Latest: Time (s)","Latest: Oxygen Gas (ppm)","Latest: Current (A)","Latest: Temperature (°C)"
0,4498.9425494,-0.0006103515625,22.8313199657
1,4498.9425494,-0.000629425048828,22.8327750609
2,4498.9425494,-0.000629425048828,22.8313199657
3,4498.9425494,-0.000648498535156,22.8356852335
4,4509.15581183,-0.0006103515625,22.8342301501
5,4514.26244304,-0.000629425048828,22.8327750609
6,4509.15581183,-0.0006103515625,22.8327750609
7,4524.47570548,-0.0006103515625,22.8356852335
8,4519.36907426,-0.0006103515625,22.8371403111
9,4519.36907426,-0.000591278076172,22.8356852335
10,4514.26244304,-0.0006103515625,22.8356852335
11,4534.68896791,-0.0006103515625,22.8356852335
12,4534.68896791,-0.0006103515625,22.8356852335
13,4534.68896791,-0.0006103515625,22.8342301501
14,4539.79559912,-0.000591278076172,22.8356852335
15,4550.00886155,-0.000591278076172,22.8371403111
16,4550.00886155,-0.000629425048828,22.8400504486
17,4560.22212398,-0.000629425048828,22.8371403111
18,4555.11549277,-0.0006103515625,22.8356852335
19,4560.22212398,-0.000591278076172,22.8356852335
20,4560.22212398,-0.000648498535156,22.8385953827
21,4565.3287552,-0.000648498535156,22.8371403111
22,4570.43538641,-0.0006103515625,22.8400504486
23,4565.3287552,-0.0006103515625,22.8415055085
24,4570.43538641,-0.000629425048828,22.8385953827
25,4570.43538641,-0.0006103515625,22.8371403111
26,4575.54201763,-0.0006103515625,22.8371403111
27,4575.54201763,-0.000629425048828,22.8385953827
28,4580.64864884,-0.0006103515625,22.8429605627
29,4580.64864884,-0.000629425048828,22.8400504486
30,4575.54201763,-0.0006103515625,22.8400504486
31,4580.64864884,-0.000629425048828,22.8415055085
32,4580.64864884,-0.000591278076172,22.8429605627
33,4585.75528006,-0.0006103515625,22.8400504486
34,4595.96854249,-0.000648498535156,22.8415055085
35,4590.86191127,-0.000629425048828,22.8415055085
36,4590.86191127,-0.000629425048828,22.8429605627
37,4590.86191127,-0.0006103515625,22.8415055085
38,4606.18180492,-0.0006103515625,22.8429605627
39,4611.28843614,-0.000648498535156,22.8429605627
40,4611.28843614,-0.0006103515625,22.8444156109
41,4616.39506735,-0.000648498535156,22.8429605627
42,4616.39506735,-0.000629425048828,22.8400504486
43,4626.60832978,-0.0006103515625,22.8458706534
44,4626.60832978,-0.000591278076172,22.8415055085
45,4641.92822343,-0.000629425048828,22.8444156109
46,4647.03485464,-0.000629425048828,22.8429605627
47,4636.82159221,-0.0006103515625,22.84732569
48,4652.14148586,-0.000629425048828,22.8458706534
49,4647.03485464,-0.000629425048828,22.8458706534
50,4657.24811707,-0.0006103515625,22.84732569
51,4662.35474829,-0.000629425048828,22.8444156109
52,4667.4613795,-0.000629425048828,22.84732569
53,4662.35474829,-0.000629425048828,22.84732569
54,4677.67464193,-0.000648498535156,22.8429605627
55,4692.99453558,-0.000648498535156,22.84732569
56,4692.99453558,-0.000648498535156,22.8487807207
57,4687.88790437,-0.000629425048828,22.8487807207
58,4692.99453558,-0.000648498535156,22.84732569
59,4708.31442923,-0.000667572021484,22.84732569
60,4703.20779801,-0.000648498535156,22.8502357456
61,4708.31442923,-0.000629425048828,22.8458706534
62,4718.52769166,-0.000629425048828,22.8502357456
63,4713.42106044,-0.000629425048828,22.8487807207
64,4723.63432287,-0.000667572021484,22.84732569
65,4723.63432287,-0.000629425048828,22.8516907647
66,4723.63432287,-0.000648498535156,22.8458706534
67,4728.74095409,-0.000629425048828,22.8487807207
68,4728.74095409,-0.000629425048828,22.8487807207
69,4733.8475853,-0.0006103515625,22.8516907647
70,4738.95421652,-0.000591278076172,22.8516907647
71,4738.95421652,-0.000648498535156,22.8502357456
72,4738.95421652,-0.000591278076172,22.8502357456
73,4749.16747895,-0.000629425048828,22.8516907647
74,4738.95421652,-0.000648498535156,22.8502357456
75,4749.16747895,-0.0006103515625,22.8516907647
76,4749.16747895,-0.0006103515625,22.8516907647
