"Latest: Time (s)","Latest: Current (A)","Latest: Temperature (°C)","Latest: Oxygen Gas (ppm)"
0,-0.000724792480469,23.720853067,3772.64873474
1,-0.000724792480469,23.7194010095,3778.06920857
2,-0.000705718994141,23.7194010095,3778.06920857
3,-0.000705718994141,23.7194010095,3788.91015622
4,-0.000686645507813,23.7150448124,3794.33063004
5,-0.000724792480469,23.7194010095,3794.33063004
6,-0.000686645507813,23.7194010095,3799.75110387
7,-0.000705718994141,23.7194010095,3805.1715777
8,-0.000705718994141,23.720853067,3810.59205152
9,-0.000686645507813,23.7237571698,3826.853473
10,-0.000743865966797,23.720853067,3837.69442065
11,-0.000705718994141,23.7237571698,3837.69442065
12,-0.000743865966797,23.7223051204,3843.11489448
13,-0.000705718994141,23.720853067,3843.11489448
14,-0.000686645507813,23.720853067,3853.95584213
15,-0.000743865966797,23.7223051204,3859.37631596
16,-0.000705718994141,23.720853067,3859.37631596
17,-0.000724792480469,23.7223051204,3859.37631596
18,-0.000705718994141,23.7237571698,3864.79678979
19,-0.000705718994141,23.7223051204,3864.79678979
20,-0.000762939453125,23.7223051204,3875.63773744
21,-0.000705718994141,23.7252092151,3875.63773744
22,-0.000705718994141,23.7237571698,3881.05821126
23,-0.000686645507813,23.7237571698,3891.89915892
24,-0.000724792480469,23.7252092151,3897.31963274
25,-0.000705718994141,23.7223051204,3908.16058039
26,-0.000705718994141,23.7266612563,3902.74010657
27,-0.000705718994141,23.7266612563,3913.58105422
28,-0.000705718994141,23.7266612563,3924.42200187
29,-0.000724792480469,23.7266612563,3946.10389718
30,-0.000686645507813,23.720853067,3951.524371
31,-0.000724792480469,23.7266612563,3962.36531866
32,-0.000705718994141,23.7252092151,3946.10389718
33,-0.000743865966797,23.7266612563,3962.36531866
34,-0.000705718994141,23.7252092151,3962.36531866
35,-0.000686645507813,23.7281132934,3978.62674014
36,-0.000724792480469,23.7310173555,3978.62674014
37,-0.000705718994141,23.7266612563,3989.46768779
38,-0.000705718994141,23.7237571698,4000.30863544
39,-0.000705718994141,23.7266612563,3989.46768779
40,-0.000686645507813,23.7252092151,4005.72910927
41,-0.000724792480469,23.7281132934,4016.57005692
42,-0.000705718994141,23.7266612563,4016.57005692
43,-0.000705718994141,23.7252092151,4016.57005692
44,-0.000724792480469,23.7237571698,4021.99053075
45,-0.000667572021484,23.7281132934,4027.41100457
46,-0.000705718994141,23.7281132934,4032.8314784
47,-0.000743865966797,23.7295653265,4032.8314784
48,-0.000705718994141,23.7324693805,4043.67242605
49,-0.000724792480469,23.7295653265,4049.09289988
50,-0.000686645507813,23.7266612563,4043.67242605
51,-0.000743865966797,23.7295653265,4049.09289988
52,-0.000686645507813,23.7266612563,4059.93384753
53,-0.000724792480469,23.7281132934,4054.5133737
54,-0.000686645507813,23.7281132934,4065.35432136
55,-0.000705718994141,23.7266612563,4070.77479518
56,-0.000724792480469,23.7295653265,4076.19526901
57,-0.000705718994141,23.7295653265,4076.19526901
58,-0.000724792480469,23.7324693805,4087.03621666
59,-0.000724792480469,23.7310173555,4092.45669049
60,-0.000724792480469,23.7324693805,4108.71811197
61,-0.000724792480469,23.7295653265,4114.13858579
62,-0.000724792480469,23.7324693805,4114.13858579
63,-0.000743865966797,23.7339214014,4119.55905962
64,-0.000724792480469,23.7295653265,4119.55905962
65,-0.000686645507813,23.7295653265,4119.55905962
66,-0.000705718994141,23.7324693805,4119.55905962
67,-0.000705718994141,23.7310173555,4119.55905962
68,-0.000705718994141,23.7339214014,4119.55905962
69,-0.000705718994141,23.7310173555,4119.55905962
70,-0.000724792480469,23.7324693805,4119.55905962
71,-0.000705718994141,23.7324693805,4119.55905962
72,-0.000724792480469,23.7324693805,4119.55905962
73,-0.000705718994141,23.7339214014,4119.55905962
74,-0.000705718994141,23.7295653265,4130.40000727
75,-0.000705718994141,23.7324693805,4119.55905962
76,-0.000686645507813,23.7310173555,4124.97953344
77,-0.000724792480469,23.7310173555,4135.8204811
78,-0.000667572021484,23.7295653265,4130.40000727
79,-0.000686645507813,23.7324693805,4135.8204811
80,-0.000686645507813,23.7310173555,4135.8204811
81,-0.000743865966797,23.7353734182,4162.92285023
82,-0.000705718994141,23.7353734182,4168.34332405
83,-0.000705718994141,23.7324693805,4168.34332405
84,-0.000705718994141,23.7353734182,4206.28664084
85,-0.000724792480469,23.7310173555,4184.60474553
86,-0.000705718994141,23.7310173555,4190.02521936
87,-0.000724792480469,23.7353734182,4200.86616701
88,-0.000705718994141,23.7339214014,4200.86616701
89,-0.000705718994141,23.736825431,4200.86616701
90,-0.000686645507813,23.7324693805,4211.70711466
91,-0.000724792480469,23.7353734182,4233.38900997
92,-0.000724792480469,23.7382774398,4217.12758849
93,-0.000743865966797,23.736825431,4227.96853614
94,-0.000705718994141,23.736825431,4238.8094838
95,-0.000686645507813,23.7353734182,4255.07090527
96,-0.000686645507813,23.7339214014,4249.65043145
97,-0.000705718994141,23.7353734182,4260.4913791
98,-0.000705718994141,23.7339214014,4271.33232675
99,-0.000705718994141,23.7353734182,4271.33232675
100,-0.000686645507813,23.7382774398,4276.75280058
101,-0.000686645507813,23.736825431,4282.17327441
102,-0.000724792480469,23.7382774398,4287.59374823
103,-0.000743865966797,23.736825431,4293.01422206
104,-0.000724792480469,23.7353734182,4293.01422206
105,-0.000743865966797,23.7382774398,4298.43469588
106,-0.000724792480469,23.7353734182,4287.59374823
107,-0.000705718994141,23.736825431,4293.01422206
108,-0.000705718994141,23.736825431,4298.43469588
109,-0.000705718994141,23.7339214014,4298.43469588
110,-0.000743865966797,23.7411814452,4303.85516971
111,-0.000724792480469,23.7397294445,4309.27564354
112,-0.000724792480469,23.7353734182,4309.27564354
113,-0.000686645507813,23.7353734182,4309.27564354
114,-0.000686645507813,23.736825431,4314.69611736
115,-0.000705718994141,23.736825431,4325.53706501
116,-0.000743865966797,23.736825431,4320.11659119
117,-0.000743865966797,23.7397294445,4347.21896032
118,-0.000667572021484,23.7353734182,4325.53706501
119,-0.000724792480469,23.7382774398,4358.05990797
120,-0.000686645507813,23.7411814452,4358.05990797
121,-0.000705718994141,23.7411814452,4358.05990797
122,-0.000686645507813,23.7353734182,4352.63943415
123,-0.000686645507813,23.7411814452,4374.32132945
124,-0.000686645507813,23.736825431,4374.32132945
125,-0.000705718994141,23.7426334418,4368.90085562
126,-0.000724792480469,23.7397294445,4374.32132945
127,-0.000705718994141,23.7426334418,4374.32132945
128,-0.000724792480469,23.7426334418,4379.74180328
129,-0.000743865966797,23.7440854344,4379.74180328
130,-0.000686645507813,23.7397294445,4374.32132945
131,-0.000705718994141,23.7411814452,4379.74180328
132,-0.000686645507813,23.7426334418,4379.74180328
133,-0.000705718994141,23.7397294445,4379.74180328
134,-0.000705718994141,23.7411814452,4379.74180328
135,-0.000724792480469,23.7397294445,4379.74180328
136,-0.000743865966797,23.7426334418,4385.1622771
137,-0.000724792480469,23.7411814452,4379.74180328
138,-0.000667572021484,23.7382774398,4385.1622771
139,-0.000705718994141,23.7411814452,4385.1622771
140,-0.000705718994141,23.7426334418,4390.58275093
141,-0.000724792480469,23.7440854344,4401.42369858
142,-0.000724792480469,23.7411814452,4396.00322476
143,-0.000686645507813,23.7455374229,4401.42369858
144,-0.000724792480469,23.7426334418,4396.00322476
145,-0.000705718994141,23.7411814452,4406.84417241
146,-0.000724792480469,23.7397294445,4417.68512006
147,-0.000705718994141,23.7411814452,4417.68512006
148,-0.000743865966797,23.7440854344,4428.52606771
149,-0.000724792480469,23.7397294445,4417.68512006
150,-0.000686645507813,23.7382774398,4433.94654154
151,-0.000724792480469,23.7411814452,4439.36701537
152,-0.000724792480469,23.7411814452,4439.36701537
153,-0.000724792480469,23.7426334418,4444.78748919
154,-0.000686645507813,23.7411814452,4444.78748919
155,-0.000724792480469,23.7411814452,4455.62843684
156,-0.000667572021484,23.7397294445,4450.20796302
157,-0.000724792480469,23.7455374229,4461.04891067
158,-0.000724792480469,23.7397294445,4455.62843684
159,-0.000743865966797,23.7440854344,4466.4693845
160,-0.000705718994141,23.7426334418,4461.04891067
161,-0.000724792480469,23.7440854344,4471.88985832
162,-0.000705718994141,23.7426334418,4477.31033215
163,-0.000724792480469,23.7426334418,4466.4693845
164,-0.000724792480469,23.7426334418,4477.31033215
165,-0.000667572021484,23.736825431,4471.88985832
166,-0.000686645507813,23.7426334418,4482.73080598
167,-0.000762939453125,23.7440854344,4488.1512798
168,-0.000705718994141,23.7455374229,4477.31033215
169,-0.000724792480469,23.7455374229,4493.57175363
170,-0.000686645507813,23.7440854344,4488.1512798
171,-0.000705718994141,23.7397294445,4488.1512798
172,-0.000686645507813,23.7426334418,4493.57175363
173,-0.000686645507813,23.7440854344,4498.99222745
174,-0.000724792480469,23.7440854344,4509.83317511
175,-0.000705718994141,23.7440854344,4509.83317511
176,-0.000705718994141,23.7426334418,4509.83317511
177,-0.000705718994141,23.7469894075,4520.67412276
178,-0.000686645507813,23.7411814452,4526.09459659
179,-0.000743865966797,23.7440854344,4542.35601806
180,-0.000724792480469,23.7455374229,4536.93554424
181,-0.000743865966797,23.7440854344,4542.35601806
182,-0.000705718994141,23.7469894075,4536.93554424
183,-0.000724792480469,23.7440854344,4536.93554424
184,-0.000705718994141,23.7455374229,4547.77649189
185,-0.000705718994141,23.7455374229,4553.19696572
186,-0.000686645507813,23.7440854344,4553.19696572
187,-0.000724792480469,23.7426334418,4553.19696572
188,-0.000686645507813,23.7440854344,4553.19696572
189,-0.000705718994141,23.7455374229,4553.19696572
190,-0.000724792480469,23.7455374229,4564.03791337
191,-0.000705718994141,23.7455374229,4558.61743954
192,-0.000705718994141,23.7469894075,4564.03791337
193,-0.000724792480469,23.7498933644,4569.4583872
194,-0.000705718994141,23.7469894075,4564.03791337
195,-0.000705718994141,23.7469894075,4569.4583872
196,-0.000724792480469,23.748441388,4574.87886102
197,-0.000724792480469,23.7469894075,4585.71980867
198,-0.000724792480469,23.7498933644,4585.71980867
199,-0.000705718994141,23.7498933644,4591.1402825
200,-0.000705718994141,23.7440854344,4585.71980867
201,-0.000686645507813,23.7469894075,4591.1402825
202,-0.000705718994141,23.7469894075,4591.1402825
203,-0.000724792480469,23.7426334418,4596.56075633
204,-0.000686645507813,23.7469894075,4601.98123015
205,-0.000705718994141,23.7440854344,4618.24265163
206,-0.000724792480469,23.7440854344,4601.98123015
207,-0.000705718994141,23.7440854344,4629.08359928
208,-0.000705718994141,23.7469894075,4623.66312546
209,-0.000686645507813,23.7440854344,4618.24265163
210,-0.000724792480469,23.748441388,4645.34502076
211,-0.000705718994141,23.7469894075,4650.76549459
212,-0.000705718994141,23.7469894075,4634.50407311
213,-0.000705718994141,23.7469894075,4650.76549459
214,-0.000686645507813,23.7455374229,4645.34502076
215,-0.000705718994141,23.748441388,4639.92454694
216,-0.000686645507813,23.748441388,4661.60644224
217,-0.000686645507813,23.7455374229,4650.76549459
218,-0.000705718994141,23.7426334418,4667.02691607
