"Latest: Time (s)","Latest: Oxygen Gas (ppm)","Latest: Current (A)","Latest: Temperature (°C)"
0,3850.40038505,-0.000572204589844,26.3118811711
1,3850.40038505,-0.000572204589844,26.317678432
2,3850.40038505,-0.000572204589844,26.3089825466
3,3850.40038505,-0.000572204589844,26.3031853091
4,3860.61364748,-0.000553131103516,26.3104318584
5,3870.82690992,-0.000572204589844,26.2988373911
6,3881.04017235,-0.000572204589844,26.2959387839
7,3896.36006599,-0.0006103515625,26.2886922823
8,3916.78659085,-0.000591278076172,26.2872429848
9,3916.78659085,-0.000591278076172,26.2814458041
10,3926.99985328,-0.0006103515625,26.2799965112
11,3932.1064845,-0.000591278076172,26.2727500605
12,3942.31974693,-0.000591278076172,26.2582572264
13,3942.31974693,-0.000629425048828,26.2524601173
14,3957.63964058,-0.000591278076172,26.2466630222
15,3962.74627179,-0.000572204589844,26.2336196075
16,3967.85290301,-0.000591278076172,26.2321703434
17,3998.4926903,-0.000591278076172,26.2336196075
18,4008.70595273,-0.000591278076172,26.2220255175
19,4018.91921516,-0.000572204589844,26.2234747759
20,4029.13247759,-0.000572204589844,26.2234747759
21,4049.55900245,-0.000591278076172,26.2176777471
22,4059.77226488,-0.0006103515625,26.2191270031
23,4069.98552731,-0.0006103515625,26.2133299839
24,4080.19878974,-0.000591278076172,26.210431479
25,4090.41205217,-0.000591278076172,26.2089822277
26,4090.41205217,-0.000591278076172,26.2060837275
27,4095.51868339,-0.0006103515625,26.2031852304
28,4105.73194582,-0.000572204589844,26.2002867364
29,4110.83857703,-0.000591278076172,26.1944897575
30,4121.05183947,-0.000572204589844,26.1915912726
31,4131.2651019,-0.000572204589844,26.1915912726
32,4141.47836433,-0.000591278076172,26.1857943116
33,4151.69162676,-0.000591278076172,26.1814465987
34,4172.11815162,-0.000591278076172,26.1742004249
35,4161.90488919,-0.000591278076172,26.1698527292
36,4167.0115204,-0.000591278076172,26.1669542689
37,4172.11815162,-0.000572204589844,26.1611573567
38,4172.11815162,-0.000591278076172,26.1611573567
39,4172.11815162,-0.000591278076172,26.1568096798
40,4177.22478283,-0.000591278076172,26.1582589048
41,4182.33141405,-0.000572204589844,26.1553604556
42,4187.43804526,-0.000591278076172,26.1510127868
43,4202.75793891,-0.0006103515625,26.1510127868
44,4218.07783256,-0.0006103515625,26.1452159045
45,4218.07783256,-0.000591278076172,26.1408682496
46,4233.3977262,-0.0006103515625,26.1394190326
47,4243.61098863,-0.000591278076172,26.1365206006
48,4248.71761985,-0.000591278076172,26.1336221711
49,4253.82425106,-0.000591278076172,26.1307237442
50,4253.82425106,-0.000572204589844,26.1292745317
51,4253.82425106,-0.0006103515625,26.1249268979
52,4264.03751349,-0.000572204589844,26.1176808538
53,4274.25077592,-0.0006103515625,26.1133332347
