"Latest: Time (s)","Latest: Oxygen Gas (ppm)","Latest: Current (A)","Latest: Temperature (°C)"
0,3649.39452906,-0.00131607055664,24.0910025601
1,3659.703554,-0.0013542175293,24.0851980971
2,3659.703554,-0.00137329101563,24.0851980971
3,3675.16709142,-0.00137329101563,24.083746973
4,3680.3216039,-0.0013542175293,24.0881003353
5,3700.93965379,-0.00137329101563,24.0866492179
6,3700.93965379,-0.00141143798828,24.0895514493
7,3721.55770368,-0.00139236450195,24.0881003353
8,3726.71221616,-0.00139236450195,24.0881003353
9,3731.86672863,-0.00139236450195,24.0881003353
10,3731.86672863,-0.00141143798828,24.083746973
11,3737.0212411,-0.00137329101563,24.0866492179
12,3731.86672863,-0.0013542175293,24.0895514493
13,3737.0212411,-0.0013542175293,24.0881003353
14,3742.17575358,-0.00141143798828,24.0851980971
15,3742.17575358,-0.00139236450195,24.0866492179
16,3742.17575358,-0.00141143798828,24.0895514493
17,3752.48477852,-0.00139236450195,24.0881003353
18,3773.10282842,-0.00144958496094,24.0866492179
19,3778.25734089,-0.0013542175293,24.0895514493
20,3783.41185336,-0.00137329101563,24.0910025601
21,3783.41185336,-0.0013542175293,24.0910025601
22,3809.18441573,-0.00141143798828,24.0895514493
23,3804.02990326,-0.00137329101563,24.0910025601
24,3814.3389282,-0.00139236450195,24.0910025601
25,3814.3389282,-0.00137329101563,24.0910025601
26,3819.49344068,-0.00139236450195,24.0939047715
27,3819.49344068,-0.00139236450195,24.0910025601
28,3819.49344068,-0.00137329101563,24.0924536674
29,3845.26600305,-0.00139236450195,24.0924536674
30,3840.11149057,-0.00137329101563,24.0924536674
31,3850.42051552,-0.00139236450195,24.0881003353
32,3865.88405294,-0.00139236450195,24.0939047715
33,3865.88405294,-0.00137329101563,24.0924536674
34,3886.50210283,-0.00139236450195,24.0924536674
35,3886.50210283,-0.0013542175293,24.0939047715
36,3891.65661531,-0.00141143798828,24.0924536674
37,3891.65661531,-0.00137329101563,24.0953558722
38,3896.81112778,-0.00137329101563,24.0953558722
39,3907.12015273,-0.00139236450195,24.0924536674
40,3907.12015273,-0.00137329101563,24.0953558722
41,3912.2746652,-0.00139236450195,24.0968069695
42,3932.89271509,-0.00143051147461,24.0953558722
43,3948.35625251,-0.00141143798828,24.0939047715
44,3963.81978993,-0.00143051147461,24.0953558722
45,3958.66527746,-0.00137329101563,24.0939047715
46,3968.97430241,-0.0013542175293,24.0982580636
47,3979.28332735,-0.00139236450195,24.0939047715
48,3989.5923523,-0.00143051147461,24.0924536674
49,3994.74686477,-0.00141143798828,24.0953558722
50,3999.90137725,-0.00141143798828,24.0968069695
51,4025.67393961,-0.00139236450195,24.0968069695
52,4025.67393961,-0.00137329101563,24.0968069695
53,4041.13747703,-0.00141143798828,24.0939047715
54,4035.98296456,-0.00137329101563,24.0953558722
55,4056.60101445,-0.00139236450195,24.0953558722
56,4056.60101445,-0.0013542175293,24.1026113257
57,4066.9100394,-0.00141143798828,24.0968069695
58,4061.75552693,-0.00139236450195,24.0953558722
59,4066.9100394,-0.00139236450195,24.0982580636
60,4066.9100394,-0.00141143798828,24.0968069695
61,4066.9100394,-0.0013542175293,24.0968069695
62,4066.9100394,-0.00141143798828,24.0982580636
63,4066.9100394,-0.00139236450195,24.0997091543
64,4072.06455187,-0.00141143798828,24.0968069695
65,4082.37357682,-0.00141143798828,24.0968069695
66,4092.68260177,-0.00139236450195,24.0968069695
67,4092.68260177,-0.00139236450195,24.0982580636
68,4118.45516413,-0.00141143798828,24.0982580636
69,4128.76418908,-0.00141143798828,24.0997091543
70,4123.60967661,-0.00139236450195,24.0982580636
71,4139.07321403,-0.00139236450195,24.0997091543
72,4144.2277265,-0.00141143798828,24.0968069695
73,4149.38223897,-0.00141143798828,24.0982580636
74,4144.2277265,-0.0013542175293,24.0997091543
75,4149.38223897,-0.00137329101563,24.1026113257
76,4149.38223897,-0.00137329101563,24.1026113257
77,4154.53675145,-0.00137329101563,24.1026113257
78,4164.84577639,-0.0013542175293,24.1026113257
79,4170.00028887,-0.00141143798828,24.0997091543
80,4170.00028887,-0.00139236450195,24.1040624064
81,4195.77285124,-0.00139236450195,24.1040624064
82,4200.92736371,-0.00139236450195,24.1026113257
83,4221.5454136,-0.00141143798828,24.1026113257
84,4231.85443855,-0.0013542175293,24.1040624064
85,4231.85443855,-0.00137329101563,24.1026113257
86,4242.1634635,-0.00137329101563,24.1040624064
87,4257.62700092,-0.00137329101563,24.1026113257
88,4278.24505081,-0.0013542175293,24.1040624064
89,4288.55407576,-0.00143051147461,24.1026113257
90,4288.55407576,-0.00137329101563,24.1040624064
91,4304.01761318,-0.00143051147461,24.1026113257
92,4309.17212565,-0.00141143798828,24.1055134838
93,4309.17212565,-0.00141143798828,24.1011602416
94,4314.32663812,-0.00137329101563,24.1084156287
95,4314.32663812,-0.00141143798828,24.1069645579
96,4324.63566307,-0.00137329101563,24.1040624064
97,4319.4811506,-0.00139236450195,24.1069645579
98,4324.63566307,-0.00137329101563,24.1069645579
99,4329.79017554,-0.00139236450195,24.1069645579
100,4340.09920049,-0.00137329101563,24.1098666962
101,4360.71725038,-0.00143051147461,24.1084156287
102,4371.02627533,-0.00141143798828,24.1040624064
103,4376.1807878,-0.00139236450195,24.1084156287
104,4386.48981275,-0.00141143798828,24.1069645579
105,4381.33530028,-0.00139236450195,24.1084156287
106,4396.7988377,-0.00137329101563,24.1084156287
107,4391.64432522,-0.00141143798828,24.1069645579
108,4391.64432522,-0.00139236450195,24.1084156287
109,4396.7988377,-0.00139236450195,24.1069645579
110,4396.7988377,-0.00137329101563,24.1069645579
111,4396.7988377,-0.00137329101563,24.115670933
112,4396.7988377,-0.00139236450195,24.1113177603
113,4401.95335017,-0.0013542175293,24.1127688212
114,4396.7988377,-0.00143051147461,24.1098666962
115,4412.26237512,-0.00141143798828,24.1113177603
116,4427.72591254,-0.00141143798828,24.1127688212
117,4438.03493748,-0.00139236450195,24.1098666962
118,4438.03493748,-0.00139236450195,24.1142198787
119,4448.34396243,-0.00137329101563,24.1127688212
120,4463.80749985,-0.00144958496094,24.1127688212
121,4468.96201232,-0.00139236450195,24.1127688212
122,4468.96201232,-0.00139236450195,24.1127688212
123,4474.1165248,-0.00137329101563,24.1142198787
124,4479.27103727,-0.00143051147461,24.1127688212
125,4479.27103727,-0.00141143798828,24.1127688212
126,4479.27103727,-0.00139236450195,24.115670933
127,4489.58006222,-0.00141143798828,24.1127688212
128,4494.73457469,-0.00143051147461,24.1142198787
129,4494.73457469,-0.0013542175293,24.117121984
130,4499.88908716,-0.00137329101563,24.115670933
131,4525.66164953,-0.00143051147461,24.1142198787
132,4541.12518695,-0.00139236450195,24.1142198787
133,4541.12518695,-0.00139236450195,24.115670933
134,4546.27969943,-0.00137329101563,24.117121984
135,4551.4342119,-0.00141143798828,24.1142198787
136,4556.58872437,-0.00143051147461,24.115670933
137,4556.58872437,-0.00139236450195,24.115670933
138,4556.58872437,-0.00139236450195,24.1185730316
139,4561.74323685,-0.00139236450195,24.1185730316
140,4572.05226179,-0.00143051147461,24.1185730316
141,4577.20677427,-0.00141143798828,24.1185730316
142,4577.20677427,-0.00137329101563,24.1185730316
143,4592.67031169,-0.00139236450195,24.1229261549
144,4587.51579921,-0.00139236450195,24.1214751171
145,4618.44287405,-0.00143051147461,24.120024076
146,4618.44287405,-0.00139236450195,24.1214751171
147,4639.06092395,-0.00141143798828,24.120024076
148,4633.90641147,-0.00137329101563,24.120024076
149,4649.36994889,-0.00139236450195,24.1185730316
150,4659.67897384,-0.00141143798828,24.1185730316
151,4664.83348631,-0.00141143798828,24.1229261549
152,4680.29702373,-0.00141143798828,24.120024076
153,4685.45153621,-0.00137329101563,24.1229261549
154,4695.76056115,-0.00137329101563,24.120024076
155,4706.0695861,-0.00141143798828,24.1214751171
156,4716.37861105,-0.00141143798828,24.1185730316
157,4716.37861105,-0.00141143798828,24.120024076
158,4716.37861105,-0.00137329101563,24.1229261549
159,4726.68763599,-0.00141143798828,24.1214751171
160,4726.68763599,-0.00141143798828,24.120024076
161,4731.84214847,-0.00139236450195,24.1243771894
162,4742.15117341,-0.00141143798828,24.1243771894
163,4747.30568589,-0.00139236450195,24.1229261549
164,4742.15117341,-0.00141143798828,24.1243771894
165,4747.30568589,-0.00139236450195,24.1243771894
166,4767.92373578,-0.0013542175293,24.1229261549
167,4783.3872732,-0.00139236450195,24.1258282207
168,4783.3872732,-0.00139236450195,24.1287302734
169,4793.69629815,-0.00143051147461,24.1229261549
170,4798.85081062,-0.00139236450195,24.1229261549
171,4798.85081062,-0.00141143798828,24.1258282207
172,4804.00532309,-0.00141143798828,24.1272792487
173,4809.15983557,-0.00137329101563,24.131632313
174,4809.15983557,-0.00141143798828,24.1272792487
175,4809.15983557,-0.00137329101563,24.1301812948
176,4809.15983557,-0.00137329101563,24.1301812948
177,4809.15983557,-0.00137329101563,24.1301812948
178,4809.15983557,-0.00137329101563,24.1301812948
179,4809.15983557,-0.00141143798828,24.1272792487
180,4814.31434804,-0.00137329101563,24.1287302734
181,4809.15983557,-0.00137329101563,24.1287302734
182,4819.46886051,-0.00139236450195,24.1272792487
183,4819.46886051,-0.00137329101563,24.1301812948
184,4834.93239793,-0.00141143798828,24.1301812948
185,4840.08691041,-0.00139236450195,24.1301812948
186,4855.55044783,-0.00143051147461,24.1272792487
187,4871.01398525,-0.00141143798828,24.1330833279
188,4881.3230102,-0.00139236450195,24.131632313
189,4871.01398525,-0.00139236450195,24.1345343395
190,4901.94106009,-0.00139236450195,24.1345343395
191,4901.94106009,-0.00139236450195,24.1301812948
192,4907.09557256,-0.00141143798828,24.131632313
193,4917.40459751,-0.00141143798828,24.1301812948
194,4938.0226474,-0.00139236450195,24.1359853479
195,4943.17715988,-0.00139236450195,24.1301812948
196,4948.33167235,-0.00143051147461,24.1330833279
197,4953.48618482,-0.00141143798828,24.1345343395
198,4963.79520977,-0.00143051147461,24.1330833279
199,4968.94972224,-0.00143051147461,24.137436353
200,4968.94972224,-0.00137329101563,24.1359853479
201,4974.10423472,-0.00139236450195,24.137436353
202,4974.10423472,-0.00143051147461,24.1388873549
203,4974.10423472,-0.00139236450195,24.1388873549
204,4974.10423472,-0.00143051147461,24.137436353
205,4979.25874719,-0.00141143798828,24.137436353
206,4999.87679708,-0.00139236450195,24.1403383535
207,4999.87679708,-0.00141143798828,24.1403383535
208,5005.03130956,-0.00139236450195,24.137436353
209,5005.03130956,-0.00137329101563,24.1417893489
210,5020.49484698,-0.00139236450195,24.1388873549
211,5020.49484698,-0.00143051147461,24.1403383535
212,5020.49484698,-0.00139236450195,24.1417893489
213,5020.49484698,-0.0013542175293,24.143240341
214,5051.42192182,-0.00139236450195,24.1417893489
215,5056.57643429,-0.00141143798828,24.1359853479
216,5051.42192182,-0.0013542175293,24.1446913299
217,5056.57643429,-0.00137329101563,24.1446913299
218,5056.57643429,-0.00139236450195,24.1461423156
219,5056.57643429,-0.00137329101563,24.143240341
220,5066.88545924,-0.00139236450195,24.1417893489
221,5066.88545924,-0.00139236450195,24.147593298
222,5082.34899666,-0.00141143798828,24.143240341
223,5082.34899666,-0.00137329101563,24.1461423156
224,5092.6580216,-0.00141143798828,24.1461423156
225,5087.50350913,-0.00139236450195,24.1461423156
226,5113.2760715,-0.00139236450195,24.1461423156
227,5128.73960892,-0.00141143798828,24.147593298
228,5128.73960892,-0.00141143798828,24.143240341
229,5128.73960892,-0.00139236450195,24.1461423156
230,5133.89412139,-0.00139236450195,24.147593298
231,5133.89412139,-0.00143051147461,24.1490442772
232,5139.04863386,-0.00141143798828,24.1461423156
233,5139.04863386,-0.00139236450195,24.1533971954
234,5133.89412139,-0.0013542175293,24.1504952531
235,5139.04863386,-0.00141143798828,24.1548481616
236,5139.04863386,-0.00137329101563,24.1490442772
237,5139.04863386,-0.00143051147461,24.1504952531
238,5144.20314634,-0.00139236450195,24.1519462258
239,5144.20314634,-0.00139236450195,24.1504952531
240,5144.20314634,-0.00139236450195,24.1504952531
241,5144.20314634,-0.00141143798828,24.1504952531
242,5144.20314634,-0.00137329101563,24.1562991247
243,5159.66668376,-0.0013542175293,24.1533971954
244,5180.28473365,-0.00141143798828,24.1490442772
245,5169.9757087,-0.00139236450195,24.1533971954
246,5180.28473365,-0.00139236450195,24.1533971954
247,5185.43924612,-0.00139236450195,24.1577500846
248,5200.90278354,-0.00137329101563,24.1504952531
249,5211.21180849,-0.00139236450195,24.1548481616
250,5211.21180849,-0.00139236450195,24.1519462258
251,5206.05729602,-0.00137329101563,24.1548481616
252,5221.52083344,-0.00137329101563,24.1548481616
253,5216.36632096,-0.00139236450195,24.1504952531
254,5216.36632096,-0.00137329101563,24.1562991247
255,5226.67534591,-0.00139236450195,24.1562991247
256,5226.67534591,-0.00139236450195,24.1577500846
257,5226.67534591,-0.00137329101563,24.1548481616
258,5231.82985839,-0.00139236450195,24.1577500846
259,5252.44790828,-0.00137329101563,24.1562991247
260,5257.60242075,-0.00139236450195,24.1548481616
261,5257.60242075,-0.00141143798828,24.1592010412
262,5273.06595817,-0.00141143798828,24.1562991247
263,5283.37498312,-0.00141143798828,24.1562991247
264,5293.68400807,-0.00143051147461,24.1577500846
265,5283.37498312,-0.00137329101563,24.1577500846
266,5298.83852054,-0.00139236450195,24.1592010412
267,5298.83852054,-0.00137329101563,24.1606519946
268,5309.14754549,-0.00137329101563,24.1621029449
269,5314.30205796,-0.00137329101563,24.1592010412
270,5334.92010785,-0.00139236450195,24.1577500846
271,5334.92010785,-0.00137329101563,24.1606519946
272,5340.07462033,-0.00137329101563,24.1592010412
273,5345.2291328,-0.00139236450195,24.1606519946
274,5360.69267022,-0.00139236450195,24.1606519946
275,5376.15620764,-0.00144958496094,24.1606519946
276,5376.15620764,-0.00137329101563,24.1635538919
277,5381.31072011,-0.00141143798828,24.1621029449
278,5381.31072011,-0.00141143798828,24.1621029449
279,5376.15620764,-0.00139236450195,24.1606519946
280,5381.31072011,-0.00139236450195,24.1606519946
281,5386.46523259,-0.00143051147461,24.1606519946
282,5386.46523259,-0.00139236450195,24.1621029449
283,5386.46523259,-0.00133514404297,24.1621029449
284,5386.46523259,-0.00141143798828,24.1621029449
285,5386.46523259,-0.00143051147461,24.1606519946
286,5386.46523259,-0.00139236450195,24.1635538919
287,5386.46523259,-0.00141143798828,24.1635538919
288,5386.46523259,-0.00141143798828,24.1606519946
289,5396.77425753,-0.00137329101563,24.1635538919
290,5396.77425753,-0.00137329101563,24.1635538919
291,5407.08328248,-0.00143051147461,24.1606519946
292,5401.92877001,-0.00141143798828,24.1635538919
293,5407.08328248,-0.00137329101563,24.1635538919
294,5412.23779495,-0.0013542175293,24.1650048357
295,5432.85584485,-0.00141143798828,24.1592010412
296,5443.16486979,-0.00141143798828,24.1635538919
297,5443.16486979,-0.00139236450195,24.1621029449
298,5448.31938227,-0.00139236450195,24.1650048357
299,5448.31938227,-0.0013542175293,24.1650048357
300,5458.62840721,-0.00137329101563,24.1635538919
301,5463.78291969,-0.00139236450195,24.1635538919
302,5463.78291969,-0.00137329101563,24.1650048357
303,5463.78291969,-0.00141143798828,24.1650048357
304,5463.78291969,-0.00139236450195,24.1635538919
305,5474.09194463,-0.00141143798828,24.1650048357
306,5474.09194463,-0.00139236450195,24.1650048357
307,5468.93743216,-0.00137329101563,24.1650048357
308,5479.24645711,-0.00141143798828,24.1664557763
309,5474.09194463,-0.00137329101563,24.1664557763
310,5494.70999453,-0.00137329101563,24.1650048357
311,5499.864507,-0.00137329101563,24.1635538919
312,5505.01901947,-0.00143051147461,24.1650048357
313,5530.79158184,-0.00137329101563,24.1664557763
314,5525.63706937,-0.00143051147461,24.1650048357
315,5535.94609431,-0.00139236450195,24.1650048357
316,5535.94609431,-0.00141143798828,24.1664557763
317,5541.10060679,-0.00141143798828,24.1650048357
318,5551.40963173,-0.00137329101563,24.1650048357
319,5551.40963173,-0.0013542175293,24.1664557763
320,5556.56414421,-0.00137329101563,24.1679067137
321,5577.1821941,-0.00141143798828,24.1650048357
322,5587.49121905,-0.00139236450195,24.1664557763
323,5597.800244,-0.00139236450195,24.1650048357
324,5587.49121905,-0.00141143798828,24.1664557763
325,5597.800244,-0.00139236450195,24.1650048357
326,5602.95475647,-0.00143051147461,24.1664557763
327,5608.10926894,-0.00137329101563,24.1679067137
328,5623.57280636,-0.00139236450195,24.1664557763
329,5618.41829389,-0.00141143798828,24.1664557763
330,5623.57280636,-0.0013542175293,24.1679067137
331,5623.57280636,-0.00137329101563,24.1664557763
332,5628.72731884,-0.00139236450195,24.1650048357
333,5628.72731884,-0.0013542175293,24.169357648
334,5633.88183131,-0.00139236450195,24.1679067137
335,5628.72731884,-0.00137329101563,24.1679067137
336,5639.03634378,-0.00139236450195,24.1664557763
337,5649.34536873,-0.00143051147461,24.1664557763
338,5654.4998812,-0.00139236450195,24.1679067137
339,5664.80890615,-0.00137329101563,24.1679067137
340,5675.1179311,-0.00141143798828,24.1664557763
341,5669.96341862,-0.00139236450195,24.1664557763
342,5675.1179311,-0.00141143798828,24.1679067137
343,5680.27244357,-0.00139236450195,24.1664557763
344,5700.89049346,-0.00141143798828,24.169357648
345,5690.58146852,-0.00137329101563,24.169357648
346,5706.04500594,-0.00143051147461,24.1664557763
347,5700.89049346,-0.00139236450195,24.169357648
348,5711.19951841,-0.00139236450195,24.169357648
349,5706.04500594,-0.00137329101563,24.1679067137
350,5711.19951841,-0.00139236450195,24.1679067137
351,5711.19951841,-0.0013542175293,24.1679067137
352,5711.19951841,-0.00139236450195,24.169357648
353,5716.35403088,-0.0013542175293,24.170808579
354,5726.66305583,-0.00141143798828,24.169357648
355,5736.97208078,-0.00141143798828,24.1679067137
356,5731.8175683,-0.00139236450195,24.169357648
357,5731.8175683,-0.00137329101563,24.170808579
358,5757.59013067,-0.00141143798828,24.1679067137
359,5762.74464314,-0.00141143798828,24.169357648
360,5762.74464314,-0.00139236450195,24.169357648
361,5767.89915562,-0.00139236450195,24.1679067137
362,5783.36269304,-0.00143051147461,24.170808579
363,5778.20818056,-0.00141143798828,24.169357648
364,5778.20818056,-0.00137329101563,24.1722595069
365,5788.51720551,-0.0013542175293,24.170808579
366,5788.51720551,-0.0013542175293,24.1722595069
367,5788.51720551,-0.00137329101563,24.170808579
368,5788.51720551,-0.00139236450195,24.1722595069
369,5788.51720551,-0.00141143798828,24.1737104315
370,5793.67171798,-0.00141143798828,24.170808579
371,5793.67171798,-0.00137329101563,24.170808579
372,5793.67171798,-0.00139236450195,24.170808579
373,5793.67171798,-0.00139236450195,24.170808579
374,5793.67171798,-0.00141143798828,24.1679067137
375,5793.67171798,-0.00141143798828,24.1737104315
376,5798.82623046,-0.00141143798828,24.169357648
377,5793.67171798,-0.00143051147461,24.1722595069
378,5803.98074293,-0.00139236450195,24.1722595069
379,5803.98074293,-0.00143051147461,24.1737104315
380,5809.1352554,-0.00137329101563,24.170808579
381,5814.28976788,-0.00139236450195,24.1722595069
382,5819.44428035,-0.00139236450195,24.1737104315
383,5824.59879282,-0.00141143798828,24.175161353
384,5834.90781777,-0.0013542175293,24.1766122714
385,5834.90781777,-0.00139236450195,24.1737104315
386,5855.52586766,-0.00141143798828,24.1737104315
387,5845.21684272,-0.00137329101563,24.1766122714
388,5850.37135519,-0.00137329101563,24.1737104315
389,5850.37135519,-0.00137329101563,24.1780631865
390,5855.52586766,-0.0013542175293,24.1737104315
391,5865.83489261,-0.00139236450195,24.1766122714
392,5876.14391756,-0.00137329101563,24.1780631865
393,5865.83489261,-0.00137329101563,24.1737104315
394,5876.14391756,-0.00137329101563,24.175161353
395,5876.14391756,-0.00139236450195,24.175161353
396,5876.14391756,-0.00139236450195,24.1737104315
397,5881.29843003,-0.00139236450195,24.1722595069
398,5886.4529425,-0.00139236450195,24.1809650073
399,5891.60745498,-0.00139236450195,24.1780631865
400,5896.76196745,-0.00139236450195,24.1737104315
401,5896.76196745,-0.00139236450195,24.1780631865
402,5901.91647992,-0.00139236450195,24.1766122714
403,5917.38001734,-0.00143051147461,24.1780631865
404,5912.22550487,-0.00141143798828,24.1766122714
405,5922.53452982,-0.00137329101563,24.1795140985
406,5922.53452982,-0.00137329101563,24.1766122714
407,5937.99806724,-0.00141143798828,24.1780631865
408,5932.84355476,-0.0013542175293,24.1780631865
409,5953.46160466,-0.00137329101563,24.175161353
410,5963.77062961,-0.00139236450195,24.1737104315
411,5963.77062961,-0.00139236450195,24.1780631865
