"Latest: Time (s)","Latest: Oxygen Gas (ppm)","Latest: Current (A)","Latest: Temperature (°C)"
0,3467.40304391,-0.000572204589844,23.7876433496
1,3467.40304391,-0.000591278076172,23.7861914768
2,3472.50967512,-0.000572204589844,23.7905470835
3,3472.50967512,-0.000572204589844,23.7890952185
4,3487.82956877,-0.000572204589844,23.7919989445
5,3503.14946241,-0.000591278076172,23.7919989445
6,3498.0428312,-0.000591278076172,23.7905470835
7,3492.93619998,-0.000572204589844,23.7919989445
8,3513.36272484,-0.000591278076172,23.7934508016
9,3523.57598727,-0.000591278076172,23.7949026548
10,3523.57598727,-0.000591278076172,23.7934508016
11,3523.57598727,-0.000591278076172,23.796354504
12,3518.46935606,-0.000572204589844,23.7949026548
13,3523.57598727,-0.000591278076172,23.796354504
14,3528.68261849,-0.000591278076172,23.7992581906
15,3523.57598727,-0.000591278076172,23.8021618616
16,3528.68261849,-0.000572204589844,23.8007100281
17,3528.68261849,-0.000591278076172,23.8007100281
18,3528.68261849,-0.000572204589844,23.8036136912
19,3533.7892497,-0.000572204589844,23.8021618616
20,3538.89588092,-0.000572204589844,23.8050655168
21,3533.7892497,-0.000591278076172,23.8050655168
22,3533.7892497,-0.000572204589844,23.8079691565
23,3544.00251214,-0.000572204589844,23.8094209704
24,3544.00251214,-0.000591278076172,23.8065173386
25,3559.32240578,-0.000591278076172,23.8108727805
26,3569.53566821,-0.000572204589844,23.8079691565
27,3574.64229943,-0.000591278076172,23.8108727805
28,3574.64229943,-0.000572204589844,23.8123245866
29,3584.85556186,-0.000572204589844,23.8123245866
30,3589.96219307,-0.000591278076172,23.8108727805
31,3600.1754555,-0.000572204589844,23.8123245866
32,3595.06882429,-0.000591278076172,23.8137763889
33,3605.28208672,-0.000591278076172,23.8123245866
34,3610.38871793,-0.000572204589844,23.8123245866
35,3610.38871793,-0.000572204589844,23.8137763889
36,3615.49534915,-0.000572204589844,23.8152281873
37,3615.49534915,-0.000572204589844,23.8181317723
38,3615.49534915,-0.000591278076172,23.8181317723
39,3615.49534915,-0.000572204589844,23.8152281873
40,3625.70861158,-0.000572204589844,23.8181317723
41,3630.8152428,-0.000591278076172,23.8181317723
42,3641.02850523,-0.000591278076172,23.8181317723
43,3656.34839887,-0.000591278076172,23.819583559
44,3661.45503009,-0.000572204589844,23.8181317723
45,3661.45503009,-0.000591278076172,23.819583559
46,3661.45503009,-0.000572204589844,23.8210353418
47,3676.77492373,-0.000591278076172,23.8181317723
48,3681.88155495,-0.000572204589844,23.8181317723
49,3686.98818616,-0.000591278076172,23.819583559
50,3686.98818616,-0.0006103515625,23.8181317723
51,3686.98818616,-0.000591278076172,23.8210353418
52,3692.09481738,-0.000572204589844,23.819583559
53,3692.09481738,-0.0006103515625,23.8224871208
54,3702.30807981,-0.000572204589844,23.8210353418
55,3707.41471103,-0.000572204589844,23.8210353418
56,3712.52134224,-0.000591278076172,23.8239388958
57,3712.52134224,-0.000591278076172,23.8224871208
58,3727.84123589,-0.000572204589844,23.8224871208
59,3727.84123589,-0.0006103515625,23.8224871208
60,3732.9478671,-0.000591278076172,23.8210353418
61,3743.16112953,-0.000591278076172,23.819583559
62,3748.26776075,-0.0006103515625,23.8224871208
63,3768.69428561,-0.000591278076172,23.8239388958
64,3763.58765439,-0.000572204589844,23.8239388958
65,3784.01417925,-0.000591278076172,23.8210353418
66,3784.01417925,-0.000591278076172,23.8210353418
67,3789.12081047,-0.000591278076172,23.825390667
68,3799.3340729,-0.000591278076172,23.825390667
69,3804.44070412,-0.000591278076172,23.8224871208
70,3799.3340729,-0.000591278076172,23.8239388958
71,3819.76059776,-0.0006103515625,23.8210353418
72,3819.76059776,-0.0006103515625,23.8239388958
73,3824.86722898,-0.000591278076172,23.8210353418
74,3835.08049141,-0.0006103515625,23.8239388958
75,3840.18712262,-0.000572204589844,23.8210353418
76,3835.08049141,-0.0006103515625,23.8239388958
77,3845.29375384,-0.0006103515625,23.8224871208
78,3850.40038505,-0.000591278076172,23.8210353418
79,3845.29375384,-0.000572204589844,23.825390667
80,3845.29375384,-0.000591278076172,23.8224871208
81,3850.40038505,-0.000572204589844,23.8224871208
82,3850.40038505,-0.0006103515625,23.8224871208
83,3850.40038505,-0.000591278076172,23.8210353418
84,3850.40038505,-0.000591278076172,23.819583559
85,3850.40038505,-0.000591278076172,23.8210353418
86,3850.40038505,-0.000591278076172,23.8210353418
87,3850.40038505,-0.000629425048828,23.8210353418
88,3860.61364748,-0.000629425048828,23.819583559
89,3860.61364748,-0.000591278076172,23.8210353418
90,3860.61364748,-0.0006103515625,23.819583559
91,3865.7202787,-0.000572204589844,23.8224871208
92,3875.93354113,-0.000591278076172,23.819583559
93,3886.14680356,-0.0006103515625,23.819583559
94,3896.36006599,-0.000591278076172,23.819583559
95,3891.25343478,-0.0006103515625,23.819583559
96,3901.46669721,-0.0006103515625,23.8181317723
97,3891.25343478,-0.000572204589844,23.819583559
98,3911.67995964,-0.000591278076172,23.8210353418
99,3906.57332842,-0.0006103515625,23.8181317723
100,3921.89322207,-0.000572204589844,23.8210353418
101,3926.99985328,-0.000591278076172,23.819583559
