"Latest: Time (s)","Latest: Current (A)","Latest: Temperature (°C)","Latest: Oxygen Gas (ppm)"
0,-0.000648498535156,23.4463384568,3593.77309847
1,-0.0006103515625,23.4434326909,3599.1935723
2,-0.000629425048828,23.4448855762,3604.61404613
3,-0.0006103515625,23.4434326909,3620.8754676
4,-0.0006103515625,23.4463384568,3626.29594143
5,-0.000667572021484,23.4448855762,3658.81878439
6,-0.000667572021484,23.4434326909,3675.08020587
7,-0.000648498535156,23.4434326909,3685.92115352
8,-0.000629425048828,23.4463384568,3691.34162735
9,-0.000629425048828,23.4448855762,3702.182575
10,-0.0006103515625,23.441979801,3729.28494413
11,-0.000667572021484,23.4434326909,3756.38731326
12,-0.000648498535156,23.4463384568,3772.64873474
13,-0.0006103515625,23.4434326909,3767.22826091
14,-0.000629425048828,23.441979801,3772.64873474
15,-0.000648498535156,23.4448855762,3783.48968239
16,-0.000686645507813,23.4448855762,3788.91015622
17,-0.000629425048828,23.4434326909,3794.33063004
18,-0.000648498535156,23.441979801,3821.43299918
19,-0.000648498535156,23.4434326909,3853.95584213
20,-0.000629425048828,23.4448855762,3859.37631596
21,-0.000648498535156,23.4434326909,3864.79678979
22,-0.000648498535156,23.4448855762,3881.05821126
23,-0.0006103515625,23.4434326909,3908.16058039
24,-0.0006103515625,23.441979801,3908.16058039
25,-0.000648498535156,23.4434326909,3951.524371
26,-0.000629425048828,23.4448855762,3973.20626631
27,-0.000667572021484,23.4405269065,4021.99053075
28,-0.000648498535156,23.4448855762,4027.41100457
29,-0.000629425048828,23.4434326909,4032.8314784
30,-0.0006103515625,23.441979801,4049.09289988
31,-0.000648498535156,23.4405269065,4065.35432136
32,-0.000648498535156,23.441979801,4092.45669049
33,-0.0006103515625,23.4434326909,4108.71811197
34,-0.000648498535156,23.4434326909,4114.13858579
35,-0.000629425048828,23.4434326909,4119.55905962
36,-0.000667572021484,23.4448855762,4135.8204811
37,-0.000629425048828,23.4405269065,4119.55905962
38,-0.000629425048828,23.4434326909,4130.40000727
39,-0.000629425048828,23.4434326909,4152.08190258
40,-0.000667572021484,23.4434326909,4190.02521936
41,-0.0006103515625,23.441979801,4206.28664084
42,-0.000648498535156,23.4434326909,4244.22995762
43,-0.000648498535156,23.4448855762,4255.07090527
44,-0.0006103515625,23.4405269065,4276.75280058
45,-0.000629425048828,23.4448855762,4287.59374823
46,-0.000629425048828,23.441979801,4293.01422206
47,-0.000629425048828,23.4434326909,4303.85516971
48,-0.000648498535156,23.4434326909,4330.95753884
49,-0.000648498535156,23.441979801,4330.95753884
50,-0.000591278076172,23.4405269065,4336.37801267
51,-0.000648498535156,23.4390740073,4363.4803818
52,-0.000648498535156,23.4434326909,4374.32132945
53,-0.000648498535156,23.4434326909,4379.74180328
54,-0.0006103515625,23.4405269065,4379.74180328
55,-0.000629425048828,23.4448855762,4396.00322476
56,-0.000648498535156,23.4434326909,4401.42369858
57,-0.0006103515625,23.441979801,4396.00322476
58,-0.000648498535156,23.4434326909,4433.94654154
59,-0.000648498535156,23.441979801,4450.20796302
60,-0.000648498535156,23.441979801,4461.04891067
61,-0.000667572021484,23.441979801,4471.88985832
62,-0.0006103515625,23.4405269065,4471.88985832
63,-0.000648498535156,23.4390740073,4466.4693845
64,-0.000648498535156,23.441979801,4488.1512798
65,-0.0006103515625,23.4390740073,4504.41270128
66,-0.000648498535156,23.4448855762,4531.51507041
67,-0.0006103515625,23.4405269065,4547.77649189
68,-0.000667572021484,23.441979801,4547.77649189
69,-0.000648498535156,23.441979801,4553.19696572
70,-0.000629425048828,23.4390740073,4553.19696572
71,-0.000667572021484,23.4405269065,4580.29933485
72,-0.000667572021484,23.4390740073,4591.1402825
73,-0.000648498535156,23.4405269065,4607.40170398
74,-0.000629425048828,23.4390740073,4607.40170398
75,-0.000648498535156,23.4405269065,4634.50407311
76,-0.000667572021484,23.441979801,4661.60644224
77,-0.000648498535156,23.4390740073,4672.44738989
78,-0.000648498535156,23.4390740073,4694.1292852
79,-0.000648498535156,23.441979801,4694.1292852
80,-0.000667572021484,23.4376211035,4710.39070668
81,-0.000648498535156,23.4405269065,4721.23165433
82,-0.000629425048828,23.436168195,4721.23165433
83,-0.000648498535156,23.441979801,4721.23165433
84,-0.000629425048828,23.4390740073,4721.23165433
85,-0.0006103515625,23.4376211035,4721.23165433
86,-0.000629425048828,23.4347152819,4732.07260198
87,-0.000629425048828,23.436168195,4737.49307581
88,-0.000629425048828,23.4405269065,4753.75449729
89,-0.000648498535156,23.4405269065,4780.85686642
90,-0.000648498535156,23.4332623642,4775.43639259
91,-0.000648498535156,23.4376211035,4797.1182879
92,-0.0006103515625,23.436168195,4797.1182879
93,-0.0006103515625,23.4347152819,4807.95923555
94,-0.000629425048828,23.4390740073,4813.37970938
95,-0.000667572021484,23.4390740073,4818.8001832
96,-0.000629425048828,23.4332623642,4829.64113085
97,-0.000629425048828,23.436168195,4851.32302616
98,-0.000629425048828,23.4390740073,4856.74349999
99,-0.000629425048828,23.436168195,4873.00492146
100,-0.000629425048828,23.436168195,4894.68681677
101,-0.000629425048828,23.4347152819,4910.94823825
102,-0.000629425048828,23.4347152819,4916.36871207
103,-0.000648498535156,23.4332623642,4921.7891859
104,-0.000629425048828,23.436168195,4943.47108121
105,-0.000667572021484,23.436168195,4948.89155503
106,-0.000629425048828,23.4318094417,4975.99392416
107,-0.000629425048828,23.4332623642,4975.99392416
108,-0.0006103515625,23.4318094417,4975.99392416
109,-0.000648498535156,23.4347152819,4986.83487182
110,-0.000648498535156,23.436168195,4986.83487182
111,-0.000667572021484,23.4347152819,5008.51676712
112,-0.000629425048828,23.4332623642,5013.93724095
113,-0.000629425048828,23.4318094417,5019.35771477
114,-0.000629425048828,23.4318094417,5041.03961008
115,-0.000629425048828,23.4318094417,5041.03961008
116,-0.0006103515625,23.4332623642,5057.30103156
117,-0.000667572021484,23.4347152819,5062.72150538
118,-0.000648498535156,23.436168195,5062.72150538
119,-0.0006103515625,23.4332623642,5068.14197921
120,-0.000648498535156,23.4332623642,5068.14197921
121,-0.0006103515625,23.4332623642,5068.14197921
122,-0.000648498535156,23.4318094417,5073.56245304
123,-0.000667572021484,23.4332623642,5078.98292686
124,-0.000667572021484,23.436168195,5084.40340069
125,-0.000629425048828,23.4289035829,5084.40340069
126,-0.0006103515625,23.4318094417,5100.66482217
127,-0.000629425048828,23.4289035829,5095.24434834
128,-0.000629425048828,23.4318094417,5122.34671747
129,-0.000629425048828,23.4303565147,5138.60813895
130,-0.000648498535156,23.4332623642,5154.86956043
131,-0.000629425048828,23.4332623642,5160.29003426
132,-0.0006103515625,23.4289035829,5149.4490866
133,-0.000629425048828,23.4289035829,5154.86956043
134,-0.000629425048828,23.4318094417,5165.71050808
135,-0.000648498535156,23.4289035829,5176.55145573
136,-0.000648498535156,23.4318094417,5198.23335104
137,-0.000648498535156,23.4318094417,5198.23335104
138,-0.000648498535156,23.436168195,5209.07429869
139,-0.000629425048828,23.4289035829,5203.65382486
140,-0.000629425048828,23.4274506465,5225.33572017
141,-0.000648498535156,23.4274506465,5219.91524634
142,-0.000629425048828,23.4274506465,5236.17666782
143,-0.0006103515625,23.4274506465,5247.01761547
144,-0.000648498535156,23.4289035829,5263.27903695
145,-0.000629425048828,23.4259977054,5247.01761547
146,-0.000629425048828,23.4289035829,5263.27903695
147,-0.0006103515625,23.4289035829,5274.11998461
148,-0.0006103515625,23.4289035829,5284.96093226
149,-0.000648498535156,23.4259977054,5284.96093226
150,-0.000686645507813,23.4289035829,5295.80187991
151,-0.000629425048828,23.4245447597,5301.22235374
152,-0.000667572021484,23.4259977054,5328.32472287
153,-0.000648498535156,23.4289035829,5328.32472287
154,-0.000629425048828,23.4274506465,5344.58614435
155,-0.000648498535156,23.4289035829,5344.58614435
156,-0.000648498535156,23.4259977054,5350.00661817
157,-0.000629425048828,23.4259977054,5360.84756583
158,-0.000648498535156,23.4289035829,5377.1089873
159,-0.000648498535156,23.4259977054,5393.37040878
160,-0.000648498535156,23.4259977054,5398.79088261
161,-0.000648498535156,23.4259977054,5409.63183026
162,-0.000648498535156,23.4230918093,5398.79088261
163,-0.000648498535156,23.4259977054,5409.63183026
164,-0.000667572021484,23.4216388542,5420.47277791
165,-0.000629425048828,23.4259977054,5425.89325174
166,-0.000629425048828,23.4318094417,5431.31372557
167,-0.000629425048828,23.4259977054,5431.31372557
168,-0.000629425048828,23.41873293,5436.73419939
169,-0.000648498535156,23.4274506465,5442.15467322
170,-0.000667572021484,23.4230918093,5452.99562087
171,-0.000648498535156,23.4245447597,5458.4160947
172,-0.000629425048828,23.4245447597,5474.67751618
173,-0.000629425048828,23.4245447597,5480.09799
174,-0.000629425048828,23.4245447597,5485.51846383
175,-0.000629425048828,23.4216388542,5485.51846383
176,-0.0006103515625,23.4230918093,5490.93893766
177,-0.0006103515625,23.4230918093,5496.35941148
178,-0.000629425048828,23.4201858944,5496.35941148
179,-0.000667572021484,23.4172799609,5501.77988531
180,-0.000629425048828,23.4245447597,5501.77988531
181,-0.000667572021484,23.4274506465,5501.77988531
182,-0.0006103515625,23.41873293,5501.77988531
183,-0.000648498535156,23.4201858944,5507.20035913
184,-0.000648498535156,23.4201858944,5507.20035913
185,-0.000629425048828,23.4216388542,5512.62083296
186,-0.0006103515625,23.415826987,5507.20035913
187,-0.000629425048828,23.415826987,5518.04130679
188,-0.000629425048828,23.4216388542,5528.88225444
189,-0.000648498535156,23.4172799609,5545.14367592
190,-0.000648498535156,23.4245447597,5561.4050974
191,-0.0006103515625,23.4129210253,5550.56414974
192,-0.000629425048828,23.415826987,5545.14367592
193,-0.000648498535156,23.4201858944,5583.0869927
194,-0.000648498535156,23.4172799609,5577.66651888
195,-0.000667572021484,23.4201858944,5588.50746653
196,-0.000648498535156,23.4216388542,5604.76888801
197,-0.0006103515625,23.41873293,5604.76888801
198,-0.000648498535156,23.4143740085,5604.76888801
199,-0.000629425048828,23.415826987,5588.50746653
200,-0.0006103515625,23.4129210253,5626.45078331
201,-0.000591278076172,23.4100150449,5626.45078331
202,-0.000629425048828,23.4143740085,5637.29173096
203,-0.0006103515625,23.4172799609,5653.55315244
204,-0.000629425048828,23.4172799609,5658.97362627
205,-0.000667572021484,23.41873293,5664.39410009
206,-0.000629425048828,23.41873293,5664.39410009
207,-0.000648498535156,23.415826987,5669.81457392
208,-0.000629425048828,23.4172799609,5675.23504775
209,-0.000591278076172,23.4172799609,5669.81457392
210,-0.000629425048828,23.4114680375,5675.23504775
211,-0.0006103515625,23.4114680375,5680.65552157
212,-0.000648498535156,23.4100150449,5691.49646923
213,-0.000629425048828,23.4129210253,5680.65552157
214,-0.000629425048828,23.4143740085,5691.49646923
215,-0.000629425048828,23.4172799609,5691.49646923
216,-0.000648498535156,23.4129210253,5713.17836453
217,-0.000686645507813,23.4172799609,5713.17836453
218,-0.0006103515625,23.4129210253,5718.59883836
219,-0.0006103515625,23.4143740085,5718.59883836
220,-0.000648498535156,23.4201858944,5729.43978601
221,-0.000629425048828,23.4172799609,5740.28073366
222,-0.000629425048828,23.4143740085,5740.28073366
223,-0.0006103515625,23.4129210253,5734.86025984
224,-0.0006103515625,23.4114680375,5734.86025984
225,-0.0006103515625,23.4143740085,5756.54215514
226,-0.000629425048828,23.4129210253,5756.54215514
227,-0.000686645507813,23.4143740085,5761.96262897
228,-0.0006103515625,23.4129210253,5767.38310279
229,-0.000629425048828,23.4129210253,5767.38310279
230,-0.000667572021484,23.4114680375,5772.80357662
231,-0.000667572021484,23.4114680375,5778.22405045
232,-0.0006103515625,23.415826987,5778.22405045
233,-0.000629425048828,23.4100150449,5767.38310279
234,-0.000648498535156,23.4114680375,5794.48547192
235,-0.000648498535156,23.4100150449,5794.48547192
236,-0.000629425048828,23.4100150449,5794.48547192
237,-0.0006103515625,23.4100150449,5805.32641958
238,-0.000648498535156,23.4100150449,5816.16736723
239,-0.000648498535156,23.4056560389,5805.32641958
240,-0.000648498535156,23.4085620476,5816.16736723
241,-0.0006103515625,23.4143740085,5837.84926253
242,-0.000648498535156,23.4114680375,5837.84926253
243,-0.000629425048828,23.4100150449,5843.26973636
244,-0.000629425048828,23.4085620476,5832.42878871
245,-0.000648498535156,23.4071090456,5843.26973636
246,-0.000648498535156,23.4071090456,5843.26973636
247,-0.000667572021484,23.4071090456,5843.26973636
248,-0.000667572021484,23.4071090456,5848.69021019
249,-0.000629425048828,23.4056560389,5848.69021019
