"Latest: Time (s)","Latest: Current (A)","Latest: Oxygen Gas (ppm)","Latest: Temperature (°C)"
0,-0.000190734863281,4201.30566883,23.3373593605
1,-0.000209808349609,4231.42255197,23.3373593605
2,-0.000190734863281,4236.44203249,23.3388125917
3,-0.000209808349609,4266.55891562,23.3373593605
4,-0.000171661376953,4271.57839615,23.3373593605
5,-0.000152587890625,4296.67579876,23.3388125917
6,-0.000171661376953,4311.73424033,23.3373593605
7,-0.000171661376953,4326.7926819,23.3388125917
8,-0.000190734863281,4341.85112346,23.3388125917
9,-0.000171661376953,4341.85112346,23.3359061244
10,-0.000171661376953,4366.94852608,23.3388125917
11,-0.000152587890625,4366.94852608,23.3402658181
12,-0.000171661376953,4371.9680066,23.3373593605
13,-0.000190734863281,4387.02644817,23.3388125917
14,-0.000190734863281,4407.10437026,23.3402658181
15,-0.000190734863281,4437.22125339,23.3373593605
16,-0.000171661376953,4457.29917548,23.3388125917
17,-0.000171661376953,4477.37709757,23.3373593605
18,-0.000171661376953,4492.43553914,23.3402658181
19,-0.000190734863281,4512.51346123,23.3388125917
20,-0.000171661376953,4517.53294175,23.3402658181
21,-0.000171661376953,4537.61086384,23.3402658181
22,-0.000209808349609,4557.68878594,23.3373593605
23,-0.000152587890625,4567.72774698,23.3388125917
24,-0.000171661376953,4587.80566907,23.3388125917
25,-0.000171661376953,4602.86411064,23.3388125917
26,-0.000133514404297,4602.86411064,23.3402658181
27,-0.000171661376953,4632.98099377,23.3359061244
28,-0.000171661376953,4632.98099377,23.3402658181
29,-0.000190734863281,4663.09787691,23.3373593605
30,-0.000171661376953,4668.11735743,23.3388125917
31,-0.000152587890625,4678.15631848,23.3388125917
32,-0.000171661376953,4683.175799,23.3402658181
33,-0.000171661376953,4688.19527952,23.3388125917
34,-0.000152587890625,4693.21476005,23.3402658181
35,-0.000152587890625,4703.25372109,23.3402658181
36,-0.000171661376953,4728.3511237,23.3431722563
37,-0.000190734863281,4743.40956527,23.3388125917
38,-0.000171661376953,4753.44852632,23.3402658181
39,-0.000190734863281,4758.46800684,23.3417190396
40,-0.000133514404297,4763.48748736,23.3417190396
41,-0.000114440917969,4773.52644841,23.3417190396
42,-0.000152587890625,4793.6043705,23.3402658181
43,-0.000152587890625,4808.66281207,23.3402658181
44,-0.000152587890625,4803.64333154,23.3431722563
45,-0.000152587890625,4833.76021468,23.3402658181
46,-0.000133514404297,4853.83813677,23.3417190396
47,-0.000152587890625,4873.91605886,23.3417190396
48,-0.000171661376953,4899.01346147,23.3417190396
49,-0.000152587890625,4899.01346147,23.3388125917
50,-0.000133514404297,4914.07190304,23.3431722563
51,-0.000152587890625,4919.09138356,23.3417190396
52,-0.000152587890625,4924.11086409,23.3417190396
53,-0.000152587890625,4929.13034461,23.3431722563
54,-0.000171661376953,4924.11086409,23.3417190396
55,-0.000209808349609,4934.14982513,23.3417190396
56,-0.000171661376953,4944.18878618,23.3446254682
57,-0.000190734863281,4969.28618879,23.3402658181
58,-0.000152587890625,4984.34463036,23.3373593605
59,-0.000152587890625,4984.34463036,23.3402658181
60,-0.000171661376953,4989.36411088,23.3431722563
61,-0.000171661376953,4994.3835914,23.3431722563
62,-0.000133514404297,5004.42255245,23.3417190396
63,-0.000171661376953,5019.48099401,23.3431722563
64,-0.000190734863281,5029.51995506,23.3402658181
65,-0.000209808349609,5044.57839663,23.3402658181
66,-0.000133514404297,5064.65631872,23.3431722563
67,-0.000171661376953,5079.71476029,23.3402658181
68,-0.000152587890625,5094.77320185,23.3417190396
69,-0.000133514404297,5114.85112394,23.3417190396
70,-0.000152587890625,5124.89008499,23.3402658181
71,-0.000114440917969,5139.94852656,23.3446254682
72,-0.000133514404297,5149.9874876,23.3402658181
73,-0.000171661376953,5160.02644865,23.3417190396
74,-0.000152587890625,5160.02644865,23.3431722563
75,-0.000171661376953,5175.08489022,23.3417190396
76,-0.000171661376953,5180.10437074,23.3417190396
77,-0.000133514404297,5195.16281231,23.3417190396
78,-0.000171661376953,5205.20177335,23.3402658181
79,-0.000171661376953,5220.26021492,23.3402658181
80,-0.000171661376953,5230.29917596,23.3402658181
81,-0.000190734863281,5235.31865649,23.3446254682
82,-0.000171661376953,5245.35761753,23.3431722563
83,-0.000152587890625,5250.37709805,23.3417190396
84,-0.000190734863281,5260.4160591,23.3402658181
85,-0.000152587890625,5265.43553962,23.3402658181
86,-0.000114440917969,5295.55242276,23.3417190396
87,-0.000133514404297,5300.57190328,23.3417190396
