"Latest: Time (s)","Latest: Oxygen Gas (ppm)","Latest: Current (A)","Latest: Temperature (°C)"
0,4051.44650198,-0.00141143798828,25.5206261828
1,4046.29198951,-0.0013542175293,25.5206261828
2,4061.75552693,-0.0013542175293,25.5249737668
3,4066.9100394,-0.00141143798828,25.5148293965
4,4066.9100394,-0.00141143798828,25.5162785939
5,4066.9100394,-0.00141143798828,25.5177277908
6,4066.9100394,-0.00141143798828,25.522075378
7,4072.06455187,-0.00137329101563,25.5235245727
8,4087.52808929,-0.00143051147461,25.5162785939
9,4087.52808929,-0.00141143798828,25.5191769871
10,4123.60967661,-0.00139236450195,25.5177277908
11,4128.76418908,-0.00139236450195,25.5191769871
12,4144.2277265,-0.00143051147461,25.5148293965
13,4144.2277265,-0.00137329101563,25.5206261828
14,4144.2277265,-0.00139236450195,25.5148293965
15,4154.53675145,-0.00144958496094,25.5148293965
16,4170.00028887,-0.00143051147461,25.5104818009
17,4190.61833876,-0.00144958496094,25.507583401
18,4206.08187618,-0.00144958496094,25.507583401
19,4216.39090113,-0.00143051147461,25.5090326013
20,4221.5454136,-0.00141143798828,25.5090326013
21,4242.1634635,-0.00141143798828,25.5090326013
22,4247.31797597,-0.00141143798828,25.5090326013
23,4283.39956328,-0.00144958496094,25.507583401
24,4298.8631007,-0.00144958496094,25.5032357969
25,4309.17212565,-0.00141143798828,25.5061342002
26,4314.32663812,-0.00144958496094,25.4988881875
27,4314.32663812,-0.00141143798828,25.5032357969
28,4324.63566307,-0.00141143798828,25.5032357969
29,4340.09920049,-0.00141143798828,25.4988881875
30,4360.71725038,-0.00143051147461,25.4959897783
31,4360.71725038,-0.00143051147461,25.4974389832
32,4386.48981275,-0.00143051147461,25.4945405728
33,4396.7988377,-0.00146865844727,25.4945405728
34,4391.64432522,-0.00144958496094,25.4930913667
35,4396.7988377,-0.00144958496094,25.49164216
36,4401.95335017,-0.00144958496094,25.49164216
37,4396.7988377,-0.00141143798828,25.4901929527
38,4401.95335017,-0.00141143798828,25.4901929527
39,4412.26237512,-0.00143051147461,25.49164216
40,4432.88042501,-0.00139236450195,25.4887437448
41,4438.03493748,-0.00139236450195,25.49164216
42,4453.4984749,-0.00144958496094,25.4872945363
43,4463.80749985,-0.00143051147461,25.4872945363
44,4474.1165248,-0.00141143798828,25.4872945363
45,4484.42554974,-0.00144958496094,25.4829469071
46,4489.58006222,-0.00144958496094,25.4814976961
47,4505.04359964,-0.00144958496094,25.4771500594
48,4510.19811211,-0.00146865844727,25.4785992723
49,4541.12518695,-0.00146865844727,25.4713532016
50,4551.4342119,-0.00143051147461,25.4757008459
51,4556.58872437,-0.00148773193359,25.4713532016
52,4561.74323685,-0.00139236450195,25.4684547689
53,4566.89774932,-0.00141143798828,25.4699039856
54,4572.05226179,-0.00144958496094,25.4684547689
55,4582.36128674,-0.00143051147461,25.4655563336
56,4602.97933663,-0.00146865844727,25.4641071149
57,4623.59738653,-0.00144958496094,25.4641071149
58,4623.59738653,-0.00139236450195,25.4626578956
59,4639.06092395,-0.00144958496094,25.4568610117
60,4654.52446137,-0.00144958496094,25.4568610117
61,4659.67897384,-0.00143051147461,25.4568610117
62,4685.45153621,-0.00144958496094,25.4510641171
63,4700.91507363,-0.00143051147461,25.4452672116
64,4716.37861105,-0.00144958496094,25.4438179835
65,4726.68763599,-0.00143051147461,25.439470295
66,4731.84214847,-0.00144958496094,25.4365718324
67,4731.84214847,-0.00146865844727,25.4380210641
68,4736.99666094,-0.00143051147461,25.4351226001
69,4747.30568589,-0.00141143798828,25.4322241333
70,4762.76922331,-0.00139236450195,25.4278764277
71,4793.69629815,-0.00144958496094,25.4249779536
72,4798.85081062,-0.00143051147461,25.4249779536
73,4804.00532309,-0.00146865844727,25.4220794767
74,4804.00532309,-0.00141143798828,25.4206302371
75,4804.00532309,-0.00141143798828,25.4220794767
76,4809.15983557,-0.00143051147461,25.4162825138
77,4809.15983557,-0.00143051147461,25.4177317557
78,4809.15983557,-0.00144958496094,25.4133840279
79,4814.31434804,-0.00143051147461,25.410485539
80,4829.77788546,-0.00144958496094,25.410485539
81,4834.93239793,-0.00141143798828,25.407587047
82,4850.39593535,-0.00143051147461,25.4032393033
83,4860.7049603,-0.00143051147461,25.4032393033
84,4891.63203514,-0.00148773193359,25.4003408036
85,4896.78654762,-0.00148773193359,25.3988915526
86,4907.09557256,-0.00143051147461,25.3988915526
87,4932.86813493,-0.00146865844727,25.3945437948
88,4932.86813493,-0.00143051147461,25.3959930482
89,4958.6406973,-0.00144958496094,25.3930945406
90,4968.94972224,-0.00144958496094,25.3901960299
91,4974.10423472,-0.00143051147461,25.3887467733
92,4979.25874719,-0.00144958496094,25.3858482578
93,4974.10423472,-0.00143051147461,25.387297516
94,4989.56777214,-0.00141143798828,25.3858482578
95,4989.56777214,-0.00143051147461,25.380051217
96,5005.03130956,-0.00146865844727,25.3757034278
97,5015.3403345,-0.00146865844727,25.3771526917
98,5030.80387192,-0.00139236450195,25.3757034278
99,5046.26740934,-0.00143051147461,25.3728048975
100,5056.57643429,-0.00144958496094,25.3699063639
101,5051.42192182,-0.00139236450195,25.3699063639
102,5056.57643429,-0.00141143798828,25.3670078269
103,5061.73094676,-0.00143051147461,25.3641092865
104,5082.34899666,-0.00143051147461,25.3626600151
105,5113.2760715,-0.00144958496094,25.3597614696
106,5102.96704655,-0.00143051147461,25.3597614696
107,5102.96704655,-0.00143051147461,25.3554136449
108,5123.58509644,-0.00144958496094,25.3510658125
109,5133.89412139,-0.00146865844727,25.3510658125
110,5139.04863386,-0.00144958496094,25.3496165332
111,5139.04863386,-0.00146865844727,25.3481672531
112,5139.04863386,-0.00141143798828,25.3467179721
113,5139.04863386,-0.00146865844727,25.3365729801
114,5139.04863386,-0.00141143798828,25.3394715537
115,5144.20314634,-0.00146865844727,25.3336744029
