"Latest: Time (s)","Latest: Current (A)","Latest: Temperature (°C)","Latest: Oxygen Gas (ppm)"
0,-0.000724792480469,25.5264229603,3859.37631596
1,-0.000705718994141,25.5177277908,3864.79678979
2,-0.000762939453125,25.5162785939,3875.63773744
3,-0.000743865966797,25.5162785939,3870.21726361
4,-0.000782012939453,25.5148293965,3875.63773744
5,-0.000762939453125,25.5148293965,3881.05821126
6,-0.000743865966797,25.511931,3891.89915892
7,-0.000743865966797,25.5090326013,3908.16058039
8,-0.000782012939453,25.5104818009,3940.68342335
9,-0.000743865966797,25.5090326013,3940.68342335
10,-0.000782012939453,25.5046849988,3956.94484483
11,-0.000743865966797,25.5032357969,3962.36531866
12,-0.000743865966797,25.5017865943,3973.20626631
13,-0.000743865966797,25.4974389832,3994.88816161
14,-0.000762939453125,25.5003373912,4005.72910927
15,-0.000762939453125,25.4959897783,4016.57005692
16,-0.000743865966797,25.4945405728,4021.99053075
17,-0.000762939453125,25.49164216,4032.8314784
18,-0.000743865966797,25.49164216,4032.8314784
19,-0.000724792480469,25.4887437448,4049.09289988
20,-0.000743865966797,25.4872945363,4043.67242605
21,-0.000762939453125,25.4843961175,4065.35432136
22,-0.000743865966797,25.4829469071,4065.35432136
23,-0.000743865966797,25.4814976961,4092.45669049
24,-0.000743865966797,25.4829469071,4103.29763814
25,-0.000743865966797,25.4771500594,4108.71811197
26,-0.000762939453125,25.4757008459,4114.13858579
27,-0.000762939453125,25.4757008459,4114.13858579
28,-0.000743865966797,25.4713532016,4119.55905962
29,-0.000782012939453,25.4699039856,4119.55905962
30,-0.000724792480469,25.4670055516,4119.55905962
31,-0.000762939453125,25.4684547689,4119.55905962
32,-0.000743865966797,25.4641071149,4130.40000727
33,-0.000762939453125,25.4626578956,4135.8204811
34,-0.000762939453125,25.4583102337,4146.66142875
35,-0.000743865966797,25.4525133418,4152.08190258
36,-0.000724792480469,25.4525133418,4184.60474553
37,-0.000743865966797,25.4481656657,4195.44569319
38,-0.000762939453125,25.4510641171,4200.86616701
39,-0.000743865966797,25.4496148918,4211.70711466
40,-0.000762939453125,25.4452672116,4233.38900997
41,-0.000782012939453,25.4409195252,4255.07090527
42,-0.000762939453125,25.4438179835,4255.07090527
43,-0.000762939453125,25.4409195252,4271.33232675
44,-0.000762939453125,25.4351226001,4287.59374823
45,-0.000782012939453,25.4380210641,4287.59374823
46,-0.000743865966797,25.4351226001,4287.59374823
47,-0.000743865966797,25.4322241333,4287.59374823
48,-0.000782012939453,25.4307748988,4293.01422206
49,-0.000762939453125,25.4293256636,4303.85516971
50,-0.000762939453125,25.4278764277,4320.11659119
51,-0.000782012939453,25.426427191,4325.53706501
52,-0.000762939453125,25.4235287155,4336.37801267
53,-0.000762939453125,25.4235287155,4363.4803818
54,-0.000762939453125,25.4220794767,4358.05990797
55,-0.000762939453125,25.4220794767,4368.90085562
56,-0.000743865966797,25.4162825138,4374.32132945
57,-0.000762939453125,25.4162825138,4379.74180328
58,-0.000762939453125,25.4177317557,4379.74180328
59,-0.000762939453125,25.4148332712,4379.74180328
60,-0.000762939453125,25.4133840279,4379.74180328
61,-0.000743865966797,25.410485539,4390.58275093
62,-0.000782012939453,25.4119347838,4385.1622771
63,-0.000762939453125,25.4090362934,4401.42369858
64,-0.000762939453125,25.4061377999,4396.00322476
65,-0.000762939453125,25.4061377999,4406.84417241
66,-0.000762939453125,25.4003408036,4423.10559389
67,-0.000762939453125,25.4017900538,4428.52606771
68,-0.000762939453125,25.3988915526,4444.78748919
69,-0.000762939453125,25.3945437948,4455.62843684
70,-0.000762939453125,25.3930945406,4466.4693845
71,-0.000762939453125,25.3916452857,4466.4693845
72,-0.000762939453125,25.3887467733,4466.4693845
73,-0.000743865966797,25.3901960299,4471.88985832
74,-0.000762939453125,25.387297516,4482.73080598
75,-0.000762939453125,25.3887467733,4493.57175363
76,-0.000743865966797,25.3843989988,4493.57175363
77,-0.000743865966797,25.3843989988,4509.83317511
78,-0.000782012939453,25.380051217,4515.25364893
79,-0.000724792480469,25.3771526917,4531.51507041
80,-0.000743865966797,25.3771526917,4536.93554424
81,-0.000762939453125,25.3742541631,4547.77649189
82,-0.000762939453125,25.3742541631,4553.19696572
83,-0.000743865966797,25.3713556311,4553.19696572
84,-0.000762939453125,25.3670078269,4553.19696572
85,-0.000762939453125,25.3641092865,4564.03791337
86,-0.000762939453125,25.3655585572,4569.4583872
87,-0.000762939453125,25.3597614696,4580.29933485
88,-0.000743865966797,25.3597614696,4580.29933485
89,-0.000762939453125,25.3568629207,4591.1402825
90,-0.000724792480469,25.3525150908,4607.40170398
91,-0.000782012939453,25.3525150908,4612.82217781
92,-0.000782012939453,25.3496165332,4623.66312546
93,-0.000762939453125,25.3467179721,4639.92454694
94,-0.000743865966797,25.3438194074,4650.76549459
95,-0.000743865966797,25.3409208392,4650.76549459
96,-0.000743865966797,25.3394715537,4661.60644224
97,-0.000782012939453,25.3336744029,4677.86786372
98,-0.000782012939453,25.3365729801,4683.28833755
99,-0.000782012939453,25.330775822,4699.54975903
100,-0.000724792480469,25.3293265302,4699.54975903
101,-0.000782012939453,25.3264279438,4704.97023285
102,-0.000762939453125,25.3264279438,4710.39070668
103,-0.000743865966797,25.3264279438,4715.8111805
104,-0.000743865966797,25.3220800573,4715.8111805
105,-0.000724792480469,25.3235293537,4715.8111805
106,-0.000743865966797,25.3206307599,4721.23165433
107,-0.000762939453125,25.3177321624,4721.23165433
108,-0.000762939453125,25.3177321624,4721.23165433
109,-0.000743865966797,25.313384259,4721.23165433
110,-0.000762939453125,25.3119349559,4726.65212816
111,-0.000743865966797,25.3119349559,4721.23165433
112,-0.000762939453125,25.3119349559,4726.65212816
113,-0.000762939453125,25.310485652,4742.91354963
114,-0.000762939453125,25.3061377343,4737.49307581
115,-0.000762939453125,25.3046884265,4748.33402346
116,-0.000743865966797,25.3046884265,4764.59544494
117,-0.000743865966797,25.3032391177,4764.59544494
118,-0.000743865966797,25.3017898079,4786.27734024
119,-0.000762939453125,25.3032391177,4786.27734024
120,-0.000762939453125,25.3003404972,4786.27734024
121,-0.000743865966797,25.2988911855,4802.53876172
122,-0.000782012939453,25.2945432445,4807.95923555
123,-0.000762939453125,25.2959925592,4802.53876172
124,-0.000762939453125,25.2887459761,4807.95923555
125,-0.000762939453125,25.2872966565,4807.95923555
126,-0.000743865966797,25.2901952947,4807.95923555
127,-0.000743865966797,25.2858473359,4813.37970938
128,-0.000782012939453,25.2829486917,4813.37970938
129,-0.000724792480469,25.2800500434,4818.8001832
130,-0.000762939453125,25.2771513911,4829.64113085
131,-0.000762939453125,25.2771513911,4835.06160468
132,-0.000762939453125,25.2742527347,4845.90255233
