Cell 1 Timestamp,Cell 1 Timestamp,25pctCell 1 Current,25pctCell 1 Voltage,25pct Cell 1 Temp,Cell 2 Timestamp,Cell 2 Timestamp,25pctCell 2 Current,25pctCell 2 Voltage,25pct Cell 2 Temp,Cell 3 Timestamp,Cell 3 Timestamp,25pctCell 3 Current,25pctCell 3 Voltage,25pct Cell 3 Temp,Cell 4 Timestamp,Cell 4 Timestamp,25pctCell 4 Current,25pctCell 4 Voltage,25pct Cell 4 Temp,Cell 5 Timestamp,Cell 5 Timestamp,20pctCell 5 Current,20pctCell 5 Voltage,20pct Cell 5 Temp,Cell 6 Timestamp,Cell 6 Timestamp,20pctCell 6 Current,20pctCell 6 Voltage,20pct Cell 6 Temp,Cell 7 Timestamp,Cell 7 Timestamp,20pctCell 7 Current,20pctCell 7 Voltage,20pct Cell 7 Temp,Cell 8 Timestamp,Cell 8 Timestamp,20pctCell 8 Current,20pctCell 8 Voltage,20pct Cell 8 Temp,Cell 9 Timestamp,Cell 9 Timestamp,15pctCell 9 Current,15pctCell 9 Voltage,15pct Cell 9 Temp,Cell 10 Timestamp,Cell 10 Timestamp,15pctCell 10 Current,15pctCell 10 Voltage,15pct Cell 10 Temp,Cell 11 Timestamp,Cell 11 Timestamp,10pctCell 11 Current,10pctCell 11 Voltage,10pct Cell 11 Temp,Cell 12 Timestamp,Cell 12 Timestamp,10pctCell 12 Current,10pctCell 12 Voltage,10pct Cell 12 Temp,Cell 13 Timestamp,Cell 13 Timestamp,5pctCell 13 Current,5pctCell 13 Voltage,5pct Cell 13 Temp,Cell 14 Timestamp,Cell 14 Timestamp,5pctCell 14 Current,5pctCell 14 Voltage,5pct Cell 14 Temp,Cell 15 Timestamp,Cell 15 Timestamp,5pctCell 15 Current,5pctCell 15 Voltage,5pct Cell 15 Temp,Cell 16 Timestamp,Cell 16 Timestamp,5pctCell 16 Current,5pctCell 16 Voltage,5pct Cell 16 Temp
10-24-2025-Fri 18-46-37-PM,10-24-2025-Fri 18-46-37-PM,0.1,5.848,-54.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-24-2025-Fri 18-46-37-PM,10-24-2025-Fri 18-46-37-PM,0.3,5.856,-52.2046,10-24-2025-Fri 18-46-37-PM,10-24-2025-Fri 18-46-37-PM,0.3,5.848,-58.3719,10-24-2025-Fri 18-46-37-PM,10-24-2025-Fri 18-46-37-PM,0.2,5.86,-54.809,10-24-2025-Fri 18-46-37-PM,10-24-2025-Fri 18-46-37-PM,0.1,5.856,-56.2626,10-24-2025-Fri 18-46-37-PM,10-24-2025-Fri 18-46-37-PM,0.2,5.86,-52.642,10-24-2025-Fri 18-46-37-PM,10-24-2025-Fri 18-46-37-PM,-0.2,5.848,-54.6468,10-24-2025-Fri 18-46-37-PM,10-24-2025-Fri 18-46-37-PM,0.2,5.864,-51.927,10-24-2025-Fri 18-46-37-PM,10-24-2025-Fri 18-46-37-PM,0.2,5.848,-54.4818,10-24-2025-Fri 18-46-37-PM,10-24-2025-Fri 18-46-37-PM,0.1,5.856,-53.343
10-24-2025-Fri 18-46-40-PM,10-24-2025-Fri 18-46-40-PM,0.2,5.848,-54.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-24-2025-Fri 18-46-40-PM,10-24-2025-Fri 18-46-40-PM,0.3,5.856,-52.2375,10-24-2025-Fri 18-46-40-PM,10-24-2025-Fri 18-46-40-PM,0.3,5.852,-58.3719,10-24-2025-Fri 18-46-40-PM,10-24-2025-Fri 18-46-40-PM,-0.1,5.86,-54.842,10-24-2025-Fri 18-46-40-PM,10-24-2025-Fri 18-46-40-PM,0.0,5.86,-56.2626,10-24-2025-Fri 18-46-40-PM,10-24-2025-Fri 18-46-40-PM,0.2,5.856,-52.675,10-24-2025-Fri 18-46-40-PM,10-24-2025-Fri 18-46-40-PM,-0.1,5.848,-54.6798,10-24-2025-Fri 18-46-40-PM,10-24-2025-Fri 18-46-40-PM,0.1,5.86,-51.96,10-24-2025-Fri 18-46-40-PM,10-24-2025-Fri 18-46-40-PM,0.2,5.848,-54.4818,10-24-2025-Fri 18-46-40-PM,10-24-2025-Fri 18-46-40-PM,-0.1,5.852,-53.36
10-24-2025-Fri 18-46-47-PM,10-24-2025-Fri 18-46-47-PM,0.4,5.848,-54.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-24-2025-Fri 18-46-47-PM,10-24-2025-Fri 18-46-47-PM,0.3,5.856,-52.3696,10-24-2025-Fri 18-46-47-PM,10-24-2025-Fri 18-46-47-PM,0.5,5.852,-58.4048,10-24-2025-Fri 18-46-47-PM,10-24-2025-Fri 18-46-47-PM,0.2,5.856,-54.941,10-24-2025-Fri 18-46-47-PM,10-24-2025-Fri 18-46-47-PM,0.1,5.86,-56.3616,10-24-2025-Fri 18-46-47-PM,10-24-2025-Fri 18-46-47-PM,-0.3,5.856,-52.774,10-24-2025-Fri 18-46-47-PM,10-24-2025-Fri 18-46-47-PM,-0.1,5.848,-54.7457,10-24-2025-Fri 18-46-47-PM,10-24-2025-Fri 18-46-47-PM,-0.2,5.86,-52.081,10-24-2025-Fri 18-46-47-PM,10-24-2025-Fri 18-46-47-PM,-0.3,5.848,-54.6137,10-24-2025-Fri 18-46-47-PM,10-24-2025-Fri 18-46-47-PM,0.1,5.856,-53.492
10-24-2025-Fri 18-46-49-PM,10-24-2025-Fri 18-46-49-PM,0.5,5.848,-54.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-24-2025-Fri 18-46-49-PM,10-24-2025-Fri 18-46-49-PM,0.5,5.856,-52.4027,10-24-2025-Fri 18-46-49-PM,10-24-2025-Fri 18-46-49-PM,0.4,5.852,-58.4048,10-24-2025-Fri 18-46-49-PM,10-24-2025-Fri 18-46-49-PM,0.1,5.856,-54.952,10-24-2025-Fri 18-46-49-PM,10-24-2025-Fri 18-46-49-PM,0.1,5.86,-56.3946,10-24-2025-Fri 18-46-49-PM,10-24-2025-Fri 18-46-49-PM,0.1,5.852,-52.829,10-24-2025-Fri 18-46-49-PM,10-24-2025-Fri 18-46-49-PM,0.1,5.848,-54.8447,10-24-2025-Fri 18-46-49-PM,10-24-2025-Fri 18-46-49-PM,0.0,5.864,-52.125,10-24-2025-Fri 18-46-49-PM,10-24-2025-Fri 18-46-49-PM,0.0,5.848,-54.6137,10-24-2025-Fri 18-46-49-PM,10-24-2025-Fri 18-46-49-PM,0.2,5.852,-53.508
10-24-2025-Fri 18-46-52-PM,10-24-2025-Fri 18-46-52-PM,0.5,5.852,-54.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-24-2025-Fri 18-46-52-PM,10-24-2025-Fri 18-46-52-PM,0.4,5.856,-52.4357,10-24-2025-Fri 18-46-52-PM,10-24-2025-Fri 18-46-52-PM,0.4,5.852,-58.4378,10-24-2025-Fri 18-46-52-PM,10-24-2025-Fri 18-46-52-PM,0.1,5.856,-54.985,10-24-2025-Fri 18-46-52-PM,10-24-2025-Fri 18-46-52-PM,0.1,5.856,-56.4275,10-24-2025-Fri 18-46-52-PM,10-24-2025-Fri 18-46-52-PM,0.4,5.856,-52.851,10-24-2025-Fri 18-46-52-PM,10-24-2025-Fri 18-46-52-PM,0.2,5.848,-54.8447,10-24-2025-Fri 18-46-52-PM,10-24-2025-Fri 18-46-52-PM,0.1,5.86,-52.158,10-24-2025-Fri 18-46-52-PM,10-24-2025-Fri 18-46-52-PM,0.1,5.848,-54.6798,10-24-2025-Fri 18-46-52-PM,10-24-2025-Fri 18-46-52-PM,0.1,5.852,-53.558
10-24-2025-Fri 18-46-54-PM,10-24-2025-Fri 18-46-54-PM,0.6,5.852,-54.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-24-2025-Fri 18-46-54-PM,10-24-2025-Fri 18-46-54-PM,0.4,5.856,-52.5017,10-24-2025-Fri 18-46-54-PM,10-24-2025-Fri 18-46-54-PM,0.3,5.848,-58.4378,10-24-2025-Fri 18-46-54-PM,10-24-2025-Fri 18-46-54-PM,0.3,5.86,-54.985,10-24-2025-Fri 18-46-54-PM,10-24-2025-Fri 18-46-54-PM,0.0,5.856,-56.4275,10-24-2025-Fri 18-46-54-PM,10-24-2025-Fri 18-46-54-PM,0.0,5.856,-52.895,10-24-2025-Fri 18-46-54-PM,10-24-2025-Fri 18-46-54-PM,-0.1,5.844,-54.8777,10-24-2025-Fri 18-46-54-PM,10-24-2025-Fri 18-46-54-PM,-0.2,5.86,-52.202,10-24-2025-Fri 18-46-54-PM,10-24-2025-Fri 18-46-54-PM,0.2,5.848,-54.7128,10-24-2025-Fri 18-46-54-PM,10-24-2025-Fri 18-46-54-PM,0.1,5.852,-53.607
10-24-2025-Fri 18-46-56-PM,10-24-2025-Fri 18-46-56-PM,0.4,5.852,-54.314,10-24-2025-Fri 18-46-56-PM,10-24-2025-Fri 18-46-56-PM,0.1,5.856,-50.1567,,,,,,,,,,,,,,,,,,,,,,,,,,10-24-2025-Fri 18-46-56-PM,10-24-2025-Fri 18-46-56-PM,0.3,5.86,-52.5347,10-24-2025-Fri 18-46-56-PM,10-24-2025-Fri 18-46-56-PM,0.2,5.848,-58.4708,10-24-2025-Fri 18-46-56-PM,10-24-2025-Fri 18-46-56-PM,0.4,5.856,-55.029,10-24-2025-Fri 18-46-56-PM,10-24-2025-Fri 18-46-56-PM,0.2,5.856,-56.4606,10-24-2025-Fri 18-46-56-PM,10-24-2025-Fri 18-46-56-PM,0.0,5.856,-52.95,10-24-2025-Fri 18-46-56-PM,10-24-2025-Fri 18-46-56-PM,-0.2,5.848,-54.9107,10-24-2025-Fri 18-46-56-PM,10-24-2025-Fri 18-46-56-PM,0.1,5.864,-52.235,10-24-2025-Fri 18-46-56-PM,10-24-2025-Fri 18-46-56-PM,-0.2,5.848,-54.7128,10-24-2025-Fri 18-46-56-PM,10-24-2025-Fri 18-46-56-PM,0.1,5.852,-53.624
10-24-2025-Fri 18-46-59-PM,10-24-2025-Fri 18-46-59-PM,0.5,5.852,-54.38,10-24-2025-Fri 18-46-59-PM,10-24-2025-Fri 18-46-59-PM,0.6,5.856,-50.2558,,,,,,,,,,,,,,,,,,,,,,,,,,10-24-2025-Fri 18-46-59-PM,10-24-2025-Fri 18-46-59-PM,0.4,5.856,-52.5678,10-24-2025-Fri 18-46-59-PM,10-24-2025-Fri 18-46-59-PM,0.4,5.848,-58.5037,10-24-2025-Fri 18-46-59-PM,10-24-2025-Fri 18-46-59-PM,0.1,5.856,-55.073,10-24-2025-Fri 18-46-59-PM,10-24-2025-Fri 18-46-59-PM,-0.1,5.856,-56.4606,10-24-2025-Fri 18-46-59-PM,10-24-2025-Fri 18-46-59-PM,0.2,5.856,-52.939,10-24-2025-Fri 18-46-59-PM,10-24-2025-Fri 18-46-59-PM,-0.1,5.848,-54.9436,10-24-2025-Fri 18-46-59-PM,10-24-2025-Fri 18-46-59-PM,0.0,5.864,-52.268,10-24-2025-Fri 18-46-59-PM,10-24-2025-Fri 18-46-59-PM,0.1,5.852,-54.7457,10-24-2025-Fri 18-46-59-PM,10-24-2025-Fri 18-46-59-PM,0.1,5.852,-53.657
10-24-2025-Fri 18-48-56-PM,10-24-2025-Fri 18-48-56-PM,0.3,5.852,-55.618,10-24-2025-Fri 18-48-56-PM,10-24-2025-Fri 18-48-56-PM,0.5,5.856,-52.2375,,,,,,,,,,,,,,,,,,,,,10-24-2025-Fri 18-48-56-PM,10-24-2025-Fri 18-48-56-PM,-0.1,5.856,-53.193,10-24-2025-Fri 18-48-56-PM,10-24-2025-Fri 18-48-56-PM,0.4,5.86,-54.2838,10-24-2025-Fri 18-48-56-PM,10-24-2025-Fri 18-48-56-PM,0.6,5.848,-58.9978,10-24-2025-Fri 18-48-56-PM,10-24-2025-Fri 18-48-56-PM,0.4,5.856,-56.184,10-24-2025-Fri 18-48-56-PM,10-24-2025-Fri 18-48-56-PM,0.1,5.856,-57.3175,10-24-2025-Fri 18-48-56-PM,10-24-2025-Fri 18-48-56-PM,0.1,5.856,-54.348,10-24-2025-Fri 18-48-56-PM,10-24-2025-Fri 18-48-56-PM,-0.1,5.848,-56.1309,10-24-2025-Fri 18-48-56-PM,10-24-2025-Fri 18-48-56-PM,0.0,5.86,-53.809,10-24-2025-Fri 18-48-56-PM,10-24-2025-Fri 18-48-56-PM,0.0,5.848,-55.9989,10-24-2025-Fri 18-48-56-PM,10-24-2025-Fri 18-48-56-PM,0.0,5.852,-55.141
10-24-2025-Fri 18-48-58-PM,10-24-2025-Fri 18-48-58-PM,0.6,5.848,-55.651,10-24-2025-Fri 18-48-58-PM,10-24-2025-Fri 18-48-58-PM,0.4,5.856,-52.3366,,,,,,,,,,,,,,,,,,,,,10-24-2025-Fri 18-48-58-PM,10-24-2025-Fri 18-48-58-PM,0.2,5.86,-53.237,10-24-2025-Fri 18-48-58-PM,10-24-2025-Fri 18-48-58-PM,0.4,5.86,-54.3168,10-24-2025-Fri 18-48-58-PM,10-24-2025-Fri 18-48-58-PM,0.2,5.852,-58.9648,10-24-2025-Fri 18-48-58-PM,10-24-2025-Fri 18-48-58-PM,0.3,5.86,-56.217,10-24-2025-Fri 18-48-58-PM,10-24-2025-Fri 18-48-58-PM,-0.2,5.86,-57.3505,10-24-2025-Fri 18-48-58-PM,10-24-2025-Fri 18-48-58-PM,0.3,5.856,-54.37,10-24-2025-Fri 18-48-58-PM,10-24-2025-Fri 18-48-58-PM,0.2,5.852,-56.1309,10-24-2025-Fri 18-48-58-PM,10-24-2025-Fri 18-48-58-PM,0.1,5.86,-53.842,10-24-2025-Fri 18-48-58-PM,10-24-2025-Fri 18-48-58-PM,0.2,5.852,-56.0649,10-24-2025-Fri 18-48-58-PM,10-24-2025-Fri 18-48-58-PM,0.1,5.852,-55.191
