Timestamp,25pctCell 1 Current,25pctCell 1 Voltage,25pct Cell 1 Temp,25pctCell 2 Current,25pctCell 2 Voltage,25pct Cell 2 Temp,25pctCell 3 Current,25pctCell 3 Voltage,25pct Cell 3 Temp,25pctCell 4 Current,25pctCell 4 Voltage,25pct Cell 4 Temp,20pctCell 5 Current,20pctCell 5 Voltage,20pct Cell 5 Temp,20pctCell 6 Current,20pctCell 6 Voltage,20pct Cell 6 Temp,20pctCell 7 Current,20pctCell 7 Voltage,20pct Cell 7 Temp,20pctCell 8 Current,20pctCell 8 Voltage,20pct Cell 8 Temp,15pctCell 9 Current,15pctCell 9 Voltage,15pct Cell 9 Temp,15pctCell 10 Current,15pctCell 10 Voltage,15pct Cell 10 Temp,10pctCell 11 Current,10pctCell 11 Voltage,10pct Cell 11 Temp,10pctCell 12 Current,10pctCell 12 Voltage,10pct Cell 12 Temp,5pctCell 13 Current,5pctCell 13 Voltage,5pct Cell 13 Temp,5pctCell 14 Current,5pctCell 14 Voltage,5pct Cell 14 Temp,5pctCell 15 Current,5pctCell 15 Voltage,5pct Cell 15 Temp,5pctCell 16 Current,5pctCell 16 Voltage,5pct Cell 16 Temp
10-24-2025-Fri 17-25-31-PM,100.4,5.38,22.438,132.4,5.372,22.7597,122.2,5.38,22.658,96.8,5.428,22.7251,97.0,5.364,22.737,88.6,5.404,22.692,125.8,5.344,22.714,71.7,5.356,22.7928,87.7,5.488,22.1171,104.2,5.492,22.455,52.6,5.512,22.4888,60.6,5.54,22.669,30.3,5.5,22.7928,42.3,5.548,22.714,40.1,5.496,22.6581,28.6,5.508,22.725
10-24-2025-Fri 17-25-34-PM,97.1,5.408,22.489,127.4,5.404,22.8605,113.5,5.412,22.669,92.6,5.46,22.6581,92.4,5.392,22.737,85.2,5.432,22.692,117.9,5.38,22.804,70.2,5.388,22.8267,81.6,5.508,22.1171,100.2,5.508,22.489,49.5,5.532,22.4888,58.8,5.564,22.669,29.4,5.524,22.8605,41.2,5.564,22.816,39.3,5.52,22.8944,26.3,5.524,22.861
10-24-2025-Fri 17-25-36-PM,95.6,5.424,22.54,123.8,5.42,22.9283,109.9,5.428,22.692,90.0,5.476,22.7597,90.0,5.412,22.793,82.5,5.452,22.692,112.6,5.396,22.827,69.2,5.404,22.7597,79.0,5.524,22.151,97.5,5.52,22.489,47.8,5.548,22.3872,57.6,5.572,22.692,28.8,5.536,22.9283,40.3,5.576,22.883,38.4,5.532,23.0299,25.7,5.536,22.895
10-24-2025-Fri 17-25-39-PM,94.3,5.44,22.489,121.8,5.432,22.8605,106.6,5.436,22.669,88.1,5.48,22.7251,88.6,5.416,22.759,81.1,5.46,22.7928,108.7,5.408,22.793,68.7,5.412,22.8267,77.6,5.532,22.1171,95.3,5.532,22.466,46.6,5.556,22.4211,56.2,5.58,22.635,28.7,5.54,22.7597,39.4,5.58,22.771,37.8,5.536,22.7597,25.2,5.544,22.793
10-24-2025-Fri 17-25-41-PM,93.2,5.444,22.523,119.4,5.44,22.9283,103.7,5.444,22.737,87.2,5.492,22.8267,87.9,5.428,22.804,79.3,5.468,22.7928,105.4,5.416,22.906,68.5,5.42,22.8267,77.0,5.536,22.1171,93.4,5.536,22.5,45.9,5.56,22.4549,55.4,5.584,22.691,28.4,5.544,22.7928,39.3,5.588,22.894,37.6,5.544,23.0976,24.9,5.552,22.962
10-24-2025-Fri 17-25-44-PM,92.7,5.448,22.557,117.6,5.452,22.9621,101.2,5.456,22.737,85.9,5.5,22.7928,87.0,5.436,22.759,78.3,5.472,22.7597,102.6,5.424,22.906,68.4,5.432,22.8267,76.3,5.544,22.151,92.0,5.54,22.523,45.6,5.564,22.4549,54.3,5.588,22.658,28.3,5.552,22.7251,39.2,5.592,22.872,36.7,5.548,23.1315,24.4,5.556,22.979
10-24-2025-Fri 17-34-58-PM,84.2,5.472,17.271,118.2,5.468,19.5497,105.2,5.472,18.233,84.5,5.512,19.178,87.3,5.452,19.279,78.8,5.488,20.3939,111.7,5.44,19.651,65.1,5.448,19.9545,68.3,5.568,14.9931,93.5,5.568,16.838,43.4,5.592,15.9712,52.9,5.612,17.805,26.6,5.58,18.266,37.7,5.62,19.088,36.6,5.58,18.6039,24.0,5.58,19.279
10-24-2025-Fri 17-35-01-PM,81.1,5.5,17.204,113.3,5.492,19.4481,98.1,5.496,18.132,80.6,5.54,19.1103,82.4,5.48,19.245,74.7,5.516,20.2923,104.8,5.468,19.572,63.4,5.472,19.786,63.7,5.588,14.96,89.3,5.588,16.748,41.1,5.604,15.8365,50.7,5.628,17.76,25.9,5.596,18.3337,36.6,5.632,19.088,36.2,5.592,18.6377,22.3,5.596,19.212
10-24-2025-Fri 17-35-03-PM,79.7,5.508,17.086,109.8,5.504,19.4142,94.4,5.508,18.064,79.0,5.552,19.0764,80.7,5.492,19.201,72.6,5.528,20.1577,99.2,5.48,19.493,63.2,5.488,19.7182,62.3,5.596,14.7576,86.7,5.596,16.625,40.1,5.612,15.7019,49.0,5.636,17.715,25.4,5.604,18.3676,36.1,5.64,19.043,35.5,5.6,18.6039,22.0,5.608,19.161
10-24-2025-Fri 17-35-06-PM,78.8,5.52,16.951,106.9,5.512,19.2796,91.9,5.516,17.963,78.0,5.556,19.0433,79.4,5.504,19.201,71.0,5.536,20.2246,95.7,5.492,19.414,63.1,5.496,19.6505,61.3,5.6,14.6222,84.2,5.6,16.49,39.9,5.616,15.5672,48.3,5.636,17.648,25.2,5.608,18.3337,35.6,5.644,18.975,35.0,5.6,18.3676,21.7,5.612,19.009
10-24-2025-Fri 17-35-08-PM,78.4,5.52,16.867,104.8,5.52,19.2457,90.4,5.528,17.873,77.4,5.564,18.874,78.4,5.508,19.009,70.3,5.54,20.0222,93.3,5.496,19.302,62.8,5.5,19.5836,60.7,5.604,14.4875,82.7,5.604,16.411,39.3,5.624,15.4995,47.2,5.644,17.502,25.2,5.616,18.1314,35.3,5.648,18.818,34.5,5.612,18.2999,21.7,5.616,18.942
10-24-2025-Fri 17-36-42-PM,75.9,5.532,13.191,104.5,5.528,16.1066,90.2,5.528,14.488,76.7,5.572,15.7357,77.9,5.516,16.039,70.0,5.552,17.4226,94.9,5.508,16.376,60.5,5.512,16.4776,54.7,5.624,10.2752,79.5,5.624,12.668,37.2,5.64,11.6226,44.4,5.66,14.106,23.5,5.628,14.96,34.0,5.66,15.871,33.1,5.624,15.2293,20.6,5.628,15.853
10-24-2025-Fri 17-36-44-PM,74.2,5.544,13.123,100.1,5.544,16.0389,85.8,5.548,14.443,74.6,5.588,15.7357,75.0,5.532,16.129,67.0,5.568,17.5234,88.9,5.52,16.455,59.7,5.52,16.3429,54.0,5.628,10.2075,77.2,5.628,12.6,36.6,5.644,11.5548,43.3,5.664,14.14,23.5,5.636,15.1285,33.4,5.668,16.05,32.4,5.632,15.4995,20.1,5.636,15.921
