,Timestamp,mA 1,V1,mA 2,V2,mA 3,V3,mA 4,V4,mA 5,V5,mA 6,V6,mA 7,V7,mA 8,V8,Timestamp,mA 1,V1,mA 2,V2,mA 3,V3,mA 4,V4,mA 5,V5,mA 6,V6,mA 7,V7,mA 8,V8,Timestamp,T1 - COM15,T2 - COM15,T3 - COM18,T4 - COM18,T5 - COM16,T6 - COM16,T7 - COM14,T8 - COM14
6,,148.5,5.412,133.1,5.42,127.5,5.424,127.9,5.48,101.2,5.4,108.5,5.456,114.5,5.38,144.6,5.368,,123.5,5.416,128.5,5.42,120.5,5.428,111.0,5.492,116.4,5.384,131.7,5.456,122.7,5.368,106.6,5.368,,22.2526,22.5565,22.1171,22.3195,21.3736,21.6107,21.2382,21.6438
7,,136.2,5.46,129.3,5.464,120.4,5.468,119.7,5.52,100.0,5.44,106.9,5.492,110.1,5.424,136.9,5.412,,119.8,5.452,125.9,5.448,115.4,5.46,110.0,5.52,113.1,5.412,126.5,5.492,116.8,5.404,102.9,5.404,,22.2187,22.5904,22.2187,22.3542,21.5091,21.576,21.272,21.576
8,,128.0,5.484,127.3,5.488,118.0,5.488,116.0,5.544,99.3,5.464,105.8,5.512,108.6,5.448,131.7,5.436,,116.8,5.468,123.3,5.472,111.8,5.48,109.2,5.536,110.2,5.436,122.7,5.508,113.3,5.424,100.2,5.428,,22.2864,22.692,22.2526,22.1848,21.576,21.576,21.4752,21.4752
9,,122.9,5.496,125.3,5.5,115.9,5.5,114.6,5.556,98.3,5.476,105.6,5.528,107.4,5.46,127.7,5.452,,114.0,5.476,121.2,5.484,108.8,5.488,108.4,5.544,107.0,5.448,119.7,5.516,110.6,5.436,97.6,5.44,,22.2864,22.6243,22.1848,22.3872,21.4752,21.576,21.4752,21.576
10,,119.1,5.504,123.7,5.5,114.4,5.508,113.8,5.56,97.7,5.484,105.2,5.528,106.2,5.468,124.5,5.456,,111.5,5.488,119.4,5.488,106.8,5.492,107.4,5.548,104.9,5.448,117.9,5.52,108.8,5.444,95.1,5.448,,22.2864,22.5904,22.2526,22.5565,21.5091,21.576,21.4075,21.7115
11,,116.4,5.508,122.2,5.508,112.6,5.512,112.9,5.568,96.7,5.488,104.8,5.536,105.1,5.472,122.1,5.464,,109.8,5.492,118.1,5.492,105.1,5.5,106.8,5.552,103.5,5.456,116.0,5.528,107.5,5.444,93.4,5.448,,22.3542,22.692,22.151,22.4888,21.4752,21.6107,21.1704,21.9139
12,,114.0,5.512,121.2,5.512,111.5,5.516,112.0,5.568,96.5,5.492,104.7,5.536,104.1,5.476,119.8,5.468,,108.6,5.496,117.0,5.5,104.1,5.508,106.2,5.556,102.1,5.464,114.7,5.532,106.6,5.452,91.9,5.456,,22.4211,22.692,22.3195,22.4888,21.4752,21.543,21.4752,21.7454
13,,112.6,5.516,120.1,5.516,109.9,5.52,111.1,5.572,95.7,5.496,104.0,5.54,103.3,5.48,117.8,5.472,,107.7,5.5,116.2,5.504,103.0,5.508,105.5,5.56,101.4,5.468,113.0,5.536,105.9,5.456,90.6,5.46,,22.4211,22.6243,22.2864,22.4549,21.4752,21.6438,21.4075,21.6776
14,,111.3,5.524,119.4,5.524,109.2,5.524,110.1,5.576,95.8,5.504,103.7,5.544,103.1,5.488,116.4,5.48,,106.8,5.508,114.8,5.512,102.3,5.52,105.1,5.572,100.6,5.476,111.9,5.548,105.2,5.464,90.3,5.472,,22.3872,22.6243,22.151,22.4888,21.5091,21.6107,21.3398,21.6438
15,,110.3,5.528,119.0,5.532,108.7,5.532,109.3,5.58,95.6,5.504,103.6,5.552,102.5,5.5,114.9,5.488,,106.9,5.508,113.4,5.512,101.5,5.516,104.4,5.572,99.3,5.48,109.7,5.544,104.5,5.472,89.0,5.472,,22.4888,22.692,22.2526,22.4888,21.4752,21.6438,21.3736,21.8123
16,,108.8,5.532,118.4,5.524,107.7,5.528,108.9,5.58,95.7,5.504,103.0,5.548,102.1,5.496,113.4,5.488,,106.9,5.512,112.5,5.516,100.4,5.52,104.2,5.572,98.5,5.48,108.0,5.548,104.0,5.472,88.7,5.472,,22.4888,22.6243,22.151,22.5565,21.543,21.6438,21.3736,21.6776
17,,107.7,5.528,117.9,5.528,107.4,5.532,108.1,5.58,95.1,5.508,103.3,5.552,101.6,5.492,112.3,5.488,,,,,,,,,,,,,,,,,,,22.4888,22.692,22.3195,22.5227,21.6107,21.7115,21.4752,22.1171
18,,110.5,5.624,122.1,5.624,110.6,5.628,112.0,5.676,99.0,5.6,107.2,5.644,105.0,5.588,114.7,5.584,,,,,,,,,,,,,,,,,,,22.4888,22.7251,22.151,22.5904,21.6438,21.6438,21.4414,21.9139
66,,98.7,5.548,114.5,5.548,104.1,5.552,105.1,5.596,94.8,5.524,102.9,5.564,99.3,5.512,105.2,5.504,,94.9,5.536,107.4,5.536,95.0,5.544,97.8,5.592,94.9,5.504,99.5,5.568,99.5,5.496,85.4,5.5,,21.6107,21.3736,21.6107,21.7115,18.6377,19.5158,20.09,19.4481
