timestamp, volt1 V, volt2 V, H ppm1, H ppm2
2025-12-07T16:14:17,]0;🐍Wi-Fi: No IP | Done | 9.2.9\
2025-12-07T16:14:18,Code stopped by auto-reload. Reloading soon.
2025-12-07T16:14:19,soft reboot
2025-12-07T16:14:21,[2K[0GAuto-reload is on. Simply save files over USB to run them or enter REPL to disable.
2025-12-07T16:14:22,[2K[0Gcode.py output:
2025-12-07T16:14:23,]0;🐍Wi-Fi: off | code.py | 9.2.9\attempting to connect to wifi...
2025-12-07T16:14:24,error connecting: No network with that ssid
2025-12-07T16:14:25,Running in offline mode.
2025-12-07T16:14:26,Index:1, DAC1:11314, 33.78PPM, DAC2:592, 1.06PPM, DAC3:29463.00, 89.17PPM
2025-12-07T16:14:27,Index:2, DAC1:11362, 33.92PPM, DAC2:512, 0.81PPM, DAC3:26390.00, 79.79PPM
2025-12-07T16:14:28,Index:3, DAC1:11346, 33.88PPM, DAC2:464, 0.67PPM, DAC3:24037.00, 72.61PPM
2025-12-07T16:14:29,Index:4, DAC1:11282, 33.68PPM, DAC2:448, 0.62PPM, DAC3:21941.00, 66.21PPM
2025-12-07T16:14:30,Index:5, DAC1:11346, 33.88PPM, DAC2:480, 0.71PPM, DAC3:20404.00, 61.52PPM
2025-12-07T16:14:31,Index:6, DAC1:11394, 34.02PPM, DAC2:464, 0.67PPM, DAC3:18740.00, 56.44PPM
2025-12-07T16:14:32,Index:7, DAC1:11330, 33.83PPM, DAC2:480, 0.71PPM, DAC3:17636.00, 53.07PPM
2025-12-07T16:14:33,Index:8, DAC1:11154, 33.29PPM, DAC2:544, 0.91PPM, DAC3:16291.00, 48.97PPM
2025-12-07T16:14:34,Index:9, DAC1:11058, 33.00PPM, DAC2:448, 0.62PPM, DAC3:15283.00, 45.89PPM
2025-12-07T16:14:35,Index:10, DAC1:11330, 33.83PPM, DAC2:560, 0.96PPM, DAC3:14691.00, 44.08PPM
2025-12-07T16:14:36,Index:11, DAC1:11346, 33.88PPM, DAC2:512, 0.81PPM, DAC3:13923.00, 41.74PPM
2025-12-07T16:14:37,Index:12, DAC1:11570, 34.56PPM, DAC2:464, 0.67PPM, DAC3:13491.00, 40.42PPM
2025-12-07T16:14:38,Index:13, DAC1:11090, 33.09PPM, DAC2:432, 0.57PPM, DAC3:12931.00, 38.71PPM
2025-12-07T16:14:39,Index:14, DAC1:272, 0.08PPM, DAC2:512, 0.81PPM, DAC3:12515.00, 37.44PPM
2025-12-07T16:14:40,Index:15, DAC1:656, 1.25PPM, DAC2:672, 1.30PPM, DAC3:12242.00, 36.61PPM
2025-12-07T16:14:41,Index:16, DAC1:528, 0.86PPM, DAC2:496, 0.76PPM, DAC3:11906.00, 35.58PPM
2025-12-07T16:14:42,Index:17, DAC1:448, 0.62PPM, DAC2:512, 0.81PPM, DAC3:11698.00, 34.95PPM
2025-12-07T16:14:43,Index:18, DAC1:544, 0.91PPM, DAC2:496, 0.76PPM, DAC3:11042.00, 32.95PPM
2025-12-07T16:14:44,Index:19, DAC1:704, 1.40PPM, DAC2:608, 1.11PPM, DAC3:11010.00, 32.85PPM
2025-12-07T16:14:45,Index:20, DAC1:432, 0.57PPM, DAC2:464, 0.67PPM, DAC3:10850.00, 32.36PPM
2025-12-07T16:14:46,Index:21, DAC1:496, 0.76PPM, DAC2:480, 0.71PPM, DAC3:10450.00, 31.14PPM
2025-12-07T16:14:47,Index:22, DAC1:400, 0.47PPM, DAC2:512, 0.81PPM, DAC3:10130.00, 30.16PPM
2025-12-07T16:14:48,Index:23, DAC1:336, 0.28PPM, DAC2:432, 0.57PPM, DAC3:10306.00, 30.70PPM
2025-12-07T16:14:49,Index:24, DAC1:336, 0.28PPM, DAC2:480, 0.71PPM, DAC3:10114.00, 30.12PPM
2025-12-07T16:14:50,Index:25, DAC1:384, 0.42PPM, DAC2:448, 0.62PPM, DAC3:9698.00, 28.85PPM
2025-12-07T16:14:51,Index:26, DAC1:352, 0.32PPM, DAC2:496, 0.76PPM, DAC3:9618.00, 28.60PPM
2025-12-07T16:14:52,Index:27, DAC1:416, 0.52PPM, DAC2:416, 0.52PPM, DAC3:9554.00, 28.41PPM
2025-12-07T16:14:53,Index:28, DAC1:512, 0.81PPM, DAC2:576, 1.01PPM, DAC3:8802.00, 26.11PPM
2025-12-07T16:14:54,Index:29, DAC1:688, 1.35PPM, DAC2:496, 0.76PPM, DAC3:9122.00, 27.09PPM
2025-12-07T16:14:55,Index:30, DAC1:592, 1.06PPM, DAC2:528, 0.86PPM, DAC3:9266.00, 27.53PPM
2025-12-07T16:14:56,Index:31, DAC1:400, 0.47PPM, DAC2:464, 0.67PPM, DAC3:8498.00, 25.18PPM
2025-12-07T16:14:57,Index:32, DAC1:528, 0.86PPM, DAC2:464, 0.67PPM, DAC3:8450.00, 25.04PPM
2025-12-07T16:14:58,Index:33, DAC1:400, 0.47PPM, DAC2:480, 0.71PPM, DAC3:8482.00, 25.14PPM
2025-12-07T16:14:59,Index:34, DAC1:480, 0.71PPM, DAC2:464, 0.67PPM, DAC3:8834.00, 26.21PPM
2025-12-07T16:15:00,Index:35, DAC1:448, 0.62PPM, DAC2:496, 0.76PPM, DAC3:8434.00, 24.99PPM
2025-12-07T16:15:01,Index:36, DAC1:400, 0.47PPM, DAC2:432, 0.57PPM, DAC3:8097.00, 23.96PPM
2025-12-07T16:15:02,Index:37, DAC1:592, 1.06PPM, DAC2:480, 0.71PPM, DAC3:8161.00, 24.16PPM
2025-12-07T16:15:03,Index:38, DAC1:528, 0.86PPM, DAC2:464, 0.67PPM, DAC3:8242.00, 24.40PPM
2025-12-07T16:15:04,Index:39, DAC1:560, 0.96PPM, DAC2:544, 0.91PPM, DAC3:8161.00, 24.16PPM
2025-12-07T16:15:05,Index:40, DAC1:544, 0.91PPM, DAC2:464, 0.67PPM, DAC3:7377.00, 21.76PPM
2025-12-07T16:15:06,Index:41, DAC1:416, 0.52PPM, DAC2:480, 0.71PPM, DAC3:7489.00, 22.10PPM
2025-12-07T16:15:07,Index:42, DAC1:496, 0.76PPM, DAC2:544, 0.91PPM, DAC3:7905.00, 23.37PPM
2025-12-07T16:15:08,Index:43, DAC1:496, 0.76PPM, DAC2:528, 0.86PPM, DAC3:8081.00, 23.91PPM
2025-12-07T16:15:09,Index:44, DAC1:352, 0.32PPM, DAC2:448, 0.62PPM, DAC3:6785.00, 19.96PPM
2025-12-07T16:15:10,Index:45, DAC1:384, 0.42PPM, DAC2:528, 0.86PPM, DAC3:7489.00, 22.10PPM
2025-12-07T16:15:11,Index:46, DAC1:560, 0.96PPM, DAC2:512, 0.81PPM, DAC3:7297.00, 21.52PPM
2025-12-07T16:15:12,Index:47, DAC1:496, 0.76PPM, DAC2:560, 0.96PPM, DAC3:7633.00, 22.54PPM
2025-12-07T16:15:13,Index:48, DAC1:11138, 33.24PPM, DAC2:480, 0.71PPM, DAC3:7697.00, 22.74PPM
2025-12-07T16:15:14,Index:49, DAC1:11026, 32.90PPM, DAC2:464, 0.67PPM, DAC3:7137.00, 21.03PPM
