timestamp, volt1 V, volt2 V, H ppm1, H ppm2
2025-12-07T17:44:22,73PPM, DAC3:400.00, 0.47PPM
2025-12-07T17:44:23,Index:171, DAC1:432, 0.57PPM, DAC2:11266, 33.63PPM, DAC3:368.00, 0.37PPM
2025-12-07T17:44:24,Index:172, DAC1:448, 0.62PPM, DAC2:11234, 33.53PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:44:25,Index:173, DAC1:384, 0.42PPM, DAC2:11266, 33.63PPM, DAC3:352.00, 0.32PPM
2025-12-07T17:44:26,Index:174, DAC1:400, 0.47PPM, DAC2:11282, 33.68PPM, DAC3:400.00, 0.47PPM
2025-12-07T17:44:27,Index:175, DAC1:432, 0.57PPM, DAC2:11298, 33.73PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:44:28,Index:176, DAC1:400, 0.47PPM, DAC2:11314, 33.78PPM, DAC3:400.00, 0.47PPM
2025-12-07T17:44:29,Index:177, DAC1:400, 0.47PPM, DAC2:11282, 33.68PPM, DAC3:400.00, 0.47PPM
2025-12-07T17:44:30,Index:178, DAC1:448, 0.62PPM, DAC2:11266, 33.63PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:44:31,Index:179, DAC1:448, 0.62PPM, DAC2:11234, 33.53PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:44:32,Index:180, DAC1:448, 0.62PPM, DAC2:11250, 33.58PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:44:33,Index:181, DAC1:464, 0.67PPM, DAC2:11298, 33.73PPM, DAC3:352.00, 0.32PPM
2025-12-07T17:44:34,Index:182, DAC1:448, 0.62PPM, DAC2:11314, 33.78PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:44:35,Index:183, DAC1:416, 0.52PPM, DAC2:11282, 33.68PPM, DAC3:336.00, 0.28PPM
2025-12-07T17:44:36,Index:184, DAC1:432, 0.57PPM, DAC2:11314, 33.78PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:44:37,Index:185, DAC1:432, 0.57PPM, DAC2:11266, 33.63PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:44:38,Index:186, DAC1:432, 0.57PPM, DAC2:11266, 33.63PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:44:39,Index:187, DAC1:432, 0.57PPM, DAC2:11282, 33.68PPM, DAC3:464.00, 0.67PPM
2025-12-07T17:44:40,Index:188, DAC1:448, 0.62PPM, DAC2:11330, 33.83PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:44:41,Index:189, DAC1:384, 0.42PPM, DAC2:11298, 33.73PPM, DAC3:384.00, 0.42PPM
2025-12-07T17:44:42,Index:190, DAC1:432, 0.57PPM, DAC2:11282, 33.68PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:44:43,Index:191, DAC1:384, 0.42PPM, DAC2:11234, 33.53PPM, DAC3:448.00, 0.62PPM
2025-12-07T17:44:44,Index:192, DAC1:448, 0.62PPM, DAC2:11266, 33.63PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:44:45,Index:193, DAC1:400, 0.47PPM, DAC2:11282, 33.68PPM, DAC3:400.00, 0.47PPM
2025-12-07T17:44:46,Index:194, DAC1:352, 0.32PPM, DAC2:11298, 33.73PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:44:47,Index:195, DAC1:416, 0.52PPM, DAC2:11314, 33.78PPM, DAC3:464.00, 0.67PPM
2025-12-07T17:44:48,Index:196, DAC1:432, 0.57PPM, DAC2:11314, 33.78PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:44:49,Index:197, DAC1:416, 0.52PPM, DAC2:11234, 33.53PPM, DAC3:512.00, 0.81PPM
2025-12-07T17:44:50,Index:198, DAC1:416, 0.52PPM, DAC2:11218, 33.49PPM, DAC3:464.00, 0.67PPM
2025-12-07T17:44:51,Index:199, DAC1:432, 0.57PPM, DAC2:11282, 33.68PPM, DAC3:400.00, 0.47PPM
2025-12-07T17:44:52,Index:200, DAC1:432, 0.57PPM, DAC2:11282, 33.68PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:44:53,Index:201, DAC1:432, 0.57PPM, DAC2:11314, 33.78PPM, DAC3:496.00, 0.76PPM
2025-12-07T17:44:54,Index:202, DAC1:400, 0.47PPM, DAC2:11282, 33.68PPM, DAC3:400.00, 0.47PPM
2025-12-07T17:44:55,Index:203, DAC1:384, 0.42PPM, DAC2:11250, 33.58PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:44:56,Index:204, DAC1:400, 0.47PPM, DAC2:11266, 33.63PPM, DAC3:384.00, 0.42PPM
2025-12-07T17:44:57,Index:205, DAC1:432, 0.57PPM, DAC2:11282, 33.68PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:44:58,Index:206, DAC1:448, 0.62PPM, DAC2:11282, 33.68PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:44:59,Index:207, DAC1:464, 0.67PPM, DAC2:11314, 33.78PPM, DAC3:448.00, 0.62PPM
2025-12-07T17:45:00,Index:208, DAC1:448, 0.62PPM, DAC2:11298, 33.73PPM, DAC3:480.00, 0.71PPM
2025-12-07T17:45:01,Index:209, DAC1:432, 0.57PPM, DAC2:11282, 33.68PPM, DAC3:288.00, 0.13PPM
2025-12-07T17:45:02,Index:210, DAC1:400, 0.47PPM, DAC2:11266, 33.63PPM, DAC3:352.00, 0.32PPM
2025-12-07T17:45:03,Index:211, DAC1:384, 0.42PPM, DAC2:11234, 33.53PPM, DAC3:448.00, 0.62PPM
2025-12-07T17:45:04,Index:212, DAC1:416, 0.52PPM, DAC2:11266, 33.63PPM, DAC3:352.00, 0.32PPM
2025-12-07T17:45:05,Index:213, DAC1:464, 0.67PPM, DAC2:11266, 33.63PPM, DAC3:400.00, 0.47PPM
2025-12-07T17:45:06,Index:214, DAC1:432, 0.57PPM, DAC2:11298, 33.73PPM, DAC3:336.00, 0.28PPM
2025-12-07T17:45:07,Index:215, DAC1:384, 0.42PPM, DAC2:11282, 33.68PPM, DAC3:368.00, 0.37PPM
2025-12-07T17:45:08,Index:216, DAC1:384, 0.42PPM, DAC2:11234, 33.53PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:45:09,Index:217, DAC1:448, 0.62PPM, DAC2:11266, 33.63PPM, DAC3:208.00, -0.12PPM
2025-12-07T17:45:10,Index:218, DAC1:480, 0.71PPM, DAC2:11234, 33.53PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:45:11,Index:219, DAC1:432, 0.57PPM, DAC2:11266, 33.63PPM, DAC3:384.00, 0.42PPM
2025-12-07T17:45:12,Index:220, DAC1:384, 0.42PPM, DAC2:11282, 33.68PPM, DAC3:480.00, 0.71PPM
2025-12-07T17:45:13,Index:221, DAC1:448, 0.62PPM, DAC2:11282, 33.68PPM, DAC3:368.00, 0.37PPM
2025-12-07T17:45:14,Index:222, DAC1:496, 0.76PPM, DAC2:11266, 33.63PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:45:15,Index:223, DAC1:416, 0.52PPM, DAC2:11250, 33.58PPM, DAC3:400.00, 0.47PPM
2025-12-07T17:45:16,Index:224, DAC1:416, 0.52PPM, DAC2:11234, 33.53PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:45:17,Index:225, DAC1:464, 0.67PPM, DAC2:11234, 33.53PPM, DAC3:384.00, 0.42PPM
2025-12-07T17:45:18,Index:226, DAC1:432, 0.57PPM, DAC2:11234, 33.53PPM, DAC3:464.00, 0.67PPM
2025-12-07T17:45:19,Index:227, DAC1:448, 0.62PPM, DAC2:11298, 33.73PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:45:20,Index:228, DAC1:416, 0.52PPM, DAC2:11266, 33.63PPM, DAC3:400.00, 0.47PPM
2025-12-07T17:45:21,Index:229, DAC1:416, 0.52PPM, DAC2:11266, 33.63PPM, DAC3:480.00, 0.71PPM
2025-12-07T17:45:22,Index:230, DAC1:464, 0.67PPM, DAC2:11234, 33.53PPM, DAC3:448.00, 0.62PPM
2025-12-07T17:45:23,Index:231, DAC1:464, 0.67PPM, DAC2:11250, 33.58PPM, DAC3:448.00, 0.62PPM
2025-12-07T17:45:24,Index:232, DAC1:448, 0.62PPM, DAC2:11250, 33.58PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:45:25,Index:233, DAC1:448, 0.62PPM, DAC2:11298, 33.73PPM, DAC3:464.00, 0.67PPM
2025-12-07T17:45:26,Index:234, DAC1:352, 0.32PPM, DAC2:11282, 33.68PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:45:27,Index:235, DAC1:416, 0.52PPM, DAC2:11314, 33.78PPM, DAC3:320.00, 0.23PPM
2025-12-07T17:45:28,Index:236, DAC1:416, 0.52PPM, DAC2:11298, 33.73PPM, DAC3:352.00, 0.32PPM
2025-12-07T17:45:29,Index:237, DAC1:384, 0.42PPM, DAC2:11234, 33.53PPM, DAC3:464.00, 0.67PPM
2025-12-07T17:45:30,Index:238, DAC1:416, 0.52PPM, DAC2:11234, 33.53PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:45:31,Index:239, DAC1:400, 0.47PPM, DAC2:11234, 33.53PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:45:32,Index:240, DAC1:432, 0.57PPM, DAC2:11282, 33.68PPM, DAC3:608.00, 1.11PPM
2025-12-07T17:45:33,Index:241, DAC1:432, 0.57PPM, DAC2:11330, 33.83PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:45:34,Index:242, DAC1:432, 0.57PPM, DAC2:11314, 33.78PPM, DAC3:480.00, 0.71PPM
2025-12-07T17:45:35,Index:243, DAC1:400, 0.47PPM, DAC2:11282, 33.68PPM, DAC3:384.00, 0.42PPM
2025-12-07T17:45:36,Index:244, DAC1:416, 0.52PPM, DAC2:11234, 33.53PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:45:37,Index:245, DAC1:416, 0.52PPM, DAC2:11234, 33.53PPM, DAC3:400.00, 0.47PPM
2025-12-07T17:45:38,Index:246, DAC1:448, 0.62PPM, DAC2:11266, 33.63PPM, DAC3:448.00, 0.62PPM
2025-12-07T17:45:39,Index:247, DAC1:448, 0.62PPM, DAC2:11298, 33.73PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:45:40,Index:303, DAC1:448, 0.62PPM, DAC2:11266, 33.63PPM, DAC3:512.00, 0.81PPM
2025-12-07T17:45:41,Index:304, DAC1:416, 0.52PPM, DAC2:11218, 33.49PPM, DAC3:384.00, 0.42PPM
2025-12-07T17:45:42,Index:305, DAC1:400, 0.47PPM, DAC2:11234, 33.53PPM, DAC3:400.00, 0.47PPM
2025-12-07T17:45:43,Index:306, DAC1:416, 0.52PPM, DAC2:11266, 33.63PPM, DAC3:464.00, 0.67PPM
2025-12-07T17:45:44,Index:307, DAC1:384, 0.42PPM, DAC2:11282, 33.68PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:45:45,Index:308, DAC1:448, 0.62PPM, DAC2:11298, 33.73PPM, DAC3:448.00, 0.62PPM
2025-12-07T17:45:46,Index:309, DAC1:400, 0.47PPM, DAC2:11298, 33.73PPM, DAC3:400.00, 0.47PPM
2025-12-07T17:45:47,Index:349, DAC1:448, 0.62PPM, DAC2:11314, 33.78PPM, DAC3:384.00, 0.42PPM
2025-12-07T17:45:48,Index:350, DAC1:432, 0.57PPM, DAC2:11266, 33.63PPM, DAC3:432.00, 0.57PPM
2025-12-07T17:45:49,Index:351, DAC1:400, 0.47PPM, DAC2:11250, 33.58PPM, DAC3:448.00, 0.62PPM
2025-12-07T17:45:50,Index:352, DAC1:416, 0.52PPM, DAC2:11234, 33.53PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:45:51,Index:353, DAC1:448, 0.62PPM, DAC2:11266, 33.63PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:45:52,Index:354, DAC1:432, 0.57PPM, DAC2:11282, 33.68PPM, DAC3:384.00, 0.42PPM
2025-12-07T17:45:53,Index:355, DAC1:464, 0.67PPM, DAC2:11282, 33.68PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:45:54,Index:401, DAC1:432, 0.57PPM, DAC2:11234, 33.53PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:45:55,Index:402, DAC1:400, 0.47PPM, DAC2:11266, 33.63PPM, DAC3:416.00, 0.52PPM
2025-12-07T17:45:56,Index:403, DAC1:384, 0.42PPM, DAC2:11282, 33.68PPM, DAC3:448.00, 0.62PPM
2025-12-07T17:45:57,Index:404, DAC1:432, 0.57PPM, DAC2:11298, 33.73PPM, DAC3:384.00, 0.42PPM
