timestamp, volt1 V, volt2 V, H ppm1, H ppm2
2025-12-09T15:25:55,Index:95, DAC1:5761, 16.83PPM, DAC2:11474, 34.27PPM, DAC3:352.00, 0.32PPM
2025-12-09T15:25:57,Index:96, DAC1:6049, 17.71PPM, DAC2:11618, 34.71PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:25:58,Index:97, DAC1:6177, 18.10PPM, DAC2:11682, 34.90PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:25:59,Index:98, DAC1:4945, 14.34PPM, DAC2:11650, 34.80PPM, DAC3:416.00, 0.52PPM
2025-12-09T15:26:00,Index:99, DAC1:6145, 18.00PPM, DAC2:11666, 34.85PPM, DAC3:608.00, 1.11PPM
2025-12-09T15:26:01,Index:100, DAC1:6497, 19.08PPM, DAC2:11602, 34.66PPM, DAC3:416.00, 0.52PPM
2025-12-09T15:26:02,Index:101, DAC1:5681, 16.59PPM, DAC2:11410, 34.07PPM, DAC3:400.00, 0.47PPM
2025-12-09T15:26:03,Index:102, DAC1:6289, 18.44PPM, DAC2:11458, 34.22PPM, DAC3:464.00, 0.67PPM
2025-12-09T15:26:04,Index:103, DAC1:6369, 18.69PPM, DAC2:11442, 34.17PPM, DAC3:416.00, 0.52PPM
2025-12-09T15:26:05,Index:104, DAC1:6545, 19.22PPM, DAC2:11554, 34.51PPM, DAC3:400.00, 0.47PPM
2025-12-09T15:26:06,Index:105, DAC1:6289, 18.44PPM, DAC2:11666, 34.85PPM, DAC3:432.00, 0.57PPM
2025-12-09T15:26:07,Index:106, DAC1:6305, 18.49PPM, DAC2:11666, 34.85PPM, DAC3:432.00, 0.57PPM
2025-12-09T15:26:08,Index:107, DAC1:6961, 20.49PPM, DAC2:11682, 34.90PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:26:09,Index:108, DAC1:5777, 16.88PPM, DAC2:11666, 34.85PPM, DAC3:400.00, 0.47PPM
2025-12-09T15:26:10,Index:109, DAC1:4225, 12.14PPM, DAC2:11538, 34.46PPM, DAC3:496.00, 0.76PPM
2025-12-09T15:26:11,Index:110, DAC1:4209, 12.10PPM, DAC2:11266, 33.63PPM, DAC3:384.00, 0.42PPM
2025-12-09T15:26:12,Index:111, DAC1:4801, 13.90PPM, DAC2:11314, 33.78PPM, DAC3:384.00, 0.42PPM
2025-12-09T15:26:13,Index:112, DAC1:5633, 16.44PPM, DAC2:11442, 34.17PPM, DAC3:352.00, 0.32PPM
2025-12-09T15:26:14,Index:113, DAC1:5601, 16.34PPM, DAC2:11394, 34.02PPM, DAC3:416.00, 0.52PPM
2025-12-09T15:26:15,Index:114, DAC1:5313, 15.46PPM, DAC2:11458, 34.22PPM, DAC3:432.00, 0.57PPM
2025-12-09T15:26:16,Index:115, DAC1:6273, 18.39PPM, DAC2:11666, 34.85PPM, DAC3:400.00, 0.47PPM
2025-12-09T15:26:17,Index:116, DAC1:6385, 18.74PPM, DAC2:11714, 35.00PPM, DAC3:432.00, 0.57PPM
2025-12-09T15:26:18,Index:117, DAC1:6577, 19.32PPM, DAC2:11554, 34.51PPM, DAC3:352.00, 0.32PPM
2025-12-09T15:26:19,Index:118, DAC1:6497, 19.08PPM, DAC2:11618, 34.71PPM, DAC3:416.00, 0.52PPM
2025-12-09T15:26:20,Index:119, DAC1:6401, 18.78PPM, DAC2:11538, 34.46PPM, DAC3:448.00, 0.62PPM
2025-12-09T15:26:21,Index:120, DAC1:6561, 19.27PPM, DAC2:11410, 34.07PPM, DAC3:384.00, 0.42PPM
2025-12-09T15:26:22,Index:121, DAC1:6449, 18.93PPM, DAC2:11410, 34.07PPM, DAC3:416.00, 0.52PPM
2025-12-09T15:26:23,Index:122, DAC1:5857, 17.12PPM, DAC2:11410, 34.07PPM, DAC3:320.00, 0.23PPM
2025-12-09T15:26:24,Index:123, DAC1:5937, 17.37PPM, DAC2:11442, 34.17PPM, DAC3:400.00, 0.47PPM
2025-12-09T15:26:25,Index:124, DAC1:5729, 16.73PPM, DAC2:11506, 34.36PPM, DAC3:416.00, 0.52PPM
