timestamp, volt1 V, volt2 V, H ppm1, H ppm2
2025-12-23T19:37:56,v1->0.0225589V,dac1->448, s1->0.000ppm  |  v2->0.0193362V,dac2->384, s2->0.000ppm
2025-12-23T19:37:58,v1->0.0193362V,dac1->384, s1->0.000ppm  |  v2->0.0193362V,dac2->384, s2->0.000ppm
2025-12-23T19:37:59,v1->0.0217533V,dac1->432, s1->0.000ppm  |  v2->0.0161135V,dac2->320, s2->0.000ppm
2025-12-23T19:38:00,v1->0.027393V,dac1->544, s1->32.036ppm  |  v2->0.0169192V,dac2->336, s2->0.000ppm
2025-12-23T19:38:01,v1->0.024976V,dac1->496, s1->2.739ppm  |  v2->0.0193362V,dac2->384, s2->0.000ppm
2025-12-23T19:38:02,v1->0.0257816V,dac1->512, s1->12.505ppm  |  v2->0.0193362V,dac2->384, s2->0.000ppm
2025-12-23T19:38:03,v1->0.0265873V,dac1->528, s1->22.270ppm  |  v2->0.0161135V,dac2->320, s2->0.000ppm
2025-12-23T19:38:04,v1->0.0257816V,dac1->512, s1->12.505ppm  |  v2->0.0177249V,dac2->352, s2->0.000ppm
2025-12-23T19:38:05,v1->0.0225589V,dac1->448, s1->0.000ppm  |  v2->0.0161135V,dac2->320, s2->0.000ppm
2025-12-23T19:38:06,v1->0.0209476V,dac1->416, s1->0.000ppm  |  v2->0.0169192V,dac2->336, s2->0.000ppm
2025-12-23T19:38:07,v1->0.0217533V,dac1->432, s1->0.000ppm  |  v2->0.0201419V,dac2->400, s2->0.000ppm
2025-12-23T19:38:08,v1->0.0257816V,dac1->512, s1->12.505ppm  |  v2->0.0193362V,dac2->384, s2->0.000ppm
2025-12-23T19:38:09,v1->0.0265873V,dac1->528, s1->22.270ppm  |  v2->0.0161135V,dac2->320, s2->0.000ppm
2025-12-23T19:38:10,v1->0.0201419V,dac1->400, s1->0.000ppm  |  v2->0.0193362V,dac2->384, s2->0.000ppm
2025-12-23T19:38:11,v1->0.0217533V,dac1->432, s1->0.000ppm  |  v2->0.0161135V,dac2->320, s2->0.000ppm
2025-12-23T19:38:12,v1->0.024976V,dac1->496, s1->2.739ppm  |  v2->0.0153078V,dac2->304, s2->0.000ppm
2025-12-23T19:38:13,v1->0.0225589V,dac1->448, s1->0.000ppm  |  v2->0.0161135V,dac2->320, s2->0.000ppm
2025-12-23T19:38:14,v1->0.0306157V,dac1->608, s1->71.099ppm  |  v2->0.0153078V,dac2->304, s2->0.000ppm
2025-12-23T19:38:15,v1->0.027393V,dac1->544, s1->32.036ppm  |  v2->0.0201419V,dac2->400, s2->0.000ppm
2025-12-23T19:38:16,v1->0.0265873V,dac1->528, s1->22.270ppm  |  v2->0.0169192V,dac2->336, s2->0.000ppm
2025-12-23T19:38:17,v1->0.0217533V,dac1->432, s1->0.000ppm  |  v2->0.0161135V,dac2->320, s2->0.000ppm
2025-12-23T19:38:18,v1->0.0233646V,dac1->464, s1->0.000ppm  |  v2->0.0161135V,dac2->320, s2->0.000ppm
2025-12-23T19:38:19,v1->0.032227V,dac1->640, s1->90.631ppm  |  v2->0.0161135V,dac2->320, s2->0.000ppm
2025-12-23T19:38:20,v1->0.0217533V,dac1->432, s1->0.000ppm  |  v2->0.0169192V,dac2->336, s2->0.000ppm
2025-12-23T19:38:21,v1->0.0225589V,dac1->448, s1->0.000ppm  |  v2->0.0177249V,dac2->352, s2->0.000ppm
2025-12-23T19:38:22,v1->0.0225589V,dac1->448, s1->0.000ppm  |  v2->0.0153078V,dac2->304, s2->0.000ppm
2025-12-23T19:38:23,v1->0.0241703V,dac1->480, s1->0.000ppm  |  v2->0.0177249V,dac2->352, s2->0.000ppm
2025-12-23T19:38:24,v1->0.0233646V,dac1->464, s1->0.000ppm  |  v2->0.0177249V,dac2->352, s2->0.000ppm
2025-12-23T19:38:25,v1->0.0241703V,dac1->480, s1->0.000ppm  |  v2->0.0177249V,dac2->352, s2->0.000ppm
2025-12-23T19:38:26,v1->0.0241703V,dac1->480, s1->0.000ppm  |  v2->0.0193362V,dac2->384, s2->0.000ppm
2025-12-23T19:38:27,v1->0.0209476V,dac1->416, s1->0.000ppm  |  v2->0.0169192V,dac2->336, s2->0.000ppm
2025-12-23T19:38:28,v1->0.0241703V,dac1->480, s1->0.000ppm  |  v2->0.0161135V,dac2->320, s2->0.000ppm
2025-12-23T19:38:29,v1->0.0225589V,dac1->448, s1->0.000ppm  |  v2->0.0177249V,dac2->352, s2->0.000ppm
2025-12-23T19:38:30,v1->0.0241703V,dac1->480, s1->0.000ppm  |  v2->0.0169192V,dac2->336, s2->0.000ppm
