timestamp, volt1 V, volt2 V, H ppm1, H ppm2
2025-12-23T12:52:12,]0;🐍Wi-Fi: No IP | Done | 9.2.9\
2025-12-23T12:52:14,Code stopped by auto-reload. Reloading soon.
2025-12-23T12:52:15,soft reboot
2025-12-23T12:52:17,[2K[0GAuto-reload is on. Simply save files over USB to run them or enter REPL to disable.
2025-12-23T12:52:18,[2K[0Gcode.py output:
2025-12-23T12:52:19,]0;🐍Wi-Fi: off | code.py | 9.2.9\attempting to connect to wifi...
2025-12-23T12:52:20,error connecting: No network with that ssid
2025-12-23T12:52:21,Running in offline mode.
2025-12-23T12:52:22,Index:1, DAC1:480, 0.71PPM, DAC2:11138, 33.24PPM, DAC3:240.00, -0.02PPM
2025-12-23T12:52:23,Index:2, DAC1:368, 0.37PPM, DAC2:11170, 33.34PPM, DAC3:240.00, -0.02PPM
2025-12-23T12:52:24,Index:3, DAC1:432, 0.57PPM, DAC2:11202, 33.44PPM, DAC3:240.00, -0.02PPM
2025-12-23T12:52:25,Index:4, DAC1:384, 0.42PPM, DAC2:11202, 33.44PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:52:26,Index:5, DAC1:352, 0.32PPM, DAC2:11298, 33.73PPM, DAC3:240.00, -0.02PPM
2025-12-23T12:52:27,Index:6, DAC1:432, 0.57PPM, DAC2:11282, 33.68PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:52:28,Index:7, DAC1:432, 0.57PPM, DAC2:11330, 33.83PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:52:29,Index:8, DAC1:448, 0.62PPM, DAC2:11362, 33.92PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:52:30,Index:9, DAC1:416, 0.52PPM, DAC2:11426, 34.12PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:52:31,Index:10, DAC1:432, 0.57PPM, DAC2:11394, 34.02PPM, DAC3:240.00, -0.02PPM
2025-12-23T12:52:32,Index:11, DAC1:432, 0.57PPM, DAC2:11394, 34.02PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:52:33,Index:12, DAC1:432, 0.57PPM, DAC2:11442, 34.17PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:52:34,Index:13, DAC1:384, 0.42PPM, DAC2:11458, 34.22PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:52:35,Index:14, DAC1:432, 0.57PPM, DAC2:11538, 34.46PPM, DAC3:240.00, -0.02PPM
2025-12-23T12:52:36,Index:15, DAC1:432, 0.57PPM, DAC2:11474, 34.27PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:52:37,Index:16, DAC1:464, 0.67PPM, DAC2:11474, 34.27PPM, DAC3:256.00, 0.03PPM
2025-12-23T12:52:38,Index:17, DAC1:432, 0.57PPM, DAC2:11538, 34.46PPM, DAC3:256.00, 0.03PPM
