timestamp, volt1 V, volt2 V, H ppm1, H ppm2
2025-12-30T13:03:23,0.0241703,480,0.000, |, 0.0177249, 352, 0.000ppm
2025-12-30T13:03:24,0.0217533,432,0.000, |, 0.0209476, 416, 0.000ppm
2025-12-30T13:03:26,0.0233646,464,0.000, |, 0.0217533, 432, 0.000ppm
2025-12-30T13:03:27,0.0257816,512,12.505, |, 0.0161135, 320, 0.000ppm
2025-12-30T13:03:28,0.0241703,480,0.000, |, 0.0209476, 416, 0.000ppm
2025-12-30T13:03:29,0.0225589,448,0.000, |, 0.0201419, 400, 0.000ppm
2025-12-30T13:03:30,0.0217533,432,0.000, |, 0.0169192, 336, 0.000ppm
2025-12-30T13:03:31,0.0217533,432,0.000, |, 0.0169192, 336, 0.000ppm
2025-12-30T13:03:32,0.0233646,464,0.000, |, 0.0201419, 400, 0.000ppm
2025-12-30T13:03:33,0.0257816,512,12.505, |, 0.0209476, 416, 0.000ppm
2025-12-30T13:03:34,0.0241703,480,0.000, |, 0.0169192, 336, 0.000ppm
2025-12-30T13:03:35,0.02981,592,61.334, |, 0.0257816, 512, 12.505ppm
2025-12-30T13:03:36,0.0209476,416,0.000, |, 0.0209476, 416, 0.000ppm
2025-12-30T13:03:37,0.0257816,512,12.505, |, 0.0169192, 336, 0.000ppm
2025-12-30T13:03:38,0.0257816,512,12.505, |, 0.0209476, 416, 0.000ppm
2025-12-30T13:03:39,0.0201419,400,0.000, |, 0.0169192, 336, 0.000ppm
2025-12-30T13:03:40,0.024976,496,2.739, |, 0.0217533, 432, 0.000ppm
