Timestamp,Cell 1 Current,Cell 1 Voltage,Cell 2 Current,Cell 2 Voltage,Cell 2 Temp,Cell 3 Current,Cell 3 Voltage,Cell 4 Current,Cell 4 Voltage,Cell 4 Temp,Cell 5 Current,Cell 5 Voltage,Cell 6 Current,Cell 6 Voltage,Cell6 Temp,Cell 7 Current,Cell 7 Voltage,Cell 8 Current,Cell 8 Voltage,Cell8 Temp,Cell 9 Current,Cell 9 Voltage,Cell 9 Temp,Cell 10 Current,Cell 10 Voltage,Cell 11 Current,Cell 11 Voltage,Cell 11 Temp,Cell 12 Current,Cell 12 Voltage,Cell 13 Current,Cell 13 Voltage,Cell 13 Temp,Cell 14 Current,Cell 14 Voltage,Cell 15 Current,Cell 15 Voltage,Cell 15 Temp,Cell 16 Current,Cell 16 Voltage
09-27-2025-Sat 11-54-32-AM,-0.3,0.684,-0.2,0.536,22.2187,0.0,0.496,-0.2,0.54,22.6581,-0.2,0.716,-0.3,0.764,22.151,-0.1,0.732,0.1,0.544,22.2864,0.0,0.64,21.4414,-0.3,0.5,-0.3,0.524,21.576,-0.2,0.508,0.1,0.568,21.1704,0.1,0.568,-0.2,0.612,21.4414,0.0,0.816
09-27-2025-Sat 11-54-35-AM,-0.5,0.684,0.1,0.536,22.2526,-0.3,0.496,-0.6,0.54,22.5904,-0.3,0.716,-0.1,0.764,22.1171,-0.1,0.728,-0.2,0.548,22.2864,-0.1,0.644,21.4414,0.1,0.5,-0.4,0.524,21.543,-0.3,0.512,0.0,0.572,21.1704,-0.1,0.572,-0.2,0.612,21.4414,-0.1,0.816
09-27-2025-Sat 11-54-37-AM,-0.1,0.684,-0.3,0.54,22.2187,-0.1,0.496,-0.2,0.54,22.692,-0.2,0.712,-0.3,0.764,22.1171,-0.4,0.728,-0.1,0.548,22.2864,-0.2,0.64,21.4075,-0.1,0.504,-0.1,0.524,21.543,-0.3,0.508,-0.2,0.568,21.1374,-0.2,0.572,-0.1,0.612,21.4414,-0.2,0.82
09-27-2025-Sat 11-54-40-AM,-0.1,0.684,-0.4,0.536,22.2526,0.0,0.496,-0.6,0.54,22.6581,-0.2,0.716,-0.2,0.764,22.1171,-0.4,0.728,-0.2,0.544,22.2526,0.0,0.64,21.4075,-0.1,0.5,-0.3,0.524,21.543,-0.3,0.508,-0.3,0.568,21.1704,-0.2,0.572,-0.2,0.612,21.4752,0.1,0.816
09-27-2025-Sat 11-54-42-AM,-0.5,0.684,-0.1,0.536,22.2526,0.1,0.496,-0.3,0.54,22.6243,-0.1,0.716,-0.3,0.764,22.1171,-0.6,0.728,-0.1,0.544,22.2864,,,21.4075,,,,,21.543,,,,,21.1704,,,,,21.4414,,
09-27-2025-Sat 11-54-47-AM,148.5,5.412,133.1,5.42,22.2526,127.5,5.424,127.9,5.48,22.5565,101.2,5.4,108.5,5.456,22.1171,114.5,5.38,144.6,5.368,22.3195,123.5,5.416,21.3736,128.5,5.42,120.5,5.428,21.6107,111.0,5.492,116.4,5.384,21.2382,131.7,5.456,122.7,5.368,21.6438,106.6,5.368
09-27-2025-Sat 11-54-49-AM,136.2,5.46,129.3,5.464,22.2187,120.4,5.468,119.7,5.52,22.5904,100.0,5.44,106.9,5.492,22.2187,110.1,5.424,136.9,5.412,22.3542,119.8,5.452,21.5091,125.9,5.448,115.4,5.46,21.576,110.0,5.52,113.1,5.412,21.272,126.5,5.492,116.8,5.404,21.576,102.9,5.404
09-27-2025-Sat 11-54-52-AM,128.0,5.484,127.3,5.488,22.2864,118.0,5.488,116.0,5.544,22.692,99.3,5.464,105.8,5.512,22.2526,108.6,5.448,131.7,5.436,22.1848,116.8,5.468,21.576,123.3,5.472,111.8,5.48,21.576,109.2,5.536,110.2,5.436,21.4752,122.7,5.508,113.3,5.424,21.4752,100.2,5.428
09-27-2025-Sat 11-54-54-AM,122.9,5.496,125.3,5.5,22.2864,115.9,5.5,114.6,5.556,22.6243,98.3,5.476,105.6,5.528,22.1848,107.4,5.46,127.7,5.452,22.3872,114.0,5.476,21.4752,121.2,5.484,108.8,5.488,21.576,108.4,5.544,107.0,5.448,21.4752,119.7,5.516,110.6,5.436,21.576,97.6,5.44
09-27-2025-Sat 11-54-56-AM,119.1,5.504,123.7,5.5,22.2864,114.4,5.508,113.8,5.56,22.5904,97.7,5.484,105.2,5.528,22.2526,106.2,5.468,124.5,5.456,22.5565,111.5,5.488,21.5091,119.4,5.488,106.8,5.492,21.576,107.4,5.548,104.9,5.448,21.4075,117.9,5.52,108.8,5.444,21.7115,95.1,5.448
09-27-2025-Sat 11-54-59-AM,116.4,5.508,122.2,5.508,22.3542,112.6,5.512,112.9,5.568,22.692,96.7,5.488,104.8,5.536,22.151,105.1,5.472,122.1,5.464,22.4888,109.8,5.492,21.4752,118.1,5.492,105.1,5.5,21.6107,106.8,5.552,103.5,5.456,21.1704,116.0,5.528,107.5,5.444,21.9139,93.4,5.448
09-27-2025-Sat 11-55-01-AM,114.0,5.512,121.2,5.512,22.4211,111.5,5.516,112.0,5.568,22.692,96.5,5.492,104.7,5.536,22.3195,104.1,5.476,119.8,5.468,22.4888,108.6,5.496,21.4752,117.0,5.5,104.1,5.508,21.543,106.2,5.556,102.1,5.464,21.4752,114.7,5.532,106.6,5.452,21.7454,91.9,5.456
09-27-2025-Sat 11-55-04-AM,112.6,5.516,120.1,5.516,22.4211,109.9,5.52,111.1,5.572,22.6243,95.7,5.496,104.0,5.54,22.2864,103.3,5.48,117.8,5.472,22.4549,107.7,5.5,21.4752,116.2,5.504,103.0,5.508,21.6438,105.5,5.56,101.4,5.468,21.4075,113.0,5.536,105.9,5.456,21.6776,90.6,5.46
09-27-2025-Sat 11-55-06-AM,111.3,5.524,119.4,5.524,22.3872,109.2,5.524,110.1,5.576,22.6243,95.8,5.504,103.7,5.544,22.151,103.1,5.488,116.4,5.48,22.4888,106.8,5.508,21.5091,114.8,5.512,102.3,5.52,21.6107,105.1,5.572,100.6,5.476,21.3398,111.9,5.548,105.2,5.464,21.6438,90.3,5.472
09-27-2025-Sat 11-55-08-AM,110.3,5.528,119.0,5.532,22.4888,108.7,5.532,109.3,5.58,22.692,95.6,5.504,103.6,5.552,22.2526,102.5,5.5,114.9,5.488,22.4888,106.9,5.508,21.4752,113.4,5.512,101.5,5.516,21.6438,104.4,5.572,99.3,5.48,21.3736,109.7,5.544,104.5,5.472,21.8123,89.0,5.472
