"Latest: Time (s)","Latest: Oxygen Gas (ppm)","Latest: Current (A)","Latest: Temperature (°C)"
0,3206.96485192,-0.000534057617188,25.1727970154
1,3217.17811436,-0.000572204589844,25.1727970154
2,3232.498008,-0.000572204589844,25.1727970154
3,3237.60463922,-0.000553131103516,25.1742464228
4,3237.60463922,-0.000572204589844,25.1785946374
5,3242.71127043,-0.000572204589844,25.1785946374
6,3252.92453286,-0.000572204589844,25.1800440398
7,3263.13779529,-0.000553131103516,25.1814934411
8,3263.13779529,-0.000553131103516,25.1814934411
9,3273.35105772,-0.000572204589844,25.1829428411
10,3273.35105772,-0.000572204589844,25.1829428411
11,3278.45768894,-0.000572204589844,25.1785946374
12,3273.35105772,-0.000572204589844,25.1800440398
13,3278.45768894,-0.000572204589844,25.1800440398
14,3283.56432015,-0.000572204589844,25.1800440398
15,3283.56432015,-0.000572204589844,25.1800440398
16,3283.56432015,-0.000553131103516,25.1771452337
17,3283.56432015,-0.000572204589844,25.1785946374
18,3283.56432015,-0.000572204589844,25.1756958288
19,3283.56432015,-0.000572204589844,25.1727970154
20,3288.67095137,-0.000572204589844,25.1771452337
21,3293.77758258,-0.000572204589844,25.1742464228
22,3298.8842138,-0.000572204589844,25.1727970154
23,3303.99084502,-0.000553131103516,25.1698981972
24,3309.09747623,-0.000572204589844,25.1684487862
25,3314.20410745,-0.000553131103516,25.1684487862
26,3324.41736988,-0.000572204589844,25.166999374
27,3324.41736988,-0.000572204589844,25.1641005458
28,3339.73726352,-0.000553131103516,25.1641005458
29,3349.95052595,-0.000572204589844,25.1597522943
30,3365.2704196,-0.000572204589844,25.1583028746
31,3360.16378838,-0.000591278076172,25.1568534537
32,3365.2704196,-0.000572204589844,25.1496063303
33,3380.59031325,-0.000572204589844,25.1481569018
34,3380.59031325,-0.000553131103516,25.1496063303
35,3395.91020689,-0.000572204589844,25.1467074721
36,3401.01683811,-0.000572204589844,25.1423591751
37,3411.23010054,-0.000572204589844,25.1409097403
38,3421.44336297,-0.000572204589844,25.136561428
39,3411.23010054,-0.000572204589844,25.1336625466
40,3431.6566254,-0.000572204589844,25.1336625466
41,3436.76325661,-0.000553131103516,25.1307636601
42,3446.97651904,-0.000572204589844,25.1278647683
43,3446.97651904,-0.000572204589844,25.1278647683
44,3446.97651904,-0.000572204589844,25.1264153205
45,3452.08315026,-0.000553131103516,25.1249658714
46,3457.18978147,-0.000553131103516,25.1235164209
47,3457.18978147,-0.000572204589844,25.1235164209
48,3457.18978147,-0.000572204589844,25.1191680616
49,3467.40304391,-0.000553131103516,25.120617516
50,3467.40304391,-0.000553131103516,25.1162691487
51,3477.61630634,-0.000572204589844,25.1148196903
52,3482.72293755,-0.000572204589844,25.110471307
53,3487.82956877,-0.000553131103516,25.1061229116
54,3487.82956877,-0.000572204589844,25.1061229116
55,3503.14946241,-0.000572204589844,25.101774504
56,3513.36272484,-0.000553131103516,25.0988755588
57,3513.36272484,-0.000572204589844,25.0959766082
58,3518.46935606,-0.000572204589844,25.0916281719
59,3518.46935606,-0.000553131103516,25.0887292075
60,3528.68261849,-0.000572204589844,25.0843807505
61,3523.57598727,-0.000572204589844,25.0785827882
62,3523.57598727,-0.000553131103516,25.0756837987
63,3528.68261849,-0.000572204589844,25.0742343018
64,3523.57598727,-0.000572204589844,25.0669867961
65,3528.68261849,-0.000553131103516,25.0640877838
66,3528.68261849,-0.000553131103516,25.0597392546
67,3528.68261849,-0.000572204589844,25.058289742
68,3528.68261849,-0.000553131103516,25.056840228
69,3533.7892497,-0.000553131103516,25.056840228
70,3538.89588092,-0.000553131103516,25.0539411955
71,3533.7892497,-0.000572204589844,25.0539411955
72,3538.89588092,-0.000553131103516,25.0481431131
73,3538.89588092,-0.000553131103516,25.0452440631
74,3554.21577457,-0.000553131103516,25.0408954771
75,3554.21577457,-0.000553131103516,25.0365468778
76,3559.32240578,-0.000572204589844,25.0365468778
