"Latest: Time (s)","Latest: Oxygen Gas (ppm)","Latest: Current (A)","Latest: Temperature (°C)"
0,4744.06084773,-0.000553131103516,24.1940230443
1,4744.06084773,-0.000553131103516,24.1940230443
2,4764.48737259,-0.000553131103516,24.1940230443
3,4769.59400381,-0.000572204589844,24.1896703937
4,4769.59400381,-0.000553131103516,24.1911212804
5,4779.80726624,-0.000553131103516,24.1954739216
6,4790.02052867,-0.000553131103516,24.1925721639
7,4795.12715989,-0.000572204589844,24.1954739216
8,4805.34042232,-0.000572204589844,24.1954739216
9,4810.44705353,-0.000572204589844,24.1940230443
10,4815.55368475,-0.000572204589844,24.1969247957
11,4820.66031596,-0.000553131103516,24.1969247957
12,4820.66031596,-0.000553131103516,24.1983756667
13,4825.76694718,-0.000553131103516,24.1969247957
14,4830.87357839,-0.000572204589844,24.1998265345
15,4830.87357839,-0.000572204589844,24.1983756667
16,4830.87357839,-0.000553131103516,24.1969247957
17,4846.19347204,-0.000572204589844,24.1998265345
18,4846.19347204,-0.000572204589844,24.1998265345
19,4866.6199969,-0.000572204589844,24.1983756667
20,4861.51336569,-0.000553131103516,24.2027282609
21,4871.72662812,-0.000572204589844,24.1983756667
22,4887.04652176,-0.000553131103516,24.1983756667
23,4887.04652176,-0.000572204589844,24.2027282609
24,4887.04652176,-0.000553131103516,24.2012773993
25,4892.15315298,-0.000553131103516,24.2012773993
26,4887.04652176,-0.000553131103516,24.2012773993
27,4897.25978419,-0.000553131103516,24.2027282609
28,4897.25978419,-0.000553131103516,24.2012773993
29,4897.25978419,-0.000572204589844,24.2027282609
30,4897.25978419,-0.000553131103516,24.2027282609
31,4897.25978419,-0.000572204589844,24.2041791194
32,4897.25978419,-0.000572204589844,24.2041791194
33,4897.25978419,-0.000572204589844,24.2041791194
34,4902.36641541,-0.000572204589844,24.2041791194
35,4897.25978419,-0.000553131103516,24.2027282609
36,4897.25978419,-0.000553131103516,24.2027282609
37,4907.47304662,-0.000572204589844,24.2041791194
38,4912.57967784,-0.000553131103516,24.2041791194
39,4907.47304662,-0.000572204589844,24.2027282609
40,4912.57967784,-0.000572204589844,24.2041791194
41,4917.68630905,-0.000572204589844,24.2041791194
42,4938.11283392,-0.000572204589844,24.2041791194
43,4938.11283392,-0.000553131103516,24.2056299747
44,4943.21946513,-0.000572204589844,24.2056299747
45,4943.21946513,-0.000572204589844,24.2027282609
46,4953.43272756,-0.000572204589844,24.2056299747
47,4958.53935878,-0.000553131103516,24.207080827
