"Latest: Time (s)","Latest: Oxygen Gas (ppm)","Latest: Current (A)","Latest: Temperature (°C)"
0,4087.52808929,-0.00129699707031,24.0866492179
1,4123.60967661,-0.0013542175293,24.0808447146
2,4139.07321403,-0.00133514404297,24.0851980971
3,4144.2277265,-0.00133514404297,24.0866492179
4,4149.38223897,-0.0013542175293,24.0866492179
5,4149.38223897,-0.00133514404297,24.0895514493
6,4159.69126392,-0.00133514404297,24.0866492179
7,4170.00028887,-0.0013542175293,24.0895514493
8,4170.00028887,-0.0013542175293,24.0910025601
9,4190.61833876,-0.00133514404297,24.0939047715
10,4211.23638866,-0.0013542175293,24.0939047715
11,4221.5454136,-0.0013542175293,24.0953558722
12,4237.00895102,-0.00133514404297,24.0953558722
13,4252.47248844,-0.0013542175293,24.0982580636
14,4247.31797597,-0.00131607055664,24.0997091543
15,4267.93602586,-0.00133514404297,24.0982580636
16,4283.39956328,-0.00133514404297,24.0968069695
17,4304.01761318,-0.00137329101563,24.0968069695
18,4304.01761318,-0.0013542175293,24.1011602416
19,4314.32663812,-0.00133514404297,24.1011602416
20,4314.32663812,-0.00133514404297,24.0982580636
21,4324.63566307,-0.00137329101563,24.0997091543
22,4334.94468802,-0.00133514404297,24.1011602416
23,4350.40822544,-0.00137329101563,24.0997091543
24,4360.71725038,-0.0013542175293,24.0982580636
25,4381.33530028,-0.00139236450195,24.1026113257
26,4386.48981275,-0.00141143798828,24.1011602416
27,4391.64432522,-0.00133514404297,24.1026113257
28,4391.64432522,-0.00137329101563,24.1026113257
29,4391.64432522,-0.00137329101563,24.1011602416
30,4396.7988377,-0.00133514404297,24.1011602416
31,4396.7988377,-0.0013542175293,24.1026113257
32,4401.95335017,-0.00137329101563,24.1011602416
33,4407.10786264,-0.0013542175293,24.1011602416
34,4417.41688759,-0.00133514404297,24.1040624064
35,4422.57140006,-0.0013542175293,24.1040624064
36,4432.88042501,-0.00133514404297,24.1026113257
37,4458.65298738,-0.00137329101563,24.1026113257
38,4474.1165248,-0.0013542175293,24.1026113257
39,4474.1165248,-0.0013542175293,24.1011602416
40,4474.1165248,-0.0013542175293,24.0982580636
41,4484.42554974,-0.00133514404297,24.1011602416
42,4484.42554974,-0.0013542175293,24.1055134838
43,4499.88908716,-0.00133514404297,24.0997091543
44,4494.73457469,-0.0013542175293,24.1011602416
45,4499.88908716,-0.00133514404297,24.0997091543
46,4535.97067448,-0.0013542175293,24.0968069695
47,4541.12518695,-0.00133514404297,24.1011602416
48,4541.12518695,-0.00131607055664,24.0997091543
49,4551.4342119,-0.00133514404297,24.0997091543
50,4561.74323685,-0.00133514404297,24.0982580636
51,4561.74323685,-0.0013542175293,24.1011602416
52,4566.89774932,-0.00137329101563,24.0968069695
53,4566.89774932,-0.00133514404297,24.0953558722
54,4582.36128674,-0.0013542175293,24.0939047715
55,4587.51579921,-0.00131607055664,24.0953558722
56,4602.97933663,-0.00133514404297,24.0968069695
57,4608.13384911,-0.00133514404297,24.0924536674
58,4628.751899,-0.00133514404297,24.0924536674
59,4639.06092395,-0.0013542175293,24.0924536674
60,4659.67897384,-0.00137329101563,24.0895514493
61,4680.29702373,-0.0013542175293,24.0895514493
62,4685.45153621,-0.00139236450195,24.0866492179
63,4685.45153621,-0.00137329101563,24.0895514493
64,4690.60604868,-0.00133514404297,24.0866492179
65,4716.37861105,-0.00137329101563,24.0866492179
66,4716.37861105,-0.00133514404297,24.0866492179
67,4721.53312352,-0.00139236450195,24.0866492179
68,4721.53312352,-0.00133514404297,24.0822958455
69,4726.68763599,-0.00133514404297,24.0822958455
70,4726.68763599,-0.00137329101563,24.0851980971
71,4736.99666094,-0.00137329101563,24.0793935804
72,4747.30568589,-0.0013542175293,24.0793935804
73,4752.46019836,-0.00131607055664,24.0808447146
74,4767.92373578,-0.00133514404297,24.0793935804
75,4783.3872732,-0.00133514404297,24.0779424428
76,4793.69629815,-0.0013542175293,24.0750401576
77,4793.69629815,-0.00137329101563,24.0750401576
78,4798.85081062,-0.00133514404297,24.0764913019
79,4804.00532309,-0.00133514404297,24.0750401576
80,4804.00532309,-0.00133514404297,24.0735890099
81,4804.00532309,-0.00133514404297,24.0735890099
82,4809.15983557,-0.0013542175293,24.0706867043
83,4809.15983557,-0.00137329101563,24.0692355465
84,4809.15983557,-0.0013542175293,24.0677843853
85,4809.15983557,-0.00137329101563,24.0692355465
86,4809.15983557,-0.0013542175293,24.0692355465
87,4824.62337299,-0.00139236450195,24.0663332206
88,4824.62337299,-0.0013542175293,24.0677843853
89,4824.62337299,-0.00133514404297,24.0663332206
90,4845.24142288,-0.00131607055664,24.0648820526
91,4860.7049603,-0.00137329101563,24.0605285282
92,4860.7049603,-0.00133514404297,24.0648820526
93,4876.16849772,-0.00133514404297,24.0619797064
