"Latest: Time (s)","Latest: Oxygen Gas (ppm)","Latest: Current (A)","Latest: Temperature (°C)"
0,3390.80357568,-0.000553131103516,24.2085316761
1,3416.33673175,-0.000572204589844,24.207080827
2,3421.44336297,-0.000534057617188,24.2085316761
3,3426.54999418,-0.000572204589844,24.207080827
4,3436.76325661,-0.000572204589844,24.207080827
5,3441.86988783,-0.000572204589844,24.2085316761
6,3441.86988783,-0.000572204589844,24.2085316761
7,3452.08315026,-0.000534057617188,24.207080827
8,3452.08315026,-0.000572204589844,24.2085316761
9,3462.29641269,-0.000572204589844,24.2085316761
10,3462.29641269,-0.000572204589844,24.2099825221
11,3467.40304391,-0.000572204589844,24.2085316761
12,3472.50967512,-0.000572204589844,24.2099825221
13,3472.50967512,-0.000591278076172,24.2085316761
14,3477.61630634,-0.000572204589844,24.2099825221
15,3498.0428312,-0.000591278076172,24.2099825221
16,3503.14946241,-0.000572204589844,24.2099825221
17,3508.25609363,-0.000591278076172,24.2085316761
18,3508.25609363,-0.000553131103516,24.2085316761
19,3523.57598727,-0.000572204589844,24.2099825221
20,3523.57598727,-0.000572204589844,24.2085316761
21,3523.57598727,-0.000553131103516,24.211433365
22,3523.57598727,-0.000572204589844,24.211433365
23,3528.68261849,-0.000572204589844,24.2128842048
24,3528.68261849,-0.000553131103516,24.211433365
25,3528.68261849,-0.000591278076172,24.2128842048
26,3538.89588092,-0.000572204589844,24.211433365
27,3544.00251214,-0.000572204589844,24.211433365
28,3544.00251214,-0.000572204589844,24.211433365
29,3549.10914335,-0.000572204589844,24.2143350415
30,3554.21577457,-0.000572204589844,24.2128842048
31,3559.32240578,-0.000572204589844,24.2157858751
32,3564.429037,-0.000572204589844,24.2143350415
33,3574.64229943,-0.000572204589844,24.2157858751
34,3579.74893064,-0.000553131103516,24.2172367056
35,3589.96219307,-0.000572204589844,24.2172367056
36,3600.1754555,-0.000553131103516,24.218687533
37,3595.06882429,-0.000591278076172,24.2143350415
38,3600.1754555,-0.000572204589844,24.2157858751
39,3605.28208672,-0.000572204589844,24.218687533
40,3605.28208672,-0.000572204589844,24.218687533
41,3615.49534915,-0.000572204589844,24.2215891785
42,3615.49534915,-0.000572204589844,24.2157858751
43,3620.60198036,-0.000572204589844,24.218687533
44,3630.8152428,-0.000572204589844,24.218687533
45,3630.8152428,-0.000572204589844,24.2201383573
46,3635.92187401,-0.000572204589844,24.2201383573
47,3646.13513644,-0.000572204589844,24.2215891785
48,3661.45503009,-0.000553131103516,24.2215891785
49,3666.5616613,-0.000572204589844,24.2201383573
50,3666.5616613,-0.000572204589844,24.2230399966
51,3666.5616613,-0.000572204589844,24.2215891785
52,3676.77492373,-0.000572204589844,24.2230399966
53,3686.98818616,-0.000572204589844,24.2215891785
54,3686.98818616,-0.000572204589844,24.2244908117
55,3692.09481738,-0.000572204589844,24.2244908117
56,3697.20144859,-0.000572204589844,24.2244908117
57,3702.30807981,-0.000572204589844,24.2244908117
58,3702.30807981,-0.000572204589844,24.2244908117
59,3707.41471103,-0.000572204589844,24.2273924326
60,3727.84123589,-0.000572204589844,24.2259416237
61,3727.84123589,-0.000591278076172,24.2244908117
62,3727.84123589,-0.000572204589844,24.2273924326
63,3748.26776075,-0.000572204589844,24.2273924326
64,3748.26776075,-0.000553131103516,24.2273924326
65,3763.58765439,-0.000572204589844,24.2273924326
66,3768.69428561,-0.000553131103516,24.2302940411
67,3773.80091682,-0.000572204589844,24.2273924326
68,3784.01417925,-0.000572204589844,24.2288432384
69,3789.12081047,-0.000572204589844,24.2317448408
70,3799.3340729,-0.000572204589844,24.2317448408
71,3804.44070412,-0.000572204589844,24.2288432384
72,3809.54733533,-0.000572204589844,24.2317448408
73,3814.65396655,-0.000572204589844,24.2317448408
74,3829.97386019,-0.000572204589844,24.2288432384
75,3840.18712262,-0.000572204589844,24.2331956374
76,3835.08049141,-0.000572204589844,24.2302940411
77,3845.29375384,-0.000572204589844,24.2317448408
78,3840.18712262,-0.000553131103516,24.2317448408
79,3850.40038505,-0.000591278076172,24.2302940411
80,3845.29375384,-0.000572204589844,24.2331956374
81,3845.29375384,-0.000572204589844,24.234646431
82,3850.40038505,-0.000572204589844,24.2331956374
83,3850.40038505,-0.000572204589844,24.2331956374
84,3850.40038505,-0.000572204589844,24.234646431
85,3855.50701627,-0.000553131103516,24.2375480089
86,3860.61364748,-0.000572204589844,24.2375480089
87,3855.50701627,-0.000572204589844,24.2360972215
88,3855.50701627,-0.000572204589844,24.2360972215
89,3860.61364748,-0.000572204589844,24.2360972215
90,3865.7202787,-0.000572204589844,24.2331956374
91,3865.7202787,-0.000591278076172,24.2360972215
92,3875.93354113,-0.000572204589844,24.2389987933
93,3886.14680356,-0.000553131103516,24.2375480089
94,3881.04017235,-0.000572204589844,24.2389987933
95,3896.36006599,-0.000572204589844,24.2404495746
96,3906.57332842,-0.000572204589844,24.2433511281
97,3916.78659085,-0.000572204589844,24.2389987933
98,3911.67995964,-0.000572204589844,24.2404495746
99,3911.67995964,-0.000572204589844,24.2404495746
100,3932.1064845,-0.000572204589844,24.2389987933
101,3926.99985328,-0.000553131103516,24.2389987933
102,3932.1064845,-0.000553131103516,24.2433511281
103,3937.21311571,-0.000553131103516,24.2419003529
104,3937.21311571,-0.000572204589844,24.2433511281
105,3937.21311571,-0.000572204589844,24.2419003529
106,3947.42637814,-0.000572204589844,24.2419003529
107,3942.31974693,-0.000572204589844,24.2433511281
108,3947.42637814,-0.000572204589844,24.2462526694
109,3952.53300936,-0.000572204589844,24.2462526694
110,3957.63964058,-0.000572204589844,24.2433511281
111,3967.85290301,-0.000572204589844,24.2448019003
112,3967.85290301,-0.000572204589844,24.2448019003
113,3978.06616544,-0.000572204589844,24.2462526694
114,3988.27942787,-0.000572204589844,24.2448019003
115,3988.27942787,-0.000572204589844,24.2462526694
116,3998.4926903,-0.000572204589844,24.2477034355
117,4008.70595273,-0.000572204589844,24.2477034355
118,4008.70595273,-0.000572204589844,24.2448019003
119,4013.81258394,-0.000572204589844,24.2477034355
120,4018.91921516,-0.000572204589844,24.2506049586
121,4034.23910881,-0.000572204589844,24.2477034355
122,4034.23910881,-0.000572204589844,24.2477034355
123,4039.34574002,-0.000572204589844,24.2462526694
124,4039.34574002,-0.000572204589844,24.2491541986
125,4049.55900245,-0.000572204589844,24.2491541986
126,4054.66563367,-0.000572204589844,24.2506049586
127,4064.8788961,-0.000572204589844,24.2506049586
128,4069.98552731,-0.000572204589844,24.2520557157
129,4080.19878974,-0.000591278076172,24.2491541986
130,4080.19878974,-0.000572204589844,24.2520557157
131,4080.19878974,-0.000572204589844,24.2520557157
132,4075.09215853,-0.000572204589844,24.2520557157
133,4080.19878974,-0.000553131103516,24.2535064696
134,4090.41205217,-0.000572204589844,24.2535064696
135,4090.41205217,-0.000572204589844,24.2535064696
136,4095.51868339,-0.000572204589844,24.2520557157
137,4095.51868339,-0.000572204589844,24.2520557157
138,4100.6253146,-0.000572204589844,24.2549572206
139,4105.73194582,-0.000572204589844,24.2549572206
140,4100.6253146,-0.000572204589844,24.2520557157
141,4105.73194582,-0.000572204589844,24.2549572206
142,4115.94520825,-0.000572204589844,24.2549572206
143,4115.94520825,-0.000553131103516,24.2564079685
144,4121.05183947,-0.000572204589844,24.2564079685
145,4131.2651019,-0.000572204589844,24.2578587135
146,4141.47836433,-0.000572204589844,24.2549572206
147,4141.47836433,-0.000572204589844,24.2564079685
148,4151.69162676,-0.000572204589844,24.2549572206
149,4151.69162676,-0.000572204589844,24.2564079685
150,4161.90488919,-0.000572204589844,24.2578587135
151,4156.79825797,-0.000572204589844,24.2593094554
152,4167.0115204,-0.000572204589844,24.2593094554
153,4161.90488919,-0.000553131103516,24.2549572206
154,4172.11815162,-0.000553131103516,24.2593094554
155,4172.11815162,-0.000572204589844,24.2578587135
156,4172.11815162,-0.000591278076172,24.2607601943
157,4167.0115204,-0.000572204589844,24.2607601943
158,4172.11815162,-0.000572204589844,24.2593094554
159,4172.11815162,-0.000572204589844,24.2622109302
160,4172.11815162,-0.000572204589844,24.2607601943
161,4172.11815162,-0.000572204589844,24.2622109302
162,4172.11815162,-0.000572204589844,24.263661663
163,4177.22478283,-0.000572204589844,24.2651123929
164,4182.33141405,-0.000553131103516,24.2622109302
165,4177.22478283,-0.000572204589844,24.263661663
166,4177.22478283,-0.000572204589844,24.2651123929
167,4187.43804526,-0.000572204589844,24.263661663
168,4182.33141405,-0.000572204589844,24.263661663
169,4187.43804526,-0.000553131103516,24.263661663
170,4202.75793891,-0.000572204589844,24.2665631198
171,4197.6513077,-0.000572204589844,24.2622109302
172,4197.6513077,-0.000572204589844,24.2665631198
173,4218.07783256,-0.000572204589844,24.2665631198
174,4202.75793891,-0.000572204589844,24.2651123929
175,4223.18446377,-0.000572204589844,24.2651123929
176,4223.18446377,-0.000572204589844,24.2665631198
177,4223.18446377,-0.000553131103516,24.2680138437
178,4238.50435742,-0.000591278076172,24.2665631198
179,4233.3977262,-0.000572204589844,24.2709152825
180,4238.50435742,-0.000572204589844,24.2723659974
181,4243.61098863,-0.000572204589844,24.2709152825
182,4248.71761985,-0.000572204589844,24.2709152825
183,4248.71761985,-0.000572204589844,24.2694645646
184,4253.82425106,-0.000572204589844,24.2709152825
185,4258.93088228,-0.000572204589844,24.2738167093
186,4258.93088228,-0.000572204589844,24.2738167093
187,4258.93088228,-0.000572204589844,24.2738167093
188,4258.93088228,-0.000572204589844,24.2738167093
189,4264.03751349,-0.000572204589844,24.2723659974
190,4269.14414471,-0.000591278076172,24.2723659974
191,4274.25077592,-0.000572204589844,24.2752674182
192,4274.25077592,-0.000572204589844,24.2752674182
193,4274.25077592,-0.000572204589844,24.2752674182
194,4284.46403836,-0.000572204589844,24.2752674182
195,4284.46403836,-0.000553131103516,24.2752674182
196,4294.67730079,-0.000572204589844,24.2767181242
197,4309.99719443,-0.000572204589844,24.2796195272
198,4294.67730079,-0.000572204589844,24.2781688272
199,4304.89056322,-0.000572204589844,24.2796195272
200,4315.10382565,-0.000572204589844,24.2796195272
201,4315.10382565,-0.000572204589844,24.2796195272
202,4320.21045686,-0.000572204589844,24.2825209183
203,4320.21045686,-0.000572204589844,24.2796195272
204,4330.42371929,-0.000572204589844,24.2796195272
205,4330.42371929,-0.000553131103516,24.2810702242
206,4330.42371929,-0.000572204589844,24.2796195272
207,4330.42371929,-0.000572204589844,24.2839716094
208,4335.53035051,-0.000572204589844,24.2839716094
209,4335.53035051,-0.000572204589844,24.2854222975
210,4335.53035051,-0.000572204589844,24.2868729827
211,4345.74361294,-0.000572204589844,24.2868729827
212,4345.74361294,-0.000572204589844,24.2839716094
213,4340.63698172,-0.000572204589844,24.2825209183
214,4345.74361294,-0.000572204589844,24.2868729827
215,4350.85024415,-0.000572204589844,24.2839716094
216,4355.95687537,-0.000572204589844,24.2883236649
217,4355.95687537,-0.000572204589844,24.2839716094
218,4366.1701378,-0.000553131103516,24.2854222975
219,4366.1701378,-0.000572204589844,24.2897743442
220,4366.1701378,-0.000591278076172,24.2883236649
221,4381.49003145,-0.000572204589844,24.2883236649
222,4371.27676902,-0.000572204589844,24.2883236649
