"Latest: Time (s)","Latest: Current (A)","Latest: Oxygen Gas (ppm)","Latest: Temperature (°C)"
0,-0.000152587890625,3438.34462939,22.4367629938
1,-0.000209808349609,3453.40307096,22.4353061925
2,-0.000228881835938,3458.42255148,22.4338493846
3,-0.000228881835938,3453.40307096,22.4367629938
4,-0.000228881835938,3453.40307096,22.4353061925
5,-0.000228881835938,3463.44203201,22.4353061925
6,-0.000209808349609,3463.44203201,22.4353061925
7,-0.000228881835938,3463.44203201,22.4382197884
8,-0.000209808349609,3478.50047357,22.4382197884
9,-0.000228881835938,3478.50047357,22.4396765763
10,-0.000190734863281,3478.50047357,22.4382197884
11,-0.000209808349609,3483.5199541,22.4382197884
12,-0.000228881835938,3478.50047357,22.4396765763
13,-0.000190734863281,3488.53943462,22.4396765763
14,-0.000209808349609,3488.53943462,22.4425901321
15,-0.000209808349609,3493.55891514,22.4425901321
16,-0.000190734863281,3493.55891514,22.4396765763
17,-0.000247955322266,3498.57839567,22.4425901321
18,-0.000228881835938,3493.55891514,22.4425901321
19,-0.000247955322266,3513.63683723,22.4440469
20,-0.000190734863281,3498.57839567,22.4425901321
21,-0.000209808349609,3513.63683723,22.4425901321
22,-0.000209808349609,3508.61735671,22.4440469
23,-0.000190734863281,3528.6952788,22.4469604159
24,-0.000190734863281,3513.63683723,22.4469604159
25,-0.000228881835938,3523.67579828,22.4469604159
26,-0.000209808349609,3533.71475932,22.4469604159
27,-0.000228881835938,3533.71475932,22.4469604159
28,-0.000190734863281,3533.71475932,22.4455036613
29,-0.000209808349609,3543.75372037,22.4469604159
30,-0.000228881835938,3543.75372037,22.4469604159
31,-0.000209808349609,3553.79268141,22.4469604159
32,-0.000228881835938,3568.85112298,22.4484171638
33,-0.000247955322266,3553.79268141,22.4542440891
34,-0.000247955322266,3563.83164246,22.4527873677
35,-0.000247955322266,3568.85112298,22.4557008038
36,-0.000171661376953,3578.89008403,22.4557008038
37,-0.000171661376953,3578.89008403,22.4571575118
38,-0.000190734863281,3578.89008403,22.4513306397
39,-0.000190734863281,3593.94852559,22.4557008038
40,-0.000171661376953,3583.90956455,22.4542440891
41,-0.000209808349609,3593.94852559,22.4586142133
42,-0.000171661376953,3593.94852559,22.4571575118
43,-0.000247955322266,3593.94852559,22.4571575118
44,-0.000247955322266,3603.98748664,22.4586142133
45,-0.000228881835938,3598.96800612,22.4586142133
46,-0.000209808349609,3614.02644769,22.4586142133
47,-0.000209808349609,3624.06540873,22.4629842778
48,-0.000247955322266,3629.08488925,22.4586142133
49,-0.000209808349609,3624.06540873,22.4615275962
50,-0.000190734863281,3619.04592821,22.4629842778
51,-0.000209808349609,3624.06540873,22.4644409527
52,-0.000209808349609,3634.10436978,22.465897621
53,-0.000209808349609,3634.10436978,22.4615275962
54,-0.000228881835938,3629.08488925,22.4644409527
55,-0.000209808349609,3639.1238503,22.4673542827
56,-0.000171661376953,3644.14333082,22.465897621
57,-0.000209808349609,3644.14333082,22.4673542827
58,-0.000209808349609,3639.1238503,22.465897621
59,-0.000247955322266,3644.14333082,22.4673542827
60,-0.000209808349609,3649.16281134,22.4644409527
61,-0.000190734863281,3644.14333082,22.4702675862
62,-0.000267028808594,3649.16281134,22.4702675862
63,-0.000267028808594,3639.1238503,22.4702675862
64,-0.000228881835938,3649.16281134,22.4688109378
65,-0.000228881835938,3649.16281134,22.4717242281
66,-0.000247955322266,3644.14333082,22.4731808633
67,-0.000247955322266,3649.16281134,22.4731808633
68,-0.000228881835938,3649.16281134,22.476094114
69,-0.000190734863281,3654.18229187,22.4731808633
70,-0.000247955322266,3649.16281134,22.474637492
71,-0.000190734863281,3649.16281134,22.4775507295
72,-0.000228881835938,3654.18229187,22.476094114
73,-0.000209808349609,3654.18229187,22.4775507295
74,-0.000228881835938,3659.20177239,22.4731808633
75,-0.000190734863281,3654.18229187,22.4804639406
76,-0.000228881835938,3659.20177239,22.4775507295
77,-0.000209808349609,3664.22125291,22.4804639406
78,-0.000209808349609,3669.24073343,22.4790073384
79,-0.000209808349609,3669.24073343,22.4775507295
80,-0.000228881835938,3669.24073343,22.4804639406
81,-0.000228881835938,3669.24073343,22.4819205363
82,-0.000228881835938,3669.24073343,22.4804639406
83,-0.000247955322266,3679.27969448,22.4819205363
84,-0.000228881835938,3679.27969448,22.4804639406
85,-0.000247955322266,3674.26021396,22.4819205363
86,-0.000190734863281,3684.299175,22.4848337079
87,-0.000228881835938,3684.299175,22.4819205363
88,-0.000190734863281,3699.35761657,22.4862902839
89,-0.000209808349609,3694.33813605,22.4848337079
90,-0.000190734863281,3694.33813605,22.4862902839
91,-0.000228881835938,3699.35761657,22.4862902839
92,-0.000228881835938,3704.37709709,22.4877468533
93,-0.000209808349609,3704.37709709,22.4877468533
94,-0.000228881835938,3704.37709709,22.489203416
