"Latest: Time (s)","Latest: Oxygen Gas (ppm)","Latest: Current (A)","Latest: Temperature (°C)"
0,4095.51868339,-0.000553131103516,22.6493858828
1,4100.6253146,-0.000572204589844,22.6479300247
2,4105.73194582,-0.000572204589844,22.6493858828
3,4110.83857703,-0.000553131103516,22.6479300247
4,4110.83857703,-0.000553131103516,22.6508417347
5,4126.15847068,-0.000534057617188,22.6493858828
6,4131.2651019,-0.000553131103516,22.6493858828
7,4161.90488919,-0.000572204589844,22.6479300247
8,4167.0115204,-0.000553131103516,22.6479300247
9,4167.0115204,-0.000572204589844,22.6479300247
10,4167.0115204,-0.000572204589844,22.6479300247
11,4172.11815162,-0.000572204589844,22.6493858828
12,4172.11815162,-0.000572204589844,22.6522975803
13,4172.11815162,-0.000572204589844,22.6493858828
14,4177.22478283,-0.000572204589844,22.6493858828
15,4177.22478283,-0.000591278076172,22.6493858828
16,4187.43804526,-0.000572204589844,22.6508417347
17,4197.6513077,-0.000572204589844,22.6508417347
18,4218.07783256,-0.000572204589844,22.6522975803
19,4223.18446377,-0.000572204589844,22.6493858828
20,4233.3977262,-0.000572204589844,22.6522975803
21,4238.50435742,-0.000572204589844,22.6508417347
22,4243.61098863,-0.000572204589844,22.6537534197
23,4243.61098863,-0.000553131103516,22.6522975803
24,4253.82425106,-0.000572204589844,22.6537534197
25,4253.82425106,-0.000572204589844,22.6522975803
26,4258.93088228,-0.000572204589844,22.6522975803
27,4269.14414471,-0.000553131103516,22.6522975803
28,4274.25077592,-0.000572204589844,22.6537534197
29,4284.46403836,-0.000572204589844,22.6537534197
30,4289.57066957,-0.000572204589844,22.6552092529
31,4309.99719443,-0.000572204589844,22.6522975803
32,4315.10382565,-0.000572204589844,22.6537534197
33,4325.31708808,-0.000572204589844,22.6566650798
34,4330.42371929,-0.000572204589844,22.6566650798
35,4325.31708808,-0.000572204589844,22.6537534197
36,4330.42371929,-0.000572204589844,22.6581209005
37,4335.53035051,-0.000553131103516,22.6566650798
38,4335.53035051,-0.000553131103516,22.6581209005
39,4335.53035051,-0.000572204589844,22.6552092529
40,4350.85024415,-0.000572204589844,22.6552092529
41,4350.85024415,-0.000553131103516,22.659576715
42,4376.38340023,-0.000572204589844,22.659576715
43,4371.27676902,-0.000553131103516,22.6581209005
44,4376.38340023,-0.000572204589844,22.659576715
45,4396.80992509,-0.000553131103516,22.6581209005
46,4412.12981874,-0.000553131103516,22.6610325233
47,4407.02318752,-0.000572204589844,22.6610325233
48,4412.12981874,-0.000572204589844,22.6610325233
49,4427.44971238,-0.000572204589844,22.6610325233
50,4452.98286846,-0.000572204589844,22.6610325233
51,4463.19613089,-0.000553131103516,22.6610325233
52,4458.08949968,-0.000572204589844,22.6624883253
53,4463.19613089,-0.000572204589844,22.6624883253
54,4483.62265575,-0.000572204589844,22.6639441211
55,4478.51602454,-0.000572204589844,22.6653999108
56,4488.72928697,-0.000572204589844,22.6668556942
57,4493.83591818,-0.000572204589844,22.6624883253
58,4493.83591818,-0.000572204589844,22.6624883253
59,4504.04918061,-0.000572204589844,22.6639441211
60,4498.9425494,-0.000572204589844,22.6624883253
61,4504.04918061,-0.000572204589844,22.6668556942
62,4504.04918061,-0.000572204589844,22.6683114714
63,4524.47570548,-0.000553131103516,22.6712230072
64,4519.36907426,-0.000572204589844,22.6639441211
65,4524.47570548,-0.000572204589844,22.6683114714
66,4544.90223034,-0.000572204589844,22.6683114714
67,4555.11549277,-0.000572204589844,22.6697672424
68,4550.00886155,-0.000572204589844,22.6683114714
69,4570.43538641,-0.000572204589844,22.6712230072
70,4565.3287552,-0.000572204589844,22.6712230072
71,4570.43538641,-0.000572204589844,22.6653999108
72,4570.43538641,-0.000572204589844,22.6726787658
73,4570.43538641,-0.000572204589844,22.6712230072
74,4570.43538641,-0.000572204589844,22.6726787658
75,4575.54201763,-0.000572204589844,22.6712230072
76,4575.54201763,-0.000572204589844,22.6741345182
77,4575.54201763,-0.000572204589844,22.6726787658
78,4575.54201763,-0.000553131103516,22.6712230072
79,4575.54201763,-0.000553131103516,22.6726787658
80,4580.64864884,-0.000572204589844,22.6726787658
81,4580.64864884,-0.000572204589844,22.6712230072
82,4585.75528006,-0.000572204589844,22.6726787658
83,4590.86191127,-0.000572204589844,22.6726787658
84,4611.28843614,-0.000572204589844,22.6741345182
85,4601.0751737,-0.000572204589844,22.6726787658
86,4626.60832978,-0.000572204589844,22.6770460045
87,4621.50169857,-0.000572204589844,22.6770460045
88,4641.92822343,-0.000572204589844,22.6755902644
89,4647.03485464,-0.000572204589844,22.6741345182
90,4657.24811707,-0.000572204589844,22.6741345182
91,4657.24811707,-0.000572204589844,22.6755902644
92,4667.4613795,-0.000572204589844,22.6770460045
93,4677.67464193,-0.000572204589844,22.6770460045
94,4672.56801072,-0.000553131103516,22.679957466
95,4692.99453558,-0.000553131103516,22.6814131875
96,4687.88790437,-0.000572204589844,22.6814131875
97,4713.42106044,-0.000572204589844,22.679957466
98,4703.20779801,-0.000572204589844,22.6814131875
99,4718.52769166,-0.000572204589844,22.6828689028
100,4723.63432287,-0.000572204589844,22.6770460045
101,4728.74095409,-0.000553131103516,22.6814131875
102,4738.95421652,-0.000553131103516,22.6770460045
103,4744.06084773,-0.000572204589844,22.6857803149
104,4744.06084773,-0.000572204589844,22.6828689028
105,4738.95421652,-0.000572204589844,22.6814131875
106,4744.06084773,-0.000572204589844,22.6872360117
107,4744.06084773,-0.000553131103516,22.6814131875
108,4754.27411016,-0.000572204589844,22.6857803149
109,4754.27411016,-0.000572204589844,22.684324612
110,4774.70063503,-0.000553131103516,22.6814131875
111,4774.70063503,-0.000553131103516,22.684324612
112,4795.12715989,-0.000572204589844,22.6901473869
113,4795.12715989,-0.000572204589844,22.6916030652
114,4795.12715989,-0.000591278076172,22.6916030652
115,4805.34042232,-0.000572204589844,22.684324612
116,4815.55368475,-0.000572204589844,22.6930587374
117,4815.55368475,-0.000553131103516,22.6930587374
118,4815.55368475,-0.000572204589844,22.6901473869
119,4815.55368475,-0.000553131103516,22.6930587374
120,4825.76694718,-0.000572204589844,22.6930587374
121,4825.76694718,-0.000572204589844,22.6916030652
122,4830.87357839,-0.000572204589844,22.6916030652
123,4830.87357839,-0.000572204589844,22.6959700633
124,4841.08684082,-0.000572204589844,22.6930587374
125,4841.08684082,-0.000572204589844,22.6916030652
126,4856.40673447,-0.000572204589844,22.6930587374
127,4856.40673447,-0.000572204589844,22.6945144034
128,4866.6199969,-0.000572204589844,22.6916030652
129,4856.40673447,-0.000572204589844,22.6930587374
130,4881.93989055,-0.000572204589844,22.6945144034
131,4887.04652176,-0.000572204589844,22.6988813646
132,4887.04652176,-0.000572204589844,22.6988813646
133,4887.04652176,-0.000572204589844,22.697425717
134,4897.25978419,-0.000572204589844,22.6959700633
135,4892.15315298,-0.000553131103516,22.697425717
136,4892.15315298,-0.000553131103516,22.700337006
