"Latest: Time (s)","Latest: Current (A)","Latest: Temperature (°C)","Latest: Oxygen Gas (ppm)"
0,-0.000629425048828,25.309036347,4347.21896032
1,-0.000667572021484,25.309036347,4368.90085562
2,-0.000686645507813,25.3075870411,4368.90085562
3,-0.000648498535156,25.3046884265,4379.74180328
4,-0.000629425048828,25.309036347,4374.32132945
5,-0.000686645507813,25.3061377343,4379.74180328
6,-0.000686645507813,25.3075870411,4379.74180328
7,-0.000667572021484,25.309036347,4385.1622771
8,-0.000667572021484,25.3075870411,4379.74180328
9,-0.000648498535156,25.3046884265,4385.1622771
10,-0.000648498535156,25.3061377343,4390.58275093
11,-0.000648498535156,25.3061377343,4401.42369858
12,-0.000648498535156,25.3075870411,4412.26464623
13,-0.000648498535156,25.3075870411,4417.68512006
14,-0.000667572021484,25.3003404972,4423.10559389
15,-0.000667572021484,25.3003404972,4433.94654154
16,-0.000667572021484,25.3017898079,4423.10559389
17,-0.000629425048828,25.3003404972,4439.36701537
18,-0.000667572021484,25.3017898079,4450.20796302
19,-0.000667572021484,25.3017898079,4461.04891067
20,-0.000686645507813,25.2988911855,4461.04891067
21,-0.000667572021484,25.3017898079,4471.88985832
22,-0.000667572021484,25.2988911855,4471.88985832
23,-0.000667572021484,25.2974418728,4471.88985832
24,-0.000667572021484,25.2945432445,4477.31033215
25,-0.000705718994141,25.2945432445,4482.73080598
26,-0.000629425048828,25.2887459761,4477.31033215
27,-0.000667572021484,25.2945432445,4493.57175363
28,-0.000648498535156,25.2901952947,4504.41270128
29,-0.000686645507813,25.2930939289,4515.25364893
30,-0.000648498535156,25.2901952947,4515.25364893
31,-0.000667572021484,25.2887459761,4509.83317511
32,-0.000667572021484,25.2843980143,4526.09459659
33,-0.000667572021484,25.2843980143,4526.09459659
34,-0.000648498535156,25.2829486917,4531.51507041
35,-0.000686645507813,25.2829486917,4542.35601806
36,-0.000667572021484,25.2814993681,4553.19696572
37,-0.000667572021484,25.2800500434,4553.19696572
38,-0.000648498535156,25.2742527347,4553.19696572
39,-0.000667572021484,25.2786007178,4558.61743954
40,-0.000648498535156,25.2771513911,4569.4583872
41,-0.000686645507813,25.272803405,4574.87886102
42,-0.000667572021484,25.2757020634,4574.87886102
43,-0.000686645507813,25.2713540742,4574.87886102
44,-0.000667572021484,25.2699047425,4580.29933485
45,-0.000648498535156,25.272803405,4580.29933485
46,-0.000667572021484,25.2670060758,4596.56075633
47,-0.000686645507813,25.2641074049,4596.56075633
48,-0.000667572021484,25.2626580679,4601.98123015
49,-0.000648498535156,25.2626580679,4623.66312546
50,-0.000686645507813,25.2626580679,4607.40170398
51,-0.000667572021484,25.2612087299,4639.92454694
52,-0.000648498535156,25.2612087299,4629.08359928
53,-0.000667572021484,25.2554113672,4645.34502076
54,-0.000629425048828,25.2583100507,4634.50407311
55,-0.000648498535156,25.2568607095,4656.18596842
56,-0.000686645507813,25.2554113672,4667.02691607
57,-0.000648498535156,25.2481646399,4667.02691607
58,-0.000667572021484,25.2525126795,4677.86786372
59,-0.000667572021484,25.251063334,4683.28833755
60,-0.000648498535156,25.2496139875,4677.86786372
61,-0.000667572021484,25.2481646399,4688.70881137
62,-0.000667572021484,25.2452659415,4694.1292852
63,-0.000667572021484,25.2452659415,4699.54975903
64,-0.000648498535156,25.2423672387,4699.54975903
65,-0.000686645507813,25.2452659415,4710.39070668
66,-0.000648498535156,25.2394685316,4710.39070668
67,-0.000648498535156,25.2380191764,4710.39070668
68,-0.000686645507813,25.2394685316,4710.39070668
69,-0.000667572021484,25.2365698201,4721.23165433
70,-0.000667572021484,25.2394685316,4715.8111805
71,-0.000648498535156,25.2365698201,4715.8111805
72,-0.000667572021484,25.2351204627,4721.23165433
73,-0.000648498535156,25.2322217446,4715.8111805
74,-0.000667572021484,25.2351204627,4721.23165433
75,-0.000667572021484,25.2293230221,4721.23165433
76,-0.000667572021484,25.2307723839,4726.65212816
77,-0.000667572021484,25.22497493,4721.23165433
78,-0.000648498535156,25.2264242952,4721.23165433
79,-0.000667572021484,25.22497493,4721.23165433
80,-0.000648498535156,25.22497493,4726.65212816
81,-0.000648498535156,25.2220761963,4726.65212816
82,-0.000667572021484,25.2220761963,4732.07260198
83,-0.000667572021484,25.2220761963,4732.07260198
84,-0.000648498535156,25.2177280873,4726.65212816
85,-0.000648498535156,25.2206268278,4737.49307581
86,-0.000648498535156,25.2191774581,4737.49307581
87,-0.000667572021484,25.2148293423,4737.49307581
88,-0.000648498535156,25.2133799681,4737.49307581
89,-0.000667572021484,25.2133799681,4748.33402346
90,-0.000648498535156,25.2148293423,4748.33402346
91,-0.000686645507813,25.2090318386,4753.75449729
92,-0.000648498535156,25.2090318386,4753.75449729
93,-0.000648498535156,25.2061330798,4764.59544494
94,-0.000667572021484,25.2061330798,4759.17497111
95,-0.000667572021484,25.2075824598,4764.59544494
96,-0.000667572021484,25.201784933,4759.17497111
97,-0.000667572021484,25.201784933,4775.43639259
98,-0.000648498535156,25.2003355484,4775.43639259
99,-0.000667572021484,25.201784933,4775.43639259
100,-0.000667572021484,25.1945379982,4791.69781407
101,-0.000648498535156,25.1930886078,4775.43639259
102,-0.000686645507813,25.1945379982,4797.1182879
103,-0.000667572021484,25.1916392161,4797.1182879
104,-0.000648498535156,25.1901898232,4797.1182879
105,-0.000667572021484,25.1887404292,4797.1182879
106,-0.000667572021484,25.1887404292,4797.1182879
107,-0.000686645507813,25.1858416375,4807.95923555
108,-0.000667572021484,25.1829428411,4807.95923555
109,-0.000667572021484,25.1785946374,4807.95923555
110,-0.000629425048828,25.1814934411,4802.53876172
111,-0.000686645507813,25.1785946374,4807.95923555
112,-0.000667572021484,25.1756958288,4807.95923555
