"Latest: Time (s)","Latest: Current (A)","Latest: Oxygen Gas (ppm)","Latest: Temperature (°C)"
0,-7.62939453125E-05,4256.51995458,24.1388873549
1,-0.000152587890625,4271.57839615,24.1490442772
2,-0.000133514404297,4286.63683771,24.1664557763
3,-0.000133514404297,4281.61735719,24.1838668154
4,-0.000114440917969,4286.63683771,24.2041791194
5,-7.62939453125E-05,4286.63683771,24.2215891785
6,-0.000133514404297,4291.65631824,24.234646431
7,-0.000152587890625,4296.67579876,24.2462526694
8,-0.000152587890625,4301.69527928,24.2564079685
9,-0.000171661376953,4306.7147598,24.2680138437
10,-0.000133514404297,4301.69527928,24.2825209183
11,-0.000152587890625,4316.75372085,24.2955770317
12,-0.000133514404297,4326.7926819,24.3057316219
13,-0.000152587890625,4336.83164294,24.315886069
14,-0.000190734863281,4341.85112346,24.3260403739
15,-0.000228881835938,4351.89008451,24.3332933624
16,-0.000152587890625,4351.89008451,24.3361945377
17,-0.000171661376953,4361.92904555,24.3419968541
18,-0.000190734863281,4351.89008451,24.3492496854
19,-0.000171661376953,4366.94852608,24.3550518995
20,-0.000190734863281,4361.92904555,24.3637551359
21,-0.000152587890625,4361.92904555,24.3681067162
22,-0.000171661376953,4366.94852608,24.3739087841
23,-0.000171661376953,4366.94852608,24.3797108075
24,-0.000171661376953,4371.9680066,24.3855127864
25,-0.000152587890625,4366.94852608,24.3869632742
26,-0.000152587890625,4371.9680066,24.3971166119
27,-0.000152587890625,4366.94852608,24.4029184587
28,-0.000152587890625,4371.9680066,24.408720262
29,-0.000171661376953,4382.00696764,24.4130715858
30,-0.000190734863281,4382.00696764,24.4159724548
31,-0.000171661376953,4387.02644817,24.4217741605
32,-0.000190734863281,4397.06540921,24.4217741605
33,-0.000171661376953,4402.08488973,24.4261254114
34,-0.000190734863281,4412.12385078,24.429026232
35,-0.000152587890625,4422.16281182,24.429026232
36,-0.000171661376953,4422.16281182,24.4333774428
37,-0.000171661376953,4432.20177287,24.434827841
38,-0.000152587890625,4442.24073392,24.4377286295
39,-0.000133514404297,4452.27969496,24.4406294073
40,-0.000171661376953,4457.29917548,24.4391790197
41,-0.000171661376953,4462.31865601,24.4420797923
42,-0.000152587890625,4467.33813653,24.4449805542
43,-0.000190734863281,4472.35761705,24.4435301746
44,-0.000190734863281,4477.37709757,24.4449805542
45,-0.000190734863281,4492.43553914,24.4449805542
46,-0.000152587890625,4497.45501966,24.4449805542
47,-0.000133514404297,4502.47450019,24.4464309312
48,-0.000152587890625,4507.49398071,24.4493316773
49,-0.000171661376953,4512.51346123,24.4478813056
50,-0.000152587890625,4517.53294175,24.4493316773
51,-7.62939453125E-05,4517.53294175,24.4507820464
52,-0.000114440917969,4522.55242228,24.4493316773
