"Latest: Time (s)","Latest: Current (A)","Latest: Oxygen Gas (ppm)","Latest: Temperature (°C)"
0,-3.81469726563E-05,3403.20826574,23.9894165687
1,-5.72204589844E-05,3408.22774626,23.9894165687
2,-7.62939453125E-05,3408.22774626,23.9908679171
3,-3.81469726563E-05,3413.24722678,23.9908679171
4,-1.90734863281E-05,3423.28618783,23.9894165687
5,-3.81469726563E-05,3423.28618783,23.9908679171
6,-3.81469726563E-05,3423.28618783,23.992319262
7,-1.90734863281E-05,3438.34462939,23.9908679171
8,-1.90734863281E-05,3443.36410992,23.992319262
9,-1.90734863281E-05,3448.38359044,23.9937706033
10,-3.81469726563E-05,3453.40307096,23.9952219411
11,-1.90734863281E-05,3453.40307096,23.9937706033
12,-5.72204589844E-05,3468.46151253,23.9937706033
13,-1.90734863281E-05,3488.53943462,23.992319262
14,-5.72204589844E-05,3478.50047357,23.9937706033
15,-3.81469726563E-05,3488.53943462,23.9966732754
16,-1.90734863281E-05,3493.55891514,23.9937706033
17,0,3493.55891514,23.9952219411
18,-7.62939453125E-05,3503.59787619,23.9981246062
19,-5.72204589844E-05,3498.57839567,23.9981246062
20,-3.81469726563E-05,3508.61735671,23.9966732754
21,-3.81469726563E-05,3523.67579828,23.9966732754
22,-3.81469726563E-05,3528.6952788,23.9966732754
23,-7.62939453125E-05,3528.6952788,23.9952219411
24,-3.81469726563E-05,3533.71475932,24.001027257
25,-1.90734863281E-05,3548.77320089,23.9981246062
26,-1.90734863281E-05,3558.81216194,23.9995759334
27,-5.72204589844E-05,3563.83164246,24.001027257
28,3.81469726563E-05,3573.8706035,24.001027257
29,1.90734863281E-05,3588.92904507,24.001027257
30,-1.90734863281E-05,3598.96800612,23.9995759334
31,-1.90734863281E-05,3603.98748664,23.9995759334
32,-3.81469726563E-05,3619.04592821,23.9995759334
33,-3.81469726563E-05,3619.04592821,24.0024785772
34,-3.81469726563E-05,3629.08488925,24.0039298939
35,1.90734863281E-05,3639.1238503,24.0039298939
36,-7.62939453125E-05,3639.1238503,24.0024785772
37,0,3639.1238503,24.001027257
38,3.81469726563E-05,3644.14333082,24.005381207
39,-3.81469726563E-05,3649.16281134,24.005381207
40,0,3649.16281134,24.0039298939
41,-1.90734863281E-05,3649.16281134,24.005381207
42,-0.000133514404297,3649.16281134,24.0097351253
43,-0.000152587890625,3654.18229187,24.0068325166
44,-9.53674316406E-05,3654.18229187,24.0039298939
45,-9.53674316406E-05,3654.18229187,24.005381207
46,-7.62939453125E-05,3659.20177239,24.0068325166
47,-5.72204589844E-05,3669.24073343,24.0111864244
48,-7.62939453125E-05,3684.299175,24.0068325166
49,-7.62939453125E-05,3694.33813605,24.0068325166
50,-5.72204589844E-05,3699.35761657,24.0068325166
51,-0.000133514404297,3704.37709709,24.0082838227
52,-7.62939453125E-05,3719.43553866,24.0082838227
53,-3.81469726563E-05,3719.43553866,24.0082838227
54,-7.62939453125E-05,3719.43553866,24.0111864244
55,-9.53674316406E-05,3724.45501918,24.0097351253
56,-1.90734863281E-05,3729.47449971,24.01263772
57,-7.62939453125E-05,3729.47449971,24.01263772
58,-1.90734863281E-05,3744.53294127,24.0111864244
59,-9.53674316406E-05,3739.51346075,24.01263772
60,-5.72204589844E-05,3744.53294127,24.0169915857
61,-7.62939453125E-05,3764.61086336,24.014089012
62,-7.62939453125E-05,3759.59138284,24.0155403006
63,-7.62939453125E-05,3769.63034389,24.0155403006
64,-9.53674316406E-05,3779.66930493,24.0155403006
