"Latest: Time (s)","Latest: Oxygen Gas (ppm)","Latest: Current (A)","Latest: Temperature (°C)"
0,3829.80246563,-0.0013542175293,24.4058193658
1,3834.9569781,-0.00133514404297,24.4043689136
2,3840.11149057,-0.00137329101563,24.4043689136
3,3876.19307789,-0.00148773193359,24.3971166119
4,3881.34759036,-0.00141143798828,24.4014680011
5,3876.19307789,-0.00137329101563,24.4058193658
6,3896.81112778,-0.00143051147461,24.4014680011
7,3901.96564025,-0.00144958496094,24.4029184587
8,3901.96564025,-0.00139236450195,24.4043689136
9,3901.96564025,-0.00139236450195,24.4058193658
10,3901.96564025,-0.0013542175293,24.4043689136
11,3907.12015273,-0.00139236450195,24.4029184587
12,3927.73820262,-0.00137329101563,24.4058193658
13,3938.04722757,-0.00144958496094,24.3985670777
14,3948.35625251,-0.00141143798828,24.4014680011
15,3953.51076499,-0.00143051147461,24.4000175408
16,3974.12881488,-0.00141143798828,24.4043689136
17,3984.43783983,-0.00143051147461,24.4014680011
18,3989.5923523,-0.00143051147461,24.4043689136
19,3994.74686477,-0.00137329101563,24.4072698152
20,4005.05588972,-0.00141143798828,24.4058193658
21,4015.36491467,-0.00143051147461,24.4058193658
22,4030.82845209,-0.00141143798828,24.4072698152
23,4041.13747703,-0.00141143798828,24.4058193658
24,4056.60101445,-0.00143051147461,24.4043689136
25,4056.60101445,-0.00137329101563,24.4072698152
26,4056.60101445,-0.00137329101563,24.4029184587
27,4066.9100394,-0.00139236450195,24.4043689136
28,4061.75552693,-0.00139236450195,24.4043689136
29,4066.9100394,-0.00143051147461,24.4043689136
30,4066.9100394,-0.00141143798828,24.408720262
31,4066.9100394,-0.00141143798828,24.408720262
32,4066.9100394,-0.00137329101563,24.4072698152
33,4072.06455187,-0.00143051147461,24.4072698152
34,4072.06455187,-0.00139236450195,24.4058193658
35,4082.37357682,-0.00137329101563,24.4072698152
36,4082.37357682,-0.00137329101563,24.4072698152
37,4113.30065166,-0.00143051147461,24.4058193658
