"Latest: Time (s)","Latest: Oxygen Gas (ppm)","Latest: Current (A)","Latest: Temperature (°C)"
0,5458.62840721,-0.00148773193359,24.3361945377
1,5463.78291969,-0.00150680541992,24.3376451211
2,5458.62840721,-0.00158309936523,24.3318427705
3,5463.78291969,-0.00154495239258,24.3318427705
4,5468.93743216,-0.00154495239258,24.3361945377
5,5468.93743216,-0.00154495239258,24.3318427705
6,5474.09194463,-0.00156402587891,24.3303921756
7,5484.40096958,-0.00150680541992,24.3289415779
8,5484.40096958,-0.00154495239258,24.3289415779
9,5505.01901947,-0.00152587890625,24.3245897676
10,5494.70999453,-0.00152587890625,24.3245897676
11,5499.864507,-0.00152587890625,24.3231391584
12,5530.79158184,-0.00150680541992,24.3202379313
13,5520.48255689,-0.00152587890625,24.3231391584
14,5530.79158184,-0.00156402587891,24.315886069
15,5541.10060679,-0.00156402587891,24.3187873134
16,5556.56414421,-0.00154495239258,24.3173366926
17,5551.40963173,-0.00152587890625,24.3173366926
18,5561.71865668,-0.00156402587891,24.3115341805
19,5577.1821941,-0.00152587890625,24.3129848129
20,5587.49121905,-0.00154495239258,24.3115341805
21,5587.49121905,-0.00152587890625,24.3100835452
22,5587.49121905,-0.00148773193359,24.3100835452
23,5587.49121905,-0.00150680541992,24.3100835452
24,5608.10926894,-0.00152587890625,24.308632907
25,5608.10926894,-0.00152587890625,24.308632907
26,5618.41829389,-0.00148773193359,24.3071822659
27,5618.41829389,-0.00152587890625,24.3042809749
28,5618.41829389,-0.00150680541992,24.3057316219
29,5628.72731884,-0.00152587890625,24.3028303251
30,5628.72731884,-0.00158309936523,24.3057316219
31,5633.88183131,-0.00156402587891,24.2984783579
32,5639.03634378,-0.00152587890625,24.2984783579
33,5633.88183131,-0.00150680541992,24.3013796723
34,5633.88183131,-0.00152587890625,24.2999290165
35,5644.19085626,-0.00150680541992,24.2955770317
36,5644.19085626,-0.00150680541992,24.2941263643
37,5654.4998812,-0.00154495239258,24.2941263643
38,5649.34536873,-0.00152587890625,24.2970276963
39,5669.96341862,-0.00150680541992,24.2955770317
40,5669.96341862,-0.00152587890625,24.2955770317
41,5680.27244357,-0.00152587890625,24.2926756939
42,5695.73598099,-0.00152587890625,24.2883236649
43,5685.42695604,-0.00152587890625,24.2883236649
44,5690.58146852,-0.00148773193359,24.2912250205
45,5706.04500594,-0.00146865844727,24.2854222975
46,5706.04500594,-0.00152587890625,24.2854222975
47,5706.04500594,-0.00150680541992,24.2912250205
48,5711.19951841,-0.00152587890625,24.2825209183
49,5711.19951841,-0.00154495239258,24.2825209183
50,5711.19951841,-0.00150680541992,24.2796195272
51,5711.19951841,-0.00154495239258,24.2810702242
52,5716.35403088,-0.00146865844727,24.2810702242
53,5736.97208078,-0.00152587890625,24.2796195272
