"Latest: Time (s)","Latest: Oxygen Gas (ppm)","Latest: Current (A)","Latest: Temperature (°C)"
0,4556.58872437,-0.00146865844727,23.1004157725
1,4556.58872437,-0.00144958496094,23.1047779364
2,4561.74323685,-0.00148773193359,23.1047779364
3,4572.05226179,-0.00148773193359,23.1033238871
4,4566.89774932,-0.00148773193359,23.1018698324
5,4566.89774932,-0.00148773193359,23.107686019
6,4577.20677427,-0.00144958496094,23.107686019
7,4597.82482416,-0.00150680541992,23.107686019
8,4618.44287405,-0.00156402587891,23.107686019
9,4618.44287405,-0.00150680541992,23.1062319804
10,4628.751899,-0.00144958496094,23.1047779364
11,4618.44287405,-0.00148773193359,23.1091400524
12,4649.36994889,-0.00154495239258,23.1105940805
13,4654.52446137,-0.00146865844727,23.107686019
14,4659.67897384,-0.00146865844727,23.107686019
15,4664.83348631,-0.00143051147461,23.1120481032
16,4680.29702373,-0.00139236450195,23.1149561329
17,4685.45153621,-0.00154495239258,23.1105940805
18,4700.91507363,-0.00148773193359,23.1105940805
19,4711.22409857,-0.00148773193359,23.1120481032
20,4716.37861105,-0.00158309936523,23.1149561329
21,4721.53312352,-0.00150680541992,23.1120481032
22,4726.68763599,-0.00154495239258,23.1135021207
23,4731.84214847,-0.00156402587891,23.1120481032
24,4726.68763599,-0.00156402587891,23.1149561329
25,4731.84214847,-0.00148773193359,23.1135021207
26,4736.99666094,-0.00156402587891,23.1193181376
27,4762.76922331,-0.00150680541992,23.1120481032
28,4757.61471083,-0.00146865844727,23.1149561329
29,4752.46019836,-0.00152587890625,23.1193181376
30,4773.07824825,-0.00144958496094,23.1193181376
31,4783.3872732,-0.00150680541992,23.1222261143
32,4798.85081062,-0.00152587890625,23.1193181376
33,4798.85081062,-0.00148773193359,23.1193181376
34,4804.00532309,-0.00148773193359,23.1178641413
35,4809.15983557,-0.00148773193359,23.1178641413
36,4804.00532309,-0.00150680541992,23.1193181376
37,4809.15983557,-0.00148773193359,23.1207721286
38,4809.15983557,-0.00154495239258,23.1164101397
39,4809.15983557,-0.00146865844727,23.1207721286
40,4809.15983557,-0.00150680541992,23.1193181376
41,4809.15983557,-0.00152587890625,23.1164101397
42,4814.31434804,-0.00150680541992,23.1193181376
43,4819.46886051,-0.00148773193359,23.1178641413
44,4819.46886051,-0.00148773193359,23.1207721286
45,4824.62337299,-0.00158309936523,23.1222261143
46,4840.08691041,-0.00152587890625,23.1236800947
47,4834.93239793,-0.00158309936523,23.1222261143
48,4850.39593535,-0.00146865844727,23.1222261143
49,4871.01398525,-0.00148773193359,23.1207721286
50,4871.01398525,-0.00146865844727,23.1236800947
51,4876.16849772,-0.00148773193359,23.1236800947
52,4896.78654762,-0.00152587890625,23.1193181376
53,4907.09557256,-0.00150680541992,23.1178641413
54,4912.25008504,-0.00158309936523,23.1222261143
55,4907.09557256,-0.00148773193359,23.1207721286
56,4917.40459751,-0.00154495239258,23.1222261143
57,4938.0226474,-0.00148773193359,23.1164101397
58,4953.48618482,-0.00148773193359,23.1222261143
59,4953.48618482,-0.00154495239258,23.1207721286
60,4958.6406973,-0.00152587890625,23.1193181376
61,4974.10423472,-0.00150680541992,23.1207721286
62,4968.94972224,-0.00150680541992,23.1178641413
63,4974.10423472,-0.00150680541992,23.1222261143
64,4979.25874719,-0.00154495239258,23.1222261143
65,4984.41325966,-0.00154495239258,23.1178641413
66,4989.56777214,-0.00156402587891,23.1222261143
67,4994.72228461,-0.00160217285156,23.1178641413
68,4989.56777214,-0.00144958496094,23.1207721286
69,5010.18582203,-0.00148773193359,23.1222261143
70,5015.3403345,-0.00150680541992,23.1207721286
71,5015.3403345,-0.00152587890625,23.1207721286
72,5035.9583844,-0.00158309936523,23.1178641413
73,5041.11289687,-0.00148773193359,23.1207721286
74,5041.11289687,-0.00148773193359,23.1178641413
75,5051.42192182,-0.00148773193359,23.1207721286
76,5051.42192182,-0.00154495239258,23.1207721286
77,5061.73094676,-0.00150680541992,23.1164101397
78,5061.73094676,-0.00160217285156,23.1193181376
79,5056.57643429,-0.00156402587891,23.1207721286
80,5061.73094676,-0.00154495239258,23.1207721286
81,5087.50350913,-0.00160217285156,23.1178641413
82,5082.34899666,-0.00156402587891,23.1178641413
83,5087.50350913,-0.00148773193359,23.1207721286
84,5102.96704655,-0.00152587890625,23.1178641413
85,5097.81253408,-0.00152587890625,23.1164101397
86,5118.43058397,-0.00152587890625,23.1193181376
87,5128.73960892,-0.00156402587891,23.1207721286
88,5133.89412139,-0.00152587890625,23.1193181376
89,5133.89412139,-0.00150680541992,23.1193181376
90,5133.89412139,-0.00148773193359,23.1164101397
91,5139.04863386,-0.00152587890625,23.1164101397
92,5133.89412139,-0.00146865844727,23.1178641413
93,5139.04863386,-0.00152587890625,23.1178641413
94,5139.04863386,-0.00154495239258,23.1178641413
95,5139.04863386,-0.00150680541992,23.1207721286
96,5139.04863386,-0.00146865844727,23.1222261143
97,5139.04863386,-0.00154495239258,23.1178641413
98,5144.20314634,-0.00154495239258,23.1178641413
99,5144.20314634,-0.00154495239258,23.1164101397
100,5144.20314634,-0.00146865844727,23.1178641413
101,5154.51217128,-0.00154495239258,23.1178641413
102,5164.82119623,-0.00144958496094,23.1178641413
103,5169.9757087,-0.00150680541992,23.1164101397
104,5169.9757087,-0.00148773193359,23.1207721286
105,5185.43924612,-0.00152587890625,23.1164101397
106,5206.05729602,-0.00148773193359,23.1178641413
107,5200.90278354,-0.00148773193359,23.1149561329
108,5200.90278354,-0.00150680541992,23.1178641413
109,5211.21180849,-0.00154495239258,23.1164101397
110,5216.36632096,-0.00152587890625,23.1164101397
111,5211.21180849,-0.00146865844727,23.1164101397
112,5216.36632096,-0.00152587890625,23.1149561329
113,5221.52083344,-0.00148773193359,23.1164101397
114,5226.67534591,-0.00150680541992,23.1149561329
115,5226.67534591,-0.00150680541992,23.1164101397
116,5231.82985839,-0.00148773193359,23.1164101397
117,5242.13888333,-0.00152587890625,23.1178641413
118,5257.60242075,-0.00148773193359,23.1164101397
119,5262.75693323,-0.00154495239258,23.1135021207
120,5267.9114457,-0.00150680541992,23.1164101397
