"Latest: Time (s)","Latest: Current (A)","Latest: Temperature (°C)","Latest: Oxygen Gas (ppm)"
0,-0.000705718994141,25.056840228,4206.28664084
1,-0.000705718994141,25.0524916771,4238.8094838
2,-0.000686645507813,25.0539411955,4238.8094838
3,-0.000705718994141,25.0524916771,4255.07090527
4,-0.000667572021484,25.0524916771,4260.4913791
5,-0.000705718994141,25.0481431131,4271.33232675
6,-0.000705718994141,25.0495926359,4287.59374823
7,-0.000667572021484,25.0481431131,4287.59374823
8,-0.000705718994141,25.0452440631,4293.01422206
9,-0.000705718994141,25.0423450073,4298.43469588
10,-0.000686645507813,25.0437945359,4298.43469588
11,-0.000667572021484,25.0408954771,4320.11659119
12,-0.000686645507813,25.0394459455,4314.69611736
13,-0.000686645507813,25.0379964124,4320.11659119
14,-0.000686645507813,25.0365468778,4330.95753884
15,-0.000705718994141,25.0307487245,4336.37801267
16,-0.000705718994141,25.0292991825,4352.63943415
17,-0.000686645507813,25.0292991825,4363.4803818
18,-0.000705718994141,25.0264000938,4368.90085562
19,-0.000705718994141,25.0264000938,4368.90085562
20,-0.000705718994141,25.0235009992,4374.32132945
21,-0.000686645507813,25.0235009992,4374.32132945
22,-0.000705718994141,25.0235009992,4379.74180328
23,-0.000686645507813,25.0191523458,4379.74180328
24,-0.000705718994141,25.0191523458,4379.74180328
25,-0.000686645507813,25.010454998,4390.58275093
26,-0.000705718994141,25.01335412,4396.00322476
27,-0.000686645507813,25.0090054346,4401.42369858
28,-0.000686645507813,25.0046567353,4412.26464623
29,-0.000705718994141,25.0061063033,4412.26464623
30,-0.000686645507813,25.000308022,4428.52606771
31,-0.000705718994141,24.9930601354,4439.36701537
32,-0.000686645507813,24.9930601354,4444.78748919
33,-0.000705718994141,24.9887113845,4450.20796302
34,-0.000705718994141,24.9858122094,4461.04891067
35,-0.000686645507813,24.9800138401,4461.04891067
36,-0.000705718994141,24.9785642438,4466.4693845
37,-0.000686645507813,24.9698666321,4482.73080598
38,-0.000686645507813,24.9655178045,4482.73080598
39,-0.000705718994141,24.9626185779,4477.31033215
40,-0.000686645507813,24.955370483,4498.99222745
41,-0.000705718994141,24.955370483,4509.83317511
42,-0.000686645507813,24.9510216062,4509.83317511
43,-0.000705718994141,24.9495719773,4526.09459659
44,-0.000705718994141,24.9452230807,4526.09459659
45,-0.000686645507813,24.942323808,4536.93554424
46,-0.000705718994141,24.9379748864,4531.51507041
47,-0.000686645507813,24.9336259496,4547.77649189
48,-0.000705718994141,24.9336259496,4553.19696572
49,-0.000705718994141,24.9321763007,4553.19696572
50,-0.000686645507813,24.9292769977,4564.03791337
51,-0.000705718994141,24.9234783713,4564.03791337
52,-0.000667572021484,24.9234783713,4574.87886102
53,-0.000667572021484,24.9205790478,4585.71980867
54,-0.000705718994141,24.9118810363,4596.56075633
55,-0.000705718994141,24.9046326458,4601.98123015
56,-0.000743865966797,24.9046326458,4607.40170398
57,-0.000686645507813,24.9002835905,4618.24265163
58,-0.000686645507813,24.8973842116,4629.08359928
59,-0.000705718994141,24.8886860325,4650.76549459
