"Latest: Time (s)","Latest: Oxygen Gas (ppm)","Latest: Current (A)","Latest: Temperature (°C)"
0,4003.59932151,-0.0006103515625,24.6117572864
1,4024.02584637,-0.000572204589844,24.6117572864
2,4024.02584637,-0.000591278076172,24.6132073781
3,4044.45237124,-0.000629425048828,24.6074069974
4,4044.45237124,-0.000629425048828,24.6117572864
5,4054.66563367,-0.0006103515625,24.6074069974
6,4059.77226488,-0.0006103515625,24.608857096
7,4064.8788961,-0.000648498535156,24.608857096
8,4080.19878974,-0.000591278076172,24.6059568964
9,4090.41205217,-0.000629425048828,24.6059568964
10,4090.41205217,-0.000629425048828,24.608857096
11,4090.41205217,-0.000629425048828,24.6059568964
12,4095.51868339,-0.0006103515625,24.6074069974
13,4100.6253146,-0.000629425048828,24.6059568964
14,4115.94520825,-0.000629425048828,24.6059568964
15,4121.05183947,-0.000629425048828,24.6059568964
16,4121.05183947,-0.000629425048828,24.6030566874
17,4136.37173311,-0.000648498535156,24.6016065794
18,4141.47836433,-0.000629425048828,24.6016065794
19,4161.90488919,-0.000629425048828,24.6016065794
20,4167.0115204,-0.000591278076172,24.6016065794
21,4161.90488919,-0.0006103515625,24.600156469
22,4167.0115204,-0.000629425048828,24.6030566874
23,4172.11815162,-0.000591278076172,24.6030566874
24,4172.11815162,-0.000629425048828,24.600156469
25,4172.11815162,-0.000629425048828,24.5987063564
26,4172.11815162,-0.000629425048828,24.600156469
27,4172.11815162,-0.000629425048828,24.5972562413
28,4182.33141405,-0.000629425048828,24.5987063564
29,4187.43804526,-0.000648498535156,24.5987063564
30,4187.43804526,-0.0006103515625,24.595806124
31,4197.6513077,-0.000591278076172,24.5943560043
32,4202.75793891,-0.000591278076172,24.595806124
33,4218.07783256,-0.000629425048828,24.595806124
34,4228.29109499,-0.0006103515625,24.5929058822
35,4238.50435742,-0.000629425048828,24.595806124
36,4243.61098863,-0.0006103515625,24.5914557578
37,4248.71761985,-0.0006103515625,24.590005631
38,4253.82425106,-0.000667572021484,24.5871053703
39,4253.82425106,-0.000648498535156,24.5856552364
