"Latest: Time (s)","Latest: Current (A)","Latest: Temperature (°C)","Latest: Oxygen Gas (ppm)"
0,-0.000782012939453,22.7556468606,4092.45669049
1,-0.000801086425781,22.7571022649,4092.45669049
2,-0.000820159912109,22.7512806115,4097.87716431
3,-0.000820159912109,22.7541914502,4097.87716431
4,-0.000801086425781,22.7541914502,4103.29763814
5,-0.000820159912109,22.7541914502,4114.13858579
6,-0.000820159912109,22.7527360339,4119.55905962
7,-0.000782012939453,22.7541914502,4114.13858579
8,-0.000839233398438,22.7541914502,4119.55905962
9,-0.000782012939453,22.7498251831,4119.55905962
10,-0.000782012939453,22.7541914502,4119.55905962
11,-0.000820159912109,22.7527360339,4119.55905962
12,-0.000801086425781,22.7527360339,4119.55905962
13,-0.000820159912109,22.7541914502,4119.55905962
14,-0.000820159912109,22.7527360339,4119.55905962
15,-0.000839233398438,22.7541914502,4130.40000727
16,-0.000782012939453,22.7541914502,4124.97953344
17,-0.000801086425781,22.7541914502,4135.8204811
18,-0.000782012939453,22.7541914502,4141.24095492
19,-0.000782012939453,22.7527360339,4135.8204811
20,-0.000858306884766,22.7498251831,4152.08190258
21,-0.000839233398438,22.7527360339,4162.92285023
22,-0.000801086425781,22.7512806115,4162.92285023
23,-0.000820159912109,22.7498251831,4168.34332405
24,-0.000801086425781,22.7527360339,4190.02521936
25,-0.000820159912109,22.7527360339,4195.44569319
26,-0.000820159912109,22.7483697486,4200.86616701
27,-0.000820159912109,22.7483697486,4206.28664084
28,-0.000801086425781,22.7527360339,4206.28664084
29,-0.000858306884766,22.7498251831,4227.96853614
30,-0.000820159912109,22.7483697486,4222.54806232
31,-0.000820159912109,22.7483697486,4233.38900997
32,-0.000839233398438,22.7498251831,4244.22995762
33,-0.000820159912109,22.7512806115,4244.22995762
34,-0.000801086425781,22.7469143081,4249.65043145
35,-0.000820159912109,22.7483697486,4265.91185293
36,-0.000820159912109,22.7469143081,4265.91185293
37,-0.000858306884766,22.7512806115,4276.75280058
38,-0.000820159912109,22.7469143081,4271.33232675
39,-0.000839233398438,22.7483697486,4282.17327441
40,-0.000820159912109,22.7483697486,4293.01422206
41,-0.000820159912109,22.7425479504,4287.59374823
42,-0.000820159912109,22.7469143081,4293.01422206
43,-0.000820159912109,22.7498251831,4287.59374823
44,-0.000801086425781,22.744003409,4298.43469588
45,-0.000820159912109,22.744003409,4293.01422206
46,-0.000839233398438,22.7454588616,4298.43469588
47,-0.000820159912109,22.744003409,4298.43469588
48,-0.000839233398438,22.744003409,4309.27564354
49,-0.000820159912109,22.7454588616,4320.11659119
50,-0.000801086425781,22.744003409,4325.53706501
51,-0.000820159912109,22.7425479504,4325.53706501
52,-0.000839233398438,22.744003409,4325.53706501
53,-0.000820159912109,22.7425479504,4341.79848649
54,-0.000782012939453,22.7425479504,4330.95753884
55,-0.000820159912109,22.739637015,4341.79848649
56,-0.000820159912109,22.7425479504,4358.05990797
57,-0.000801086425781,22.739637015,4352.63943415
