"Latest: Time (s)","Latest: Oxygen Gas (ppm)","Latest: Current (A)","Latest: Temperature (°C)"
0,4764.48737259,-0.0006103515625,24.9684170245
1,4769.59400381,-0.0006103515625,24.9669674153
2,4779.80726624,-0.000686645507813,24.964068192
3,4790.02052867,-0.000667572021484,24.9611689622
4,4800.2337911,-0.000667572021484,24.9626185779
5,4790.02052867,-0.000667572021484,24.9626185779
6,4805.34042232,-0.000648498535156,24.9626185779
7,4795.12715989,-0.000629425048828,24.9626185779
8,4810.44705353,-0.000686645507813,24.9626185779
9,4810.44705353,-0.000648498535156,24.9611689622
10,4805.34042232,-0.000686645507813,24.9655178045
11,4815.55368475,-0.000629425048828,24.964068192
12,4815.55368475,-0.000686645507813,24.9597193449
13,4830.87357839,-0.000705718994141,24.9611689622
14,4830.87357839,-0.000705718994141,24.9568201052
15,4820.66031596,-0.000667572021484,24.9611689622
16,4820.66031596,-0.0006103515625,24.964068192
17,4820.66031596,-0.000686645507813,24.9626185779
18,4825.76694718,-0.0006103515625,24.9655178045
19,4830.87357839,-0.0006103515625,24.9655178045
20,4830.87357839,-0.000629425048828,24.9626185779
21,4846.19347204,-0.000667572021484,24.9611689622
22,4835.98020961,-0.000629425048828,24.9669674153
23,4866.6199969,-0.000629425048828,24.9597193449
24,4856.40673447,-0.000629425048828,24.9611689622
25,4861.51336569,-0.000648498535156,24.9597193449
26,4856.40673447,-0.000591278076172,24.9611689622
27,4876.83325933,-0.0006103515625,24.9626185779
28,4861.51336569,-0.000629425048828,24.964068192
29,4871.72662812,-0.000648498535156,24.964068192
30,4876.83325933,-0.000629425048828,24.9611689622
31,4887.04652176,-0.000629425048828,24.964068192
32,4881.93989055,-0.000629425048828,24.964068192
33,4881.93989055,-0.000648498535156,24.964068192
34,4881.93989055,-0.000629425048828,24.964068192
35,4897.25978419,-0.000667572021484,24.9611689622
36,4887.04652176,-0.000629425048828,24.9655178045
37,4887.04652176,-0.000629425048828,24.964068192
38,4897.25978419,-0.000648498535156,24.964068192
39,4897.25978419,-0.000629425048828,24.9626185779
40,4897.25978419,-0.000686645507813,24.9611689622
41,4897.25978419,-0.0006103515625,24.9611689622
42,4902.36641541,-0.000629425048828,24.9626185779
43,4897.25978419,-0.0006103515625,24.9626185779
44,4897.25978419,-0.000648498535156,24.9597193449
45,4897.25978419,-0.000629425048828,24.9611689622
46,4897.25978419,-0.000591278076172,24.9582697259
47,4902.36641541,-0.000629425048828,24.9611689622
48,4912.57967784,-0.000667572021484,24.9611689622
49,4912.57967784,-0.0006103515625,24.9611689622
50,4897.25978419,-0.0006103515625,24.964068192
51,4912.57967784,-0.000648498535156,24.9611689622
52,4917.68630905,-0.000648498535156,24.9611689622
53,4922.79294027,-0.0006103515625,24.9611689622
54,4912.57967784,-0.000629425048828,24.964068192
55,4927.89957148,-0.0006103515625,24.9611689622
56,4917.68630905,-0.000629425048828,24.964068192
57,4927.89957148,-0.000648498535156,24.9597193449
58,4933.0062027,-0.000648498535156,24.9582697259
59,4927.89957148,-0.0006103515625,24.9597193449
60,4938.11283392,-0.000629425048828,24.9626185779
61,4958.53935878,-0.000629425048828,24.9611689622
62,4943.21946513,-0.0006103515625,24.9626185779
63,4948.32609635,-0.000629425048828,24.9611689622
64,4958.53935878,-0.0006103515625,24.9597193449
65,4958.53935878,-0.000629425048828,24.9597193449
66,4953.43272756,-0.0006103515625,24.9655178045
67,4958.53935878,-0.0006103515625,24.9626185779
68,4958.53935878,-0.000591278076172,24.9611689622
69,4973.85925242,-0.0006103515625,24.9597193449
70,4973.85925242,-0.000629425048828,24.9611689622
71,4968.75262121,-0.000667572021484,24.9611689622
72,4978.96588364,-0.0006103515625,24.9626185779
73,4963.64598999,-0.0006103515625,24.9626185779
74,4973.85925242,-0.000629425048828,24.9626185779
75,4973.85925242,-0.000591278076172,24.9655178045
76,4978.96588364,-0.000629425048828,24.9611689622
77,4984.07251485,-0.000572204589844,24.9626185779
78,4989.17914607,-0.000629425048828,24.9611689622
79,4999.3924085,-0.000629425048828,24.9626185779
80,4989.17914607,-0.000629425048828,24.9597193449
81,4994.28577728,-0.000629425048828,24.964068192
82,5004.49903971,-0.000667572021484,24.9611689622
83,5009.60567093,-0.000591278076172,24.9655178045
84,5019.81893336,-0.0006103515625,24.9597193449
85,5014.71230215,-0.0006103515625,24.9611689622
86,5019.81893336,-0.000648498535156,24.9626185779
87,5019.81893336,-0.000591278076172,24.9611689622
88,5024.92556458,-0.000648498535156,24.9626185779
89,5050.45872065,-0.000648498535156,24.9597193449
90,5040.24545822,-0.000667572021484,24.9611689622
91,5050.45872065,-0.0006103515625,24.9582697259
92,5045.35208944,-0.000591278076172,24.9582697259
93,5040.24545822,-0.000629425048828,24.9611689622
94,5050.45872065,-0.0006103515625,24.9611689622
95,5060.67198308,-0.0006103515625,24.9611689622
96,5081.09850794,-0.000667572021484,24.9611689622
97,5081.09850794,-0.000629425048828,24.9611689622
98,5075.99187673,-0.000648498535156,24.9611689622
99,5086.20513916,-0.000667572021484,24.9611689622
100,5086.20513916,-0.000629425048828,24.9582697259
101,5086.20513916,-0.000667572021484,24.9611689622
102,5086.20513916,-0.000629425048828,24.9626185779
103,5096.41840159,-0.000667572021484,24.9611689622
104,5070.88524551,-0.000648498535156,24.9597193449
105,5101.52503281,-0.000648498535156,24.9597193449
106,5096.41840159,-0.000629425048828,24.964068192
107,5106.63166402,-0.000648498535156,24.9611689622
108,5106.63166402,-0.0006103515625,24.9611689622
109,5106.63166402,-0.000591278076172,24.9611689622
110,5111.73829524,-0.0006103515625,24.964068192
111,5127.05818888,-0.000629425048828,24.9611689622
112,5132.1648201,-0.000648498535156,24.9611689622
113,5116.84492645,-0.000629425048828,24.9626185779
114,5121.95155767,-0.000629425048828,24.9626185779
115,5137.27145131,-0.000629425048828,24.9582697259
116,5137.27145131,-0.000667572021484,24.9611689622
117,5137.27145131,-0.000629425048828,24.9611689622
118,5137.27145131,-0.000648498535156,24.9626185779
119,5142.37808253,-0.000686645507813,24.9597193449
120,5132.1648201,-0.0006103515625,24.964068192
121,5137.27145131,-0.000629425048828,24.9626185779
122,5142.37808253,-0.000629425048828,24.9597193449
123,5137.27145131,-0.000648498535156,24.9611689622
124,5142.37808253,-0.000629425048828,24.9597193449
125,5142.37808253,-0.000648498535156,24.9597193449
126,5142.37808253,-0.000648498535156,24.9611689622
127,5142.37808253,-0.0006103515625,24.9626185779
128,5142.37808253,-0.000648498535156,24.9611689622
129,5137.27145131,-0.0006103515625,24.9626185779
130,5142.37808253,-0.0006103515625,24.964068192
131,5142.37808253,-0.000667572021484,24.9582697259
132,5147.48471374,-0.000648498535156,24.9597193449
133,5142.37808253,-0.000648498535156,24.9626185779
134,5162.80460739,-0.000686645507813,24.9597193449
135,5142.37808253,-0.0006103515625,24.964068192
136,5162.80460739,-0.0006103515625,24.9597193449
137,5157.69797617,-0.0006103515625,24.9611689622
138,5162.80460739,-0.000648498535156,24.9597193449
139,5152.59134496,-0.000629425048828,24.9597193449
140,5167.9112386,-0.000648498535156,24.9597193449
141,5162.80460739,-0.0006103515625,24.9611689622
142,5167.9112386,-0.0006103515625,24.964068192
143,5167.9112386,-0.0006103515625,24.9582697259
144,5173.01786982,-0.000648498535156,24.9611689622
145,5173.01786982,-0.000648498535156,24.9597193449
146,5183.23113225,-0.0006103515625,24.964068192
147,5183.23113225,-0.000629425048828,24.9597193449
148,5183.23113225,-0.000648498535156,24.964068192
149,5193.44439468,-0.000667572021484,24.9597193449
150,5183.23113225,-0.000648498535156,24.9611689622
151,5203.65765711,-0.000648498535156,24.9597193449
152,5198.5510259,-0.000667572021484,24.9597193449
153,5203.65765711,-0.000629425048828,24.9611689622
154,5208.76428833,-0.000629425048828,24.9597193449
155,5208.76428833,-0.000629425048828,24.9611689622
156,5213.87091954,-0.000648498535156,24.9597193449
157,5213.87091954,-0.000648498535156,24.9611689622
158,5224.08418197,-0.000648498535156,24.9597193449
159,5218.97755076,-0.000648498535156,24.9611689622
160,5218.97755076,-0.000667572021484,24.9611689622
161,5218.97755076,-0.000648498535156,24.9626185779
162,5218.97755076,-0.000667572021484,24.9582697259
163,5229.19081319,-0.000648498535156,24.9597193449
164,5218.97755076,-0.000629425048828,24.9626185779
165,5224.08418197,-0.000648498535156,24.9626185779
166,5224.08418197,-0.0006103515625,24.9611689622
167,5218.97755076,-0.000667572021484,24.9597193449
168,5224.08418197,-0.000648498535156,24.9626185779
169,5234.2974444,-0.000648498535156,24.9626185779
170,5234.2974444,-0.000667572021484,24.9582697259
171,5239.40407562,-0.000648498535156,24.9582697259
172,5239.40407562,-0.000648498535156,24.9597193449
173,5239.40407562,-0.0006103515625,24.9597193449
174,5249.61733805,-0.000629425048828,24.9611689622
175,5249.61733805,-0.000648498535156,24.9582697259
176,5249.61733805,-0.0006103515625,24.9582697259
177,5244.51070683,-0.000648498535156,24.9611689622
178,5244.51070683,-0.000686645507813,24.9582697259
179,5249.61733805,-0.000629425048828,24.9597193449
180,5259.83060048,-0.000667572021484,24.9582697259
181,5259.83060048,-0.000629425048828,24.9582697259
182,5264.9372317,-0.000648498535156,24.9611689622
183,5280.25712534,-0.000648498535156,24.9597193449
184,5264.9372317,-0.000629425048828,24.9582697259
185,5270.04386291,-0.000648498535156,24.9611689622
186,5275.15049413,-0.000629425048828,24.9597193449
187,5285.36375656,-0.000648498535156,24.9597193449
188,5280.25712534,-0.000629425048828,24.9597193449
189,5290.47038777,-0.000667572021484,24.9597193449
190,5295.57701899,-0.000648498535156,24.9597193449
191,5290.47038777,-0.000667572021484,24.9597193449
192,5295.57701899,-0.000686645507813,24.9611689622
193,5300.6836502,-0.000648498535156,24.9582697259
194,5310.89691263,-0.000629425048828,24.964068192
195,5310.89691263,-0.000629425048828,24.9626185779
196,5321.11017506,-0.000648498535156,24.9582697259
197,5321.11017506,-0.000667572021484,24.9611689622
198,5321.11017506,-0.000667572021484,24.9611689622
199,5321.11017506,-0.000667572021484,24.9611689622
200,5326.21680628,-0.000629425048828,24.9611689622
201,5326.21680628,-0.000686645507813,24.9597193449
202,5331.32343749,-0.000667572021484,24.9611689622
203,5336.43006871,-0.000629425048828,24.9611689622
204,5341.53669993,-0.000648498535156,24.9611689622
205,5341.53669993,-0.000648498535156,24.9611689622
