"Latest: Time (s)","Latest: Current (A)","Latest: Oxygen Gas (ppm)","Latest: Temperature (°C)"
0,-0.000133514404297,3548.77320089,23.7832877192
1,-0.000171661376953,3563.83164246,23.7847396
2,-0.000190734863281,3573.8706035,23.7847396
3,-0.000209808349609,3573.8706035,23.7861914768
4,-0.000209808349609,3583.90956455,23.7847396
5,-0.000228881835938,3598.96800612,23.7861914768
6,-0.000209808349609,3598.96800612,23.7861914768
7,-0.000209808349609,3609.00696716,23.7861914768
8,-0.000209808349609,3614.02644769,23.7876433496
9,-0.000209808349609,3619.04592821,23.7876433496
10,-0.000209808349609,3634.10436978,23.7861914768
11,-0.000247955322266,3639.1238503,23.7876433496
12,-0.000228881835938,3644.14333082,23.7861914768
13,-0.000190734863281,3644.14333082,23.7861914768
14,-0.000209808349609,3644.14333082,23.7876433496
15,-0.000209808349609,3649.16281134,23.7876433496
16,-0.000209808349609,3649.16281134,23.7890952185
17,-0.000228881835938,3649.16281134,23.7890952185
18,-0.000228881835938,3649.16281134,23.7861914768
19,-0.000247955322266,3649.16281134,23.7890952185
20,-0.000247955322266,3659.20177239,23.7890952185
21,-0.000247955322266,3654.18229187,23.7890952185
22,-0.000247955322266,3664.22125291,23.7890952185
23,-0.000267028808594,3664.22125291,23.7934508016
24,-0.000228881835938,3679.27969448,23.7905470835
25,-0.000209808349609,3684.299175,23.7905470835
26,-0.00030517578125,3684.299175,23.7905470835
27,-0.000286102294922,3699.35761657,23.7919989445
28,-0.000267028808594,3704.37709709,23.7890952185
29,-0.000247955322266,3714.41605814,23.7919989445
30,-0.00030517578125,3719.43553866,23.7890952185
31,-0.000267028808594,3724.45501918,23.7905470835
32,-0.000247955322266,3724.45501918,23.7890952185
33,-0.000286102294922,3729.47449971,23.7890952185
34,-0.000247955322266,3724.45501918,23.7905470835
35,-0.000286102294922,3734.49398023,23.7890952185
36,-0.000247955322266,3739.51346075,23.7890952185
37,-0.000247955322266,3734.49398023,23.7890952185
38,-0.000247955322266,3749.5524218,23.7905470835
39,-0.000286102294922,3749.5524218,23.7919989445
40,-0.000267028808594,3759.59138284,23.7905470835
41,-0.000267028808594,3769.63034389,23.7919989445
42,-0.000267028808594,3789.70826598,23.7890952185
43,-0.000267028808594,3789.70826598,23.7905470835
44,-0.000267028808594,3809.78618807,23.7919989445
45,-0.000286102294922,3799.74722702,23.7934508016
46,-0.000267028808594,3809.78618807,23.7934508016
47,-0.000286102294922,3809.78618807,23.7905470835
48,-0.000267028808594,3829.86411016,23.7905470835
49,-0.000286102294922,3834.88359068,23.7905470835
50,-0.000286102294922,3844.92255173,23.7905470835
51,-0.000247955322266,3849.94203225,23.7919989445
52,-0.000267028808594,3854.96151277,23.7919989445
53,-0.000286102294922,3875.03943486,23.7934508016
54,-0.000247955322266,3865.00047382,23.7919989445
55,-0.000286102294922,3885.07839591,23.7890952185
56,-0.000324249267578,3885.07839591,23.7905470835
57,-0.000267028808594,3880.05891538,23.7905470835
58,-0.000267028808594,3885.07839591,23.7905470835
59,-0.00030517578125,3890.09787643,23.7890952185
60,-0.000286102294922,3890.09787643,23.7890952185
61,-0.000267028808594,3890.09787643,23.7890952185
62,-0.000267028808594,3890.09787643,23.7890952185
63,-0.000286102294922,3895.11735695,23.7905470835
64,-0.000286102294922,3905.156318,23.7890952185
65,-0.000267028808594,3910.17579852,23.7890952185
66,-0.000267028808594,3915.19527904,23.7919989445
67,-0.000267028808594,3925.23424009,23.7876433496
68,-0.000247955322266,3935.27320113,23.7890952185
69,-0.000247955322266,3935.27320113,23.7905470835
70,-0.000286102294922,3950.3316427,23.7876433496
71,-0.000286102294922,3945.31216218,23.7890952185
72,-0.000286102294922,3960.37060375,23.7876433496
73,-0.000267028808594,3950.3316427,23.7876433496
74,-0.000267028808594,3965.39008427,23.7861914768
75,-0.000286102294922,3965.39008427,23.7861914768
76,-0.000267028808594,3965.39008427,23.7890952185
77,-0.00030517578125,3965.39008427,23.7861914768
78,-0.000267028808594,3970.40956479,23.7861914768
79,-0.000286102294922,3965.39008427,23.7890952185
80,-0.000247955322266,3970.40956479,23.7876433496
81,-0.000247955322266,3970.40956479,23.7861914768
82,-0.000267028808594,3970.40956479,23.7876433496
83,-0.000267028808594,3970.40956479,23.7876433496
84,-0.000247955322266,3970.40956479,23.7861914768
85,-0.000286102294922,3970.40956479,23.7861914768
86,-0.000286102294922,3970.40956479,23.7861914768
87,-0.000267028808594,3980.44852584,23.7861914768
88,-0.000247955322266,3975.42904531,23.7876433496
89,-0.000267028808594,3975.42904531,23.7832877192
90,-0.000286102294922,3985.46800636,23.7861914768
91,-0.000286102294922,3985.46800636,23.7847396
92,-0.000267028808594,3985.46800636,23.7847396
93,-0.000247955322266,3990.48748688,23.7861914768
94,-0.000247955322266,4005.54592845,23.7832877192
95,-0.000286102294922,4015.58488949,23.7847396
96,-0.000324249267578,4010.56540897,23.7847396
97,-0.000286102294922,4020.60437002,23.7847396
98,-0.000247955322266,4020.60437002,23.7847396
99,-0.000267028808594,4025.62385054,23.7847396
100,-0.000286102294922,4030.64333106,23.7832877192
101,-0.000286102294922,4040.68229211,23.7832877192
102,-0.000267028808594,4035.66281158,23.7847396
103,-0.000286102294922,4040.68229211,23.7847396
104,-0.000247955322266,4045.70177263,23.7832877192
105,-0.000209808349609,4045.70177263,23.7832877192
106,-0.000228881835938,4045.70177263,23.7832877192
107,-0.000267028808594,4040.68229211,23.7847396
108,-0.000286102294922,4050.72125315,23.7832877192
109,-0.000267028808594,4050.72125315,23.7832877192
110,-0.000247955322266,4050.72125315,23.7818358345
111,-0.000247955322266,4045.70177263,23.7803839459
112,-0.000286102294922,4060.7602142,23.7832877192
113,-0.000267028808594,4055.74073367,23.7832877192
114,-0.000247955322266,4070.79917524,23.7803839459
115,-0.000267028808594,4060.7602142,23.7832877192
116,-0.000286102294922,4085.85761681,23.7803839459
117,-0.000247955322266,4090.87709733,23.7832877192
118,-0.000267028808594,4085.85761681,23.7818358345
119,-0.000247955322266,4090.87709733,23.7803839459
120,-0.000286102294922,4100.91605838,23.7789320532
121,-0.000267028808594,4115.97449995,23.7803839459
122,-0.000286102294922,4110.95501942,23.7789320532
123,-0.000286102294922,4110.95501942,23.7818358345
124,-0.000209808349609,4105.9355389,23.7803839459
125,-0.000228881835938,4120.99398047,23.7803839459
126,-0.000247955322266,4126.01346099,23.7760282561
127,-0.000286102294922,4120.99398047,23.7774801566
128,-0.000247955322266,4120.99398047,23.7789320532
129,-0.000267028808594,4126.01346099,23.7774801566
130,-0.000286102294922,4126.01346099,23.7760282561
131,-0.00030517578125,4126.01346099,23.7774801566
132,-0.000228881835938,4126.01346099,23.7760282561
133,-0.000247955322266,4131.03294151,23.7745763516
134,-0.000267028808594,4136.05242204,23.7760282561
135,-0.000267028808594,4146.09138308,23.7745763516
136,-0.000286102294922,4141.07190256,23.7731244431
137,-0.000267028808594,4146.09138308,23.7745763516
138,-0.000267028808594,4156.13034413,23.7745763516
139,-0.000267028808594,4151.1108636,23.7745763516
140,-0.000228881835938,4161.14982465,23.7731244431
141,-0.000267028808594,4166.16930517,23.7716725306
142,-0.000286102294922,4171.18878569,23.7745763516
143,-0.000267028808594,4181.22774674,23.7702206141
144,-0.000267028808594,4186.24722726,23.7702206141
145,-0.000286102294922,4191.26670778,23.7702206141
146,-0.000247955322266,4191.26670778,23.7702206141
147,-0.000267028808594,4206.32514935,23.7702206141
