"Latest: Time (s)","Latest: Oxygen Gas (ppm)","Latest: Current (A)","Latest: Temperature (°C)"
0,3824.86722898,-0.000572204589844,26.1640558114
1,3840.18712262,-0.000591278076172,26.1799973625
2,3845.29375384,-0.000591278076172,26.1915912726
3,3850.40038505,-0.000591278076172,26.1988374906
4,3850.40038505,-0.000591278076172,26.2060837275
5,3850.40038505,-0.000591278076172,26.210431479
6,3850.40038505,-0.000591278076172,26.2162284919
7,3850.40038505,-0.0006103515625,26.2234747759
8,3855.50701627,-0.000591278076172,26.2394166723
9,3855.50701627,-0.000591278076172,26.2539093933
10,3865.7202787,-0.000591278076172,26.2698514865
11,3870.82690992,-0.000591278076172,26.297388087
12,3881.04017235,-0.000572204589844,26.3017360022
13,3886.14680356,-0.000591278076172,26.317678432
14,3911.67995964,-0.000591278076172,26.3162291153
15,3916.78659085,-0.000572204589844,26.3234757086
16,3926.99985328,-0.000591278076172,26.3278236766
17,3926.99985328,-0.0006103515625,26.330722327
18,3932.1064845,-0.000591278076172,26.3321716537
19,3937.21311571,-0.000572204589844,26.3321716537
20,3947.42637814,-0.000591278076172,26.3336209814
21,3962.74627179,-0.000572204589844,26.3350703101
22,3967.85290301,-0.0006103515625,26.3321716537
23,3988.27942787,-0.000591278076172,26.3336209814
24,4008.70595273,-0.000591278076172,26.3336209814
25,4008.70595273,-0.000591278076172,26.3379689707
26,4024.02584637,-0.000572204589844,26.3365196399
27,4044.45237124,-0.000591278076172,26.3336209814
28,4049.55900245,-0.000591278076172,26.3336209814
29,4059.77226488,-0.000591278076172,26.3321716537
30,4080.19878974,-0.000591278076172,26.330722327
31,4085.30542096,-0.000591278076172,26.326374353
32,4085.30542096,-0.000591278076172,26.322026388
33,4100.6253146,-0.000591278076172,26.326374353
34,4100.6253146,-0.000572204589844,26.3191277497
35,4110.83857703,-0.000591278076172,26.3133304849
36,4115.94520825,-0.000591278076172,26.3089825466
37,4136.37173311,-0.000591278076172,26.3060839259
38,4146.58499554,-0.000591278076172,26.2785472192
39,4156.79825797,-0.000591278076172,26.2872429848
