"Latest: Time (s)","Latest: Current (A)","Latest: Oxygen Gas (ppm)","Latest: Temperature (°C)"
0,-0.000343322753906,3729.47449971,22.0460917554
1,-0.000343322753906,3734.49398023,22.0431743502
2,-0.000362396240234,3739.51346075,22.0431743502
3,-0.000343322753906,3739.51346075,22.0475504468
4,-0.000362396240234,3754.57190232,22.0475504468
5,-0.000343322753906,3759.59138284,22.0490091306
6,-0.000381469726563,3779.66930493,22.0490091306
7,-0.000343322753906,3779.66930493,22.0460917554
8,-0.000343322753906,3789.70826598,22.0490091306
9,-0.000362396240234,3804.76670754,22.0504678071
10,-0.000343322753906,3809.78618807,22.0533851375
11,-0.000343322753906,3824.84462963,22.051926476
12,-0.000362396240234,3809.78618807,22.051926476
13,-0.000343322753906,3839.9030712,22.051926476
14,-0.000324249267578,3834.88359068,22.051926476
15,-0.000343322753906,3839.9030712,22.057761077
16,-0.000362396240234,3859.98099329,22.0548437914
17,-0.000324249267578,3870.01995434,22.057761077
18,-0.000362396240234,3870.01995434,22.0548437914
19,-0.000343322753906,3880.05891538,22.057761077
20,-0.000381469726563,3875.03943486,22.056302438
21,-0.000381469726563,3885.07839591,22.057761077
22,-0.000400543212891,3890.09787643,22.057761077
23,-0.000381469726563,3890.09787643,22.0592197087
24,-0.000362396240234,3890.09787643,22.0606783328
25,-0.000400543212891,3895.11735695,22.0606783328
26,-0.000381469726563,3900.13683747,22.0635955588
27,-0.000362396240234,3910.17579852,22.0606783328
28,-0.000343322753906,3910.17579852,22.0621369495
29,-0.000362396240234,3910.17579852,22.0650541606
30,-0.000400543212891,3940.29268165,22.0635955588
31,-0.000381469726563,3945.31216218,22.0650541606
32,-0.000400543212891,3935.27320113,22.0679713418
33,-0.000324249267578,3955.35112322,22.0679713418
34,-0.000362396240234,3960.37060375,22.0679713418
35,-0.000343322753906,3965.39008427,22.0694299213
36,-0.000400543212891,3965.39008427,22.0679713418
37,-0.000343322753906,3970.40956479,22.0708884934
38,-0.000343322753906,3965.39008427,22.0694299213
39,-0.000362396240234,3970.40956479,22.0694299213
40,-0.000343322753906,3965.39008427,22.0708884934
41,-0.000381469726563,3970.40956479,22.0708884934
42,-0.000343322753906,3970.40956479,22.0694299213
43,-0.000362396240234,3970.40956479,22.0708884934
44,-0.000343322753906,3970.40956479,22.072347058
45,-0.000362396240234,3975.42904531,22.072347058
46,-0.000362396240234,3975.42904531,22.072347058
47,-0.000400543212891,3980.44852584,22.0738056152
48,-0.000343322753906,3980.44852584,22.0767227073
49,-0.000362396240234,4000.52644793,22.072347058
50,-0.000343322753906,4015.58488949,22.0781812422
51,-0.000362396240234,4020.60437002,22.0752641649
52,-0.000400543212891,4030.64333106,22.0752641649
53,-0.000362396240234,4025.62385054,22.0767227073
54,-0.000324249267578,4035.66281158,22.0767227073
55,-0.000343322753906,4040.68229211,22.0767227073
56,-0.000362396240234,4040.68229211,22.0810982898
57,-0.000362396240234,4040.68229211,22.0781812422
58,-0.000400543212891,4045.70177263,22.0796397697
59,-0.000343322753906,4045.70177263,22.0781812422
60,-0.000362396240234,4045.70177263,22.0810982898
61,-0.000362396240234,4055.74073367,22.0796397697
62,-0.000381469726563,4055.74073367,22.0810982898
63,-0.000362396240234,4055.74073367,22.0796397697
64,-0.00030517578125,4070.79917524,22.0825568025
65,-0.000362396240234,4070.79917524,22.0854738056
66,-0.000362396240234,4090.87709733,22.0810982898
67,-0.000362396240234,4095.89657786,22.0840153077
68,-0.000362396240234,4100.91605838,22.0854738056
69,-0.000381469726563,4095.89657786,22.0825568025
70,-0.000362396240234,4110.95501942,22.0810982898
71,-0.000343322753906,4115.97449995,22.0840153077
72,-0.000362396240234,4115.97449995,22.0825568025
73,-0.000381469726563,4120.99398047,22.0810982898
74,-0.000343322753906,4126.01346099,22.0796397697
75,-0.000362396240234,4126.01346099,22.0810982898
76,-0.000343322753906,4126.01346099,22.0883907791
77,-0.000381469726563,4126.01346099,22.0840153077
78,-0.000400543212891,4131.03294151,22.0854738056
79,-0.000381469726563,4136.05242204,22.0840153077
80,-0.000362396240234,4136.05242204,22.0810982898
81,-0.000381469726563,4136.05242204,22.0825568025
82,-0.000381469726563,4141.07190256,22.0869322961
83,-0.000381469726563,4166.16930517,22.0854738056
84,-0.000381469726563,4161.14982465,22.0869322961
85,-0.000362396240234,4176.20826622,22.0869322961
86,-0.000324249267578,4166.16930517,22.0854738056
87,-0.000381469726563,4191.26670778,22.0840153077
88,-0.000362396240234,4196.28618831,22.0825568025
89,-0.000343322753906,4196.28618831,22.0869322961
90,-0.000343322753906,4201.30566883,22.0898492548
91,-0.000324249267578,4201.30566883,22.0869322961
92,-0.000362396240234,4211.34462988,22.0869322961
93,-0.000343322753906,4226.40307144,22.0869322961
94,-0.000362396240234,4221.38359092,22.0869322961
95,-0.000362396240234,4231.42255197,22.0854738056
96,-0.000362396240234,4221.38359092,22.092766184
97,-0.000400543212891,4231.42255197,22.0854738056
98,-0.000362396240234,4246.48099353,22.0883907791
99,-0.000381469726563,4251.50047406,22.0898492548
100,-0.000381469726563,4261.5394351,22.0942246375
101,-0.000381469726563,4256.51995458,22.0913077231
102,-0.000362396240234,4276.59787667,22.0898492548
103,-0.000419616699219,4271.57839615,22.0898492548
104,-0.000381469726563,4276.59787667,22.0883907791
105,-0.000381469726563,4286.63683771,22.0883907791
106,-0.000381469726563,4286.63683771,22.0898492548
107,-0.000362396240234,4286.63683771,22.0854738056
108,-0.000324249267578,4286.63683771,22.0883907791
109,-0.000362396240234,4286.63683771,22.0869322961
110,-0.000343322753906,4286.63683771,22.0869322961
111,-0.000400543212891,4291.65631824,22.0840153077
112,-0.000324249267578,4291.65631824,22.0883907791
113,-0.000343322753906,4296.67579876,22.0883907791
114,-0.000324249267578,4306.7147598,22.0898492548
115,-0.000343322753906,4296.67579876,22.0883907791
116,-0.000400543212891,4306.7147598,22.0854738056
117,-0.000381469726563,4311.73424033,22.0883907791
118,-0.000381469726563,4316.75372085,22.0913077231
119,-0.000343322753906,4316.75372085,22.0898492548
120,-0.000362396240234,4336.83164294,22.0898492548
121,-0.000381469726563,4341.85112346,22.0898492548
122,-0.000400543212891,4346.87060399,22.0913077231
123,-0.000381469726563,4351.89008451,22.0869322961
124,-0.000362396240234,4356.90956503,22.092766184
125,-0.000362396240234,4356.90956503,22.0913077231
126,-0.000343322753906,4356.90956503,22.0913077231
127,-0.000343322753906,4361.92904555,22.092766184
128,-0.000400543212891,4361.92904555,22.0898492548
129,-0.000343322753906,4366.94852608,22.0869322961
130,-0.000381469726563,4361.92904555,22.092766184
131,-0.000381469726563,4366.94852608,22.0913077231
132,-0.000343322753906,4366.94852608,22.092766184
133,-0.000343322753906,4366.94852608,22.0913077231
134,-0.000324249267578,4366.94852608,22.0913077231
135,-0.000343322753906,4366.94852608,22.0883907791
136,-0.000362396240234,4366.94852608,22.0883907791
137,-0.000343322753906,4366.94852608,22.092766184
138,-0.000381469726563,4366.94852608,22.0956830836
139,-0.000362396240234,4366.94852608,22.0898492548
140,-0.000381469726563,4366.94852608,22.092766184
141,-0.000324249267578,4366.94852608,22.0942246375
142,-0.000381469726563,4366.94852608,22.0883907791
143,-0.000343322753906,4371.9680066,22.0898492548
144,-0.000343322753906,4371.9680066,22.092766184
145,-0.000362396240234,4371.9680066,22.0883907791
146,-0.000381469726563,4382.00696764,22.092766184
147,-0.000381469726563,4382.00696764,22.0883907791
148,-0.000381469726563,4387.02644817,22.0883907791
149,-0.000400543212891,4387.02644817,22.092766184
150,-0.000362396240234,4387.02644817,22.0898492548
151,-0.000362396240234,4392.04592869,22.0913077231
152,-0.000362396240234,4402.08488973,22.0869322961
153,-0.000324249267578,4412.12385078,22.0913077231
154,-0.000381469726563,4407.10437026,22.0898492548
155,-0.000381469726563,4422.16281182,22.0913077231
156,-0.000381469726563,4432.20177287,22.0883907791
157,-0.000362396240234,4422.16281182,22.092766184
158,-0.000362396240234,4437.22125339,22.0913077231
159,-0.000362396240234,4437.22125339,22.0869322961
160,-0.000343322753906,4447.26021444,22.0942246375
161,-0.000343322753906,4442.24073392,22.0883907791
162,-0.000362396240234,4442.24073392,22.0898492548
163,-0.000381469726563,4452.27969496,22.0883907791
164,-0.000362396240234,4457.29917548,22.0913077231
165,-0.000362396240234,4462.31865601,22.0869322961
166,-0.000343322753906,4452.27969496,22.0913077231
167,-0.000362396240234,4462.31865601,22.0898492548
168,-0.000362396240234,4472.35761705,22.092766184
169,-0.000343322753906,4472.35761705,22.0942246375
170,-0.000343322753906,4482.3965781,22.0883907791
171,-0.000400543212891,4487.41605862,22.0898492548
172,-0.000362396240234,4492.43553914,22.092766184
173,-0.000343322753906,4502.47450019,22.0883907791
174,-0.000343322753906,4497.45501966,22.0913077231
175,-0.000362396240234,4507.49398071,22.0898492548
176,-0.000362396240234,4507.49398071,22.0913077231
177,-0.000343322753906,4512.51346123,22.0898492548
178,-0.000381469726563,4512.51346123,22.0883907791
179,-0.000419616699219,4507.49398071,22.0913077231
180,-0.000343322753906,4517.53294175,22.0913077231
