"Latest: Time (s)","Latest: Oxygen Gas (ppm)","Latest: Current (A)","Latest: Temperature (°C)"
0,4718.52769166,-0.000572204589844,21.9760657138
1,4728.74095409,-0.000572204589844,21.9789838141
2,4738.95421652,-0.000572204589844,21.9760657138
3,4733.8475853,-0.000572204589844,21.9789838141
4,4744.06084773,-0.000572204589844,21.9746066522
5,4749.16747895,-0.000572204589844,21.9775247677
6,4744.06084773,-0.000572204589844,21.9775247677
7,4754.27411016,-0.000572204589844,21.9760657138
8,4754.27411016,-0.000572204589844,21.9775247677
9,4759.38074138,-0.000572204589844,21.9804428528
10,4769.59400381,-0.000572204589844,21.9819018839
11,4764.48737259,-0.000572204589844,21.9804428528
12,4779.80726624,-0.000572204589844,21.9789838141
13,4779.80726624,-0.000572204589844,21.9819018839
14,4790.02052867,-0.000572204589844,21.9804428528
15,4790.02052867,-0.000572204589844,21.9804428528
16,4800.2337911,-0.0006103515625,21.9804428528
17,4810.44705353,-0.000572204589844,21.9804428528
18,4810.44705353,-0.000572204589844,21.9819018839
19,4820.66031596,-0.0006103515625,21.9848199233
20,4815.55368475,-0.000591278076172,21.9819018839
21,4820.66031596,-0.000572204589844,21.9862789316
22,4820.66031596,-0.000591278076172,21.9833609074
23,4825.76694718,-0.000572204589844,21.9848199233
24,4825.76694718,-0.000572204589844,21.9862789316
25,4835.98020961,-0.000591278076172,21.9833609074
26,4835.98020961,-0.000591278076172,21.9891969253
27,4835.98020961,-0.000572204589844,21.9877379322
28,4846.19347204,-0.000591278076172,21.9848199233
29,4846.19347204,-0.000591278076172,21.9891969253
30,4856.40673447,-0.000572204589844,21.9877379322
31,4861.51336569,-0.0006103515625,21.9891969253
32,4861.51336569,-0.000572204589844,21.9906559107
33,4861.51336569,-0.000572204589844,21.9906559107
34,4876.83325933,-0.000591278076172,21.9935738589
35,4876.83325933,-0.000591278076172,21.9906559107
36,4887.04652176,-0.000591278076172,21.9906559107
37,4876.83325933,-0.000572204589844,21.9935738589
38,4887.04652176,-0.000572204589844,21.9921148886
39,4887.04652176,-0.000572204589844,21.9921148886
40,4881.93989055,-0.000572204589844,21.9921148886
41,4892.15315298,-0.000591278076172,21.9935738589
42,4892.15315298,-0.000591278076172,21.9935738589
43,4897.25978419,-0.000591278076172,21.9935738589
44,4897.25978419,-0.000591278076172,21.9979507241
45,4897.25978419,-0.000572204589844,21.9964917766
46,4897.25978419,-0.000591278076172,21.9964917766
47,4897.25978419,-0.000591278076172,21.9979507241
48,4897.25978419,-0.000572204589844,21.9979507241
49,4902.36641541,-0.000572204589844,21.9964917766
50,4897.25978419,-0.000591278076172,21.999409664
51,4897.25978419,-0.000572204589844,22.0008685963
52,4897.25978419,-0.000591278076172,21.9979507241
53,4902.36641541,-0.000572204589844,21.999409664
54,4902.36641541,-0.000591278076172,21.9979507241
55,4902.36641541,-0.000591278076172,21.9979507241
56,4907.47304662,-0.000572204589844,22.0008685963
57,4907.47304662,-0.000572204589844,22.0008685963
58,4907.47304662,-0.000572204589844,22.0008685963
59,4922.79294027,-0.000572204589844,22.0008685963
60,4912.57967784,-0.000572204589844,22.0008685963
61,4917.68630905,-0.000572204589844,22.0008685963
62,4927.89957148,-0.000572204589844,22.0008685963
