"Latest: Time (s)","Latest: Current (A)","Latest: Oxygen Gas (ppm)","Latest: Temperature (°C)"
0,-9.53674316406E-05,2775.77320041,24.3753592941
1,-7.62939453125E-05,2775.77320041,24.3724582713
2,-7.62939453125E-05,2775.77320041,24.3724582713
3,-0.000114440917969,2775.77320041,24.3695572374
4,-0.000114440917969,2775.77320041,24.3681067162
5,-0.000133514404297,2780.79268093,24.3695572374
6,-0.000114440917969,2775.77320041,24.3710077557
7,-0.000152587890625,2780.79268093,24.3652056655
8,-0.000114440917969,2785.81216146,24.3652056655
9,-0.000152587890625,2795.8511225,24.3637551359
10,-0.000133514404297,2800.87060302,24.3608540684
11,-0.000152587890625,2815.92904459,24.3608540684
12,-0.000133514404297,2820.94852511,24.3608540684
13,-0.000133514404297,2820.94852511,24.3594035304
14,-0.000114440917969,2836.00696668,24.3579529896
15,-0.000114440917969,2841.0264472,24.3536013502
16,-0.000171661376953,2841.0264472,24.3536013502
17,-0.000171661376953,2851.06540825,24.3536013502
18,-0.000133514404297,2856.08488877,24.3521507981
19,-9.53674316406E-05,2856.08488877,24.3477991248
20,-0.000152587890625,2866.12384982,24.3463485614
21,-0.000171661376953,2866.12384982,24.3477991248
22,-0.000114440917969,2866.12384982,24.3448979951
23,-0.000114440917969,2871.14333034,24.3448979951
24,-9.53674316406E-05,2876.16281086,24.3448979951
25,-0.000171661376953,2881.18229138,24.3405462793
26,-7.62939453125E-05,2901.26021348,24.3419968541
27,-0.000133514404297,2896.24073295,24.3390957016
28,-0.000133514404297,2906.279694,24.3376451211
29,-0.000152587890625,2916.31865504,24.3361945377
30,-0.000152587890625,2931.37709661,24.3347439515
31,-0.000114440917969,2931.37709661,24.3361945377
32,-0.000152587890625,2936.39657713,24.3332933624
33,-0.000114440917969,2951.4550187,24.3332933624
34,-0.000133514404297,2961.49397975,24.3332933624
35,-0.000152587890625,2976.55242131,24.3289415779
36,-0.000152587890625,2981.57190184,24.3289415779
