"Latest: Time (s)","Latest: Current (A)","Latest: Temperature (°C)","Latest: Oxygen Gas (ppm)"
0,-0.000667572021484,24.392765198,3837.69442065
1,-0.000667572021484,24.3913147212,3843.11489448
2,-0.000667572021484,24.3898642416,3853.95584213
3,-0.000705718994141,24.3898642416,3853.95584213
4,-0.000667572021484,24.3898642416,3864.79678979
5,-0.000686645507813,24.3855127864,3870.21726361
6,-0.000686645507813,24.3840622958,3870.21726361
7,-0.000667572021484,24.3811613064,3891.89915892
8,-0.000686645507813,24.3840622958,3908.16058039
9,-0.000686645507813,24.3797108075,3924.42200187
10,-0.000705718994141,24.3782603058,3946.10389718
11,-0.000686645507813,24.3768098014,3951.524371
12,-0.000667572021484,24.3768098014,3973.20626631
13,-0.000667572021484,24.3753592941,3984.04721396
14,-0.000686645507813,24.3739087841,3989.46768779
15,-0.000667572021484,24.3724582713,4011.14958309
16,-0.000686645507813,24.3739087841,4016.57005692
17,-0.000705718994141,24.3724582713,4021.99053075
18,-0.000648498535156,24.3652056655,4032.8314784
19,-0.000686645507813,24.3637551359,4038.25195222
20,-0.000686645507813,24.3681067162,4049.09289988
21,-0.000686645507813,24.3623046035,4054.5133737
22,-0.000667572021484,24.3608540684,4059.93384753
23,-0.000667572021484,24.3608540684,4081.61574283
24,-0.000686645507813,24.3550518995,4087.03621666
25,-0.000667572021484,24.3579529896,4087.03621666
26,-0.000667572021484,24.3550518995,4108.71811197
27,-0.000667572021484,24.3521507981,4114.13858579
28,-0.000686645507813,24.3463485614,4119.55905962
29,-0.000667572021484,24.3448979951,4114.13858579
30,-0.000667572021484,24.3448979951,4119.55905962
31,-0.000705718994141,24.3477991248,4119.55905962
32,-0.000686645507813,24.3376451211,4124.97953344
33,-0.000686645507813,24.3390957016,4135.8204811
34,-0.000686645507813,24.3376451211,4141.24095492
35,-0.000648498535156,24.3361945377,4152.08190258
36,-0.000667572021484,24.3303921756,4179.18427171
37,-0.000686645507813,24.3332933624,4184.60474553
38,-0.000648498535156,24.3289415779,4190.02521936
39,-0.000667572021484,24.3274909774,4206.28664084
40,-0.000686645507813,24.3274909774,4211.70711466
41,-0.000667572021484,24.3260403739,4233.38900997
42,-0.000667572021484,24.3202379313,4244.22995762
43,-0.000686645507813,24.3216885463,4255.07090527
44,-0.000686645507813,24.3173366926,4265.91185293
45,-0.000686645507813,24.3173366926,4276.75280058
46,-0.000686645507813,24.3144354424,4287.59374823
47,-0.000686645507813,24.3129848129,4287.59374823
48,-0.000705718994141,24.3129848129,4298.43469588
49,-0.000705718994141,24.3071822659,4303.85516971
50,-0.000667572021484,24.308632907,4303.85516971
51,-0.000686645507813,24.3057316219,4314.69611736
52,-0.000686645507813,24.3042809749,4314.69611736
53,-0.000667572021484,24.2970276963,4325.53706501
54,-0.000686645507813,24.2999290165,4341.79848649
55,-0.000648498535156,24.2941263643,4341.79848649
56,-0.000686645507813,24.2941263643,4363.4803818
57,-0.000667572021484,24.2926756939,4368.90085562
58,-0.000648498535156,24.2926756939,4363.4803818
59,-0.000686645507813,24.2897743442,4368.90085562
60,-0.000686645507813,24.2883236649,4374.32132945
61,-0.000667572021484,24.2868729827,4379.74180328
62,-0.000667572021484,24.2854222975,4385.1622771
63,-0.000705718994141,24.2839716094,4379.74180328
64,-0.000667572021484,24.2854222975,4385.1622771
65,-0.000667572021484,24.2825209183,4390.58275093
66,-0.000705718994141,24.2825209183,4396.00322476
67,-0.000705718994141,24.2781688272,4401.42369858
68,-0.000667572021484,24.2810702242,4423.10559389
69,-0.000667572021484,24.2738167093,4423.10559389
70,-0.000667572021484,24.2752674182,4423.10559389
71,-0.000667572021484,24.2723659974,4433.94654154
72,-0.000705718994141,24.2723659974,4444.78748919
73,-0.000686645507813,24.2694645646,4450.20796302
74,-0.000686645507813,24.2680138437,4450.20796302
75,-0.000686645507813,24.2651123929,4461.04891067
76,-0.000667572021484,24.2651123929,4461.04891067
77,-0.000686645507813,24.2622109302,4471.88985832
78,-0.000705718994141,24.2593094554,4471.88985832
79,-0.000667572021484,24.2593094554,4482.73080598
80,-0.000648498535156,24.2578587135,4477.31033215
81,-0.000667572021484,24.2506049586,4488.1512798
82,-0.000705718994141,24.2491541986,4504.41270128
83,-0.000667572021484,24.2477034355,4504.41270128
84,-0.000667572021484,24.2462526694,4509.83317511
85,-0.000686645507813,24.2433511281,4520.67412276
86,-0.000648498535156,24.2360972215,4515.25364893
87,-0.000705718994141,24.2360972215,4536.93554424
88,-0.000667572021484,24.2317448408,4536.93554424
89,-0.000686645507813,24.2302940411,4542.35601806
90,-0.000648498535156,24.2288432384,4542.35601806
91,-0.000686645507813,24.2259416237,4547.77649189
92,-0.000705718994141,24.2201383573,4553.19696572
93,-0.000686645507813,24.2215891785,4558.61743954
94,-0.000705718994141,24.2244908117,4569.4583872
95,-0.000667572021484,24.2157858751,4564.03791337
96,-0.000686645507813,24.2128842048,4580.29933485
97,-0.000686645507813,24.2128842048,4585.71980867
98,-0.000667572021484,24.2128842048,4591.1402825
99,-0.000705718994141,24.207080827,4601.98123015
100,-0.000686645507813,24.2056299747,4607.40170398
101,-0.000705718994141,24.207080827,4618.24265163
102,-0.000686645507813,24.2041791194,4618.24265163
103,-0.000686645507813,24.1998265345,4629.08359928
104,-0.000686645507813,24.1998265345,4629.08359928
105,-0.000667572021484,24.1969247957,4645.34502076
106,-0.000686645507813,24.1940230443,4656.18596842
107,-0.000648498535156,24.1954739216,4656.18596842
108,-0.000686645507813,24.1911212804,4661.60644224
109,-0.000686645507813,24.1911212804,4677.86786372
110,-0.000686645507813,24.1925721639,4683.28833755
111,-0.000686645507813,24.1896703937,4683.28833755
112,-0.000686645507813,24.1882195038,4688.70881137
113,-0.000686645507813,24.1896703937,4699.54975903
114,-0.000686645507813,24.1882195038,4704.97023285
115,-0.000667572021484,24.1824159129,4710.39070668
116,-0.000724792480469,24.1809650073,4710.39070668
117,-0.000686645507813,24.1824159129,4715.8111805
118,-0.000648498535156,24.1780631865,4715.8111805
119,-0.000686645507813,24.175161353,4715.8111805
120,-0.000667572021484,24.1737104315,4721.23165433
121,-0.000667572021484,24.175161353,4721.23165433
122,-0.000667572021484,24.1650048357,4715.8111805
123,-0.000686645507813,24.169357648,4721.23165433
124,-0.000686645507813,24.1679067137,4721.23165433
125,-0.000648498535156,24.1621029449,4721.23165433
126,-0.000686645507813,24.1621029449,4726.65212816
127,-0.000686645507813,24.1562991247,4726.65212816
128,-0.000667572021484,24.1592010412,4732.07260198
129,-0.000686645507813,24.1519462258,4737.49307581
130,-0.000705718994141,24.1490442772,4732.07260198
131,-0.000686645507813,24.147593298,4737.49307581
132,-0.000667572021484,24.1490442772,4742.91354963
133,-0.000686645507813,24.143240341,4748.33402346
134,-0.000686645507813,24.143240341,4759.17497111
135,-0.000686645507813,24.1403383535,4759.17497111
136,-0.000686645507813,24.1388873549,4764.59544494
137,-0.000667572021484,24.137436353,4764.59544494
138,-0.000705718994141,24.137436353,4775.43639259
139,-0.000686645507813,24.1345343395,4775.43639259
140,-0.000648498535156,24.1359853479,4791.69781407
141,-0.000705718994141,24.1345343395,4780.85686642
142,-0.000686645507813,24.131632313,4791.69781407
143,-0.000667572021484,24.1287302734,4797.1182879
144,-0.000648498535156,24.1287302734,4807.95923555
