"Latest: Time (s)","Latest: Oxygen Gas (ppm)","Latest: Current (A)","Latest: Temperature (°C)"
0,3768.69428561,-0.0006103515625,25.0945271308
1,3778.90754804,-0.000591278076172,25.0945271308
2,3773.80091682,-0.0006103515625,25.0945271308
3,3784.01417925,-0.0006103515625,25.0945271308
4,3784.01417925,-0.000629425048828,25.0916281719
5,3789.12081047,-0.000591278076172,25.0930776521
6,3794.22744169,-0.000591278076172,25.0945271308
7,3799.3340729,-0.000591278076172,25.0959766082
8,3804.44070412,-0.000629425048828,25.0945271308
9,3809.54733533,-0.0006103515625,25.0916281719
10,3819.76059776,-0.0006103515625,25.0930776521
11,3819.76059776,-0.000591278076172,25.0916281719
12,3824.86722898,-0.0006103515625,25.0945271308
13,3829.97386019,-0.000591278076172,25.0887292075
14,3835.08049141,-0.000591278076172,25.0916281719
15,3840.18712262,-0.000591278076172,25.0916281719
16,3835.08049141,-0.0006103515625,25.0916281719
17,3845.29375384,-0.000591278076172,25.0901786904
18,3840.18712262,-0.0006103515625,25.0901786904
19,3845.29375384,-0.0006103515625,25.0916281719
20,3845.29375384,-0.000629425048828,25.0872797232
21,3845.29375384,-0.0006103515625,25.0843807505
22,3850.40038505,-0.0006103515625,25.0843807505
23,3845.29375384,-0.000591278076172,25.0843807505
24,3850.40038505,-0.000591278076172,25.0843807505
25,3850.40038505,-0.000648498535156,25.0800322809
26,3850.40038505,-0.000629425048828,25.0814817722
27,3850.40038505,-0.0006103515625,25.0771332942
28,3850.40038505,-0.000591278076172,25.0800322809
29,3850.40038505,-0.0006103515625,25.0771332942
30,3850.40038505,-0.000591278076172,25.0771332942
31,3860.61364748,-0.000629425048828,25.0727848035
32,3855.50701627,-0.000629425048828,25.0727848035
33,3855.50701627,-0.0006103515625,25.0698858026
34,3865.7202787,-0.0006103515625,25.0698858026
35,3860.61364748,-0.000572204589844,25.0684363001
36,3865.7202787,-0.000629425048828,25.0669867961
37,3870.82690992,-0.000591278076172,25.0669867961
38,3875.93354113,-0.000591278076172,25.0669867961
39,3875.93354113,-0.000629425048828,25.0669867961
40,3870.82690992,-0.000591278076172,25.0626382755
41,3886.14680356,-0.000629425048828,25.0626382755
42,3875.93354113,-0.000591278076172,25.0611887658
43,3891.25343478,-0.0006103515625,25.0597392546
44,3896.36006599,-0.0006103515625,25.0597392546
45,3891.25343478,-0.000629425048828,25.058289742
46,3911.67995964,-0.0006103515625,25.058289742
47,3901.46669721,-0.000591278076172,25.056840228
48,3906.57332842,-0.000591278076172,25.0597392546
49,3911.67995964,-0.000629425048828,25.0553907124
50,3921.89322207,-0.000591278076172,25.0539411955
51,3916.78659085,-0.000591278076172,25.0539411955
52,3916.78659085,-0.0006103515625,25.0524916771
53,3921.89322207,-0.000629425048828,25.0495926359
54,3921.89322207,-0.0006103515625,25.0495926359
55,3926.99985328,-0.0006103515625,25.0481431131
56,3926.99985328,-0.000591278076172,25.0466935889
57,3937.21311571,-0.000591278076172,25.0452440631
58,3926.99985328,-0.0006103515625,25.0423450073
59,3937.21311571,-0.000591278076172,25.0437945359
60,3937.21311571,-0.0006103515625,25.0408954771
61,3932.1064845,-0.0006103515625,25.0394459455
62,3937.21311571,-0.0006103515625,25.0350973417
63,3947.42637814,-0.0006103515625,25.0336478042
64,3947.42637814,-0.000591278076172,25.0365468778
65,3947.42637814,-0.0006103515625,25.0321982651
66,3947.42637814,-0.0006103515625,25.0307487245
67,3947.42637814,-0.0006103515625,25.0292991825
68,3957.63964058,-0.0006103515625,25.0292991825
69,3962.74627179,-0.000629425048828,25.0235009992
70,3947.42637814,-0.0006103515625,25.0264000938
71,3952.53300936,-0.0006103515625,25.0235009992
72,3967.85290301,-0.0006103515625,25.0191523458
73,3957.63964058,-0.0006103515625,25.0191523458
74,3978.06616544,-0.0006103515625,25.0177027917
75,3967.85290301,-0.000591278076172,25.010454998
76,3983.17279665,-0.0006103515625,25.010454998
77,3983.17279665,-0.0006103515625,25.010454998
78,3983.17279665,-0.0006103515625,25.0061063033
79,3988.27942787,-0.0006103515625,25.000308022
80,3998.4926903,-0.0006103515625,25.0017575947
81,3998.4926903,-0.000572204589844,24.9988584478
82,3998.4926903,-0.0006103515625,24.9945097159
83,4008.70595273,-0.000591278076172,24.9945097159
84,4008.70595273,-0.0006103515625,24.9945097159
85,4018.91921516,-0.000591278076172,24.9901609697
86,4018.91921516,-0.000591278076172,24.9930601354
87,4018.91921516,-0.000629425048828,24.9916105533
88,4024.02584637,-0.000629425048828,24.9872617978
89,4029.13247759,-0.000591278076172,24.9858122094
90,4044.45237124,-0.000629425048828,24.9843626195
91,4039.34574002,-0.000591278076172,24.9829130279
92,4039.34574002,-0.000591278076172,24.9800138401
93,4049.55900245,-0.000591278076172,24.9771146458
94,4044.45237124,-0.000591278076172,24.9771146458
95,4049.55900245,-0.000591278076172,24.9756650463
96,4054.66563367,-0.0006103515625,24.9727658424
97,4059.77226488,-0.0006103515625,24.9713162381
98,4064.8788961,-0.0006103515625,24.9698666321
99,4059.77226488,-0.0006103515625,24.9669674153
100,4069.98552731,-0.000591278076172,24.9669674153
101,4069.98552731,-0.000629425048828,24.9611689622
102,4075.09215853,-0.0006103515625,24.9597193449
103,4075.09215853,-0.0006103515625,24.9597193449
104,4080.19878974,-0.0006103515625,24.9582697259
105,4080.19878974,-0.0006103515625,24.9568201052
106,4085.30542096,-0.0006103515625,24.953920859
107,4090.41205217,-0.0006103515625,24.9568201052
108,4085.30542096,-0.000591278076172,24.9510216062
109,4090.41205217,-0.0006103515625,24.9510216062
110,4090.41205217,-0.000629425048828,24.9495719773
111,4095.51868339,-0.0006103515625,24.9481223468
112,4085.30542096,-0.0006103515625,24.9452230807
113,4090.41205217,-0.000591278076172,24.9452230807
114,4095.51868339,-0.000591278076172,24.942323808
115,4095.51868339,-0.0006103515625,24.942323808
116,4095.51868339,-0.000591278076172,24.942323808
