"Latest: Time (s)","Latest: Current (A)","Latest: Oxygen Gas (ppm)","Latest: Temperature (°C)"
0,-0.000152587890625,3142.19527856,24.7321072793
1,-9.53674316406E-05,3142.19527856,24.7350070955
2,-9.53674316406E-05,3152.23423961,24.7321072793
3,-9.53674316406E-05,3152.23423961,24.730657368
4,-0.000152587890625,3167.29268117,24.7277575392
5,-0.000133514404297,3177.33164222,24.7277575392
6,-7.62939453125E-05,3177.33164222,24.7277575392
7,-0.000114440917969,3182.35112274,24.7277575392
8,-5.72204589844E-05,3182.35112274,24.7277575392
9,-0.000114440917969,3192.39008379,24.7234077803
10,-0.000114440917969,3202.42904483,24.7234077803
11,-0.000114440917969,3212.46800588,24.7248577021
12,-0.000114440917969,3202.42904483,24.7205079306
13,-0.000114440917969,3212.46800588,24.7219578565
14,-9.53674316406E-05,3217.4874864,24.7190580026
15,-0.000133514404297,3227.52644744,24.7234077803
16,-9.53674316406E-05,3227.52644744,24.7219578565
17,-0.000114440917969,3227.52644744,24.7190580026
18,-0.000114440917969,3237.56540849,24.7132582694
19,-0.000152587890625,3242.58488901,24.7161581402
20,-0.000133514404297,3247.60436954,24.7147082058
21,-0.000133514404297,3247.60436954,24.7118083308
22,-0.000133514404297,3252.62385006,24.7147082058
23,-0.000114440917969,3257.64333058,24.7132582694
24,-0.000152587890625,3252.62385006,24.71035839
25,-0.000133514404297,3267.68229163,24.7089084472
26,-0.000114440917969,3262.6628111,24.7074585022
27,-0.000152587890625,3272.70177215,24.7045586059
28,-9.53674316406E-05,3282.74073319,24.7045586059
29,-0.000133514404297,3277.72125267,24.7031086545
30,-0.000133514404297,3292.77969424,24.7031086545
31,-0.000114440917969,3292.77969424,24.6987587875
32,-0.000133514404297,3292.77969424,24.6987587875
33,-9.53674316406E-05,3302.81865528,24.6987587875
34,-0.000133514404297,3307.83813581,24.6987587875
35,-7.62939453125E-05,3312.85761633,24.6944089012
36,-0.000171661376953,3317.87709685,24.6958588655
37,-0.000171661376953,3322.89657737,24.6915089663
38,-0.000133514404297,3327.9160579,24.6915089663
39,-0.000133514404297,3327.9160579,24.6900589955
40,-0.000152587890625,3327.9160579,24.6871590476
41,-0.000114440917969,3332.93553842,24.6857090703
42,-0.000114440917969,3332.93553842,24.6813591256
43,-0.000133514404297,3332.93553842,24.6813591256
44,-0.000133514404297,3332.93553842,24.6799091396
45,-0.000152587890625,3332.93553842,24.6799091396
46,-0.000114440917969,3337.95501894,24.6755591687
47,-0.000133514404297,3337.95501894,24.674109174
48,-0.000114440917969,3332.93553842,24.6755591687
49,-0.000171661376953,3353.01346051,24.671209178
50,-0.000133514404297,3347.99397999,24.671209178
51,-0.000152587890625,3347.99397999,24.6683091732
52,-0.000133514404297,3353.01346051,24.6683091732
53,-0.000152587890625,3373.0913826,24.6610591225
54,-0.000171661376953,3373.0913826,24.6610591225
55,-0.000133514404297,3373.0913826,24.6596091057
56,-0.000152587890625,3383.13034365,24.6639591494
57,-9.53674316406E-05,3388.14982417,24.6567090654
58,-0.000152587890625,3403.20826574,24.6552590419
59,-0.000114440917969,3398.18878521,24.6523589883
60,-0.000114440917969,3393.16930469,24.6509089581
61,-0.000114440917969,3403.20826574,24.6509089581
62,-0.000152587890625,3413.24722678,24.6451088149
63,-0.000133514404297,3408.22774626,24.6436587735
64,-0.000133514404297,3413.24722678,24.6436587735
65,-0.000114440917969,3413.24722678,24.6393086357
66,-0.000114440917969,3413.24722678,24.6378585852
67,-0.000114440917969,3418.2667073,24.6364085325
68,-0.000114440917969,3418.2667073,24.6320583607
69,-0.000114440917969,3423.28618783,24.6291582347
70,-0.000133514404297,3428.30566835,24.6320583607
71,-0.000171661376953,3438.34462939,24.6277081683
72,-0.000133514404297,3453.40307096,24.6262580996
73,-0.000152587890625,3448.38359044,24.6233579554
74,-0.000152587890625,3453.40307096,24.620457802
75,-0.000133514404297,3458.42255148,24.6233579554
76,-0.000114440917969,3463.44203201,24.6219078799
77,-0.000133514404297,3458.42255148,24.620457802
78,-0.000152587890625,3473.48099305,24.6175576394
79,-7.62939453125E-05,3483.5199541,24.6146574675
80,-7.62939453125E-05,3473.48099305,24.6132073781
81,-0.000152587890625,3488.53943462,24.6132073781
82,-0.000114440917969,3488.53943462,24.6103071924
83,-0.000114440917969,3493.55891514,24.6117572864
84,-0.000114440917969,3493.55891514,24.608857096
85,-0.000152587890625,3493.55891514,24.6103071924
86,-0.000114440917969,3503.59787619,24.6059568964
87,-0.000171661376953,3503.59787619,24.604506793
88,-0.000152587890625,3508.61735671,24.6059568964
89,-0.000152587890625,3503.59787619,24.6030566874
90,-0.000133514404297,3513.63683723,24.6030566874
91,-0.000133514404297,3523.67579828,24.6016065794
92,-9.53674316406E-05,3523.67579828,24.600156469
93,-0.000114440917969,3538.73423985,24.595806124
94,-0.000152587890625,3538.73423985,24.5972562413
95,-0.000171661376953,3553.79268141,24.5943560043
96,-0.000133514404297,3548.77320089,24.5929058822
97,-0.000133514404297,3563.83164246,24.5929058822
98,-0.000152587890625,3563.83164246,24.5885555018
99,-0.000152587890625,3578.89008403,24.5842051002
100,-0.000114440917969,3583.90956455,24.5827549616
101,-0.000114440917969,3583.90956455,24.5842051002
102,-0.000133514404297,3583.90956455,24.5784045315
103,-0.000133514404297,3593.94852559,24.5769543833
104,-0.000133514404297,3603.98748664,24.5769543833
105,-0.000152587890625,3598.96800612,24.5769543833
106,-0.000152587890625,3614.02644769,24.5726039246
107,-0.000152587890625,3614.02644769,24.5726039246
108,-0.000114440917969,3624.06540873,24.5682534443
109,-0.000114440917969,3624.06540873,24.5653531121
110,-0.000171661376953,3629.08488925,24.5653531121
111,-0.000152587890625,3629.08488925,24.5639029423
112,-0.000133514404297,3639.1238503,24.5610025957
113,-0.000133514404297,3639.1238503,24.5595524187
114,-0.000114440917969,3639.1238503,24.5595524187
115,-0.000152587890625,3644.14333082,24.5552018733
116,-9.53674316406E-05,3644.14333082,24.5552018733
117,-0.000114440917969,3644.14333082,24.5552018733
118,-0.000133514404297,3649.16281134,24.5508513059
119,-9.53674316406E-05,3649.16281134,24.5508513059
120,-0.000133514404297,3649.16281134,24.5508513059
121,-0.000114440917969,3649.16281134,24.5479509156
122,-0.000133514404297,3654.18229187,24.5479509156
123,-0.000133514404297,3649.16281134,24.5465007167
124,-0.000133514404297,3654.18229187,24.5450505154
125,-0.000133514404297,3659.20177239,24.5406998968
126,-0.000133514404297,3669.24073343,24.5406998968
127,-0.000152587890625,3654.18229187,24.5406998968
128,-0.000190734863281,3664.22125291,24.5392496857
129,-0.000171661376953,3669.24073343,24.5377994721
130,-9.53674316406E-05,3669.24073343,24.536349256
131,-0.000171661376953,3669.24073343,24.5348990375
132,-0.000190734863281,3689.31865552,24.5348990375
133,-0.000133514404297,3684.299175,24.5334488166
134,-0.000152587890625,3694.33813605,24.5305483672
135,-0.000114440917969,3704.37709709,24.5319985931
136,-0.000171661376953,3709.39657761,24.5319985931
137,-0.000114440917969,3709.39657761,24.5261976745
138,-0.000114440917969,3719.43553866,24.5247474387
139,-0.000152587890625,3719.43553866,24.5247474387
140,-0.000152587890625,3724.45501918,24.5203967162
141,-0.000152587890625,3724.45501918,24.5218469595
142,-0.000133514404297,3729.47449971,24.5203967162
143,-0.000171661376953,3729.47449971,24.5189464703
144,-0.000171661376953,3734.49398023,24.5160459712
145,-0.000152587890625,3734.49398023,24.517496222
146,-0.000152587890625,3734.49398023,24.5145957178
147,-0.000171661376953,3739.51346075,24.513145462
148,-0.000171661376953,3744.53294127,24.513145462
149,-0.000114440917969,3749.5524218,24.513145462
150,-0.000114440917969,3754.57190232,24.5116952036
151,-0.000133514404297,3749.5524218,24.5102449427
152,-0.000114440917969,3759.59138284,24.5073444134
153,-0.000133514404297,3764.61086336,24.504443874
154,-0.000171661376953,3764.61086336,24.504443874
155,-0.000152587890625,3779.66930493,24.5029936005
