"Latest: Time (s)","Latest: Current (A)","Latest: Temperature (°C)","Latest: Oxygen Gas (ppm)"
0,-0.000629425048828,24.1795140985,3642.55736291
1,-0.000705718994141,24.1795140985,3675.08020587
2,-0.000686645507813,24.1766122714,3675.08020587
3,-0.000667572021484,24.1824159129,3675.08020587
4,-0.000686645507813,24.1824159129,3685.92115352
5,-0.000686645507813,24.1824159129,3685.92115352
6,-0.000686645507813,24.1838668154,3691.34162735
7,-0.000667572021484,24.1838668154,3696.76210117
8,-0.000686645507813,24.1838668154,3696.76210117
9,-0.000686645507813,24.1824159129,3723.8644703
10,-0.000648498535156,24.1867686108,3740.12589178
11,-0.000705718994141,24.1882195038,3734.70541796
12,-0.000667572021484,24.1867686108,3756.38731326
13,-0.000667572021484,24.1867686108,3761.80778709
14,-0.000667572021484,24.1896703937,3767.22826091
15,-0.000686645507813,24.1896703937,3772.64873474
16,-0.000686645507813,24.1882195038,3772.64873474
17,-0.000705718994141,24.1896703937,3772.64873474
18,-0.000667572021484,24.1896703937,3772.64873474
19,-0.000667572021484,24.1911212804,3772.64873474
20,-0.000667572021484,24.1911212804,3778.06920857
21,-0.000667572021484,24.1911212804,3783.48968239
22,-0.000686645507813,24.1911212804,3794.33063004
23,-0.000667572021484,24.1940230443,3799.75110387
24,-0.000667572021484,24.1940230443,3810.59205152
25,-0.000686645507813,24.1969247957,3826.853473
26,-0.000686645507813,24.1911212804,3826.853473
27,-0.000686645507813,24.1925721639,3843.11489448
28,-0.000648498535156,24.1925721639,3843.11489448
29,-0.000667572021484,24.1969247957,3853.95584213
30,-0.000667572021484,24.1940230443,3859.37631596
31,-0.000686645507813,24.1954739216,3859.37631596
32,-0.000648498535156,24.1954739216,3864.79678979
33,-0.000686645507813,24.1983756667,3881.05821126
34,-0.000686645507813,24.1969247957,3897.31963274
35,-0.000686645507813,24.1940230443,3902.74010657
36,-0.000686645507813,24.1983756667,3913.58105422
37,-0.000705718994141,24.1998265345,3940.68342335
38,-0.000686645507813,24.1969247957,3940.68342335
39,-0.000686645507813,24.1969247957,3946.10389718
40,-0.000686645507813,24.1998265345,3973.20626631
41,-0.000705718994141,24.1998265345,3984.04721396
42,-0.000667572021484,24.1998265345,3994.88816161
43,-0.000686645507813,24.2027282609,4000.30863544
44,-0.000686645507813,24.1998265345,4016.57005692
45,-0.000667572021484,24.1998265345,4021.99053075
46,-0.000667572021484,24.1998265345,4027.41100457
47,-0.000667572021484,24.2027282609,4027.41100457
48,-0.000686645507813,24.1998265345,4032.8314784
49,-0.000667572021484,24.2012773993,4032.8314784
50,-0.000667572021484,24.2027282609,4043.67242605
51,-0.000667572021484,24.2041791194,4059.93384753
52,-0.000686645507813,24.2027282609,4059.93384753
53,-0.000667572021484,24.2041791194,4081.61574283
54,-0.000705718994141,24.2041791194,4076.19526901
55,-0.000648498535156,24.207080827,4103.29763814
56,-0.000686645507813,24.2041791194,4103.29763814
57,-0.000667572021484,24.2041791194,4114.13858579
58,-0.000686645507813,24.2041791194,4119.55905962
59,-0.000667572021484,24.2056299747,4114.13858579
60,-0.000686645507813,24.207080827,4119.55905962
61,-0.000648498535156,24.2041791194,4119.55905962
62,-0.000686645507813,24.2085316761,4119.55905962
63,-0.000686645507813,24.2085316761,4124.97953344
64,-0.000648498535156,24.207080827,4130.40000727
65,-0.000667572021484,24.2041791194,4135.8204811
66,-0.000667572021484,24.2085316761,4141.24095492
67,-0.000686645507813,24.2085316761,4146.66142875
68,-0.000667572021484,24.2056299747,4168.34332405
69,-0.000648498535156,24.2099825221,4179.18427171
70,-0.000667572021484,24.2085316761,4190.02521936
71,-0.000705718994141,24.2099825221,4206.28664084
72,-0.000667572021484,24.2085316761,4206.28664084
73,-0.000686645507813,24.2085316761,4233.38900997
74,-0.000667572021484,24.211433365,4238.8094838
75,-0.000686645507813,24.211433365,4244.22995762
76,-0.000667572021484,24.2128842048,4265.91185293
77,-0.000667572021484,24.2128842048,4271.33232675
78,-0.000686645507813,24.2128842048,4276.75280058
79,-0.000686645507813,24.2128842048,4293.01422206
80,-0.000686645507813,24.211433365,4293.01422206
81,-0.000686645507813,24.2128842048,4293.01422206
82,-0.000724792480469,24.2128842048,4298.43469588
83,-0.000667572021484,24.2143350415,4314.69611736
84,-0.000686645507813,24.2172367056,4314.69611736
85,-0.000686645507813,24.2157858751,4320.11659119
