"Latest: Time (s)","Latest: Current (A)","Latest: Temperature (°C)","Latest: Oxygen Gas (ppm)"
0,-0.000667572021484,25.2235255637,4038.25195222
1,-0.000667572021484,25.2235255637,4049.09289988
2,-0.000667572021484,25.2220761963,4065.35432136
3,-0.000705718994141,25.2220761963,4059.93384753
4,-0.000705718994141,25.2206268278,4087.03621666
5,-0.000667572021484,25.2162787154,4070.77479518
6,-0.000686645507813,25.2119305928,4087.03621666
7,-0.000667572021484,25.2148293423,4092.45669049
8,-0.000686645507813,25.2133799681,4097.87716431
9,-0.000648498535156,25.2075824598,4103.29763814
10,-0.000686645507813,25.2104812163,4103.29763814
11,-0.000686645507813,25.2046836987,4108.71811197
12,-0.000686645507813,25.2061330798,4114.13858579
13,-0.000705718994141,25.2061330798,4119.55905962
14,-0.000629425048828,25.201784933,4119.55905962
15,-0.000667572021484,25.2003355484,4119.55905962
16,-0.000648498535156,25.1988861626,4124.97953344
17,-0.000648498535156,25.1930886078,4130.40000727
18,-0.000648498535156,25.1916392161,4135.8204811
19,-0.000667572021484,25.187291034,4130.40000727
20,-0.000667572021484,25.187291034,4141.24095492
21,-0.000629425048828,25.1843922399,4146.66142875
22,-0.000648498535156,25.1814934411,4157.5023764
23,-0.000648498535156,25.1771452337,4162.92285023
24,-0.000648498535156,25.1785946374,4162.92285023
25,-0.000648498535156,25.1756958288,4179.18427171
26,-0.000629425048828,25.1698981972,4195.44569319
27,-0.000648498535156,25.1684487862,4206.28664084
28,-0.000686645507813,25.1655499605,4211.70711466
29,-0.000667572021484,25.1583028746,4227.96853614
30,-0.000648498535156,25.1597522943,4238.8094838
31,-0.000667572021484,25.1568534537,4238.8094838
32,-0.000629425048828,25.1525051834,4238.8094838
33,-0.000648498535156,25.1481569018,4265.91185293
34,-0.000667572021484,25.1496063303,4265.91185293
35,-0.000648498535156,25.1467074721,4276.75280058
36,-0.000667572021484,25.1423591751,4287.59374823
37,-0.000648498535156,25.1438086087,4282.17327441
38,-0.000667572021484,25.1394603041,4293.01422206
39,-0.000667572021484,25.1351119879,4298.43469588
40,-0.000629425048828,25.1351119879,4298.43469588
41,-0.000667572021484,25.132213104,4309.27564354
42,-0.000648498535156,25.1278647683,4314.69611736
43,-0.000648498535156,25.1278647683,4320.11659119
44,-0.000686645507813,25.1220669691,4330.95753884
45,-0.000667572021484,25.1220669691,4336.37801267
46,-0.000705718994141,25.1148196903,4341.79848649
47,-0.000648498535156,25.1148196903,4347.21896032
48,-0.000648498535156,25.1090218432,4363.4803818
49,-0.000667572021484,25.1090218432,4358.05990797
50,-0.000686645507813,25.1061229116,4368.90085562
51,-0.000667572021484,25.101774504,4368.90085562
52,-0.000667572021484,25.0974260842,4374.32132945
53,-0.000629425048828,25.0945271308,4379.74180328
54,-0.000648498535156,25.0843807505,4379.74180328
55,-0.000648498535156,25.0887292075,4385.1622771
56,-0.000648498535156,25.082931262,4390.58275093
57,-0.000667572021484,25.082931262,4385.1622771
