"Latest: Time (s)","Latest: Current (A)","Latest: Oxygen Gas (ppm)","Latest: Temperature (°C)"
0,-0.000247955322266,3814.80566859,23.1731123084
1,-0.000247955322266,3824.84462963,23.1818350156
2,-0.000247955322266,3829.86411016,23.180381244
3,-0.000247955322266,3849.94203225,23.180381244
4,-0.000267028808594,3849.94203225,23.180381244
5,-0.000286102294922,3870.01995434,23.1847425434
6,-0.000286102294922,3865.00047382,23.1861962995
7,-0.000247955322266,3870.01995434,23.1891037963
8,-0.000228881835938,3885.07839591,23.1891037963
9,-0.000267028808594,3890.09787643,23.1891037963
10,-0.000286102294922,3890.09787643,23.193465003
11,-0.000286102294922,3890.09787643,23.193465003
12,-0.000267028808594,3895.11735695,23.1920112726
13,-0.00030517578125,3895.11735695,23.1963724484
14,-0.00030517578125,3910.17579852,23.1992798733
15,-0.000247955322266,3905.156318,23.1992798733
16,-0.000286102294922,3910.17579852,23.2021872777
17,-0.000286102294922,3930.25372061,23.2007335781
18,-0.000286102294922,3945.31216218,23.2036409723
19,-0.000324249267578,3945.31216218,23.2007335781
20,-0.00030517578125,3955.35112322,23.2050946617
21,-0.000286102294922,3960.37060375,23.2080020251
22,-0.000286102294922,3965.39008427,23.2109093682
23,-0.000267028808594,3965.39008427,23.2109093682
24,-0.000324249267578,3970.40956479,23.2109093682
25,-0.000286102294922,3970.40956479,23.2138166908
26,-0.00030517578125,3970.40956479,23.212363032
27,-0.000286102294922,3970.40956479,23.2138166908
28,-0.000286102294922,3970.40956479,23.2152703445
29,-0.00030517578125,3970.40956479,23.2152703445
30,-0.000267028808594,3970.40956479,23.2181776365
31,-0.000286102294922,3970.40956479,23.2181776365
32,-0.00030517578125,3970.40956479,23.2181776365
33,-0.000267028808594,3975.42904531,23.2181776365
34,-0.000286102294922,3975.42904531,23.2210849083
35,-0.000286102294922,3990.48748688,23.2225385365
36,-0.00030517578125,3985.46800636,23.2210849083
37,-0.00030517578125,4005.54592845,23.2196312749
38,-0.000324249267578,4010.56540897,23.2239921597
39,-0.00030517578125,4020.60437002,23.2210849083
40,-0.000286102294922,4025.62385054,23.2254457777
41,-0.000286102294922,4030.64333106,23.2283529987
42,-0.00030517578125,4035.66281158,23.2268993907
43,-0.000286102294922,4040.68229211,23.2268993907
44,-0.00030517578125,4040.68229211,23.2283529987
45,-0.000286102294922,4040.68229211,23.2268993907
46,-0.00030517578125,4040.68229211,23.2254457777
47,-0.000267028808594,4045.70177263,23.2298066016
48,-0.00030517578125,4045.70177263,23.2298066016
49,-0.00030517578125,4045.70177263,23.2298066016
50,-0.00030517578125,4060.7602142,23.2312601994
51,-0.00030517578125,4050.72125315,23.2312601994
52,-0.000324249267578,4055.74073367,23.2341673798
53,-0.000267028808594,4060.7602142,23.2327137921
54,-0.000324249267578,4070.79917524,23.2327137921
55,-0.000286102294922,4090.87709733,23.2356209625
56,-0.000286102294922,4085.85761681,23.2341673798
57,-0.00030517578125,4090.87709733,23.2327137921
58,-0.00030517578125,4100.91605838,23.2341673798
59,-0.000324249267578,4110.95501942,23.2298066016
60,-0.00030517578125,4110.95501942,23.2356209625
61,-0.00030517578125,4115.97449995,23.2356209625
62,-0.000324249267578,4120.99398047,23.23707454
63,-0.00030517578125,4120.99398047,23.23707454
64,-0.000286102294922,4126.01346099,23.23707454
65,-0.00030517578125,4126.01346099,23.2356209625
66,-0.00030517578125,4126.01346099,23.2356209625
67,-0.000286102294922,4126.01346099,23.23707454
68,-0.00030517578125,4136.05242204,23.23707454
69,-0.00030517578125,4126.01346099,23.23707454
70,-0.000286102294922,4136.05242204,23.23707454
71,-0.00030517578125,4141.07190256,23.23707454
72,-0.00030517578125,4146.09138308,23.2385281126
73,-0.00030517578125,4146.09138308,23.23707454
74,-0.000267028808594,4156.13034413,23.23707454
75,-0.000286102294922,4176.20826622,23.2399816801
76,-0.000286102294922,4171.18878569,23.23707454
77,-0.000286102294922,4186.24722726,23.2385281126
78,-0.00030517578125,4191.26670778,23.2385281126
79,-0.00030517578125,4196.28618831,23.2385281126
80,-0.000286102294922,4206.32514935,23.2399816801
81,-0.000324249267578,4206.32514935,23.2414352425
82,-0.000228881835938,4211.34462988,23.2385281126
83,-0.000286102294922,4221.38359092,23.2443423523
84,-0.000286102294922,4236.44203249,23.2414352425
85,-0.000324249267578,4231.42255197,23.2414352425
86,-0.000286102294922,4236.44203249,23.2399816801
87,-0.000286102294922,4246.48099353,23.2414352425
88,-0.000324249267578,4256.51995458,23.2428887999
89,-0.00030517578125,4261.5394351,23.2399816801
90,-0.000286102294922,4256.51995458,23.2399816801
91,-0.000286102294922,4271.57839615,23.2443423523
92,-0.000286102294922,4276.59787667,23.2414352425
93,-0.00030517578125,4271.57839615,23.2428887999
94,-0.000324249267578,4281.61735719,23.2428887999
95,-0.00030517578125,4281.61735719,23.2428887999
96,-0.000286102294922,4281.61735719,23.2457958996
97,-0.00030517578125,4286.63683771,23.2414352425
98,-0.000286102294922,4281.61735719,23.2428887999
99,-0.00030517578125,4286.63683771,23.2428887999
100,-0.000324249267578,4286.63683771,23.2414352425
101,-0.000286102294922,4291.65631824,23.2428887999
102,-0.00030517578125,4291.65631824,23.2457958996
103,-0.000324249267578,4296.67579876,23.2414352425
104,-0.000324249267578,4311.73424033,23.2414352425
105,-0.000324249267578,4316.75372085,23.2414352425
106,-0.000286102294922,4311.73424033,23.2428887999
107,-0.000324249267578,4321.77320137,23.2443423523
108,-0.00030517578125,4336.83164294,23.2443423523
109,-0.00030517578125,4341.85112346,23.2428887999
110,-0.000267028808594,4356.90956503,23.2443423523
111,-0.00030517578125,4351.89008451,23.2428887999
112,-0.000286102294922,4351.89008451,23.2457958996
113,-0.000267028808594,4361.92904555,23.2428887999
114,-0.000324249267578,4361.92904555,23.2428887999
115,-0.00030517578125,4361.92904555,23.2428887999
116,-0.00030517578125,4361.92904555,23.2414352425
117,-0.00030517578125,4361.92904555,23.2428887999
118,-0.00030517578125,4366.94852608,23.2443423523
119,-0.00030517578125,4366.94852608,23.2428887999
120,-0.000267028808594,4366.94852608,23.2428887999
121,-0.000286102294922,4366.94852608,23.2428887999
122,-0.000286102294922,4366.94852608,23.2399816801
123,-0.000324249267578,4366.94852608,23.2414352425
124,-0.000324249267578,4366.94852608,23.2457958996
