"Latest: Time (s)","Latest: Current (A)","Latest: Temperature (°C)","Latest: Oxygen Gas (ppm)"
0,-0.000705718994141,23.5828889738,4130.40000727
1,-0.000724792480469,23.5843414277,4141.24095492
2,-0.000743865966797,23.5814365155,4135.8204811
3,-0.000743865966797,23.5814365155,4141.24095492
4,-0.000743865966797,23.5828889738,4162.92285023
5,-0.000724792480469,23.5799840529,4162.92285023
6,-0.000705718994141,23.5843414277,4152.08190258
7,-0.000686645507813,23.5799840529,4162.92285023
8,-0.000762939453125,23.5828889738,4168.34332405
9,-0.000705718994141,23.5828889738,4184.60474553
10,-0.000724792480469,23.5828889738,4190.02521936
11,-0.000724792480469,23.5814365155,4184.60474553
12,-0.000724792480469,23.5799840529,4195.44569319
13,-0.000705718994141,23.5814365155,4195.44569319
14,-0.000705718994141,23.5814365155,4217.12758849
15,-0.000705718994141,23.5814365155,4222.54806232
16,-0.000724792480469,23.5843414277,4233.38900997
17,-0.000686645507813,23.5727216742,4217.12758849
18,-0.000705718994141,23.5814365155,4238.8094838
19,-0.000724792480469,23.5785315859,4233.38900997
20,-0.000724792480469,23.5828889738,4249.65043145
21,-0.000724792480469,23.5770791145,4249.65043145
22,-0.000743865966797,23.5828889738,4271.33232675
23,-0.000705718994141,23.5785315859,4260.4913791
24,-0.000724792480469,23.5756266388,4282.17327441
25,-0.000724792480469,23.5785315859,4260.4913791
26,-0.000724792480469,23.5785315859,4276.75280058
27,-0.000743865966797,23.5756266388,4282.17327441
28,-0.000686645507813,23.5756266388,4287.59374823
29,-0.000705718994141,23.5785315859,4293.01422206
30,-0.000724792480469,23.5770791145,4293.01422206
31,-0.000705718994141,23.5756266388,4293.01422206
32,-0.000743865966797,23.5727216742,4293.01422206
33,-0.000724792480469,23.5756266388,4298.43469588
34,-0.000762939453125,23.5770791145,4303.85516971
35,-0.000686645507813,23.5727216742,4298.43469588
36,-0.000705718994141,23.5756266388,4303.85516971
37,-0.000705718994141,23.5741741586,4303.85516971
38,-0.000705718994141,23.5712691853,4309.27564354
39,-0.000724792480469,23.5741741586,4320.11659119
40,-0.000762939453125,23.5727216742,4320.11659119
41,-0.000705718994141,23.5727216742,4330.95753884
42,-0.000705718994141,23.5712691853,4341.79848649
43,-0.000724792480469,23.5712691853,4341.79848649
44,-0.000705718994141,23.5712691853,4347.21896032
45,-0.000724792480469,23.5712691853,4358.05990797
46,-0.000705718994141,23.5698166921,4358.05990797
47,-0.000762939453125,23.5654591861,4358.05990797
48,-0.000724792480469,23.5669116925,4358.05990797
49,-0.000762939453125,23.5698166921,4374.32132945
50,-0.000724792480469,23.5712691853,4374.32132945
51,-0.000724792480469,23.5683641945,4374.32132945
52,-0.000705718994141,23.5669116925,4374.32132945
53,-0.000724792480469,23.5683641945,4379.74180328
54,-0.000724792480469,23.5654591861,4374.32132945
55,-0.000724792480469,23.5698166921,4379.74180328
56,-0.000705718994141,23.5683641945,4379.74180328
57,-0.000724792480469,23.5654591861,4379.74180328
58,-0.000705718994141,23.5669116925,4374.32132945
59,-0.000705718994141,23.5640066753,4379.74180328
60,-0.000705718994141,23.5625541601,4379.74180328
61,-0.000724792480469,23.5625541601,4385.1622771
62,-0.000724792480469,23.5654591861,4379.74180328
63,-0.000743865966797,23.5596491166,4385.1622771
64,-0.000724792480469,23.5596491166,4385.1622771
65,-0.000724792480469,23.5596491166,4390.58275093
66,-0.000705718994141,23.5625541601,4401.42369858
67,-0.000705718994141,23.5581965883,4401.42369858
68,-0.000705718994141,23.5567440555,4401.42369858
69,-0.000686645507813,23.5596491166,4417.68512006
70,-0.000743865966797,23.5581965883,4417.68512006
71,-0.000705718994141,23.5552915183,4417.68512006
72,-0.000724792480469,23.5567440555,4423.10559389
73,-0.000743865966797,23.5538389767,4423.10559389
74,-0.000743865966797,23.5538389767,4428.52606771
75,-0.000724792480469,23.5523864307,4444.78748919
76,-0.000705718994141,23.5538389767,4439.36701537
77,-0.000686645507813,23.5523864307,4450.20796302
78,-0.000705718994141,23.5538389767,4450.20796302
79,-0.000743865966797,23.5538389767,4450.20796302
80,-0.000705718994141,23.5509338803,4455.62843684
81,-0.000743865966797,23.5538389767,4455.62843684
82,-0.000743865966797,23.5523864307,4466.4693845
83,-0.000724792480469,23.5494813255,4466.4693845
84,-0.000724792480469,23.5523864307,4466.4693845
85,-0.000724792480469,23.5480287662,4461.04891067
86,-0.000743865966797,23.5523864307,4466.4693845
87,-0.000724792480469,23.5480287662,4466.4693845
88,-0.000724792480469,23.5480287662,4466.4693845
89,-0.000743865966797,23.5480287662,4471.88985832
90,-0.000743865966797,23.5480287662,4477.31033215
91,-0.000724792480469,23.5436710619,4477.31033215
92,-0.000724792480469,23.5465762026,4471.88985832
93,-0.000705718994141,23.5451236344,4477.31033215
94,-0.000743865966797,23.5451236344,4471.88985832
95,-0.000705718994141,23.5436710619,4488.1512798
96,-0.000724792480469,23.5422184849,4493.57175363
97,-0.000762939453125,23.5393133177,4498.99222745
98,-0.000705718994141,23.5422184849,4493.57175363
99,-0.000724792480469,23.5465762026,4498.99222745
100,-0.000705718994141,23.5422184849,4509.83317511
101,-0.000724792480469,23.5451236344,4509.83317511
102,-0.000743865966797,23.5436710619,4509.83317511
103,-0.000686645507813,23.5422184849,4531.51507041
104,-0.000743865966797,23.5393133177,4520.67412276
105,-0.000705718994141,23.5393133177,4536.93554424
106,-0.000724792480469,23.5378607274,4531.51507041
107,-0.000705718994141,23.5378607274,4531.51507041
108,-0.000724792480469,23.5378607274,4536.93554424
109,-0.000724792480469,23.5378607274,4547.77649189
110,-0.000705718994141,23.5364081327,4553.19696572
111,-0.000705718994141,23.5393133177,4547.77649189
112,-0.000724792480469,23.5378607274,4547.77649189
113,-0.000705718994141,23.5364081327,4547.77649189
114,-0.000705718994141,23.5364081327,4547.77649189
115,-0.000743865966797,23.5364081327,4553.19696572
116,-0.000667572021484,23.5335029299,4558.61743954
117,-0.000724792480469,23.5349555335,4553.19696572
118,-0.000705718994141,23.5349555335,4553.19696572
119,-0.000724792480469,23.5349555335,4558.61743954
120,-0.000724792480469,23.5364081327,4569.4583872
121,-0.000686645507813,23.5349555335,4558.61743954
122,-0.000743865966797,23.5364081327,4569.4583872
123,-0.000724792480469,23.5364081327,4564.03791337
124,-0.000705718994141,23.5291450922,4558.61743954
125,-0.000724792480469,23.5305977092,4564.03791337
126,-0.000705718994141,23.5335029299,4574.87886102
127,-0.000705718994141,23.5335029299,4580.29933485
128,-0.000705718994141,23.5305977092,4585.71980867
129,-0.000762939453125,23.5349555335,4596.56075633
130,-0.000724792480469,23.5335029299,4580.29933485
131,-0.000743865966797,23.5335029299,4607.40170398
132,-0.000686645507813,23.5305977092,4591.1402825
133,-0.000705718994141,23.5305977092,4607.40170398
134,-0.000705718994141,23.5291450922,4596.56075633
135,-0.000724792480469,23.5305977092,4618.24265163
136,-0.000724792480469,23.5305977092,4601.98123015
137,-0.000743865966797,23.5276924708,4618.24265163
138,-0.000705718994141,23.5276924708,4618.24265163
139,-0.000705718994141,23.5276924708,4618.24265163
140,-0.000724792480469,23.5291450922,4634.50407311
141,-0.000724792480469,23.5247872144,4629.08359928
142,-0.000724792480469,23.5247872144,4639.92454694
143,-0.000724792480469,23.5233345796,4645.34502076
144,-0.000743865966797,23.5262398448,4656.18596842
145,-0.000724792480469,23.5218819402,4645.34502076
146,-0.000705718994141,23.5247872144,4650.76549459
147,-0.000705718994141,23.5247872144,4667.02691607
148,-0.000724792480469,23.5247872144,4656.18596842
149,-0.000743865966797,23.5218819402,4661.60644224
150,-0.000762939453125,23.5218819402,4672.44738989
151,-0.000724792480469,23.5218819402,4661.60644224
152,-0.000724792480469,23.5204292964,4656.18596842
153,-0.000686645507813,23.5233345796,4667.02691607
154,-0.000743865966797,23.5204292964,4672.44738989
155,-0.000724792480469,23.5218819402,4677.86786372
156,-0.000724792480469,23.5218819402,4694.1292852
157,-0.000724792480469,23.5189766481,4677.86786372
158,-0.000705718994141,23.516071338,4688.70881137
159,-0.000743865966797,23.516071338,4677.86786372
160,-0.000762939453125,23.5204292964,4694.1292852
161,-0.000743865966797,23.5175239953,4710.39070668
162,-0.000724792480469,23.516071338,4699.54975903
163,-0.000743865966797,23.5146186763,4699.54975903
164,-0.000724792480469,23.516071338,4688.70881137
165,-0.000724792480469,23.51316601,4704.97023285
166,-0.000724792480469,23.5146186763,4704.97023285
167,-0.000724792480469,23.5117133393,4710.39070668
168,-0.000724792480469,23.51316601,4710.39070668
169,-0.000762939453125,23.5117133393,4710.39070668
170,-0.000762939453125,23.51316601,4721.23165433
171,-0.000724792480469,23.510260664,4715.8111805
172,-0.000724792480469,23.5073553001,4710.39070668
173,-0.000762939453125,23.5073553001,4721.23165433
174,-0.000724792480469,23.5059026113,4715.8111805
175,-0.000705718994141,23.5088079843,4715.8111805
176,-0.000724792480469,23.5088079843,4721.23165433
177,-0.000705718994141,23.5044499181,4721.23165433
178,-0.000724792480469,23.5073553001,4715.8111805
179,-0.000705718994141,23.501544518,4721.23165433
180,-0.000724792480469,23.5059026113,4721.23165433
181,-0.000686645507813,23.5059026113,4721.23165433
182,-0.000724792480469,23.5029972203,4721.23165433
183,-0.000724792480469,23.501544518,4721.23165433
184,-0.000724792480469,23.5029972203,4721.23165433
185,-0.000743865966797,23.5044499181,4721.23165433
186,-0.000724792480469,23.4986390999,4721.23165433
187,-0.000724792480469,23.5000918112,4721.23165433
188,-0.000724792480469,23.5000918112,4721.23165433
189,-0.000705718994141,23.497186384,4721.23165433
190,-0.000724792480469,23.497186384,4721.23165433
191,-0.000762939453125,23.4913754753,4721.23165433
192,-0.000724792480469,23.5000918112,4726.65212816
193,-0.000743865966797,23.4957336636,4726.65212816
194,-0.000724792480469,23.4942809387,4726.65212816
195,-0.000743865966797,23.4942809387,4726.65212816
196,-0.000686645507813,23.4899227368,4726.65212816
197,-0.000724792480469,23.4942809387,4726.65212816
198,-0.000743865966797,23.4942809387,4721.23165433
199,-0.000724792480469,23.4899227368,4721.23165433
200,-0.000705718994141,23.4899227368,4726.65212816
201,-0.000705718994141,23.4884699938,4726.65212816
202,-0.000705718994141,23.4884699938,4726.65212816
203,-0.000705718994141,23.4884699938,4726.65212816
204,-0.000724792480469,23.4884699938,4737.49307581
205,-0.000762939453125,23.4870172462,4732.07260198
206,-0.000724792480469,23.4841117373,4737.49307581
207,-0.000705718994141,23.4884699938,4748.33402346
208,-0.000743865966797,23.4841117373,4742.91354963
209,-0.000743865966797,23.4826589761,4737.49307581
210,-0.000762939453125,23.485564494,4748.33402346
211,-0.000743865966797,23.4826589761,4759.17497111
212,-0.000743865966797,23.4826589761,4753.75449729
213,-0.000724792480469,23.4826589761,4742.91354963
214,-0.000724792480469,23.4797534399,4748.33402346
215,-0.000724792480469,23.4768478855,4753.75449729
216,-0.000743865966797,23.478300665,4764.59544494
217,-0.000705718994141,23.4753951015,4764.59544494
218,-0.000705718994141,23.4812062103,4748.33402346
219,-0.000705718994141,23.4753951015,4764.59544494
220,-0.000743865966797,23.4753951015,4764.59544494
221,-0.000762939453125,23.4753951015,4764.59544494
222,-0.000686645507813,23.4739423129,4759.17497111
223,-0.000705718994141,23.4739423129,4770.01591877
224,-0.000724792480469,23.4739423129,4775.43639259
225,-0.000724792480469,23.4710367219,4770.01591877
226,-0.000724792480469,23.4739423129,4786.27734024
227,-0.000743865966797,23.4710367219,4780.85686642
228,-0.000743865966797,23.4695839195,4780.85686642
229,-0.000705718994141,23.4695839195,4775.43639259
230,-0.000724792480469,23.4695839195,4786.27734024
231,-0.000705718994141,23.4666783011,4780.85686642
232,-0.000705718994141,23.4681311126,4786.27734024
233,-0.000743865966797,23.4710367219,4780.85686642
234,-0.000743865966797,23.4666783011,4797.1182879
235,-0.000724792480469,23.465225485,4797.1182879
236,-0.000743865966797,23.4666783011,4791.69781407
237,-0.000724792480469,23.465225485,4791.69781407
238,-0.000724792480469,23.4666783011,4786.27734024
239,-0.000705718994141,23.4637726643,4791.69781407
240,-0.000705718994141,23.4637726643,4797.1182879
241,-0.000724792480469,23.465225485,4786.27734024
242,-0.000705718994141,23.465225485,4797.1182879
243,-0.000686645507813,23.462319839,4797.1182879
244,-0.000705718994141,23.465225485,4802.53876172
245,-0.000705718994141,23.4594141746,4797.1182879
246,-0.000724792480469,23.4608670091,4802.53876172
247,-0.000743865966797,23.4608670091,4802.53876172
248,-0.000743865966797,23.462319839,4807.95923555
249,-0.000724792480469,23.4579613356,4807.95923555
250,-0.000724792480469,23.4579613356,4807.95923555
251,-0.000743865966797,23.4594141746,4807.95923555
252,-0.000705718994141,23.4594141746,4807.95923555
253,-0.000743865966797,23.4579613356,4802.53876172
254,-0.000743865966797,23.4565084919,4807.95923555
255,-0.000724792480469,23.4550556436,4807.95923555
256,-0.000743865966797,23.4536027907,4807.95923555
257,-0.000743865966797,23.4550556436,4807.95923555
258,-0.000743865966797,23.4550556436,4813.37970938
259,-0.000705718994141,23.4521499331,4807.95923555
260,-0.000724792480469,23.450697071,4807.95923555
261,-0.000743865966797,23.4521499331,4807.95923555
262,-0.000705718994141,23.4521499331,4813.37970938
263,-0.000762939453125,23.4492442042,4813.37970938
264,-0.000743865966797,23.450697071,4813.37970938
265,-0.000743865966797,23.450697071,4813.37970938
266,-0.000743865966797,23.4492442042,4813.37970938
267,-0.000724792480469,23.450697071,4824.22065703
268,-0.000762939453125,23.4521499331,4824.22065703
269,-0.000724792480469,23.4492442042,4818.8001832
270,-0.000743865966797,23.4492442042,4824.22065703
271,-0.000724792480469,23.4492442042,4818.8001832
272,-0.000724792480469,23.4477913329,4818.8001832
273,-0.000743865966797,23.4492442042,4829.64113085
274,-0.000724792480469,23.4463384568,4813.37970938
275,-0.000705718994141,23.4448855762,4818.8001832
276,-0.000667572021484,23.4448855762,4813.37970938
277,-0.000724792480469,23.4463384568,4829.64113085
278,-0.000724792480469,23.4434326909,4824.22065703
279,-0.000705718994141,23.441979801,4818.8001832
280,-0.000743865966797,23.4463384568,4829.64113085
281,-0.000724792480469,23.4448855762,4824.22065703
282,-0.000705718994141,23.4434326909,4829.64113085
283,-0.000762939453125,23.4434326909,4824.22065703
284,-0.000724792480469,23.441979801,4813.37970938
285,-0.000724792480469,23.4434326909,4813.37970938
286,-0.000705718994141,23.4434326909,4824.22065703
287,-0.000724792480469,23.441979801,4835.06160468
288,-0.000705718994141,23.4405269065,4829.64113085
289,-0.000705718994141,23.4390740073,4829.64113085
290,-0.000724792480469,23.4390740073,4845.90255233
291,-0.000743865966797,23.4405269065,4851.32302616
292,-0.000724792480469,23.4376211035,4835.06160468
293,-0.000724792480469,23.4405269065,4835.06160468
294,-0.000743865966797,23.441979801,4840.48207851
295,-0.000724792480469,23.4376211035,4835.06160468
296,-0.000724792480469,23.4390740073,4856.74349999
297,-0.000724792480469,23.4390740073,4845.90255233
298,-0.000743865966797,23.4405269065,4845.90255233
299,-0.000705718994141,23.4347152819,4845.90255233
300,-0.000743865966797,23.4347152819,4851.32302616
301,-0.000705718994141,23.4347152819,4856.74349999
302,-0.000762939453125,23.4318094417,4851.32302616
303,-0.000724792480469,23.436168195,4851.32302616
304,-0.000724792480469,23.4376211035,4873.00492146
305,-0.000724792480469,23.4318094417,4851.32302616
306,-0.000705718994141,23.4332623642,4856.74349999
307,-0.000705718994141,23.4318094417,4851.32302616
308,-0.000762939453125,23.4318094417,4851.32302616
309,-0.000743865966797,23.4318094417,4851.32302616
310,-0.000705718994141,23.4332623642,4873.00492146
311,-0.000724792480469,23.4318094417,4867.58444764
312,-0.000705718994141,23.4303565147,4862.16397381
313,-0.000724792480469,23.4245447597,4862.16397381
314,-0.000743865966797,23.4303565147,4873.00492146
315,-0.000705718994141,23.4303565147,4867.58444764
316,-0.000762939453125,23.4289035829,4862.16397381
317,-0.000705718994141,23.4216388542,4840.48207851
318,-0.000724792480469,23.4289035829,4862.16397381
319,-0.000724792480469,23.4201858944,4856.74349999
320,-0.000743865966797,23.4245447597,4873.00492146
321,-0.000762939453125,23.4245447597,4867.58444764
322,-0.000743865966797,23.4245447597,4873.00492146
323,-0.000705718994141,23.4216388542,4873.00492146
324,-0.000724792480469,23.41873293,4862.16397381
325,-0.000724792480469,23.4201858944,4856.74349999
326,-0.000743865966797,23.4230918093,4867.58444764
327,-0.000724792480469,23.4216388542,4873.00492146
328,-0.000724792480469,23.41873293,4883.84586912
329,-0.000762939453125,23.4201858944,4873.00492146
330,-0.000724792480469,23.41873293,4878.42539529
331,-0.000724792480469,23.4172799609,4889.26634294
332,-0.000743865966797,23.4143740085,4894.68681677
333,-0.000762939453125,23.4143740085,4889.26634294
334,-0.000743865966797,23.4143740085,4878.42539529
335,-0.000705718994141,23.4100150449,4883.84586912
336,-0.000686645507813,23.4100150449,4867.58444764
337,-0.000724792480469,23.4114680375,4883.84586912
338,-0.000724792480469,23.4129210253,4889.26634294
339,-0.000743865966797,23.4129210253,4894.68681677
340,-0.000743865966797,23.4114680375,4894.68681677
341,-0.000686645507813,23.4085620476,4889.26634294
342,-0.000743865966797,23.4129210253,4905.52776442
343,-0.000743865966797,23.4071090456,4878.42539529
344,-0.000724792480469,23.4100150449,4894.68681677
345,-0.000724792480469,23.4071090456,4883.84586912
346,-0.000686645507813,23.4042030275,4873.00492146
347,-0.000724792480469,23.4085620476,4900.1072906
348,-0.000724792480469,23.4027500113,4878.42539529
349,-0.000743865966797,23.4042030275,4883.84586912
350,-0.000724792480469,23.4056560389,4889.26634294
351,-0.000743865966797,23.4027500113,4900.1072906
352,-0.000743865966797,23.4027500113,4894.68681677
