"Latest: Time (s)","Latest: Oxygen Gas (ppm)","Latest: Current (A)","Latest: Temperature (°C)"
0,3845.29375384,-0.000553131103516,24.4870404244
1,3850.40038505,-0.000572204589844,24.492841615
2,3850.40038505,-0.000572204589844,24.492841615
3,3835.08049141,-0.000534057617188,24.4884907259
4,3840.18712262,-0.000553131103516,24.4870404244
5,3850.40038505,-0.000572204589844,24.4942919063
6,3850.40038505,-0.000572204589844,24.4899410248
7,3855.50701627,-0.000572204589844,24.4986427649
8,3850.40038505,-0.000553131103516,24.4855901203
9,3855.50701627,-0.000572204589844,24.500093046
10,3860.61364748,-0.000572204589844,24.4971924812
11,3850.40038505,-0.000534057617188,24.4884907259
12,3850.40038505,-0.000553131103516,24.4913913212
13,3845.29375384,-0.000553131103516,24.492841615
14,3850.40038505,-0.000534057617188,24.4884907259
15,3886.14680356,-0.000572204589844,24.5029936005
16,3911.67995964,-0.000553131103516,24.495742195
17,3870.82690992,-0.000534057617188,24.4899410248
18,3855.50701627,-0.000553131103516,24.4884907259
19,3916.78659085,-0.000553131103516,24.4971924812
20,3921.89322207,-0.000572204589844,24.500093046
21,3886.14680356,-0.000534057617188,24.4884907259
22,3870.82690992,-0.000553131103516,24.4884907259
23,3926.99985328,-0.000572204589844,24.5015433245
24,3932.1064845,-0.000572204589844,24.4942919063
25,3901.46669721,-0.000534057617188,24.4884907259
26,3911.67995964,-0.000553131103516,24.4870404244
27,3932.1064845,-0.000553131103516,24.4913913212
28,3921.89322207,-0.000553131103516,24.4870404244
29,3921.89322207,-0.000553131103516,24.4855901203
30,3926.99985328,-0.000553131103516,24.4870404244
31,3942.31974693,-0.000553131103516,24.4913913212
32,3937.21311571,-0.000534057617188,24.4870404244
33,3932.1064845,-0.000572204589844,24.492841615
34,3937.21311571,-0.000572204589844,24.4913913212
35,3932.1064845,-0.000553131103516,24.4841398137
36,3942.31974693,-0.000591278076172,24.4913913212
37,3937.21311571,-0.000572204589844,24.4870404244
38,3942.31974693,-0.000572204589844,24.4884907259
39,3978.06616544,-0.000553131103516,24.4855901203
40,4003.59932151,-0.000572204589844,24.4884907259
41,3972.95953422,-0.000572204589844,24.4884907259
42,4024.02584637,-0.000572204589844,24.4870404244
43,4013.81258394,-0.000572204589844,24.4841398137
44,4013.81258394,-0.000572204589844,24.4855901203
45,4013.81258394,-0.000553131103516,24.4797888784
46,3993.38605908,-0.000553131103516,24.4754379199
47,4049.55900245,-0.000572204589844,24.4841398137
48,4064.8788961,-0.000572204589844,24.4812391927
49,3998.4926903,-0.000534057617188,24.4739875952
50,4003.59932151,-0.000553131103516,24.4725372679
51,4018.91921516,-0.000572204589844,24.4797888784
52,4034.23910881,-0.000572204589844,24.4768882419
53,4049.55900245,-0.000553131103516,24.4565834963
54,4034.23910881,-0.000572204589844,24.4739875952
55,4034.23910881,-0.000534057617188,24.4551331378
56,4039.34574002,-0.000553131103516,24.4536827766
57,4059.77226488,-0.000553131103516,24.4493316773
58,4090.41205217,-0.000572204589844,24.4565834963
59,4090.41205217,-0.000572204589844,24.4667359329
60,4059.77226488,-0.000553131103516,24.4522324128
61,4090.41205217,-0.000572204589844,24.4609345563
62,4085.30542096,-0.000572204589844,24.4580338523
63,4090.41205217,-0.000572204589844,24.4522324128
64,4075.09215853,-0.000534057617188,24.4377286295
