"Latest: Time (s)","Latest: Oxygen Gas (ppm)","Latest: Current (A)","Latest: Temperature (°C)"
0,3974.12881488,-0.0013542175293,24.6639591494
1,3984.43783983,-0.0013542175293,24.6596091057
2,3999.90137725,-0.0013542175293,24.6581590866
3,4020.51942714,-0.00137329101563,24.6567090654
4,4020.51942714,-0.00133514404297,24.6538090162
5,4020.51942714,-0.00139236450195,24.6523589883
6,4020.51942714,-0.0013542175293,24.6538090162
7,4056.60101445,-0.00139236450195,24.648008891
8,4051.44650198,-0.00139236450195,24.6451088149
9,4061.75552693,-0.00137329101563,24.6422087298
10,4061.75552693,-0.00141143798828,24.6407586839
11,4066.9100394,-0.00143051147461,24.6364085325
12,4061.75552693,-0.00141143798828,24.6349584775
13,4066.9100394,-0.00139236450195,24.6320583607
14,4066.9100394,-0.00139236450195,24.6291582347
15,4066.9100394,-0.00137329101563,24.6233579554
16,4066.9100394,-0.0013542175293,24.6262580996
17,4082.37357682,-0.00137329101563,24.6175576394
18,4087.52808929,-0.00137329101563,24.6175576394
19,4087.52808929,-0.00141143798828,24.6117572864
20,4102.99162671,-0.00141143798828,24.6059568964
21,4087.52808929,-0.00139236450195,24.6059568964
22,4118.45516413,-0.00139236450195,24.6059568964
23,4133.91870155,-0.00139236450195,24.600156469
24,4128.76418908,-0.0013542175293,24.595806124
25,4144.2277265,-0.00139236450195,24.5914557578
26,4144.2277265,-0.0013542175293,24.5885555018
27,4144.2277265,-0.0013542175293,24.5871053703
28,4149.38223897,-0.0013542175293,24.5813048206
29,4149.38223897,-0.0013542175293,24.5784045315
30,4159.69126392,-0.0013542175293,24.5711537669
31,4159.69126392,-0.0013542175293,24.5682534443
32,4170.00028887,-0.0013542175293,24.5624527702
33,4185.46382629,-0.0013542175293,24.5581022393
34,4200.92736371,-0.00139236450195,24.5581022393
35,4206.08187618,-0.00139236450195,24.549401112
36,4216.39090113,-0.00139236450195,24.549401112
37,4211.23638866,-0.0013542175293,24.5465007167
38,4231.85443855,-0.00137329101563,24.5406998968
39,4247.31797597,-0.00137329101563,24.5392496857
40,4242.1634635,-0.0013542175293,24.5377994721
41,4273.09053834,-0.0013542175293,24.5377994721
42,4267.93602586,-0.00131607055664,24.536349256
43,4288.55407576,-0.00137329101563,24.5319985931
44,4304.01761318,-0.0013542175293,24.5261976745
45,4298.8631007,-0.0013542175293,24.5276479079
46,4304.01761318,-0.00137329101563,24.5218469595
47,4314.32663812,-0.00139236450195,24.5160459712
48,4314.32663812,-0.00139236450195,24.5102449427
49,4319.4811506,-0.00141143798828,24.504443874
50,4324.63566307,-0.00139236450195,24.500093046
51,4334.94468802,-0.00139236450195,24.495742195
52,4340.09920049,-0.00141143798828,24.4913913212
53,4345.25371296,-0.00139236450195,24.4899410248
54,4365.87176286,-0.00137329101563,24.4884907259
55,4371.02627533,-0.00137329101563,24.4870404244
56,4386.48981275,-0.00139236450195,24.4826895045
57,4381.33530028,-0.00137329101563,24.4768882419
58,4391.64432522,-0.00133514404297,24.4754379199
59,4386.48981275,-0.0013542175293,24.4725372679
60,4396.7988377,-0.0013542175293,24.4638352498
61,4396.7988377,-0.00137329101563,24.4652855927
62,4396.7988377,-0.0013542175293,24.4623849043
63,4396.7988377,-0.00137329101563,24.4536827766
64,4401.95335017,-0.00137329101563,24.4536827766
65,4396.7988377,-0.0013542175293,24.4493316773
66,4401.95335017,-0.0013542175293,24.4493316773
67,4412.26237512,-0.0013542175293,24.4493316773
68,4407.10786264,-0.0013542175293,24.4449805542
69,4422.57140006,-0.00133514404297,24.4449805542
70,4427.72591254,-0.00137329101563,24.4435301746
71,4458.65298738,-0.00139236450195,24.4420797923
72,4463.80749985,-0.00139236450195,24.4391790197
73,4468.96201232,-0.00137329101563,24.4362782366
74,4474.1165248,-0.00137329101563,24.4333774428
75,4479.27103727,-0.0013542175293,24.434827841
76,4479.27103727,-0.00133514404297,24.4304766383
77,4479.27103727,-0.00139236450195,24.4246749971
78,4484.42554974,-0.00139236450195,24.4232245802
79,4484.42554974,-0.00137329101563,24.4203237381
80,4489.58006222,-0.00133514404297,24.4174228853
81,4510.19811211,-0.00137329101563,24.4145220217
82,4520.50713706,-0.00137329101563,24.4116211472
83,4525.66164953,-0.00137329101563,24.4043689136
84,4535.97067448,-0.0013542175293,24.4000175408
85,4546.27969943,-0.00137329101563,24.3985670777
86,4551.4342119,-0.00137329101563,24.3956661433
87,4556.58872437,-0.00137329101563,24.3898642416
88,4556.58872437,-0.00137329101563,24.3855127864
89,4561.74323685,-0.00137329101563,24.3826118025
90,4566.89774932,-0.0013542175293,24.3826118025
91,4561.74323685,-0.0013542175293,24.3811613064
92,4566.89774932,-0.00133514404297,24.3797108075
93,4582.36128674,-0.0013542175293,24.3782603058
94,4587.51579921,-0.00137329101563,24.3768098014
95,4613.28836158,-0.0013542175293,24.3739087841
96,4608.13384911,-0.0013542175293,24.3739087841
97,4623.59738653,-0.0013542175293,24.3710077557
98,4639.06092395,-0.0013542175293,24.3695572374
99,4644.21543642,-0.00133514404297,24.3666561922
100,4664.83348631,-0.0013542175293,24.3608540684
101,4654.52446137,-0.0013542175293,24.3608540684
102,4664.83348631,-0.00133514404297,24.3565024459
103,4685.45153621,-0.0013542175293,24.3536013502
104,4695.76056115,-0.0013542175293,24.3507002432
105,4711.22409857,-0.00139236450195,24.3521507981
106,4716.37861105,-0.00137329101563,24.3463485614
107,4721.53312352,-0.0013542175293,24.3463485614
108,4721.53312352,-0.00137329101563,24.3448979951
109,4721.53312352,-0.00137329101563,24.3405462793
110,4726.68763599,-0.00137329101563,24.3361945377
111,4736.99666094,-0.0013542175293,24.3289415779
112,4742.15117341,-0.00139236450195,24.3303921756
113,4752.46019836,-0.00137329101563,24.3231391584
114,4747.30568589,-0.00137329101563,24.3187873134
115,4767.92373578,-0.0013542175293,24.3202379313
116,4783.3872732,-0.00139236450195,24.3144354424
117,4778.23276073,-0.0013542175293,24.3144354424
118,4788.54178567,-0.0013542175293,24.3115341805
