"Latest: Time (s)","Latest: Current (A)","Latest: Temperature (°C)","Latest: Oxygen Gas (ppm)"
0,-0.000743865966797,25.5394656787,3848.53536831
1,-0.000762939453125,25.5336689202,3853.95584213
2,-0.000724792480469,25.5380164898,3859.37631596
3,-0.000743865966797,25.5365673005,3864.79678979
4,-0.000743865966797,25.5322197293,3870.21726361
5,-0.000762939453125,25.5322197293,3870.21726361
6,-0.000705718994141,25.5307705378,3886.47868509
7,-0.000743865966797,25.5293213459,3902.74010657
8,-0.000762939453125,25.5307705378,3913.58105422
9,-0.000743865966797,25.5278721534,3929.8424757
10,-0.000705718994141,25.5278721534,3935.26294953
11,-0.000724792480469,25.5264229603,3940.68342335
12,-0.000743865966797,25.5264229603,3967.78579248
13,-0.000724792480469,25.5249737668,3978.62674014
14,-0.000705718994141,25.5235245727,3978.62674014
15,-0.000743865966797,25.5249737668,3978.62674014
16,-0.000724792480469,25.5191769871,4005.72910927
17,-0.000762939453125,25.5177277908,4011.14958309
18,-0.000762939453125,25.5162785939,4021.99053075
19,-0.000724792480469,25.5177277908,4027.41100457
20,-0.000724792480469,25.5133801985,4032.8314784
21,-0.000743865966797,25.5162785939,4032.8314784
22,-0.000762939453125,25.5133801985,4043.67242605
23,-0.000762939453125,25.511931,4043.67242605
24,-0.000743865966797,25.5104818009,4049.09289988
25,-0.000724792480469,25.511931,4065.35432136
26,-0.000724792480469,25.5061342002,4065.35432136
27,-0.000743865966797,25.507583401,4081.61574283
28,-0.000724792480469,25.5032357969,4081.61574283
29,-0.000743865966797,25.5032357969,4097.87716431
30,-0.000705718994141,25.5046849988,4092.45669049
31,-0.000782012939453,25.5003373912,4108.71811197
32,-0.000782012939453,25.5003373912,4119.55905962
33,-0.000762939453125,25.4974389832,4114.13858579
34,-0.000724792480469,25.4959897783,4119.55905962
35,-0.000743865966797,25.4930913667,4119.55905962
36,-0.000743865966797,25.4930913667,4119.55905962
37,-0.000724792480469,25.49164216,4119.55905962
38,-0.000762939453125,25.4901929527,4119.55905962
39,-0.000724792480469,25.4901929527,4124.97953344
40,-0.000743865966797,25.4858453272,4119.55905962
41,-0.000743865966797,25.4858453272,4130.40000727
42,-0.000705718994141,25.4829469071,4135.8204811
43,-0.000705718994141,25.4785992723,4141.24095492
44,-0.000743865966797,25.4757008459,4146.66142875
45,-0.000762939453125,25.4771500594,4162.92285023
46,-0.000762939453125,25.4771500594,4184.60474553
47,-0.000724792480469,25.4684547689,4190.02521936
48,-0.000743865966797,25.4655563336,4195.44569319
49,-0.000743865966797,25.4684547689,4211.70711466
50,-0.000724792480469,25.4641071149,4211.70711466
51,-0.000705718994141,25.4626578956,4211.70711466
52,-0.000743865966797,25.4583102337,4233.38900997
53,-0.000762939453125,25.4583102337,4244.22995762
54,-0.000743865966797,25.4539625658,4244.22995762
55,-0.000762939453125,25.4525133418,4260.4913791
56,-0.000724792480469,25.4510641171,4260.4913791
57,-0.000724792480469,25.4481656657,4276.75280058
58,-0.000705718994141,25.446716439,4271.33232675
59,-0.000743865966797,25.446716439,4287.59374823
60,-0.000705718994141,25.4438179835,4293.01422206
61,-0.000724792480469,25.4438179835,4298.43469588
62,-0.000705718994141,25.4409195252,4298.43469588
63,-0.000762939453125,25.4380210641,4298.43469588
64,-0.000705718994141,25.4336733671,4303.85516971
65,-0.000724792480469,25.4365718324,4309.27564354
66,-0.000724792480469,25.4336733671,4309.27564354
67,-0.000705718994141,25.4307748988,4320.11659119
68,-0.000724792480469,25.4278764277,4325.53706501
69,-0.000705718994141,25.4307748988,4325.53706501
70,-0.000743865966797,25.4278764277,4347.21896032
71,-0.000724792480469,25.4278764277,4352.63943415
72,-0.000705718994141,25.4293256636,4363.4803818
73,-0.000724792480469,25.4235287155,4352.63943415
74,-0.000743865966797,25.4220794767,4352.63943415
75,-0.000743865966797,25.4206302371,4374.32132945
76,-0.000743865966797,25.4206302371,4374.32132945
77,-0.000743865966797,25.4220794767,4374.32132945
78,-0.000743865966797,25.4206302371,4379.74180328
79,-0.000743865966797,25.4177317557,4379.74180328
80,-0.000743865966797,25.4148332712,4379.74180328
81,-0.000724792480469,25.4133840279,4379.74180328
82,-0.000724792480469,25.4119347838,4379.74180328
83,-0.000724792480469,25.4119347838,4385.1622771
84,-0.000724792480469,25.410485539,4390.58275093
85,-0.000743865966797,25.4090362934,4385.1622771
86,-0.000724792480469,25.407587047,4390.58275093
