"Latest: Time (s)","Latest: Oxygen Gas (ppm)","Latest: Current (A)","Latest: Temperature (°C)"
0,3814.3389282,-0.00133514404297,25.3249786492
1,3809.18441573,-0.00133514404297,25.3322251129
2,3814.3389282,-0.0013542175293,25.3438194074
3,3809.18441573,-0.00137329101563,25.3481672531
4,3814.3389282,-0.00139236450195,25.3510658125
5,3819.49344068,-0.00137329101563,25.3554136449
6,3814.3389282,-0.00139236450195,25.3612107428
7,3819.49344068,-0.00141143798828,25.3641092865
8,3819.49344068,-0.0013542175293,25.3684570958
9,3819.49344068,-0.00139236450195,25.3742541631
10,3819.49344068,-0.00133514404297,25.3771526917
11,3819.49344068,-0.00137329101563,25.380051217
12,3814.3389282,-0.00141143798828,25.387297516
13,3819.49344068,-0.00143051147461,25.3901960299
14,3824.64795315,-0.00143051147461,25.3916452857
15,3819.49344068,-0.00143051147461,25.3901960299
16,3819.49344068,-0.00141143798828,25.3959930482
17,3819.49344068,-0.00141143798828,25.3988915526
18,3824.64795315,-0.00139236450195,25.3974423008
19,3824.64795315,-0.00144958496094,25.3988915526
20,3845.26600305,-0.00143051147461,25.3988915526
21,3840.11149057,-0.00143051147461,25.4017900538
22,3829.80246563,-0.00141143798828,25.4046885519
23,3850.42051552,-0.00141143798828,25.4061377999
24,3850.42051552,-0.00139236450195,25.410485539
25,3865.88405294,-0.00141143798828,25.4046885519
26,3855.57502799,-0.00141143798828,25.407587047
27,3876.19307789,-0.00139236450195,25.4032393033
28,3886.50210283,-0.00139236450195,25.407587047
29,3886.50210283,-0.00141143798828,25.4061377999
30,3886.50210283,-0.00143051147461,25.407587047
31,3891.65661531,-0.00141143798828,25.4090362934
32,3901.96564025,-0.00143051147461,25.4061377999
33,3896.81112778,-0.00143051147461,25.4032393033
34,3901.96564025,-0.00137329101563,25.4061377999
35,3901.96564025,-0.00141143798828,25.4046885519
36,3901.96564025,-0.00137329101563,25.4046885519
37,3901.96564025,-0.00139236450195,25.4061377999
38,3912.2746652,-0.00139236450195,25.4046885519
39,3912.2746652,-0.0013542175293,25.4046885519
40,3927.73820262,-0.00137329101563,25.4032393033
41,3938.04722757,-0.00141143798828,25.4003408036
42,3943.20174004,-0.00141143798828,25.4003408036
43,3953.51076499,-0.00141143798828,25.3988915526
44,3968.97430241,-0.00144958496094,25.3974423008
45,3968.97430241,-0.00141143798828,25.3974423008
46,3974.12881488,-0.00141143798828,25.3959930482
47,3968.97430241,-0.00141143798828,25.3945437948
48,3989.5923523,-0.00139236450195,25.3901960299
49,3989.5923523,-0.00139236450195,25.3916452857
50,3989.5923523,-0.00141143798828,25.3843989988
51,4010.21040219,-0.00143051147461,25.380051217
52,4020.51942714,-0.00139236450195,25.382949739
53,4020.51942714,-0.00141143798828,25.3771526917
54,4030.82845209,-0.00137329101563,25.3771526917
55,4035.98296456,-0.00139236450195,25.3757034278
56,4046.29198951,-0.00143051147461,25.3699063639
57,4051.44650198,-0.00141143798828,25.3699063639
58,4051.44650198,-0.0013542175293,25.3655585572
59,4056.60101445,-0.00143051147461,25.3583121956
60,4061.75552693,-0.00141143798828,25.3568629207
61,4061.75552693,-0.00137329101563,25.3554136449
62,4061.75552693,-0.00137329101563,25.3496165332
63,4066.9100394,-0.00141143798828,25.3452686902
64,4066.9100394,-0.0013542175293,25.3423701237
65,4061.75552693,-0.00139236450195,25.3365729801
66,4066.9100394,-0.00139236450195,25.3293265302
67,4066.9100394,-0.00141143798828,25.3206307599
68,4072.06455187,-0.00139236450195,25.313384259
69,4066.9100394,-0.00141143798828,25.313384259
70,4066.9100394,-0.00139236450195,25.3075870411
71,4077.21906435,-0.00137329101563,25.3046884265
72,4072.06455187,-0.0013542175293,25.2988911855
73,4082.37357682,-0.00137329101563,25.2945432445
74,4092.68260177,-0.00139236450195,25.2916446123
75,4097.83711424,-0.00139236450195,25.2858473359
76,4108.14613919,-0.00137329101563,25.2843980143
77,4118.45516413,-0.00139236450195,25.2829486917
78,4118.45516413,-0.00139236450195,25.2800500434
79,4139.07321403,-0.00139236450195,25.272803405
80,4133.91870155,-0.00143051147461,25.2713540742
81,4144.2277265,-0.00139236450195,25.2655567409
82,4149.38223897,-0.00143051147461,25.2583100507
83,4149.38223897,-0.00143051147461,25.251063334
84,4149.38223897,-0.00141143798828,25.2409178857
85,4149.38223897,-0.00139236450195,25.2394685316
86,4154.53675145,-0.00141143798828,25.2365698201
87,4149.38223897,-0.00137329101563,25.2322217446
88,4154.53675145,-0.00139236450195,25.2264242952
89,4164.84577639,-0.00141143798828,25.22497493
90,4164.84577639,-0.00141143798828,25.2206268278
91,4159.69126392,-0.00137329101563,25.2162787154
92,4180.30931382,-0.00141143798828,25.2119305928
93,4180.30931382,-0.00141143798828,25.2090318386
94,4200.92736371,-0.00143051147461,25.2032343164
95,4200.92736371,-0.00141143798828,25.201784933
96,4216.39090113,-0.00137329101563,25.201784933
97,4221.5454136,-0.00141143798828,25.1930886078
98,4206.08187618,-0.00137329101563,25.1945379982
99,4211.23638866,-0.00137329101563,25.1887404292
100,4221.5454136,-0.00137329101563,25.187291034
101,4226.69992608,-0.00139236450195,25.1843922399
102,4242.1634635,-0.00141143798828,25.1771452337
103,4237.00895102,-0.0013542175293,25.1756958288
104,4237.00895102,-0.00137329101563,25.1713476069
105,4262.78151339,-0.00141143798828,25.1641005458
106,4267.93602586,-0.00139236450195,25.1626511299
107,4262.78151339,-0.00137329101563,25.1583028746
108,4283.39956328,-0.00137329101563,25.1496063303
109,4283.39956328,-0.00139236450195,25.1481569018
110,4293.70858823,-0.00139236450195,25.1394603041
111,4309.17212565,-0.00143051147461,25.1307636601
112,4309.17212565,-0.00141143798828,25.1278647683
113,4309.17212565,-0.00143051147461,25.1264153205
114,4314.32663812,-0.00143051147461,25.1249658714
115,4314.32663812,-0.00141143798828,25.120617516
116,4314.32663812,-0.00137329101563,25.1191680616
117,4314.32663812,-0.00139236450195,25.1177186058
118,4319.4811506,-0.00139236450195,25.110471307
119,4319.4811506,-0.00137329101563,25.1061229116
120,4324.63566307,-0.00139236450195,25.101774504
121,4334.94468802,-0.00139236450195,25.1003250321
122,4350.40822544,-0.00141143798828,25.0945271308
123,4345.25371296,-0.00141143798828,25.0930776521
124,4345.25371296,-0.00141143798828,25.0858302375
125,4360.71725038,-0.00141143798828,25.0814817722
126,4365.87176286,-0.00137329101563,25.0800322809
127,4376.1807878,-0.00139236450195,25.0698858026
128,4381.33530028,-0.00141143798828,25.0626382755
129,4386.48981275,-0.0013542175293,25.0626382755
130,4391.64432522,-0.00141143798828,25.058289742
131,4391.64432522,-0.00139236450195,25.0539411955
132,4391.64432522,-0.00141143798828,25.0524916771
133,4391.64432522,-0.00139236450195,25.0466935889
134,4396.7988377,-0.00139236450195,25.0423450073
135,4391.64432522,-0.00137329101563,25.0379964124
136,4396.7988377,-0.00141143798828,25.0321982651
137,4396.7988377,-0.00143051147461,25.0278496389
138,4396.7988377,-0.00139236450195,25.0235009992
139,4396.7988377,-0.00141143798828,25.0220514496
140,4396.7988377,-0.00143051147461,25.016253236
141,4396.7988377,-0.00141143798828,25.01335412
142,4401.95335017,-0.00141143798828,25.0090054346
143,4407.10786264,-0.00139236450195,25.0046567353
144,4412.26237512,-0.00139236450195,25.0032071658
145,4417.41688759,-0.00141143798828,25.0032071658
146,4417.41688759,-0.00143051147461,25.0017575947
147,4417.41688759,-0.00141143798828,25.0032071658
148,4422.57140006,-0.00139236450195,24.9974088721
149,4438.03493748,-0.0013542175293,24.9945097159
150,4438.03493748,-0.00137329101563,24.9887113845
151,4463.80749985,-0.00137329101563,24.9858122094
152,4463.80749985,-0.00141143798828,24.9814634348
153,4463.80749985,-0.00139236450195,24.9785642438
154,4468.96201232,-0.00137329101563,24.9742154452
155,4474.1165248,-0.00139236450195,24.9698666321
156,4474.1165248,-0.00143051147461,24.964068192
157,4479.27103727,-0.00139236450195,24.9626185779
158,4479.27103727,-0.00141143798828,24.9495719773
159,4479.27103727,-0.00143051147461,24.9524712335
160,4484.42554974,-0.00139236450195,24.9481223468
161,4479.27103727,-0.00139236450195,24.9408741691
162,4479.27103727,-0.00139236450195,24.9394245286
163,4499.88908716,-0.00141143798828,24.93072665
164,4489.58006222,-0.00139236450195,24.93072665
165,4484.42554974,-0.00137329101563,24.9278273436
166,4505.04359964,-0.00141143798828,24.9234783713
167,4510.19811211,-0.00139236450195,24.9191293835
168,4505.04359964,-0.00139236450195,24.9162300498
169,4520.50713706,-0.00133514404297,24.9162300498
170,4520.50713706,-0.00143051147461,24.9133307092
171,4530.81616201,-0.00137329101563,24.9118810363
172,4530.81616201,-0.00139236450195,24.9075320072
173,4551.4342119,-0.00139236450195,24.9075320072
174,4556.58872437,-0.00139236450195,24.9046326458
175,4561.74323685,-0.00141143798828,24.8973842116
176,4561.74323685,-0.00139236450195,24.8973842116
177,4551.4342119,-0.00137329101563,24.89303513
178,4561.74323685,-0.00137329101563,24.8901357334
179,4561.74323685,-0.00139236450195,24.8814375011
180,4566.89774932,-0.00141143798828,24.878538076
181,4561.74323685,-0.00139236450195,24.8756386437
182,4566.89774932,-0.00139236450195,24.8741889249
183,4572.05226179,-0.00139236450195,24.8698397576
184,4587.51579921,-0.00141143798828,24.8611413738
185,4597.82482416,-0.00143051147461,24.862591109
186,4602.97933663,-0.00141143798828,24.8538926704
187,4602.97933663,-0.00139236450195,24.8538926704
188,4592.67031169,-0.00137329101563,24.8524429242
189,4608.13384911,-0.00141143798828,24.8495434263
190,4608.13384911,-0.00143051147461,24.8495434263
191,4628.751899,-0.00141143798828,24.8422946489
192,4618.44287405,-0.00137329101563,24.8408448878
193,4649.36994889,-0.00143051147461,24.8379453601
194,4649.36994889,-0.00143051147461,24.8335960544
195,4644.21543642,-0.00137329101563,24.8335960544
196,4644.21543642,-0.00137329101563,24.8321462821
197,4654.52446137,-0.00139236450195,24.8263471739
198,4659.67897384,-0.00139236450195,24.8248973921
199,4659.67897384,-0.0013542175293,24.8219978228
200,4675.14251126,-0.00139236450195,24.8205480353
201,4675.14251126,-0.00139236450195,24.8161986613
202,4685.45153621,-0.00137329101563,24.8161986613
203,4706.0695861,-0.00137329101563,24.8118492701
204,4700.91507363,-0.00141143798828,24.8103994692
205,4706.0695861,-0.0013542175293,24.8060500548
206,4711.22409857,-0.00141143798828,24.8046002461
207,4706.0695861,-0.00139236450195,24.801700623
208,4716.37861105,-0.00139236450195,24.798800992
209,4726.68763599,-0.00137329101563,24.794451531
210,4726.68763599,-0.00141143798828,24.7930017067
211,4721.53312352,-0.00143051147461,24.78720239
212,4726.68763599,-0.00137329101563,24.7886522221
213,4726.68763599,-0.00137329101563,24.7843027197
214,4726.68763599,-0.00139236450195,24.7770535095
215,4736.99666094,-0.00137329101563,24.7712541054
216,4736.99666094,-0.00143051147461,24.7698042494
217,4742.15117341,-0.00141143798828,24.7654546693
218,4752.46019836,-0.00141143798828,24.7640048052
219,4742.15117341,-0.00139236450195,24.7640048052
220,4752.46019836,-0.0013542175293,24.7596552008
221,4757.61471083,-0.00141143798828,24.7538556999
222,4767.92373578,-0.00143051147461,24.7538556999
223,4773.07824825,-0.00139236450195,24.7509559372
224,4773.07824825,-0.00143051147461,24.7480561663
225,4788.54178567,-0.0013542175293,24.7466062778
226,4788.54178567,-0.00139236450195,24.7466062778
227,4783.3872732,-0.00139236450195,24.7451563873
228,4793.69629815,-0.00139236450195,24.7408067032
229,4798.85081062,-0.00139236450195,24.7379069035
230,4804.00532309,-0.00139236450195,24.7364570006
231,4804.00532309,-0.00137329101563,24.7321072793
232,4804.00532309,-0.00141143798828,24.730657368
233,4804.00532309,-0.00139236450195,24.730657368
234,4804.00532309,-0.00139236450195,24.7263076217
235,4809.15983557,-0.00137329101563,24.7219578565
236,4809.15983557,-0.00141143798828,24.7205079306
237,4809.15983557,-0.00141143798828,24.7190580026
238,4809.15983557,-0.00139236450195,24.7161581402
239,4809.15983557,-0.00139236450195,24.7089084472
240,4809.15983557,-0.00137329101563,24.7089084472
241,4809.15983557,-0.00139236450195,24.7074585022
242,4809.15983557,-0.00139236450195,24.7045586059
243,4809.15983557,-0.00141143798828,24.6987587875
244,4814.31434804,-0.00137329101563,24.6944089012
245,4814.31434804,-0.00139236450195,24.6900589955
246,4819.46886051,-0.00141143798828,24.6871590476
247,4829.77788546,-0.00137329101563,24.6871590476
248,4824.62337299,-0.00139236450195,24.6842590909
249,4834.93239793,-0.00139236450195,24.6799091396
250,4829.77788546,-0.00139236450195,24.6755591687
251,4840.08691041,-0.00141143798828,24.674109174
252,4850.39593535,-0.00139236450195,24.674109174
253,4850.39593535,-0.00139236450195,24.6697591767
254,4855.55044783,-0.00139236450195,24.6668591674
255,4871.01398525,-0.00139236450195,24.6654091595
256,4886.47752267,-0.00139236450195,24.662509137
257,4881.3230102,-0.00141143798828,24.6596091057
258,4871.01398525,-0.00137329101563,24.6610591225
259,4881.3230102,-0.00137329101563,24.6567090654
260,4891.63203514,-0.00141143798828,24.6552590419
261,4886.47752267,-0.00141143798828,24.6538090162
262,4901.94106009,-0.00141143798828,24.6523589883
263,4896.78654762,-0.00141143798828,24.6494589257
264,4912.25008504,-0.00137329101563,24.648008891
265,4912.25008504,-0.00141143798828,24.6465588541
266,4927.71362246,-0.0013542175293,24.6436587735
267,4927.71362246,-0.00139236450195,24.6436587735
268,4938.0226474,-0.00139236450195,24.6378585852
269,4948.33167235,-0.00139236450195,24.6349584775
270,4943.17715988,-0.0013542175293,24.6364085325
271,4963.79520977,-0.00141143798828,24.6320583607
272,4963.79520977,-0.00143051147461,24.6306082988
273,4963.79520977,-0.00137329101563,24.6320583607
274,4953.48618482,-0.00139236450195,24.6262580996
275,4963.79520977,-0.00139236450195,24.6262580996
276,4968.94972224,-0.00141143798828,24.620457802
277,4974.10423472,-0.00139236450195,24.6190077218
278,4968.94972224,-0.00141143798828,24.620457802
279,4974.10423472,-0.0013542175293,24.6161075546
280,4974.10423472,-0.00137329101563,24.6132073781
281,4974.10423472,-0.00137329101563,24.6117572864
282,4974.10423472,-0.00137329101563,24.6117572864
283,4974.10423472,-0.00137329101563,24.6074069974
284,4974.10423472,-0.00139236450195,24.6059568964
285,4974.10423472,-0.00137329101563,24.6030566874
286,4984.41325966,-0.00137329101563,24.600156469
287,4979.25874719,-0.0013542175293,24.600156469
288,4994.72228461,-0.00143051147461,24.5871053703
289,5015.3403345,-0.00139236450195,24.590005631
290,4994.72228461,-0.00137329101563,24.5842051002
291,5010.18582203,-0.00137329101563,24.5827549616
292,5005.03130956,-0.00139236450195,24.5813048206
293,5020.49484698,-0.00139236450195,24.5798546772
294,5025.64935945,-0.00139236450195,24.5784045315
295,5030.80387192,-0.00137329101563,24.5711537669
296,5030.80387192,-0.00143051147461,24.5697036068
297,5035.9583844,-0.0013542175293,24.5697036068
298,5046.26740934,-0.00141143798828,24.5668032794
299,5051.42192182,-0.00139236450195,24.5624527702
300,5046.26740934,-0.00139236450195,24.5624527702
301,5051.42192182,-0.00137329101563,24.5610025957
302,5046.26740934,-0.00137329101563,24.5595524187
303,5051.42192182,-0.00137329101563,24.5523014975
304,5051.42192182,-0.00139236450195,24.5523014975
305,5061.73094676,-0.00139236450195,24.549401112
306,5056.57643429,-0.00143051147461,24.5450505154
307,5061.73094676,-0.00141143798828,24.5436003116
308,5061.73094676,-0.00143051147461,24.5436003116
309,5061.73094676,-0.00133514404297,24.5436003116
310,5066.88545924,-0.00139236450195,24.5406998968
311,5066.88545924,-0.0013542175293,24.5421501054
312,5072.03997171,-0.0013542175293,24.5406998968
313,5082.34899666,-0.00139236450195,24.5377994721
314,5087.50350913,-0.00139236450195,24.5377994721
315,5087.50350913,-0.00137329101563,24.536349256
316,5097.81253408,-0.00141143798828,24.5348990375
317,5108.12155902,-0.00141143798828,24.5305483672
318,5102.96704655,-0.00137329101563,24.5334488166
319,5113.2760715,-0.00141143798828,24.5305483672
320,5118.43058397,-0.00137329101563,24.5247474387
321,5113.2760715,-0.00139236450195,24.5247474387
322,5118.43058397,-0.00141143798828,24.5218469595
323,5118.43058397,-0.00139236450195,24.5145957178
324,5128.73960892,-0.00137329101563,24.5145957178
325,5123.58509644,-0.00139236450195,24.517496222
326,5128.73960892,-0.00137329101563,24.5116952036
327,5133.89412139,-0.00139236450195,24.5087946793
328,5133.89412139,-0.00139236450195,24.5073444134
329,5139.04863386,-0.00137329101563,24.504443874
330,5139.04863386,-0.00143051147461,24.5015433245
331,5133.89412139,-0.00139236450195,24.4986427649
332,5133.89412139,-0.00139236450195,24.4971924812
333,5139.04863386,-0.00141143798828,24.492841615
334,5139.04863386,-0.00141143798828,24.4942919063
335,5139.04863386,-0.00139236450195,24.4913913212
336,5139.04863386,-0.00139236450195,24.4913913212
337,5133.89412139,-0.00137329101563,24.4899410248
338,5139.04863386,-0.00139236450195,24.4899410248
339,5139.04863386,-0.0013542175293,24.4884907259
340,5139.04863386,-0.00139236450195,24.4826895045
341,5139.04863386,-0.00139236450195,24.4797888784
342,5139.04863386,-0.00141143798828,24.4797888784
343,5139.04863386,-0.00139236450195,24.4797888784
344,5149.35765881,-0.00141143798828,24.4754379199
345,5139.04863386,-0.00137329101563,24.4768882419
346,5144.20314634,-0.00141143798828,24.4681862706
347,5149.35765881,-0.00139236450195,24.4681862706
348,5159.66668376,-0.00139236450195,24.4638352498
349,5149.35765881,-0.00137329101563,24.4623849043
350,5149.35765881,-0.00139236450195,24.4623849043
351,5149.35765881,-0.00137329101563,24.4623849043
352,5159.66668376,-0.00137329101563,24.4580338523
353,5164.82119623,-0.00139236450195,24.4565834963
354,5185.43924612,-0.00139236450195,24.4522324128
355,5180.28473365,-0.00137329101563,24.4536827766
356,5195.74827107,-0.00137329101563,24.4507820464
357,5185.43924612,-0.00139236450195,24.4478813056
358,5195.74827107,-0.00141143798828,24.4493316773
359,5200.90278354,-0.00139236450195,24.4464309312
360,5211.21180849,-0.00139236450195,24.4478813056
361,5211.21180849,-0.00139236450195,24.4464309312
362,5200.90278354,-0.00137329101563,24.4464309312
363,5211.21180849,-0.00141143798828,24.4435301746
364,5216.36632096,-0.00139236450195,24.4449805542
365,5211.21180849,-0.00137329101563,24.4435301746
366,5216.36632096,-0.00139236450195,24.4449805542
367,5216.36632096,-0.00137329101563,24.4449805542
368,5221.52083344,-0.00139236450195,24.4406294073
369,5221.52083344,-0.00137329101563,24.4391790197
370,5221.52083344,-0.0013542175293,24.4391790197
371,5226.67534591,-0.00137329101563,24.4362782366
372,5221.52083344,-0.00139236450195,24.434827841
373,5231.82985839,-0.00139236450195,24.4333774428
374,5221.52083344,-0.00141143798828,24.4319270418
375,5231.82985839,-0.00137329101563,24.429026232
376,5231.82985839,-0.00139236450195,24.4275758231
377,5231.82985839,-0.00141143798828,24.4232245802
378,5242.13888333,-0.0013542175293,24.4246749971
379,5247.29339581,-0.00141143798828,24.4232245802
380,5252.44790828,-0.00141143798828,24.4217741605
381,5252.44790828,-0.00141143798828,24.4174228853
382,5257.60242075,-0.00141143798828,24.4159724548
383,5273.06595817,-0.00139236450195,24.4174228853
384,5257.60242075,-0.00137329101563,24.4145220217
385,5257.60242075,-0.00137329101563,24.4145220217
386,5267.9114457,-0.0013542175293,24.410170706
387,5283.37498312,-0.00139236450195,24.410170706
388,5293.68400807,-0.00139236450195,24.4014680011
389,5278.22047065,-0.00139236450195,24.4043689136
390,5278.22047065,-0.00137329101563,24.4043689136
391,5298.83852054,-0.00141143798828,24.3985670777
392,5288.52949559,-0.0013542175293,24.3985670777
393,5303.99303301,-0.0013542175293,24.3971166119
394,5298.83852054,-0.00141143798828,24.3971166119
395,5314.30205796,-0.00137329101563,24.3898642416
396,5298.83852054,-0.00139236450195,24.3884137593
397,5319.45657043,-0.00141143798828,24.3884137593
398,5329.76559538,-0.00139236450195,24.3811613064
399,5329.76559538,-0.00139236450195,24.3826118025
400,5334.92010785,-0.00139236450195,24.3826118025
401,5324.61108291,-0.00139236450195,24.3797108075
402,5329.76559538,-0.00137329101563,24.3797108075
403,5334.92010785,-0.00137329101563,24.3782603058
404,5350.38364527,-0.00137329101563,24.3753592941
405,5345.2291328,-0.00141143798828,24.3753592941
406,5345.2291328,-0.00139236450195,24.3768098014
407,5350.38364527,-0.0013542175293,24.3739087841
408,5365.84718269,-0.00139236450195,24.3739087841
409,5365.84718269,-0.0013542175293,24.3710077557
410,5365.84718269,-0.00139236450195,24.3710077557
411,5371.00169517,-0.00141143798828,24.3724582713
412,5365.84718269,-0.00137329101563,24.3695572374
413,5371.00169517,-0.00137329101563,24.3695572374
414,5376.15620764,-0.00137329101563,24.3681067162
415,5371.00169517,-0.0013542175293,24.3623046035
416,5381.31072011,-0.00139236450195,24.3608540684
417,5381.31072011,-0.00141143798828,24.3608540684
418,5381.31072011,-0.00143051147461,24.3594035304
419,5386.46523259,-0.00139236450195,24.3594035304
420,5381.31072011,-0.00137329101563,24.3594035304
421,5381.31072011,-0.00137329101563,24.3579529896
422,5381.31072011,-0.0013542175293,24.3565024459
423,5386.46523259,-0.00139236450195,24.3521507981
424,5386.46523259,-0.00133514404297,24.3565024459
425,5386.46523259,-0.00139236450195,24.3521507981
426,5386.46523259,-0.00141143798828,24.3507002432
427,5386.46523259,-0.00137329101563,24.3492496854
428,5386.46523259,-0.00139236450195,24.3492496854
429,5386.46523259,-0.00141143798828,24.3448979951
430,5386.46523259,-0.00137329101563,24.343447426
431,5386.46523259,-0.00141143798828,24.3405462793
432,5386.46523259,-0.00139236450195,24.3405462793
433,5386.46523259,-0.00139236450195,24.3405462793
434,5386.46523259,-0.00139236450195,24.3361945377
435,5386.46523259,-0.00137329101563,24.3390957016
436,5386.46523259,-0.00139236450195,24.3289415779
437,5386.46523259,-0.0013542175293,24.3347439515
438,5396.77425753,-0.00137329101563,24.3289415779
439,5401.92877001,-0.00137329101563,24.3274909774
440,5386.46523259,-0.00137329101563,24.3245897676
441,5391.61974506,-0.0013542175293,24.3260403739
442,5407.08328248,-0.00139236450195,24.3187873134
443,5407.08328248,-0.00139236450195,24.3173366926
444,5407.08328248,-0.00137329101563,24.3144354424
445,5412.23779495,-0.00137329101563,24.315886069
446,5407.08328248,-0.00137329101563,24.3144354424
447,5432.85584485,-0.00139236450195,24.3115341805
448,5417.39230743,-0.00139236450195,24.3144354424
449,5422.5468199,-0.0013542175293,24.3115341805
450,5438.01035732,-0.00137329101563,24.3115341805
