"Latest: Time (s)","Latest: Oxygen Gas (ppm)","Latest: Current (A)","Latest: Temperature (°C)"
0,3176.32506463,-0.0006103515625,24.4623849043
1,3186.53832706,-0.000629425048828,24.4623849043
2,3186.53832706,-0.000629425048828,24.4609345563
3,3196.75158949,-0.000629425048828,24.4565834963
4,3196.75158949,-0.000629425048828,24.4580338523
5,3196.75158949,-0.0006103515625,24.4565834963
6,3201.85822071,-0.000648498535156,24.4551331378
7,3201.85822071,-0.0006103515625,24.4580338523
8,3201.85822071,-0.000648498535156,24.4522324128
9,3206.96485192,-0.000648498535156,24.4507820464
10,3217.17811436,-0.000629425048828,24.4522324128
11,3212.07148314,-0.000629425048828,24.4522324128
12,3212.07148314,-0.000629425048828,24.4522324128
13,3227.39137679,-0.000648498535156,24.4493316773
14,3237.60463922,-0.0006103515625,24.4493316773
15,3237.60463922,-0.000648498535156,24.4478813056
16,3232.498008,-0.0006103515625,24.4449805542
17,3247.81790165,-0.000629425048828,24.4464309312
18,3252.92453286,-0.000648498535156,24.4464309312
19,3258.03116408,-0.000648498535156,24.4449805542
20,3258.03116408,-0.000686645507813,24.4420797923
21,3268.24442651,-0.000667572021484,24.4406294073
22,3268.24442651,-0.000629425048828,24.4435301746
23,3268.24442651,-0.000648498535156,24.4420797923
24,3273.35105772,-0.000667572021484,24.4406294073
25,3273.35105772,-0.000648498535156,24.4406294073
26,3278.45768894,-0.000648498535156,24.4377286295
27,3278.45768894,-0.000648498535156,24.4377286295
28,3283.56432015,-0.000648498535156,24.4362782366
29,3283.56432015,-0.000629425048828,24.4362782366
30,3283.56432015,-0.000629425048828,24.434827841
31,3283.56432015,-0.0006103515625,24.4362782366
32,3283.56432015,-0.0006103515625,24.4333774428
33,3283.56432015,-0.000667572021484,24.434827841
34,3283.56432015,-0.000667572021484,24.4333774428
35,3288.67095137,-0.000667572021484,24.4304766383
36,3293.77758258,-0.000629425048828,24.4319270418
37,3293.77758258,-0.000667572021484,24.429026232
38,3293.77758258,-0.000648498535156,24.429026232
39,3293.77758258,-0.000629425048828,24.4261254114
40,3303.99084502,-0.000667572021484,24.429026232
41,3303.99084502,-0.000648498535156,24.4275758231
42,3314.20410745,-0.000629425048828,24.4261254114
43,3319.31073866,-0.000667572021484,24.4246749971
44,3324.41736988,-0.000648498535156,24.4232245802
45,3329.52400109,-0.000629425048828,24.4246749971
46,3339.73726352,-0.000648498535156,24.4203237381
47,3339.73726352,-0.000648498535156,24.4232245802
48,3349.95052595,-0.000667572021484,24.4203237381
49,3349.95052595,-0.000648498535156,24.4217741605
50,3365.2704196,-0.000667572021484,24.4188733131
51,3365.2704196,-0.000667572021484,24.4159724548
52,3355.05715717,-0.000629425048828,24.4174228853
53,3365.2704196,-0.000648498535156,24.4159724548
54,3370.37705081,-0.000648498535156,24.4174228853
55,3395.91020689,-0.000667572021484,24.4159724548
56,3390.80357568,-0.000648498535156,24.4188733131
57,3406.12346932,-0.0006103515625,24.4130715858
58,3401.01683811,-0.000629425048828,24.4159724548
59,3406.12346932,-0.000629425048828,24.4130715858
60,3411.23010054,-0.000629425048828,24.4145220217
61,3411.23010054,-0.000648498535156,24.4130715858
62,3416.33673175,-0.000648498535156,24.4130715858
63,3421.44336297,-0.000667572021484,24.4145220217
64,3426.54999418,-0.000629425048828,24.410170706
65,3431.6566254,-0.000667572021484,24.408720262
66,3441.86988783,-0.000667572021484,24.4130715858
67,3441.86988783,-0.000648498535156,24.410170706
68,3441.86988783,-0.000648498535156,24.408720262
69,3446.97651904,-0.000629425048828,24.4072698152
70,3446.97651904,-0.000648498535156,24.410170706
71,3457.18978147,-0.000629425048828,24.4072698152
72,3457.18978147,-0.000667572021484,24.4072698152
73,3457.18978147,-0.000648498535156,24.4058193658
74,3462.29641269,-0.000629425048828,24.4072698152
75,3462.29641269,-0.000648498535156,24.4043689136
76,3472.50967512,-0.000667572021484,24.4029184587
77,3472.50967512,-0.000648498535156,24.4058193658
78,3472.50967512,-0.000629425048828,24.4043689136
79,3482.72293755,-0.000648498535156,24.4029184587
80,3487.82956877,-0.000648498535156,24.4029184587
81,3487.82956877,-0.000629425048828,24.4029184587
82,3487.82956877,-0.000648498535156,24.3971166119
83,3492.93619998,-0.000629425048828,24.4000175408
84,3492.93619998,-0.000648498535156,24.3971166119
85,3508.25609363,-0.000629425048828,24.3985670777
86,3518.46935606,-0.000667572021484,24.3956661433
87,3513.36272484,-0.000648498535156,24.3956661433
88,3518.46935606,-0.000648498535156,24.394215672
89,3513.36272484,-0.000648498535156,24.394215672
90,3518.46935606,-0.000629425048828,24.394215672
91,3523.57598727,-0.000667572021484,24.394215672
92,3523.57598727,-0.000648498535156,24.394215672
93,3528.68261849,-0.000648498535156,24.394215672
94,3523.57598727,-0.000629425048828,24.3913147212
95,3528.68261849,-0.000629425048828,24.3913147212
96,3528.68261849,-0.000648498535156,24.3898642416
97,3528.68261849,-0.000648498535156,24.3913147212
98,3528.68261849,-0.000629425048828,24.3913147212
99,3528.68261849,-0.000667572021484,24.3898642416
100,3528.68261849,-0.000648498535156,24.3869632742
101,3528.68261849,-0.000648498535156,24.3884137593
102,3538.89588092,-0.000686645507813,24.3869632742
103,3538.89588092,-0.0006103515625,24.3869632742
104,3538.89588092,-0.000629425048828,24.3840622958
105,3544.00251214,-0.000648498535156,24.3869632742
106,3549.10914335,-0.000667572021484,24.3840622958
107,3544.00251214,-0.000648498535156,24.3840622958
108,3549.10914335,-0.000648498535156,24.3840622958
109,3549.10914335,-0.000648498535156,24.3826118025
110,3554.21577457,-0.000648498535156,24.3826118025
111,3564.429037,-0.000667572021484,24.3797108075
112,3559.32240578,-0.000667572021484,24.3782603058
113,3579.74893064,-0.000686645507813,24.3811613064
114,3569.53566821,-0.000629425048828,24.3782603058
115,3574.64229943,-0.000648498535156,24.3782603058
116,3584.85556186,-0.000667572021484,24.3797108075
117,3584.85556186,-0.000667572021484,24.3782603058
118,3589.96219307,-0.0006103515625,24.3768098014
119,3589.96219307,-0.000629425048828,24.3739087841
120,3595.06882429,-0.000705718994141,24.3739087841
121,3600.1754555,-0.000648498535156,24.3753592941
122,3600.1754555,-0.000629425048828,24.3724582713
123,3600.1754555,-0.000667572021484,24.3739087841
124,3610.38871793,-0.000648498535156,24.3739087841
125,3605.28208672,-0.000667572021484,24.3739087841
126,3610.38871793,-0.000667572021484,24.3695572374
127,3605.28208672,-0.000648498535156,24.3710077557
128,3615.49534915,-0.0006103515625,24.3695572374
