"Latest: Time (s)","Latest: Current (A)","Latest: Temperature (°C)","Latest: Oxygen Gas (ppm)"
0,-0.000724792480469,23.9066837589,3425.73840986
1,-0.000724792480469,23.908135314,3431.15888369
2,-0.000724792480469,23.908135314,3436.57935751
3,-0.000762939453125,23.9095868654,3441.99983134
4,-0.000724792480469,23.9066837589,3447.42030516
5,-0.000743865966797,23.9095868654,3458.26125282
6,-0.000724792480469,23.9095868654,3458.26125282
7,-0.000724792480469,23.908135314,3485.36362195
8,-0.000743865966797,23.908135314,3496.2045696
9,-0.000724792480469,23.9066837589,3501.62504343
10,-0.000724792480469,23.9052322,3523.30693873
11,-0.000724792480469,23.9095868654,3534.14788638
12,-0.000724792480469,23.9066837589,3544.98883404
13,-0.000724792480469,23.908135314,3555.82978169
14,-0.000705718994141,23.908135314,3561.25025552
15,-0.000724792480469,23.9095868654,3566.67072934
16,-0.000705718994141,23.9095868654,3582.93215082
17,-0.000724792480469,23.9066837589,3593.77309847
18,-0.000705718994141,23.9095868654,3599.1935723
19,-0.000724792480469,23.908135314,3610.03451995
20,-0.000705718994141,23.9095868654,3610.03451995
21,-0.000724792480469,23.9095868654,3620.8754676
22,-0.000762939453125,23.9095868654,3626.29594143
23,-0.000743865966797,23.9095868654,3642.55736291
24,-0.000743865966797,23.908135314,3658.81878439
25,-0.000724792480469,23.908135314,3658.81878439
26,-0.000724792480469,23.9095868654,3669.65973204
27,-0.000743865966797,23.9110384131,3675.08020587
28,-0.000724792480469,23.9095868654,3685.92115352
29,-0.000743865966797,23.9095868654,3691.34162735
30,-0.000743865966797,23.9124899571,3702.182575
31,-0.000724792480469,23.9110384131,3707.60304882
32,-0.000762939453125,23.908135314,3707.60304882
33,-0.000762939453125,23.9095868654,3723.8644703
34,-0.000705718994141,23.908135314,3723.8644703
35,-0.000743865966797,23.9110384131,3723.8644703
36,-0.000724792480469,23.9095868654,3734.70541796
37,-0.000724792480469,23.9095868654,3734.70541796
38,-0.000724792480469,23.9095868654,3745.54636561
39,-0.000705718994141,23.908135314,3750.96683943
40,-0.000686645507813,23.9066837589,3756.38731326
41,-0.000724792480469,23.9124899571,3756.38731326
42,-0.000743865966797,23.9095868654,3756.38731326
43,-0.000743865966797,23.908135314,3767.22826091
44,-0.000743865966797,23.9110384131,3767.22826091
45,-0.000705718994141,23.9095868654,3767.22826091
46,-0.000724792480469,23.908135314,3772.64873474
47,-0.000743865966797,23.9110384131,3772.64873474
48,-0.000724792480469,23.9095868654,3772.64873474
49,-0.000724792480469,23.908135314,3772.64873474
50,-0.000743865966797,23.9066837589,3772.64873474
51,-0.000705718994141,23.9095868654,3772.64873474
52,-0.000724792480469,23.908135314,3772.64873474
53,-0.000762939453125,23.908135314,3772.64873474
54,-0.000743865966797,23.9095868654,3778.06920857
55,-0.000724792480469,23.9110384131,3772.64873474
56,-0.000724792480469,23.9095868654,3772.64873474
57,-0.000724792480469,23.9110384131,3778.06920857
58,-0.000724792480469,23.9095868654,3772.64873474
59,-0.000743865966797,23.9110384131,3788.91015622
60,-0.000724792480469,23.908135314,3778.06920857
61,-0.000705718994141,23.9095868654,3783.48968239
62,-0.000743865966797,23.9110384131,3794.33063004
63,-0.000724792480469,23.908135314,3794.33063004
64,-0.000724792480469,23.908135314,3794.33063004
65,-0.000743865966797,23.9095868654,3799.75110387
66,-0.000743865966797,23.9095868654,3799.75110387
67,-0.000724792480469,23.9095868654,3810.59205152
68,-0.000724792480469,23.9095868654,3810.59205152
69,-0.000743865966797,23.9095868654,3816.01252535
70,-0.000743865966797,23.9095868654,3832.27394683
