"Latest: Time (s)","Latest: Current (A)","Latest: Oxygen Gas (ppm)","Latest: Temperature (°C)"
0,-0.000133514404297,3659.20177239,24.9350755969
1,-0.000152587890625,3669.24073343,24.9350755969
2,-0.000171661376953,3669.24073343,24.9321763007
3,-0.000171661376953,3669.24073343,24.9350755969
4,-0.000133514404297,3669.24073343,24.9350755969
5,-0.000171661376953,3669.24073343,24.9321763007
6,-0.000152587890625,3674.26021396,24.9336259496
7,-0.000114440917969,3674.26021396,24.9336259496
8,-0.000171661376953,3679.27969448,24.9321763007
9,-0.000171661376953,3684.299175,24.9321763007
10,-0.000171661376953,3689.31865552,24.9336259496
11,-0.000171661376953,3684.299175,24.9321763007
12,-0.000171661376953,3684.299175,24.9336259496
13,-0.000171661376953,3684.299175,24.9336259496
14,-0.000171661376953,3684.299175,24.93072665
15,-0.000209808349609,3689.31865552,24.9336259496
16,-0.000171661376953,3689.31865552,24.9336259496
17,-0.000171661376953,3694.33813605,24.9350755969
18,-0.000171661376953,3689.31865552,24.9336259496
19,-0.000171661376953,3699.35761657,24.9321763007
20,-0.000171661376953,3689.31865552,24.9321763007
21,-0.000133514404297,3699.35761657,24.9321763007
22,-0.000133514404297,3699.35761657,24.93072665
23,-0.000228881835938,3694.33813605,24.93072665
24,-0.000228881835938,3699.35761657,24.93072665
25,-0.000209808349609,3704.37709709,24.9321763007
26,-0.000228881835938,3699.35761657,24.9292769977
27,-0.000190734863281,3694.33813605,24.9321763007
28,-0.000209808349609,3709.39657761,24.9321763007
29,-0.000190734863281,3709.39657761,24.9336259496
30,-0.000228881835938,3704.37709709,24.9292769977
31,-0.000190734863281,3714.41605814,24.9278273436
32,-0.000190734863281,3714.41605814,24.9278273436
33,-0.000171661376953,3709.39657761,24.9321763007
34,-0.000209808349609,3709.39657761,24.9278273436
35,-0.000171661376953,3724.45501918,24.9278273436
36,-0.000190734863281,3709.39657761,24.9292769977
37,-0.000209808349609,3719.43553866,24.93072665
38,-0.000190734863281,3719.43553866,24.9292769977
39,-0.000190734863281,3714.41605814,24.9336259496
40,-0.000190734863281,3719.43553866,24.93072665
41,-0.000209808349609,3719.43553866,24.9263776879
42,-0.000190734863281,3724.45501918,24.9292769977
43,-0.000171661376953,3719.43553866,24.9292769977
44,-0.000190734863281,3719.43553866,24.9336259496
45,-0.000190734863281,3724.45501918,24.9336259496
46,-0.000190734863281,3719.43553866,24.9292769977
47,-0.000209808349609,3729.47449971,24.9336259496
48,-0.000190734863281,3729.47449971,24.9278273436
49,-0.000228881835938,3729.47449971,24.9292769977
50,-0.000190734863281,3729.47449971,24.9249280304
51,-0.000209808349609,3729.47449971,24.9263776879
52,-0.000190734863281,3729.47449971,24.9292769977
53,-0.000190734863281,3739.51346075,24.9292769977
54,-0.000190734863281,3739.51346075,24.9321763007
55,-0.000190734863281,3739.51346075,24.93072665
56,-0.000171661376953,3734.49398023,24.93072665
57,-0.000209808349609,3739.51346075,24.9292769977
58,-0.000209808349609,3739.51346075,24.9292769977
59,-0.000209808349609,3739.51346075,24.9263776879
60,-0.000209808349609,3739.51346075,24.9263776879
61,-0.000209808349609,3744.53294127,24.9278273436
62,-0.000190734863281,3739.51346075,24.93072665
63,-0.000209808349609,3739.51346075,24.9278273436
64,-0.000190734863281,3749.5524218,24.9278273436
65,-0.000209808349609,3739.51346075,24.9278273436
66,-0.000190734863281,3754.57190232,24.9278273436
67,-0.000171661376953,3759.59138284,24.9278273436
68,-0.000171661376953,3749.5524218,24.9292769977
69,-0.000171661376953,3754.57190232,24.93072665
70,-0.000190734863281,3744.53294127,24.93072665
71,-0.000228881835938,3749.5524218,24.9278273436
72,-0.000209808349609,3754.57190232,24.9278273436
73,-0.000228881835938,3749.5524218,24.93072665
74,-0.000190734863281,3764.61086336,24.9278273436
75,-0.000171661376953,3754.57190232,24.9263776879
76,-0.000228881835938,3764.61086336,24.9263776879
77,-0.000209808349609,3759.59138284,24.9278273436
78,-0.000190734863281,3759.59138284,24.9292769977
79,-0.000190734863281,3769.63034389,24.9292769977
80,-0.000209808349609,3764.61086336,24.93072665
