"Latest: Time (s)","Latest: Current (A)","Latest: Temperature (°C)","Latest: Oxygen Gas (ppm)"
0,-0.000667572021484,24.4058193658,3344.43130247
1,-0.0006103515625,24.4043689136,3344.43130247
2,-0.000629425048828,24.4000175408,3349.85177629
3,-0.000667572021484,24.4000175408,3360.69272395
4,-0.000629425048828,24.4000175408,3360.69272395
5,-0.000629425048828,24.3971166119,3376.95414542
6,-0.000686645507813,24.4000175408,3366.11319777
7,-0.000629425048828,24.3971166119,3376.95414542
8,-0.000648498535156,24.394215672,3393.2155669
9,-0.000667572021484,24.3898642416,3393.2155669
10,-0.000648498535156,24.392765198,3404.05651456
11,-0.0006103515625,24.3884137593,3404.05651456
12,-0.000629425048828,24.3884137593,3409.47698838
13,-0.000648498535156,24.3869632742,3425.73840986
14,-0.000686645507813,24.3826118025,3431.15888369
15,-0.000629425048828,24.3826118025,3425.73840986
16,-0.000648498535156,24.3811613064,3431.15888369
17,-0.0006103515625,24.3753592941,3425.73840986
18,-0.000648498535156,24.3710077557,3452.84077899
19,-0.000629425048828,24.3710077557,3436.57935751
20,-0.000629425048828,24.3695572374,3458.26125282
21,-0.000667572021484,24.3695572374,3469.10220047
22,-0.000648498535156,24.3623046035,3469.10220047
23,-0.000629425048828,24.3623046035,3479.94314812
24,-0.000629425048828,24.3536013502,3485.36362195
25,-0.0006103515625,24.3521507981,3485.36362195
26,-0.000629425048828,24.3536013502,3517.88646491
27,-0.0006103515625,24.343447426,3507.04551725
28,-0.000629425048828,24.3521507981,3544.98883404
29,-0.000629425048828,24.3376451211,3544.98883404
30,-0.000591278076172,24.3376451211,3555.82978169
31,-0.000667572021484,24.3376451211,3566.67072934
32,-0.0006103515625,24.3260403739,3561.25025552
33,-0.000648498535156,24.3289415779,3593.77309847
34,-0.000667572021484,24.3274909774,3588.35262465
35,-0.000629425048828,24.3202379313,3593.77309847
36,-0.000648498535156,24.3202379313,3593.77309847
37,-0.000629425048828,24.3202379313,3599.1935723
38,-0.000667572021484,24.3129848129,3599.1935723
39,-0.000629425048828,24.3115341805,3604.61404613
40,-0.0006103515625,24.308632907,3620.8754676
41,-0.000629425048828,24.3057316219,3610.03451995
42,-0.000629425048828,24.2955770317,3615.45499378
43,-0.000629425048828,24.2984783579,3647.97783674
44,-0.000629425048828,24.2926756939,3631.71641526
45,-0.0006103515625,24.2883236649,3637.13688908
46,-0.0006103515625,24.2883236649,3642.55736291
47,-0.000629425048828,24.2854222975,3653.39831056
48,-0.0006103515625,24.2825209183,3669.65973204
49,-0.000629425048828,24.2796195272,3669.65973204
50,-0.0006103515625,24.2767181242,3691.34162735
51,-0.000629425048828,24.2752674182,3691.34162735
52,-0.000648498535156,24.2752674182,3691.34162735
53,-0.000648498535156,24.2723659974,3691.34162735
54,-0.000686645507813,24.2694645646,3691.34162735
55,-0.0006103515625,24.2607601943,3702.182575
