"Latest: Time (s)","Latest: Current (A)","Latest: Oxygen Gas (ppm)","Latest: Temperature (°C)"
0,-9.53674316406E-05,2981.57190184,25.4843961175
1,-0.000114440917969,3011.68878497,25.4771500594
2,-0.000133514404297,3011.68878497,25.4829469071
3,-0.000152587890625,3016.7082655,25.4872945363
4,-0.000152587890625,3016.7082655,25.4930913667
5,-0.000133514404297,3016.7082655,25.5003373912
6,-0.000152587890625,3016.7082655,25.4988881875
7,-0.000171661376953,3021.72774602,25.5046849988
8,-0.000133514404297,3031.76670706,25.5017865943
9,-0.000152587890625,3046.82514863,25.5090326013
10,-0.000133514404297,3061.8835902,25.5104818009
11,-0.000152587890625,3071.92255124,25.511931
12,-0.000171661376953,3081.96151229,25.5148293965
13,-0.000171661376953,3086.98099281,25.5162785939
14,-0.000133514404297,3086.98099281,25.5162785939
15,-0.000171661376953,3097.01995386,25.5177277908
16,-0.000152587890625,3092.00047333,25.5206261828
17,-0.000114440917969,3097.01995386,25.522075378
18,-0.000152587890625,3097.01995386,25.522075378
19,-0.000152587890625,3097.01995386,25.5235245727
20,-0.000152587890625,3102.03943438,25.5249737668
21,-0.000114440917969,3102.03943438,25.5293213459
22,-0.000114440917969,3112.07839542,25.5249737668
23,-0.000152587890625,3117.09787595,25.5249737668
24,-0.000171661376953,3127.13683699,25.5264229603
25,-0.000171661376953,3127.13683699,25.5293213459
26,-0.000133514404297,3147.21475908,25.5278721534
27,-0.000171661376953,3167.29268117,25.5278721534
28,-0.000171661376953,3172.3121617,25.5307705378
29,-0.000209808349609,3182.35112274,25.5264229603
30,-0.000171661376953,3207.44852535,25.5278721534
31,-0.000171661376953,3202.42904483,25.5278721534
32,-0.000190734863281,3227.52644744,25.5278721534
33,-0.000114440917969,3217.4874864,25.5278721534
34,-0.000171661376953,3237.56540849,25.5264229603
35,-0.000152587890625,3252.62385006,25.5278721534
36,-0.000171661376953,3252.62385006,25.5278721534
37,-0.000190734863281,3252.62385006,25.5249737668
38,-0.000171661376953,3262.6628111,25.5264229603
39,-0.000171661376953,3252.62385006,25.5249737668
40,-0.000190734863281,3262.6628111,25.5249737668
41,-0.000152587890625,3277.72125267,25.5249737668
42,-0.000171661376953,3297.79917476,25.5206261828
43,-0.000152587890625,3292.77969424,25.522075378
44,-0.000171661376953,3312.85761633,25.522075378
45,-0.000152587890625,3322.89657737,25.5206261828
46,-0.000133514404297,3322.89657737,25.5177277908
47,-0.000133514404297,3322.89657737,25.5191769871
48,-0.000171661376953,3327.9160579,25.5177277908
49,-0.000171661376953,3332.93553842,25.5177277908
50,-0.000152587890625,3332.93553842,25.5177277908
51,-0.000152587890625,3332.93553842,25.5177277908
52,-0.000190734863281,3332.93553842,25.5104818009
53,-0.000152587890625,3337.95501894,25.511931
54,-0.000152587890625,3337.95501894,25.5104818009
55,-0.000152587890625,3358.03294103,25.511931
56,-0.000152587890625,3353.01346051,25.5090326013
57,-0.000190734863281,3373.0913826,25.507583401
58,-0.000171661376953,3383.13034365,25.5017865943
59,-0.000171661376953,3393.16930469,25.4974389832
60,-0.000133514404297,3403.20826574,25.5003373912
61,-0.000152587890625,3403.20826574,25.4988881875
62,-0.000152587890625,3408.22774626,25.4959897783
63,-0.000171661376953,3408.22774626,25.4901929527
64,-0.000152587890625,3413.24722678,25.49164216
65,-0.000133514404297,3418.2667073,25.4887437448
66,-0.000171661376953,3418.2667073,25.4829469071
67,-0.000152587890625,3418.2667073,25.4829469071
68,-0.000171661376953,3433.32514887,25.4800484845
69,-0.000152587890625,3443.36410992,25.4800484845
70,-0.000152587890625,3448.38359044,25.4785992723
71,-0.000171661376953,3463.44203201,25.4742516318
72,-0.000152587890625,3478.50047357,25.4699039856
73,-0.000190734863281,3478.50047357,25.4684547689
74,-0.000190734863281,3483.5199541,25.4670055516
75,-0.000190734863281,3483.5199541,25.4684547689
76,-0.000171661376953,3493.55891514,25.4626578956
77,-0.000152587890625,3493.55891514,25.4655563336
78,-0.000133514404297,3493.55891514,25.459759455
79,-0.000190734863281,3503.59787619,25.459759455
80,-0.000171661376953,3518.65631776,25.4568610117
81,-0.000190734863281,3523.67579828,25.4539625658
82,-0.000133514404297,3533.71475932,25.4554117891
83,-0.000152587890625,3553.79268141,25.4525133418
84,-0.000190734863281,3553.79268141,25.4496148918
85,-0.000171661376953,3563.83164246,25.4481656657
86,-0.000133514404297,3573.8706035,25.4481656657
87,-0.000152587890625,3578.89008403,25.4438179835
88,-0.000152587890625,3583.90956455,25.4452672116
89,-0.000171661376953,3588.92904507,25.4438179835
90,-0.000171661376953,3603.98748664,25.439470295
91,-0.000171661376953,3614.02644769,25.4380210641
92,-0.000171661376953,3624.06540873,25.4365718324
93,-0.000171661376953,3629.08488925,25.4336733671
94,-0.000152587890625,3639.1238503,25.4322241333
95,-0.000152587890625,3639.1238503,25.4278764277
96,-0.000152587890625,3644.14333082,25.4293256636
97,-0.000171661376953,3644.14333082,25.4249779536
98,-0.000171661376953,3644.14333082,25.4220794767
99,-0.000171661376953,3649.16281134,25.4220794767
100,-0.000190734863281,3649.16281134,25.4206302371
101,-0.000171661376953,3649.16281134,25.4206302371
102,-0.000171661376953,3649.16281134,25.4133840279
103,-0.000171661376953,3649.16281134,25.4119347838
104,-0.000190734863281,3659.20177239,25.407587047
105,-0.000171661376953,3654.18229187,25.407587047
106,-0.000171661376953,3664.22125291,25.4046885519
107,-0.000171661376953,3669.24073343,25.4017900538
108,-0.000171661376953,3669.24073343,25.4003408036
109,-0.000152587890625,3684.299175,25.3945437948
110,-0.000171661376953,3704.37709709,25.3930945406
111,-0.000171661376953,3709.39657761,25.3901960299
112,-0.000171661376953,3709.39657761,25.387297516
113,-0.000171661376953,3719.43553866,25.3843989988
114,-0.000171661376953,3704.37709709,25.380051217
115,-0.000152587890625,3724.45501918,25.380051217
116,-0.000171661376953,3729.47449971,25.3728048975
117,-0.000133514404297,3729.47449971,25.3670078269
118,-0.000171661376953,3729.47449971,25.3684570958
119,-0.000209808349609,3734.49398023,25.3655585572
120,-0.000190734863281,3734.49398023,25.3626600151
121,-0.000190734863281,3734.49398023,25.3597614696
122,-0.000190734863281,3744.53294127,25.3583121956
123,-0.000133514404297,3759.59138284,25.3525150908
124,-0.000171661376953,3769.63034389,25.3525150908
125,-0.000152587890625,3764.61086336,25.3467179721
126,-0.000171661376953,3779.66930493,25.3467179721
127,-0.000190734863281,3784.68878545,25.3452686902
128,-0.000190734863281,3784.68878545,25.3438194074
129,-0.000171661376953,3804.76670754,25.3423701237
130,-0.000171661376953,3804.76670754,25.3394715537
131,-0.000190734863281,3819.82514911,25.3365729801
132,-0.000171661376953,3824.84462963,25.3365729801
133,-0.000152587890625,3834.88359068,25.3351236919
134,-0.000209808349609,3834.88359068,25.3322251129
135,-0.000190734863281,3844.92255173,25.330775822
136,-0.000171661376953,3849.94203225,25.3278772374
137,-0.000152587890625,3859.98099329,25.3235293537
138,-0.000171661376953,3859.98099329,25.3206307599
139,-0.000171661376953,3870.01995434,25.3191814616
140,-0.000209808349609,3880.05891538,25.3119349559
141,-0.000133514404297,3880.05891538,25.309036347
142,-0.000133514404297,3885.07839591,25.3119349559
143,-0.000171661376953,3890.09787643,25.3061377343
144,-0.000171661376953,3890.09787643,25.2988911855
145,-0.000171661376953,3890.09787643,25.2959925592
146,-0.000190734863281,3890.09787643,25.2930939289
147,-0.000171661376953,3895.11735695,25.2916446123
148,-0.000171661376953,3905.156318,25.2901952947
149,-0.000190734863281,3905.156318,25.2887459761
150,-0.000190734863281,3915.19527904,25.2858473359
151,-0.000152587890625,3915.19527904,25.2843980143
152,-0.000152587890625,3920.21475956,25.2829486917
153,-0.000152587890625,3930.25372061,25.2800500434
154,-0.000152587890625,3930.25372061,25.2757020634
155,-0.000171661376953,3950.3316427,25.2699047425
156,-0.000152587890625,3955.35112322,25.2713540742
157,-0.000171661376953,3960.37060375,25.2670060758
158,-0.000190734863281,3960.37060375,25.2641074049
159,-0.000190734863281,3965.39008427,25.2626580679
160,-0.000152587890625,3970.40956479,25.2568607095
161,-0.000171661376953,3970.40956479,25.2539620239
162,-0.000152587890625,3970.40956479,25.251063334
163,-0.000152587890625,3970.40956479,25.251063334
164,-0.000152587890625,3970.40956479,25.251063334
165,-0.000171661376953,3970.40956479,25.2481646399
166,-0.000152587890625,3970.40956479,25.2481646399
167,-0.000171661376953,3970.40956479,25.2467152912
168,-0.000152587890625,3970.40956479,25.2467152912
169,-0.000209808349609,3970.40956479,25.2438165906
170,-0.000152587890625,3980.44852584,25.2423672387
171,-0.000209808349609,3975.42904531,25.2409178857
172,-0.000209808349609,3985.46800636,25.2365698201
173,-0.000133514404297,3995.5069674,25.2365698201
174,-0.000152587890625,3995.5069674,25.2336711042
175,-0.000152587890625,4005.54592845,25.2322217446
176,-0.000171661376953,4005.54592845,25.2293230221
177,-0.000133514404297,4015.58488949,25.2278736592
178,-0.000152587890625,4020.60437002,25.22497493
179,-0.000171661376953,4025.62385054,25.2220761963
180,-0.000171661376953,4020.60437002,25.2206268278
181,-0.000190734863281,4035.66281158,25.2162787154
182,-0.000190734863281,4040.68229211,25.2133799681
183,-0.000171661376953,4040.68229211,25.2104812163
184,-0.000152587890625,4040.68229211,25.2061330798
185,-0.000152587890625,4045.70177263,25.2032343164
186,-0.000171661376953,4045.70177263,25.2003355484
187,-0.000171661376953,4045.70177263,25.1988861626
188,-0.000152587890625,4050.72125315,25.1988861626
189,-0.000171661376953,4045.70177263,25.1916392161
190,-0.000133514404297,4045.70177263,25.1945379982
191,-0.000171661376953,4055.74073367,25.1843922399
192,-0.000152587890625,4050.72125315,25.1858416375
193,-0.000171661376953,4060.7602142,25.1814934411
194,-0.000152587890625,4075.81865577,25.1814934411
195,-0.000171661376953,4075.81865577,25.1800440398
196,-0.000228881835938,4075.81865577,25.1785946374
197,-0.000228881835938,4080.83813629,25.1771452337
198,-0.000190734863281,4095.89657786,25.1756958288
199,-0.000133514404297,4100.91605838,25.1742464228
200,-0.000133514404297,4110.95501942,25.1713476069
201,-0.000152587890625,4115.97449995,25.1698981972
202,-0.000171661376953,4105.9355389,25.166999374
203,-0.000190734863281,4110.95501942,25.1655499605
204,-0.000152587890625,4115.97449995,25.166999374
205,-0.000171661376953,4120.99398047,25.1597522943
206,-0.000133514404297,4120.99398047,25.1568534537
207,-0.000152587890625,4115.97449995,25.1597522943
208,-0.000171661376953,4126.01346099,25.1539546081
209,-0.000152587890625,4131.03294151,25.1510557575
210,-0.000190734863281,4126.01346099,25.1496063303
211,-0.000171661376953,4131.03294151,25.1496063303
212,-0.000152587890625,4131.03294151,25.1467074721
213,-0.000171661376953,4141.07190256,25.1409097403
214,-0.000171661376953,4146.09138308,25.1409097403
