"Latest: Time (s)","Latest: Oxygen Gas (ppm)","Latest: Current (A)","Latest: Temperature (°C)"
0,4917.68630905,-0.000553131103516,21.7103877936
1,4917.68630905,-0.000572204589844,21.7089272928
2,4922.79294027,-0.000572204589844,21.7103877936
3,4938.11283392,-0.000572204589844,21.7089272928
4,4953.43272756,-0.000572204589844,21.7133087704
5,4963.64598999,-0.000591278076172,21.7147692466
6,4973.85925242,-0.000572204589844,21.7060062669
7,4978.96588364,-0.000572204589844,21.7133087704
8,4989.17914607,-0.000572204589844,21.7118482861
9,4994.28577728,-0.000572204589844,21.7147692466
10,5004.49903971,-0.000572204589844,21.7118482861
11,5019.81893336,-0.000572204589844,21.7147692466
12,5019.81893336,-0.000591278076172,21.7147692466
13,5030.03219579,-0.000591278076172,21.7162297146
14,5055.56535187,-0.000591278076172,21.7162297146
15,5065.7786143,-0.000591278076172,21.7147692466
16,5070.88524551,-0.000572204589844,21.7162297146
17,5086.20513916,-0.000629425048828,21.7162297146
18,5106.63166402,-0.000572204589844,21.7176901744
19,5106.63166402,-0.000572204589844,21.7206110696
20,5116.84492645,-0.000572204589844,21.7206110696
21,5121.95155767,-0.000572204589844,21.7206110696
22,5132.1648201,-0.000591278076172,21.7206110696
23,5142.37808253,-0.000591278076172,21.7206110696
24,5142.37808253,-0.000572204589844,21.7206110696
25,5147.48471374,-0.000591278076172,21.7191506261
26,5142.37808253,-0.000572204589844,21.7220715049
27,5152.59134496,-0.000572204589844,21.7235319321
28,5157.69797617,-0.000572204589844,21.7235319321
29,5167.9112386,-0.000591278076172,21.7235319321
30,5173.01786982,-0.000572204589844,21.7249923511
31,5188.33776347,-0.000572204589844,21.7235319321
32,5198.5510259,-0.000572204589844,21.7249923511
33,5198.5510259,-0.000572204589844,21.7249923511
34,5213.87091954,-0.000572204589844,21.7235319321
35,5218.97755076,-0.000591278076172,21.7249923511
36,5229.19081319,-0.000572204589844,21.7249923511
37,5229.19081319,-0.000591278076172,21.7249923511
38,5239.40407562,-0.000553131103516,21.7293735592
39,5249.61733805,-0.000572204589844,21.7249923511
40,5254.72396926,-0.000572204589844,21.7249923511
41,5275.15049413,-0.000591278076172,21.7249923511
42,5280.25712534,-0.000591278076172,21.726452762
43,5290.47038777,-0.000572204589844,21.726452762
44,5295.57701899,-0.000572204589844,21.7293735592
45,5305.79028142,-0.000591278076172,21.7279131647
46,5321.11017506,-0.000591278076172,21.7293735592
47,5326.21680628,-0.000572204589844,21.7293735592
48,5346.64333114,-0.000591278076172,21.726452762
49,5356.85659357,-0.000572204589844,21.7279131647
50,5361.96322479,-0.000572204589844,21.7279131647
51,5356.85659357,-0.000572204589844,21.7293735592
52,5367.069856,-0.000572204589844,21.7279131647
53,5377.28311843,-0.000591278076172,21.7279131647
54,5382.38974965,-0.0006103515625,21.7308339457
55,5382.38974965,-0.000591278076172,21.7308339457
56,5387.49638086,-0.000572204589844,21.7308339457
57,5397.70964329,-0.000572204589844,21.7308339457
58,5402.81627451,-0.000572204589844,21.7322943239
59,5413.02953694,-0.000572204589844,21.7322943239
60,5418.13616815,-0.000572204589844,21.7322943239
61,5428.34943059,-0.000572204589844,21.7308339457
62,5428.34943059,-0.000572204589844,21.7322943239
63,5443.66932423,-0.000572204589844,21.7308339457
64,5438.56269302,-0.000572204589844,21.7352150561
65,5448.77595545,-0.000572204589844,21.7337546941
66,5458.98921788,-0.000572204589844,21.7352150561
67,5458.98921788,-0.000572204589844,21.7352150561
68,5464.09584909,-0.000572204589844,21.7322943239
69,5469.20248031,-0.000572204589844,21.7352150561
70,5479.41574274,-0.000572204589844,21.7337546941
71,5484.52237395,-0.000591278076172,21.7352150561
72,5489.62900517,-0.000572204589844,21.7352150561
73,5489.62900517,-0.000572204589844,21.73667541
74,5504.94889882,-0.000591278076172,21.7352150561
75,5504.94889882,-0.000591278076172,21.7352150561
76,5510.05553003,-0.000572204589844,21.73667541
77,5520.26879246,-0.000572204589844,21.73667541
78,5530.48205489,-0.000591278076172,21.7352150561
79,5520.26879246,-0.000591278076172,21.7352150561
80,5530.48205489,-0.000572204589844,21.7395960934
81,5535.58868611,-0.000591278076172,21.7337546941
82,5540.69531732,-0.000572204589844,21.73667541
83,5540.69531732,-0.000572204589844,21.73667541
84,5545.80194854,-0.000591278076172,21.7352150561
85,5545.80194854,-0.000572204589844,21.73667541
86,5545.80194854,-0.000572204589844,21.7395960934
87,5550.90857975,-0.000591278076172,21.7395960934
88,5545.80194854,-0.000591278076172,21.7395960934
89,5550.90857975,-0.000591278076172,21.7395960934
90,5550.90857975,-0.000591278076172,21.7395960934
91,5556.01521097,-0.000572204589844,21.7352150561
92,5556.01521097,-0.000572204589844,21.7395960934
93,5561.12184218,-0.000572204589844,21.7395960934
94,5566.2284734,-0.000572204589844,21.7395960934
95,5561.12184218,-0.000591278076172,21.7395960934
96,5581.54836704,-0.000591278076172,21.7410564229
97,5591.76162948,-0.000591278076172,21.7395960934
98,5586.65499826,-0.000572204589844,21.7381357557
99,5586.65499826,-0.000572204589844,21.7410564229
100,5586.65499826,-0.000591278076172,21.7395960934
101,5601.97489191,-0.000572204589844,21.7410564229
102,5607.08152312,-0.000572204589844,21.7425167442
103,5607.08152312,-0.000572204589844,21.7425167442
104,5612.18815434,-0.000572204589844,21.7410564229
105,5622.40141677,-0.000572204589844,21.7410564229
106,5627.50804798,-0.000572204589844,21.7410564229
107,5622.40141677,-0.000572204589844,21.7439770575
108,5627.50804798,-0.000572204589844,21.7425167442
109,5627.50804798,-0.000572204589844,21.7425167442
110,5642.82794163,-0.000572204589844,21.7425167442
111,5637.72131041,-0.000572204589844,21.7439770575
112,5642.82794163,-0.000572204589844,21.7425167442
113,5642.82794163,-0.000572204589844,21.7439770575
114,5647.93457284,-0.000572204589844,21.7410564229
115,5658.14783527,-0.000572204589844,21.7425167442
116,5658.14783527,-0.000591278076172,21.7439770575
117,5673.46772892,-0.000572204589844,21.7425167442
118,5663.25446649,-0.000572204589844,21.7425167442
119,5678.57436014,-0.000572204589844,21.7395960934
120,5678.57436014,-0.000572204589844,21.7439770575
121,5688.78762257,-0.000591278076172,21.7425167442
122,5693.89425378,-0.000572204589844,21.7454373627
123,5699.000885,-0.000572204589844,21.7425167442
124,5704.10751621,-0.000572204589844,21.7454373627
125,5714.32077864,-0.000572204589844,21.7454373627
126,5714.32077864,-0.000591278076172,21.7439770575
127,5719.42740986,-0.000591278076172,21.7439770575
128,5724.53404107,-0.000591278076172,21.7439770575
129,5734.7473035,-0.000572204589844,21.7468976597
