"Latest: Time (s)","Latest: Current (A)","Latest: Oxygen Gas (ppm)","Latest: Temperature (°C)"
0,-0.000343322753906,4176.20826622,21.4283558571
1,-0.000400543212891,4201.30566883,21.4283558571
2,-0.000400543212891,4211.34462988,21.4254315731
3,-0.000381469726563,4221.38359092,21.4254315731
4,-0.000343322753906,4206.32514935,21.4283558571
5,-0.000362396240234,4236.44203249,21.4298179859
6,-0.000362396240234,4236.44203249,21.4268937195
7,-0.000324249267578,4241.46151301,21.4298179859
8,-0.000381469726563,4251.50047406,21.4268937195
9,-0.000343322753906,4271.57839615,21.4283558571
10,-0.000400543212891,4281.61735719,21.4283558571
11,-0.000381469726563,4281.61735719,21.431280106
12,-0.000381469726563,4281.61735719,21.4327422173
13,-0.000362396240234,4281.61735719,21.431280106
14,-0.000362396240234,4281.61735719,21.4342043198
15,-0.000381469726563,4286.63683771,21.4327422173
16,-0.000362396240234,4291.65631824,21.4371284985
17,-0.000343322753906,4286.63683771,21.4356664135
18,-0.000362396240234,4311.73424033,21.4356664135
19,-0.000324249267578,4306.7147598,21.431280106
20,-0.000419616699219,4326.7926819,21.4356664135
21,-0.000381469726563,4326.7926819,21.4371284985
22,-0.000400543212891,4341.85112346,21.4385905748
23,-0.000362396240234,4351.89008451,21.4400526422
24,-0.000400543212891,4351.89008451,21.4356664135
25,-0.000343322753906,4351.89008451,21.4400526422
26,-0.000343322753906,4361.92904555,21.4400526422
27,-0.000362396240234,4366.94852608,21.4342043198
28,-0.000324249267578,4361.92904555,21.4400526422
29,-0.000400543212891,4361.92904555,21.4400526422
30,-0.000362396240234,4366.94852608,21.4385905748
31,-0.000362396240234,4366.94852608,21.4385905748
32,-0.000343322753906,4366.94852608,21.4400526422
33,-0.000362396240234,4366.94852608,21.4400526422
34,-0.000362396240234,4366.94852608,21.441514701
35,-0.000381469726563,4366.94852608,21.441514701
36,-0.000343322753906,4366.94852608,21.4444387922
37,-0.000362396240234,4366.94852608,21.441514701
38,-0.000362396240234,4366.94852608,21.4444387922
39,-0.000400543212891,4387.02644817,21.4429767509
40,-0.000381469726563,4371.9680066,21.4429767509
41,-0.000362396240234,4382.00696764,21.441514701
42,-0.000362396240234,4387.02644817,21.441514701
43,-0.000381469726563,4402.08488973,21.4444387922
44,-0.000381469726563,4407.10437026,21.4459008246
45,-0.000362396240234,4407.10437026,21.4459008246
46,-0.000324249267578,4422.16281182,21.4459008246
47,-0.000381469726563,4422.16281182,21.4459008246
48,-0.000362396240234,4427.18229235,21.4459008246
49,-0.000381469726563,4437.22125339,21.4473628484
50,-0.000400543212891,4442.24073392,21.4459008246
51,-0.000381469726563,4447.26021444,21.4444387922
52,-0.000362396240234,4442.24073392,21.4488248634
