"Latest: Time (s)","Latest: Current (A)","Latest: Temperature (°C)","Latest: Oxygen Gas (ppm)"
0,-0.000801086425781,21.7775620297,4715.8111805
1,-0.000743865966797,21.7761019022,4715.8111805
2,-0.000782012939453,21.783402459,4721.23165433
3,-0.000762939453125,21.7731816232,4721.23165433
4,-0.000743865966797,21.7790221491,4721.23165433
5,-0.000743865966797,21.7790221491,4721.23165433
6,-0.000782012939453,21.7819423637,4721.23165433
7,-0.000820159912109,21.7790221491,4726.65212816
8,-0.000782012939453,21.7819423637,4732.07260198
9,-0.000782012939453,21.7819423637,4737.49307581
10,-0.000743865966797,21.7819423637,4759.17497111
11,-0.000839233398438,21.7848625463,4753.75449729
12,-0.000896453857422,21.7877826967,4802.53876172
13,-0.000858306884766,21.7848625463,4791.69781407
14,-0.000801086425781,21.7863226255,4797.1182879
15,-0.000801086425781,21.7848625463,4802.53876172
16,-0.000877380371094,21.7863226255,4807.95923555
17,-0.000896453857422,21.7863226255,4818.8001832
18,-0.000839233398438,21.783402459,4824.22065703
19,-0.000877380371094,21.7877826967,4807.95923555
20,-0.000782012939453,21.7848625463,4807.95923555
21,-0.000896453857422,21.7863226255,4845.90255233
22,-0.000877380371094,21.7907028151,4878.42539529
23,-0.000743865966797,21.7848625463,4840.48207851
24,-0.000801086425781,21.783402459,4878.42539529
25,-0.000820159912109,21.783402459,4883.84586912
26,-0.000801086425781,21.7848625463,4905.52776442
27,-0.000839233398438,21.7892427599,4921.7891859
28,-0.000934600830078,21.7907028151,4921.7891859
29,-0.000896453857422,21.7936229014,4959.73250268
30,-0.000762939453125,21.7848625463,4932.63013355
31,-0.000934600830078,21.7907028151,4970.57345034
32,-0.000762939453125,21.7863226255,4943.47108121
33,-0.000724792480469,21.7848625463,4948.89155503
34,-0.000820159912109,21.7848625463,4965.15297651
35,-0.000934600830078,21.7936229014,4981.41439799
36,-0.000839233398438,21.7921628622,4981.41439799
37,-0.000877380371094,21.7950829325,4975.99392416
38,-0.000762939453125,21.7877826967,4981.41439799
39,-0.000839233398438,21.7936229014,5003.09629329
40,-0.00091552734375,21.7950829325,4986.83487182
41,-0.000724792480469,21.7877826967,4981.41439799
42,-0.000782012939453,21.7921628622,4986.83487182
43,-0.000877380371094,21.7921628622,4992.25534564
44,-0.000820159912109,21.7921628622,5003.09629329
45,-0.000896453857422,21.7994629779,5035.61913625
46,-0.000896453857422,21.7980029707,5035.61913625
47,-0.00091552734375,21.800922977,5057.30103156
48,-0.000934600830078,21.7980029707,5051.88055773
49,-0.000820159912109,21.7950829325,5068.14197921
50,-0.000839233398438,21.7950829325,5068.14197921
51,-0.000820159912109,21.7950829325,5062.72150538
52,-0.000820159912109,21.7950829325,5068.14197921
53,-0.000877380371094,21.7980029707,5068.14197921
54,-0.000743865966797,21.7892427599,5062.72150538
55,-0.000839233398438,21.7980029707,5068.14197921
56,-0.000801086425781,21.7950829325,5068.14197921
57,-0.00091552734375,21.8023829681,5068.14197921
58,-0.000782012939453,21.7950829325,5068.14197921
59,-0.000858306884766,21.7994629779,5068.14197921
60,-0.000934600830078,21.8053029264,5068.14197921
61,-0.000820159912109,21.7965429556,5068.14197921
62,-0.000724792480469,21.7907028151,5068.14197921
63,-0.000858306884766,21.7980029707,5068.14197921
64,-0.000896453857422,21.8067628936,5095.24434834
65,-0.00091552734375,21.8023829681,5100.66482217
66,-0.000705718994141,21.7936229014,5068.14197921
67,-0.000896453857422,21.8067628936,5122.34671747
68,-0.000896453857422,21.8038429512,5127.7671913
69,-0.000801086425781,21.7994629779,5111.50576982
70,-0.000820159912109,21.8053029264,5122.34671747
71,-0.000877380371094,21.8023829681,5138.60813895
72,-0.000743865966797,21.7892427599,5095.24434834
73,-0.00091552734375,21.8053029264,5138.60813895
74,-0.000896453857422,21.8067628936,5149.4490866
75,-0.00091552734375,21.8038429512,5149.4490866
76,-0.000782012939453,21.7950829325,5149.4490866
77,-0.000782012939453,21.7907028151,5149.4490866
78,-0.000782012939453,21.7965429556,5138.60813895
79,-0.00091552734375,21.8038429512,5149.4490866
80,-0.000877380371094,21.8023829681,5149.4490866
81,-0.000820159912109,21.8053029264,5154.86956043
82,-0.00091552734375,21.8038429512,5154.86956043
83,-0.000896453857422,21.8038429512,5154.86956043
84,-0.000896453857422,21.8067628936,5160.29003426
85,-0.000724792480469,21.7936229014,5149.4490866
86,-0.000820159912109,21.7994629779,5154.86956043
87,-0.000743865966797,21.7921628622,5154.86956043
88,-0.000820159912109,21.8053029264,5154.86956043
89,-0.000877380371094,21.8038429512,5154.86956043
