"Latest: Time (s)","Latest: Oxygen Gas (ppm)","Latest: Current (A)","Latest: Temperature (°C)"
0,4587.51579921,-0.0013542175293,21.3069682727
1,4597.82482416,-0.00141143798828,21.3098939994
2,4597.82482416,-0.00141143798828,21.3084311406
3,4602.97933663,-0.00137329101563,21.3084311406
4,4628.751899,-0.00133514404297,21.3084311406
5,4618.44287405,-0.00137329101563,21.3084311406
6,4639.06092395,-0.00139236450195,21.3055053958
7,4649.36994889,-0.00146865844727,21.3069682727
8,4654.52446137,-0.00154495239258,21.3040425099
9,4649.36994889,-0.00146865844727,21.3055053958
10,4659.67897384,-0.00146865844727,21.3055053958
11,4664.83348631,-0.00143051147461,21.3069682727
12,4675.14251126,-0.00148773193359,21.3069682727
13,4680.29702373,-0.00144958496094,21.3055053958
14,4675.14251126,-0.00143051147461,21.3069682727
15,4680.29702373,-0.00144958496094,21.3040425099
16,4675.14251126,-0.00150680541992,21.3098939994
17,4685.45153621,-0.00148773193359,21.3084311406
18,4680.29702373,-0.00141143798828,21.3113568492
19,4685.45153621,-0.00148773193359,21.31281969
20,4680.29702373,-0.00146865844727,21.3084311406
21,4695.76056115,-0.00152587890625,21.3113568492
22,4711.22409857,-0.00143051147461,21.3113568492
23,4695.76056115,-0.00148773193359,21.3142825217
24,4675.14251126,-0.00143051147461,21.3142825217
25,4706.0695861,-0.00144958496094,21.3113568492
26,4716.37861105,-0.00146865844727,21.3098939994
27,4716.37861105,-0.00152587890625,21.3113568492
28,4721.53312352,-0.00146865844727,21.3113568492
29,4711.22409857,-0.00141143798828,21.3113568492
30,4711.22409857,-0.00141143798828,21.3142825217
31,4711.22409857,-0.00143051147461,21.3142825217
32,4726.68763599,-0.00148773193359,21.31281969
33,4721.53312352,-0.00144958496094,21.3142825217
34,4726.68763599,-0.00143051147461,21.3157453445
35,4721.53312352,-0.00143051147461,21.3142825217
36,4726.68763599,-0.00144958496094,21.3186709629
37,4721.53312352,-0.00141143798828,21.3142825217
38,4731.84214847,-0.00154495239258,21.3142825217
39,4721.53312352,-0.00144958496094,21.3172081582
40,4726.68763599,-0.00152587890625,21.3142825217
41,4731.84214847,-0.00152587890625,21.3157453445
42,4736.99666094,-0.00152587890625,21.3142825217
43,4726.68763599,-0.00146865844727,21.3157453445
44,4721.53312352,-0.00144958496094,21.3157453445
45,4726.68763599,-0.00144958496094,21.3186709629
46,4736.99666094,-0.00144958496094,21.3186709629
47,4726.68763599,-0.0013542175293,21.323059323
48,4742.15117341,-0.00148773193359,21.3172081582
49,4731.84214847,-0.00139236450195,21.3215965453
50,4742.15117341,-0.00137329101563,21.3186709629
51,4747.30568589,-0.00146865844727,21.3172081582
52,4736.99666094,-0.00143051147461,21.3215965453
53,4747.30568589,-0.00150680541992,21.3201337586
54,4757.61471083,-0.00144958496094,21.3215965453
55,4747.30568589,-0.00144958496094,21.323059323
56,4747.30568589,-0.00148773193359,21.3215965453
57,4742.15117341,-0.00141143798828,21.3215965453
58,4762.76922331,-0.00146865844727,21.323059323
59,4752.46019836,-0.00139236450195,21.323059323
60,4757.61471083,-0.00148773193359,21.323059323
61,4762.76922331,-0.00146865844727,21.323059323
