"Latest: Time (s)","Latest: Oxygen Gas (ppm)","Latest: Current (A)","Latest: Temperature (°C)"
0,4386.48981275,-0.00129699707031,24.9829130279
1,4386.48981275,-0.0013542175293,24.9785642438
2,4396.7988377,-0.00137329101563,24.9785642438
3,4391.64432522,-0.00133514404297,24.9742154452
4,4391.64432522,-0.0013542175293,24.9785642438
5,4391.64432522,-0.0013542175293,24.9713162381
6,4396.7988377,-0.00131607055664,24.9756650463
7,4396.7988377,-0.00131607055664,24.9742154452
8,4396.7988377,-0.00131607055664,24.9727658424
9,4396.7988377,-0.00131607055664,24.9756650463
10,4396.7988377,-0.00133514404297,24.9742154452
11,4396.7988377,-0.00133514404297,24.9742154452
12,4396.7988377,-0.0013542175293,24.9756650463
13,4396.7988377,-0.00139236450195,24.9756650463
14,4396.7988377,-0.00144958496094,24.9713162381
15,4396.7988377,-0.00150680541992,24.9742154452
16,4412.26237512,-0.00150680541992,24.9742154452
17,4396.7988377,-0.00146865844727,24.9727658424
18,4396.7988377,-0.00146865844727,24.9756650463
19,4401.95335017,-0.00143051147461,24.9742154452
20,4417.41688759,-0.00148773193359,24.9727658424
21,4412.26237512,-0.00148773193359,24.9742154452
22,4412.26237512,-0.00146865844727,24.9698666321
23,4422.57140006,-0.00148773193359,24.9713162381
24,4432.88042501,-0.00148773193359,24.964068192
25,4422.57140006,-0.00144958496094,24.9684170245
26,4432.88042501,-0.00148773193359,24.9713162381
27,4422.57140006,-0.00146865844727,24.9698666321
28,4432.88042501,-0.00144958496094,24.9727658424
29,4438.03493748,-0.00146865844727,24.9727658424
30,4432.88042501,-0.00144958496094,24.9698666321
31,4443.18944996,-0.00146865844727,24.9713162381
32,4432.88042501,-0.00146865844727,24.9684170245
33,4458.65298738,-0.00148773193359,24.9698666321
34,4458.65298738,-0.00148773193359,24.9698666321
35,4463.80749985,-0.00146865844727,24.9655178045
36,4458.65298738,-0.00141143798828,24.9713162381
37,4443.18944996,-0.00143051147461,24.9713162381
38,4463.80749985,-0.00146865844727,24.9684170245
39,4458.65298738,-0.00141143798828,24.9713162381
40,4474.1165248,-0.00146865844727,24.9713162381
41,4468.96201232,-0.00144958496094,24.9727658424
42,4474.1165248,-0.00144958496094,24.9727658424
43,4474.1165248,-0.00146865844727,24.9669674153
44,4463.80749985,-0.00144958496094,24.9713162381
45,4474.1165248,-0.00148773193359,24.9655178045
46,4479.27103727,-0.00143051147461,24.9684170245
47,4479.27103727,-0.00143051147461,24.9698666321
48,4468.96201232,-0.00143051147461,24.9713162381
49,4479.27103727,-0.00146865844727,24.9684170245
50,4479.27103727,-0.00144958496094,24.9669674153
51,4479.27103727,-0.00146865844727,24.9669674153
52,4489.58006222,-0.00146865844727,24.9655178045
53,4479.27103727,-0.00143051147461,24.9684170245
54,4479.27103727,-0.00143051147461,24.9713162381
55,4484.42554974,-0.00143051147461,24.9713162381
56,4484.42554974,-0.00143051147461,24.9698666321
57,4489.58006222,-0.00146865844727,24.9655178045
58,4494.73457469,-0.00146865844727,24.9655178045
59,4499.88908716,-0.00146865844727,24.9655178045
60,4494.73457469,-0.00141143798828,24.9684170245
61,4494.73457469,-0.00143051147461,24.9727658424
62,4494.73457469,-0.00143051147461,24.9626185779
63,4510.19811211,-0.00143051147461,24.9684170245
64,4499.88908716,-0.00146865844727,24.9655178045
65,4499.88908716,-0.00146865844727,24.9669674153
66,4515.35262458,-0.00144958496094,24.9684170245
67,4510.19811211,-0.00143051147461,24.9713162381
68,4510.19811211,-0.00143051147461,24.9684170245
69,4525.66164953,-0.00148773193359,24.9669674153
70,4520.50713706,-0.00146865844727,24.9684170245
71,4510.19811211,-0.00141143798828,24.9669674153
72,4541.12518695,-0.00148773193359,24.9626185779
73,4535.97067448,-0.00144958496094,24.9655178045
74,4546.27969943,-0.00148773193359,24.964068192
75,4546.27969943,-0.00148773193359,24.9655178045
76,4541.12518695,-0.00146865844727,24.9626185779
77,4556.58872437,-0.00144958496094,24.964068192
78,4546.27969943,-0.00146865844727,24.9684170245
79,4551.4342119,-0.00146865844727,24.9626185779
80,4551.4342119,-0.00144958496094,24.9626185779
81,4546.27969943,-0.00143051147461,24.9669674153
82,4556.58872437,-0.00143051147461,24.964068192
83,4556.58872437,-0.00143051147461,24.9626185779
84,4561.74323685,-0.00144958496094,24.9684170245
85,4556.58872437,-0.00148773193359,24.9626185779
86,4561.74323685,-0.00143051147461,24.9626185779
87,4556.58872437,-0.00144958496094,24.9611689622
88,4556.58872437,-0.00146865844727,24.9597193449
89,4561.74323685,-0.00146865844727,24.9626185779
90,4561.74323685,-0.00148773193359,24.9626185779
91,4566.89774932,-0.00144958496094,24.9597193449
92,4561.74323685,-0.00141143798828,24.9655178045
93,4561.74323685,-0.00141143798828,24.9626185779
94,4566.89774932,-0.00143051147461,24.9626185779
95,4566.89774932,-0.00141143798828,24.9626185779
96,4582.36128674,-0.00146865844727,24.9597193449
97,4566.89774932,-0.00146865844727,24.9655178045
98,4566.89774932,-0.00141143798828,24.964068192
99,4582.36128674,-0.00143051147461,24.9655178045
100,4577.20677427,-0.00146865844727,24.9597193449
101,4577.20677427,-0.00150680541992,24.9684170245
102,4577.20677427,-0.00148773193359,24.964068192
103,4592.67031169,-0.00143051147461,24.9597193449
104,4582.36128674,-0.00144958496094,24.9611689622
105,4602.97933663,-0.00144958496094,24.9568201052
106,4597.82482416,-0.00144958496094,24.964068192
107,4592.67031169,-0.00143051147461,24.9597193449
108,4602.97933663,-0.00144958496094,24.9626185779
109,4602.97933663,-0.00150680541992,24.9568201052
110,4608.13384911,-0.00144958496094,24.9611689622
111,4602.97933663,-0.00146865844727,24.9568201052
112,4602.97933663,-0.00141143798828,24.9582697259
113,4618.44287405,-0.00144958496094,24.9582697259
114,4623.59738653,-0.00146865844727,24.9597193449
115,4628.751899,-0.00146865844727,24.9568201052
116,4628.751899,-0.00146865844727,24.9568201052
117,4623.59738653,-0.00143051147461,24.9611689622
118,4623.59738653,-0.00141143798828,24.9582697259
119,4628.751899,-0.00144958496094,24.9611689622
120,4633.90641147,-0.00143051147461,24.9582697259
121,4639.06092395,-0.00143051147461,24.955370483
122,4633.90641147,-0.00143051147461,24.9611689622
123,4633.90641147,-0.00143051147461,24.9655178045
124,4639.06092395,-0.00146865844727,24.955370483
