Timestamp,Cell 1 Current,Cell 1 Voltage,Cell 1 Temperature,Cell 2 Current,Cell 2 Voltage,Cell 2 Temperature,Cell 3 Current,Cell 3 Voltage,Cell 3 Temperature,Cell 4 Current,Cell 4 Voltage,Cell 4 Temperature,Cell 5 Current,Cell 5 Voltage,Cell 5 Temperature,Cell 6 Current,Cell 6 Voltage,Cell 6 Temperature,Cell 7 Current,Cell 7 Voltage,Cell 7 Temperature,Cell 8 Current,Cell 8 Voltage,Cell 8 Temperature,Cell 9 Current,Cell 9 Voltage,Cell 9 Temperature,Cell 10 Current,Cell 10 Voltage,Cell 10 Temperature,Cell 11 Current,Cell 11 Voltage,Cell 11 Temperature,Cell 12 Current,Cell 12 Voltage,Cell 12 Temperature,Cell 13 Current,Cell 13 Voltage,Cell 13 Temperature,Cell 14 Current,Cell 14 Voltage,Cell 14 Temperature,Cell 15 Current,Cell 15 Voltage,Cell 15 Temperature,Cell 16 Current,Cell 16 Voltage,Cell 16 Temperature
08-29-2025-Fri 12-04-14-PM,-0.1,0.716,20.3601,0.1,0.788,,-0.2,0.792,20.6641,-0.1,0.792,,-0.2,0.74,21.1704,-0.1,0.772,,-0.2,0.756,21.0697,-0.2,0.776,,-0.1,0.716,,0.1,0.788,19.9206,-0.2,0.792,,-0.1,0.792,20.1916,-0.2,0.74,,-0.1,0.772,19.2457,-0.2,0.756,,-0.2,0.776,18.0644
08-29-2025-Fri 12-04-17-PM,-0.3,0.712,20.3939,-0.5,0.784,,-0.5,0.792,20.6302,-0.4,0.792,,-0.7,0.74,21.1704,-0.1,0.772,,-0.2,0.752,21.0697,-0.1,0.776,,-0.3,0.712,,-0.5,0.784,19.9206,-0.5,0.792,,-0.4,0.792,20.1916,-0.7,0.74,,-0.1,0.772,19.3126,-0.2,0.752,,-0.1,0.776,17.9967
08-29-2025-Fri 12-04-19-PM,0.0,0.712,20.3262,-0.2,0.784,,0.0,0.792,20.6302,-0.4,0.796,,-0.4,0.74,21.1704,-0.3,0.772,,0.1,0.752,21.0697,-0.1,0.776,,0.0,0.712,,-0.2,0.784,19.9545,0.0,0.792,,-0.4,0.796,20.1916,-0.4,0.74,,-0.3,0.772,19.3126,0.1,0.752,,-0.1,0.776,17.9628
08-29-2025-Fri 12-04-21-PM,Power On,,20.4278,,,,,,20.7318,,,,,,21.1704,,,,,,21.0697,,,,Power On,,,,,19.9206,,,,,,20.1916,,,,,,19.3126,,,,,,17.929
08-29-2025-Fri 12-04-24-PM,153.3,5.548,20.3262,133.1,5.556,,149.6,5.556,20.6641,118.3,5.624,,144.9,5.512,21.2382,126.2,5.596,,122.6,5.504,21.1035,115.1,5.508,,153.3,5.548,,133.1,5.556,19.9884,149.6,5.556,,118.3,5.624,20.1916,144.9,5.512,,126.2,5.596,19.3465,122.6,5.504,,115.1,5.508,17.8951
08-29-2025-Fri 12-04-26-PM,146.6,5.56,20.4278,128.9,5.572,,144.2,5.568,20.6979,117.0,5.636,,140.0,5.524,21.1704,121.3,5.608,,118.6,5.52,21.1035,112.3,5.516,,146.6,5.56,,128.9,5.572,19.9545,144.2,5.568,,117.0,5.636,20.2593,140.0,5.524,,121.3,5.608,19.3804,118.6,5.52,,112.3,5.516,17.8951
08-29-2025-Fri 12-04-29-PM,139.3,5.488,20.3262,122.7,5.5,,137.6,5.496,20.6641,112.1,5.568,,132.8,5.452,21.2382,115.3,5.54,,113.1,5.448,21.0358,107.8,5.452,,139.3,5.488,,122.7,5.5,20.0222,137.6,5.496,,112.1,5.568,20.2246,132.8,5.452,,115.3,5.54,19.4481,113.1,5.448,,107.8,5.452,17.8951
08-29-2025-Fri 12-04-31-PM,138.8,5.516,20.3939,121.8,5.528,,136.4,5.524,20.7318,112.9,5.596,,132.0,5.48,21.2051,114.7,5.564,,112.1,5.48,21.1704,107.6,5.476,,138.8,5.516,,121.8,5.528,19.9884,136.4,5.524,,112.9,5.596,20.2246,132.0,5.48,,114.7,5.564,19.482,112.1,5.48,,107.6,5.476,17.8612
08-29-2025-Fri 12-04-33-PM,137.3,5.524,20.4278,120.8,5.528,,134.4,5.532,20.6641,112.1,5.6,,130.5,5.488,21.3059,113.2,5.572,,110.6,5.484,21.1374,106.9,5.484,,137.3,5.524,,120.8,5.528,20.09,134.4,5.532,,112.1,5.6,20.2593,130.5,5.488,,113.2,5.572,19.5158,110.6,5.484,,106.9,5.484,17.8951
08-29-2025-Fri 12-04-36-PM,135.9,5.524,20.3939,119.6,5.536,,132.5,5.536,20.6641,111.5,5.604,,129.5,5.496,21.2382,111.8,5.576,,109.1,5.488,21.1035,106.3,5.492,,135.9,5.524,,119.6,5.536,20.09,132.5,5.536,,111.5,5.604,20.2593,129.5,5.496,,111.8,5.576,19.5158,109.1,5.488,,106.3,5.492,17.8951
