Timestamp,mA 1,V1,mA 2,V2,mA 3,V3,mA 4,V4,mA 5,V5,mA 6,V6,mA 7,V7,mA 8,V8
08-29-2025-Fri 12-04-14-PM,-0.1,0.716,0.1,0.788,-0.2,0.792,-0.1,0.792,-0.2,0.74,-0.1,0.772,-0.2,0.756,-0.2,0.776
08-29-2025-Fri 12-04-17-PM,-0.3,0.712,-0.5,0.784,-0.5,0.792,-0.4,0.792,-0.7,0.74,-0.1,0.772,-0.2,0.752,-0.1,0.776
08-29-2025-Fri 12-04-19-PM,0.0,0.712,-0.2,0.784,0.0,0.792,-0.4,0.796,-0.4,0.74,-0.3,0.772,0.1,0.752,-0.1,0.776
08-29-2025-Fri 12-04-21-PM,Power On
08-29-2025-Fri 12-04-24-PM,153.3,5.548,133.1,5.556,149.6,5.556,118.3,5.624,144.9,5.512,126.2,5.596,122.6,5.504,115.1,5.508
08-29-2025-Fri 12-04-26-PM,146.6,5.56,128.9,5.572,144.2,5.568,117.0,5.636,140.0,5.524,121.3,5.608,118.6,5.52,112.3,5.516
08-29-2025-Fri 12-04-29-PM,139.3,5.488,122.7,5.5,137.6,5.496,112.1,5.568,132.8,5.452,115.3,5.54,113.1,5.448,107.8,5.452
08-29-2025-Fri 12-04-31-PM,138.8,5.516,121.8,5.528,136.4,5.524,112.9,5.596,132.0,5.48,114.7,5.564,112.1,5.48,107.6,5.476
08-29-2025-Fri 12-04-33-PM,137.3,5.524,120.8,5.528,134.4,5.532,112.1,5.6,130.5,5.488,113.2,5.572,110.6,5.484,106.9,5.484
08-29-2025-Fri 12-04-36-PM,135.9,5.524,119.6,5.536,132.5,5.536,111.5,5.604,129.5,5.496,111.8,5.576,109.1,5.488,106.3,5.492
08-29-2025-Fri 12-04-38-PM,134.6,5.532,118.4,5.544,130.9,5.54,110.9,5.608,128.5,5.496,110.6,5.576,108.2,5.492,105.9,5.492
08-29-2025-Fri 12-04-41-PM,133.3,5.536,117.5,5.544,129.9,5.544,110.0,5.608,127.6,5.5,109.8,5.584,107.5,5.496,104.9,5.496
08-29-2025-Fri 12-04-43-PM,Power Off
08-29-2025-Fri 12-04-45-PM,0.0,2.012,0.1,2.24,-0.3,2.024,-0.2,1.868,-0.2,2.184,-0.2,1.964,-0.4,2.128,0.1,1.996
08-29-2025-Fri 12-04-48-PM,-0.1,1.868,-0.3,2.096,-0.1,1.892,-0.4,1.728,-0.4,2.008,-0.1,1.816,-0.2,1.96,-0.4,1.856
08-29-2025-Fri 12-04-50-PM,0.0,1.776,-0.1,2.0,-0.3,1.816,0.1,1.648,-0.1,1.892,-0.1,1.728,-0.3,1.856,0.0,1.772
08-29-2025-Fri 12-04-52-PM,0.0,1.708,0.2,1.932,-0.4,1.764,-0.4,1.58,-0.4,1.804,-0.2,1.66,-0.2,1.784,-0.1,1.712
08-29-2025-Fri 12-04-55-PM,-0.1,1.66,-0.1,1.876,-0.3,1.72,-0.2,1.524,-0.2,1.74,-0.5,1.612,0.2,1.724,0.0,1.66
08-29-2025-Fri 12-04-57-PM,-0.1,1.62,-0.1,1.832,-0.3,1.688,-0.3,1.476,0.0,1.684,-0.2,1.568,0.0,1.672,-0.2,1.62
08-29-2025-Fri 12-05-00-PM,0.0,1.58,0.0,1.788,0.0,1.656,-0.1,1.428,-0.2,1.636,-0.2,1.536,-0.2,1.632,-0.2,1.58
08-29-2025-Fri 12-05-02-PM,0.0,1.552,0.0,1.752,-0.1,1.632,-0.2,1.388,-0.4,1.596,-0.2,1.504,0.0,1.596,0.2,1.556
08-29-2025-Fri 12-05-04-PM,-0.1,1.52,-0.1,1.72,-0.4,1.612,-0.3,1.348,-0.2,1.568,0.0,1.476,-0.1,1.564,-0.2,1.528
08-29-2025-Fri 12-05-07-PM,-0.2,1.496,-0.1,1.688,-0.1,1.592,-0.1,1.308,-0.2,1.54,-0.4,1.444,-0.1,1.532,-0.1,1.5
08-29-2025-Fri 12-05-09-PM,0.0,1.472,0.1,1.656,-0.3,1.572,-0.1,1.268,-0.2,1.508,0.0,1.424,-0.1,1.504,0.2,1.476
08-29-2025-Fri 12-05-11-PM,0.2,1.448,0.1,1.624,0.1,1.556,-0.3,1.228,-0.1,1.484,0.0,1.4,0.1,1.48,-0.3,1.456
08-29-2025-Fri 12-05-14-PM,0.1,1.428,0.0,1.588,-0.4,1.544,-0.3,1.184,-0.2,1.46,0.0,1.38,-0.3,1.452,0.0,1.432
08-29-2025-Fri 12-05-16-PM,0.0,1.404,-0.2,1.556,-0.2,1.528,0.0,1.148,-0.3,1.44,-0.4,1.36,0.0,1.432,-0.2,1.408
08-29-2025-Fri 12-05-18-PM,0.3,1.384,-0.2,1.52,-0.2,1.512,0.2,1.104,-0.3,1.42,-0.2,1.34,0.0,1.408,-0.2,1.388
08-29-2025-Fri 12-05-21-PM,-0.2,1.36,0.0,1.476,0.0,1.496,-0.4,1.056,-0.2,1.4,0.0,1.32,0.0,1.38,0.0,1.36
08-29-2025-Fri 12-05-24-PM,-0.2,1.34,0.0,1.436,0.0,1.476,-0.1,1.004,-0.2,1.376,0.0,1.296,0.0,1.352,-0.1,1.336
08-29-2025-Fri 12-05-28-PM,
08-29-2025-Fri 12-05-33-PM,
08-29-2025-Fri 12-05-37-PM,0.0,1.228,-0.3,1.224,-0.2,1.4,0.0,0.892,-0.1,1.268,-0.1,1.188,-0.2,1.224,-0.2,1.212
08-29-2025-Fri 12-05-40-PM,0.0,1.212,-0.5,1.192,-0.2,1.388,-0.3,0.884,-0.2,1.248,-0.1,1.168,-0.1,1.2,0.0,1.188
08-29-2025-Fri 12-05-42-PM,-0.1,1.192,0.0,1.172,-0.2,1.372,-0.3,0.876,-0.4,1.228,-0.2,1.156,0.0,1.176,-0.2,1.164
08-29-2025-Fri 12-05-44-PM,-0.1,1.176,0.0,1.144,-0.3,1.356,-0.1,0.864,-0.3,1.216,0.1,1.14,0.0,1.156,-0.2,1.144
08-29-2025-Fri 12-05-47-PM,0.0,1.16,-0.3,1.124,-0.4,1.344,-0.1,0.856,-0.2,1.192,-0.1,1.116,0.1,1.128,-0.1,1.12
08-29-2025-Fri 12-05-50-PM,0.0,1.14,0.0,1.104,-0.2,1.32,0.1,0.848,0.0,1.168,0.0,1.1,0.0,1.1,0.1,1.092
08-29-2025-Fri 12-05-53-PM,0.1,1.112,0.0,1.072,-0.3,1.296,-0.3,0.84,-0.3,1.128,-0.2,1.072,-0.4,1.056,-0.3,1.048
08-29-2025-Fri 12-05-56-PM,0.1,1.092,-0.3,1.052,-0.3,1.288,-0.3,0.832,-0.2,1.104,-0.2,1.048,-0.5,1.036,0.0,1.02
08-29-2025-Fri 12-05-58-PM,-0.1,1.068,-0.1,1.04,-0.4,1.268,-0.4,0.828,-0.2,1.076,-0.4,1.032,0.0,1.016,0.0,0.996
08-29-2025-Fri 12-06-01-PM,-0.2,1.048,-0.4,1.02,-0.1,1.256,-0.4,0.824,-0.1,1.044,-0.1,1.012,0.0,0.992,-0.2,0.972
08-29-2025-Fri 12-06-03-PM,0.1,1.028,0.2,1.012,-0.5,1.236,-0.4,0.816,-0.2,1.02,-0.2,0.992,0.0,0.98,-0.1,0.948
08-29-2025-Fri 12-06-05-PM,0.2,1.004,0.0,0.996,-0.1,1.228,-0.3,0.812,-0.3,0.996,0.0,0.976,-0.4,0.96,-0.2,0.932
08-29-2025-Fri 12-06-08-PM,0.2,0.98,0.1,0.984,-0.1,1.208,-0.1,0.808,-0.1,0.972,-0.4,0.96,-0.3,0.943999,-0.2,0.908
08-29-2025-Fri 12-06-10-PM,-0.2,0.96,0.0,0.976,-0.2,1.192,-0.5,0.808,-0.2,0.948,-0.2,0.948,-0.1,0.928,-0.3,0.896
08-29-2025-Fri 12-06-13-PM,0.1,0.94,0.1,0.964,-0.3,1.18,-0.1,0.804,-0.3,0.928,-0.1,0.932,-0.4,0.92,-0.2,0.88
08-29-2025-Fri 12-06-15-PM,-0.2,0.916,-0.2,0.952,-0.2,1.164,-0.2,0.804,-0.5,0.912,-0.4,0.924,-0.2,0.908,-0.1,0.872
08-29-2025-Fri 12-06-17-PM,0.1,0.896,-0.1,0.943999,-0.1,1.152,-0.1,0.8,-0.4,0.9,-0.5,0.916,-0.1,0.896,-0.1,0.86
08-29-2025-Fri 12-06-20-PM,-0.2,0.88,-0.2,0.936,-0.3,1.136,-0.3,0.8,-0.3,0.884,-0.5,0.904,-0.2,0.888,-0.1,0.848
08-29-2025-Fri 12-06-22-PM,-0.3,0.868,0.2,0.928,-0.2,1.12,-0.2,0.804,-0.1,0.876,-0.1,0.9,-0.1,0.872,-0.2,0.84
08-29-2025-Fri 12-06-24-PM,-0.2,0.856,-0.1,0.916,-0.1,1.108,-0.3,0.8,-0.5,0.86,-0.2,0.892,-0.2,0.868,-0.2,0.836
08-29-2025-Fri 12-06-27-PM,-0.1,0.844,-0.1,0.912,-0.5,1.096,-0.3,0.8,-0.5,0.852,-0.3,0.888,-0.1,0.86,-0.1,0.828
08-29-2025-Fri 12-06-29-PM,-0.1,0.836,-0.2,0.904,-0.2,1.08,-0.3,0.8,-0.2,0.844,-0.1,0.88,0.0,0.852,-0.2,0.82
08-29-2025-Fri 12-06-31-PM,0.1,0.824,-0.2,0.892,-0.1,1.072,-0.4,0.796,-0.4,0.836,-0.2,0.872,-0.2,0.844,-0.2,0.82
08-29-2025-Fri 12-06-34-PM,0.0,0.82,0.0,0.888,0.0,1.056,-0.3,0.8,0.0,0.832,-0.4,0.872,0.0,0.84,0.1,0.812
08-29-2025-Fri 12-06-36-PM,-0.3,0.808,0.0,0.88,-0.2,1.048,-0.4,0.8,-0.4,0.824,0.0,0.864,-0.2,0.828,-0.2,0.812
08-29-2025-Fri 12-06-39-PM,-0.3,0.804,-0.2,0.872,0.0,1.04,-0.2,0.8,-0.3,0.82,-0.4,0.864,0.0,0.824,-0.2,0.808
08-29-2025-Fri 12-06-41-PM,-0.3,0.804,-0.3,0.864,-0.4,1.028,-0.3,0.796,-0.4,0.816,-0.2,0.86,-0.3,0.82,-0.2,0.804
08-29-2025-Fri 12-06-43-PM,-0.1,0.8,-0.2,0.86,-0.6,1.02,-0.4,0.8,-0.7,0.816,-0.2,0.852,0.0,0.816,-0.1,0.8
08-29-2025-Fri 12-06-46-PM,-0.3,0.8,0.0,0.856,-0.3,1.012,-0.2,0.8,-0.4,0.808,0.1,0.848,-0.3,0.812,-0.1,0.8
08-29-2025-Fri 12-06-48-PM,-0.1,0.796,-0.2,0.852,-0.4,1.004,0.1,0.8,0.1,0.804,0.0,0.848,-0.2,0.812,0.0,0.8
08-29-2025-Fri 12-06-50-PM,0.0,0.792,-0.1,0.844,-0.3,0.996,-0.3,0.804,-0.3,0.8,0.0,0.844,0.0,0.808,-0.3,0.796
08-29-2025-Fri 12-06-53-PM,-0.2,0.792,-0.2,0.84,-0.3,0.992,0.0,0.8,-0.5,0.8,0.0,0.836,-0.2,0.804,-0.2,0.796
08-29-2025-Fri 12-06-55-PM,0.1,0.796,-0.1,0.832,-0.3,0.98,-0.4,0.8,-0.4,0.796,0.0,0.84,-0.3,0.804,0.1,0.796
